time,gFx,gFy,gFz,TgF
0.002712807,-0.2876,0.4168,0.9235,1.053
0.003010654,-0.2851,0.4114,0.9174,1.045
0.003186884,-0.2827,0.4102,0.9154,1.042
0.003351077,-0.2766,0.4063,0.9098,1.034
0.00351323,-0.2700,0.4009,0.9032,1.024
0.003678461,-0.2668,0.3982,0.9001,1.020
0.00550973,-0.2609,0.3931,0.8927,1.010
0.009623769,-0.2578,0.3880,0.8842,0.999
0.009872154,-0.2560,0.3858,0.8788,0.993
0.012032577,-0.2492,0.3833,0.8666,0.980
0.013726307,-0.2436,0.3819,0.8558,0.968
0.015698692,-0.2419,0.3784,0.8514,0.963
0.017558538,-0.2402,0.3753,0.8458,0.956
0.019579154,-0.2392,0.3738,0.8436,0.953
0.021551115,-0.2385,0.3726,0.8395,0.949
0.023529192,-0.2402,0.3721,0.8385,0.948
0.027715115,-0.2419,0.3721,0.8382,0.948
0.028107769,-0.2458,0.3694,0.8404,0.950
0.029674423,-0.2512,0.3682,0.8441,0.955
0.031661,-0.2519,0.3682,0.8453,0.956
0.033869384,-0.2556,0.3674,0.8480,0.959
0.03554823,-0.2614,0.3640,0.8502,0.961
0.037629384,-0.2636,0.3640,0.8517,0.963
0.039566769,-0.2668,0.3645,0.8512,0.964
0.042474192,-0.2705,0.3635,0.8529,0.966
0.044392769,-0.2722,0.3631,0.8529,0.966
0.045869807,-0.2736,0.3635,0.8522,0.966
0.047902,-0.2758,0.3621,0.8517,0.966
0.049589115,-0.2775,0.3611,0.8512,0.965
0.051580923,-0.2802,0.3606,0.8495,0.964
0.053574807,-0.2858,0.3579,0.8463,0.962
0.056339077,-0.2893,0.3538,0.8397,0.956
0.061084384,-0.2910,0.3525,0.8382,0.955
0.061332577,-0.2961,0.3491,0.8402,0.957
0.062118538,-0.2981,0.3479,0.8417,0.958
0.063689115,-0.2983,0.3447,0.8443,0.960
0.065682384,-0.3005,0.3411,0.8485,0.963
0.067939038,-0.3008,0.3394,0.8522,0.965
0.06973923,-0.3017,0.3342,0.8571,0.968
0.072094692,-0.2993,0.3298,0.8629,0.971
0.073825615,-0.2976,0.3271,0.8656,0.972
0.076292884,-0.2981,0.3222,0.8688,0.973
0.077907692,-0.2986,0.3171,0.8744,0.977
0.079859961,-0.2988,0.3125,0.8766,0.977
0.081815269,-0.2990,0.3022,0.8793,0.977
0.083665,-0.2988,0.2915,0.8827,0.976
0.085692153,-0.2966,0.2858,0.8829,0.974
0.087758807,-0.2902,0.2739,0.8834,0.969
0.089536538,-0.2827,0.2599,0.8859,0.966
