time,gFx,gFy,gFz,TgF
0.001900577,-0.1121,0.4837,0.9074,1.034
0.002230692,-0.1117,0.4683,0.8798,1.003
0.002412961,-0.1112,0.4615,0.8666,0.988
0.002611192,-0.1082,0.4515,0.8407,0.960
0.002770923,-0.1021,0.4493,0.8170,0.938
0.002925077,-0.0967,0.4503,0.8053,0.928
0.003076538,-0.0809,0.4537,0.7796,0.906
0.005603577,-0.0655,0.4608,0.7505,0.883
0.006498423,-0.0601,0.4618,0.7376,0.872
0.008699615,-0.0501,0.4676,0.7178,0.858
0.010934461,-0.0428,0.4776,0.7017,0.850
0.012423846,-0.0406,0.4825,0.6941,0.846
0.014325538,-0.0413,0.4879,0.6785,0.837
0.018273269,-0.0457,0.4911,0.6640,0.827
0.019078077,-0.0498,0.4908,0.6570,0.822
0.021028192,-0.0589,0.4896,0.6462,0.813
0.02892,-0.0704,0.4920,0.6399,0.810
0.029345692,-0.0750,0.4920,0.6369,0.808
0.029500923,-0.0850,0.4896,0.6296,0.802
0.029676961,-0.0924,0.4877,0.6247,0.798
0.030316384,-0.0958,0.4874,0.6215,0.796
0.032345769,-0.1036,0.4884,0.6186,0.795
0.034303577,-0.1092,0.4879,0.6164,0.794
0.036631653,-0.1119,0.4872,0.6152,0.793
0.04486673,-0.1146,0.4901,0.6137,0.794
0.04515373,-0.1151,0.4916,0.6142,0.795
0.045267461,-0.1153,0.4935,0.6144,0.796
0.045370576,-0.1119,0.4989,0.6169,0.801
0.046251307,-0.1077,0.5030,0.6215,0.807
0.048183653,-0.1053,0.5060,0.6240,0.810
0.050173807,-0.0985,0.5113,0.6306,0.818
0.052178115,-0.0916,0.5162,0.6374,0.825
0.058390923,-0.0884,0.5175,0.6413,0.829
0.058629,-0.0806,0.5228,0.6528,0.840
0.058743269,-0.0748,0.5263,0.6638,0.850
0.060349923,-0.0723,0.5287,0.6702,0.857
0.062122384,-0.0677,0.5304,0.6816,0.866
0.064135269,-0.0655,0.5319,0.6960,0.878
0.066257769,-0.0645,0.5316,0.7048,0.885
0.068036153,-0.0638,0.5294,0.7195,0.896
0.07023173,-0.0640,0.5306,0.7334,0.908
0.07224373,-0.0655,0.5316,0.7403,0.914
0.074067038,-0.0682,0.5353,0.7552,0.928
0.076218307,-0.0706,0.5375,0.7686,0.941
