time,gFx,gFy,gFz,gFTotal
0.0014350414276123047,0.056,-0.296,-0.897,0.946
0.0015821456909179688,0.056,-0.296,-0.897,0.946
0.006124019622802734,0.066,-0.31,-0.893,0.948
0.016119003295898438,0.09,-0.327,-0.939,0.998
0.027559995651245117,0.103,-0.345,-0.961,1.026
0.03732609748840332,0.088,-0.354,-0.963,1.03
0.04790306091308594,0.052,-0.354,-0.95,1.015
0.05704498291015625,0.017,-0.355,-0.917,0.983
0.0672612190246582,-0.007,-0.351,-0.907,0.973
0.07713890075683594,-0.014,-0.346,-0.916,0.979
0.09942293167114258,-0.006,-0.351,-0.916,0.981
0.09956502914428711,-0.006,-0.351,-0.916,0.981
0.10544800758361816,0.005,-0.356,-0.905,0.973
0.1172029972076416,0.018,-0.359,-0.904,0.973
0.12700200080871582,0.027,-0.357,-0.912,0.98
0.13679122924804688,0.031,-0.348,-0.918,0.982
0.1476421356201172,0.029,-0.34,-0.928,0.989
0.1569828987121582,0.02,-0.334,-0.943,1.001
0.16697216033935547,0.042,-0.328,-0.956,1.012
0.1766960620880127,0.052,-0.328,-0.97,1.025
0.19931793212890625,0.039,-0.335,-0.992,1.048
0.1994619369506836,0.039,-0.335,-0.992,1.048
0.20481300354003906,0.04,-0.292,-0.952,0.997
0.21483302116394043,0.029,-0.344,-0.986,1.045
0.22638702392578125,0.047,-0.37,-1.009,1.076
0.23607397079467773,0.032,-0.351,-0.971,1.033
0.24630498886108398,0.015,-0.337,-0.955,1.013
0.25605201721191406,0.019,-0.328,-0.959,1.014
0.26595497131347656,0.024,-0.325,-0.958,1.012
0.2759709358215332,0.027,-0.325,-0.954,1.008
0.30124711990356445,0.013,-0.284,-0.919,0.962
0.30138587951660156,0.013,-0.284,-0.919,0.962
0.3042020797729492,0.014,-0.344,-0.952,1.012
0.3156440258026123,0.015,-0.364,-0.959,1.026
0.3253941535949707,0.006,-0.39,-0.951,1.028
0.33600807189941406,0.001,-0.367,-0.948,1.017
0.3456401824951172,-0.005,-0.338,-0.941,1.0
0.3555300235748291,0.016,-0.331,-0.946,1.002
0.36536216735839844,0.033,-0.327,-0.947,1.002
0.3756570816040039,0.041,-0.323,-0.944,0.999
0.40126609802246094,0.039,-0.317,-0.95,1.002
0.4013981819152832,0.039,-0.317,-0.95,1.002
0.4033510684967041,0.035,-0.317,-0.944,0.996
0.41515588760375977,0.03,-0.326,-0.948,1.003
0.4250450134277344,0.021,-0.338,-0.941,1.0
0.4348311424255371,0.017,-0.343,-0.931,0.992
0.44478416442871094,0.009,-0.347,-0.919,0.982
0.4546051025390625,0.003,-0.348,-0.911,0.975
0.4653611183166504,0.002,-0.351,-0.923,0.987
0.4745512008666992,-0.01,-0.361,-0.93,0.998
0.4992551803588867,-0.027,-0.35,-0.922,0.987
0.4993882179260254,-0.027,-0.35,-0.922,0.987
0.5029129981994629,-0.033,-0.349,-0.92,0.985
0.5147008895874023,-0.045,-0.335,-0.91,0.971
0.5256009101867676,-0.077,-0.299,-0.924,0.974
0.5342001914978027,-0.118,-0.33,-0.935,0.999
0.544309139251709,-0.157,-0.371,-0.88,0.968
0.5542669296264648,-0.121,-0.343,-0.83,0.906
0.563715934753418,-0.114,-0.342,-0.901,0.97
0.5737440586090088,-0.119,-0.302,-0.929,0.984
0.5972990989685059,-0.131,-0.293,-0.838,0.897
0.5975131988525391,-0.131,-0.293,-0.838,0.897
0.6021819114685059,-0.122,-0.342,-0.797,0.876
0.6139569282531738,-0.109,-0.423,-0.795,0.907
0.6259059906005859,-0.085,-0.494,-0.778,0.925
0.6318581104278564,-0.042,-0.535,-0.773,0.941
0.6439270973205566,0.002,-0.565,-0.735,0.927
0.6537380218505859,0.108,-0.59,-0.676,0.904
0.6636030673980713,0.173,-0.537,-0.693,0.894
0.6735901832580566,0.142,-0.424,-0.738,0.863
0.70001220703125,0.134,-0.374,-0.876,0.962
0.7002050876617432,0.134,-0.374,-0.876,0.962
0.7014431953430176,0.147,-0.413,-0.92,1.019
0.7116010189056396,0.181,-0.437,-0.885,1.003
0.7267920970916748,0.227,-0.421,-0.833,0.961
0.7328171730041504,0.268,-0.333,-0.815,0.92
0.744102954864502,0.286,-0.301,-0.835,0.933
0.7526321411132812,0.278,-0.258,-0.863,0.943
0.7624220848083496,0.279,-0.281,-0.834,0.923
0.7728509902954102,0.304,-0.358,-0.792,0.921
0.8008022308349609,0.406,-0.401,-0.872,1.042
0.8012189865112305,0.406,-0.401,-0.872,1.042
0.8023970127105713,0.406,-0.401,-0.872,1.042
0.8127131462097168,0.363,-0.325,-0.905,1.028
0.822376012802124,0.315,-0.272,-0.915,1.005
0.8331170082092285,0.226,-0.246,-0.928,0.986
0.8482599258422852,0.227,-0.222,-0.93,0.983
0.8527731895446777,0.274,-0.224,-0.863,0.933
0.8639791011810303,0.256,-0.258,-0.813,0.891
0.8717670440673828,0.274,-0.283,-0.798,0.89
0.8973431587219238,0.318,-0.277,-0.828,0.929
0.8975930213928223,0.318,-0.277,-0.828,0.929
0.900230884552002,0.267,-0.254,-0.894,0.967
0.9118709564208984,0.224,-0.197,-0.971,1.016
0.9204680919647217,0.245,-0.108,-0.958,0.995
0.9321541786193848,0.262,-0.078,-0.854,0.897
0.9434652328491211,0.257,-0.13,-0.681,0.739
0.9515161514282227,0.246,-0.209,-0.546,0.634
0.9613189697265625,0.219,-0.313,-0.669,0.77
0.9711840152740479,0.179,-0.338,-0.875,0.955
0.9962069988250732,-0.104,-0.34,-1.147,1.201
0.9969420433044434,-0.104,-0.34,-1.147,1.201
1.00052809715271,-0.114,-0.32,-1.099,1.15
1.0111231803894043,-0.009,-0.294,-0.968,1.012
1.0207180976867676,0.211,-0.298,-0.816,0.894
1.03092622756958,0.437,-0.323,-0.721,0.903
1.0408060550689697,0.546,-0.32,-0.615,0.882
1.0507850646972656,0.562,-0.308,-0.495,0.81
1.0605790615081787,0.513,-0.284,-0.4,0.71
1.070505142211914,0.282,-0.247,-0.569,0.681
1.098188877105713,-0.131,-0.155,-0.683,0.713
1.0986251831054688,-0.131,-0.155,-0.683,0.713
1.1016790866851807,-0.112,-0.136,-0.598,0.623
1.1102299690246582,-0.11,-0.137,-0.683,0.705
1.119852066040039,-0.122,-0.149,-0.699,0.725
1.130208969116211,-0.169,-0.189,-0.625,0.674
1.1460490226745605,-0.146,-0.194,-0.704,0.745
1.1501390933990479,-0.105,-0.206,-0.716,0.752
1.1597540378570557,-0.186,-0.289,-0.691,0.772
1.1722569465637207,-0.233,-0.328,-0.768,0.867
1.1988410949707031,-0.467,-0.326,-0.841,1.016
1.2000131607055664,-0.467,-0.326,-0.841,1.016
1.2020471096038818,-0.467,-0.326,-0.841,1.016
1.2097201347351074,-0.512,-0.285,-0.841,1.025
1.2198519706726074,-0.57,-0.271,-0.813,1.029
1.2293691635131836,-0.641,-0.325,-0.811,1.084
1.2399070262908936,-0.71,-0.413,-0.879,1.203
1.2488179206848145,-0.798,-0.483,-0.94,1.324
1.2594330310821533,-0.884,-0.526,-0.975,1.417
1.2695279121398926,-0.937,-0.558,-0.946,1.444
1.2953710556030273,-1.004,-0.556,-0.861,1.435
1.2957849502563477,-1.004,-0.556,-0.861,1.435
1.2993049621582031,-0.98,-0.576,-0.801,1.391
1.3090410232543945,-0.972,-0.631,-0.738,1.374
1.3187050819396973,-0.984,-0.676,-0.739,1.404
1.328944206237793,-1.001,-0.691,-0.76,1.434
1.3383080959320068,-1.023,-0.681,-0.765,1.448
1.3485689163208008,-1.009,-0.677,-0.779,1.443
1.3588650226593018,-1.029,-0.691,-0.791,1.47
1.3686342239379883,-1.032,-0.704,-0.746,1.455
1.3978371620178223,-1.019,-0.668,-0.53,1.329
1.3987441062927246,-1.019,-0.668,-0.53,1.329
1.400197982788086,-1.019,-0.668,-0.53,1.329
1.4074549674987793,-0.999,-0.674,-0.436,1.282
1.4189019203186035,-0.989,-0.705,-0.406,1.281
1.4287550449371338,-1.017,-0.73,-0.404,1.315
1.4390640258789062,-1.06,-0.752,-0.456,1.377
1.4488558769226074,-1.064,-0.737,-0.381,1.349
1.4578850269317627,-1.098,-0.732,-0.356,1.367
1.4680240154266357,-1.077,-0.73,-0.302,1.336
1.495974063873291,-0.938,-0.709,-0.185,1.19
1.4968981742858887,-0.881,-0.706,-0.231,1.152
1.5003609657287598,-0.881,-0.706,-0.231,1.152
1.5079920291900635,-0.81,-0.684,-0.243,1.088
1.5179600715637207,-0.781,-0.622,-0.264,1.033
1.527420997619629,-0.776,-0.532,-0.295,0.986
1.536816120147705,-0.772,-0.462,-0.331,0.959
1.5478320121765137,-0.781,-0.404,-0.352,0.947
1.5577621459960938,-0.785,-0.322,-0.344,0.916
1.5680310726165771,-0.789,-0.237,-0.341,0.892
1.5943410396575928,-0.687,-0.169,-0.296,0.767
1.5944929122924805,-0.687,-0.169,-0.296,0.767
1.5955181121826172,-0.644,-0.081,-0.357,0.741
1.6074180603027344,-0.649,-0.043,-0.151,0.668
1.6165590286254883,-0.63,-0.118,0.009,0.641
1.627021074295044,-0.631,-0.174,0.004,0.655
1.6371941566467285,-0.66,-0.155,-0.036,0.679
1.64693021774292,-0.71,-0.184,0.002,0.733
1.6568989753723145,-0.741,-0.231,-0.033,0.777
1.6666080951690674,-0.753,-0.294,-0.022,0.809
1.696207046508789,-0.81,-0.552,0.009,0.98
1.6974821090698242,-0.81,-0.552,0.009,0.98
1.6996400356292725,-0.81,-0.552,0.009,0.98
1.7053132057189941,-0.894,-0.501,-0.07,1.027
1.7164931297302246,-0.992,-0.55,-0.131,1.142
1.7265839576721191,-1.124,-0.582,-0.298,1.3
1.736748218536377,-1.218,-0.629,-0.371,1.42
1.7468500137329102,-1.306,-0.552,-0.381,1.468
1.7562599182128906,-1.303,-0.612,-0.304,1.471
1.766219139099121,-1.185,-0.797,-0.153,1.436
1.7938010692596436,-1.217,-0.535,-0.192,1.343
1.7939410209655762,-1.217,-0.535,-0.192,1.343
1.7949540615081787,-1.237,-0.247,-0.217,1.28
1.8060579299926758,-1.126,-0.378,0.03,1.188
1.8147311210632324,-1.032,-0.419,-0.191,1.13
1.825857162475586,-1.021,-0.256,-0.118,1.059
1.8349041938781738,-1.05,-0.16,-0.144,1.072
