time,gFx,gFy,gFz,gFTotal
0.008032083511352539,-0.021,-0.262,-0.908,0.945
0.020037174224853516,-0.004,-0.257,-0.933,0.968
0.02454090118408203,-0.013,-0.283,-0.993,1.033
0.03458809852600098,-0.03,-0.31,-1.003,1.05
0.04610705375671387,-0.018,-0.289,-0.959,1.002
0.056305885314941406,-0.016,-0.278,-0.917,0.958
0.06599807739257812,-0.028,-0.271,-0.934,0.973
0.07587504386901855,-0.034,-0.259,-0.94,0.976
0.08591794967651367,-0.03,-0.252,-0.911,0.946
0.09582901000976562,-0.041,-0.264,-0.915,0.953
0.1059122085571289,-0.052,-0.271,-0.901,0.942
0.13262009620666504,-0.128,-0.268,-0.85,0.9
0.13275909423828125,-0.128,-0.268,-0.85,0.9
0.1336960792541504,-0.128,-0.259,-0.827,0.876
0.14545917510986328,-0.087,-0.248,-0.827,0.868
0.15552997589111328,-0.105,-0.267,-0.849,0.896
0.16534900665283203,-0.111,-0.279,-0.88,0.93
0.17543506622314453,-0.111,-0.268,-0.92,0.965
0.18484210968017578,-0.089,-0.243,-0.961,0.995
0.1950681209564209,-0.054,-0.224,-0.946,0.974
0.20487499237060547,-0.007,-0.211,-0.895,0.92
0.23145008087158203,0.095,-0.258,-0.964,1.002
0.23204803466796875,0.095,-0.258,-0.964,1.002
0.23650121688842773,0.104,-0.28,-1.023,1.066
0.24452900886535645,0.095,-0.279,-1.051,1.092
0.2544112205505371,0.094,-0.273,-1.049,1.088
0.2640950679779053,0.1,-0.282,-1.044,1.086
0.27432823181152344,0.11,-0.329,-0.998,1.057
0.2845571041107178,0.119,-0.413,-0.936,1.03
0.29470205307006836,0.137,-0.463,-0.931,1.049
0.30435800552368164,0.141,-0.434,-0.943,1.048
0.3305392265319824,0.032,-0.399,-0.864,0.952
0.3308548927307129,0.032,-0.399,-0.864,0.952
0.33323097229003906,-0.04,-0.417,-0.778,0.884
0.3424680233001709,-0.094,-0.469,-0.969,1.081
0.35375022888183594,-0.088,-0.496,-1.026,1.143
0.3637700080871582,-0.031,-0.499,-1.044,1.158
0.3740050792694092,-0.024,-0.468,-1.023,1.125
0.38384008407592773,-0.009,-0.428,-0.947,1.039
0.39366602897644043,0.017,-0.452,-0.923,1.028
0.4034841060638428,0.07,-0.532,-0.954,1.095
0.4290790557861328,-0.026,-0.485,-0.919,1.039
0.42952394485473633,-0.026,-0.485,-0.919,1.039
0.43356990814208984,-0.101,-0.37,-0.933,1.009
0.4434080123901367,-0.15,-0.313,-0.839,0.908
0.45325207710266113,-0.171,-0.296,-0.787,0.858
0.46322107315063477,-0.208,-0.325,-0.762,0.854
0.47324609756469727,-0.217,-0.358,-0.801,0.904
