time,gFx,gFy,gFz,gFTotal
0.003365039825439453,0.007,-0.493,-0.912,1.037
0.008445024490356445,-0.006,-0.486,-0.9,1.023
0.019866943359375,-0.008,-0.481,-0.885,1.007
0.029694080352783203,-0.01,-0.485,-0.863,0.99
0.03949999809265137,-0.018,-0.488,-0.855,0.985
0.049404144287109375,-0.017,-0.485,-0.866,0.993
0.07516598701477051,0.002,-0.489,-0.897,1.022
0.07576704025268555,0.002,-0.489,-0.897,1.022
0.07773685455322266,0.008,-0.491,-0.904,1.029
0.08797788619995117,0.01,-0.493,-0.894,1.021
0.09935402870178223,0.01,-0.495,-0.875,1.005
0.10946989059448242,0.002,-0.496,-0.856,0.989
0.11914801597595215,-0.005,-0.496,-0.841,0.976
0.12927484512329102,-0.004,-0.498,-0.83,0.968
0.13884997367858887,-0.001,-0.497,-0.826,0.964
0.14906883239746094,0.001,-0.495,-0.835,0.971
0.17490601539611816,-0.004,-0.5,-0.859,0.994
0.1754159927368164,-0.004,-0.5,-0.859,0.994
0.17960214614868164,-0.001,-0.504,-0.863,0.999
0.18730592727661133,0.004,-0.5,-0.858,0.993
0.1983780860900879,0.001,-0.493,-0.854,0.986
0.20851898193359375,-0.01,-0.493,-0.86,0.991
0.21845388412475586,-0.018,-0.503,-0.865,1.001
0.22856497764587402,-0.019,-0.502,-0.867,1.002
0.2381911277770996,-0.014,-0.496,-0.872,1.003
0.24849295616149902,-0.006,-0.495,-0.882,1.011
0.27504587173461914,-0.004,-0.497,-0.904,1.032
0.27556610107421875,-0.004,-0.497,-0.904,1.032
0.27954602241516113,-0.01,-0.493,-0.905,1.031
0.28792810440063477,-0.012,-0.493,-0.897,1.024
0.2979550361633301,-0.013,-0.494,-0.891,1.019
0.3079240322113037,-0.015,-0.491,-0.888,1.015
0.3179478645324707,-0.016,-0.486,-0.892,1.016
0.3275279998779297,-0.015,-0.481,-0.9,1.021
0.3375668525695801,-0.01,-0.48,-0.903,1.023
0.347790002822876,-0.009,-0.479,-0.897,1.017
0.37394094467163086,-0.011,-0.478,-0.885,1.006
0.3746781349182129,-0.011,-0.478,-0.885,1.006
0.3785359859466553,-0.012,-0.482,-0.888,1.01
0.38741111755371094,-0.015,-0.482,-0.882,1.005
0.39740896224975586,-0.014,-0.482,-0.878,1.002
0.4069550037384033,-0.014,-0.485,-0.883,1.008
0.4173870086669922,-0.019,-0.488,-0.877,1.004
0.42702484130859375,-0.026,-0.49,-0.861,0.991
0.4367971420288086,-0.037,-0.49,-0.84,0.973
0.4470658302307129,-0.048,-0.49,-0.829,0.964
0.47388792037963867,-0.049,-0.495,-0.846,0.981
0.4745349884033203,-0.049,-0.495,-0.846,0.981
0.4783658981323242,-0.054,-0.497,-0.844,0.981
0.4868659973144531,-0.06,-0.495,-0.828,0.967
0.4967939853668213,-0.062,-0.488,-0.817,0.954
0.5068550109863281,-0.061,-0.481,-0.824,0.956
0.5163710117340088,-0.07,-0.414,-0.885,0.98
0.5262389183044434,-0.077,-0.436,-0.899,1.002
0.5358180999755859,-0.06,-0.526,-0.815,0.972
0.5465669631958008,-0.04,-0.509,-0.778,0.931
0.5747151374816895,-0.081,-0.496,-0.692,0.855
0.5763411521911621,-0.106,-0.489,-0.7,0.86
0.5791821479797363,-0.106,-0.489,-0.7,0.86
0.5859980583190918,-0.123,-0.463,-0.761,0.899
0.5962910652160645,-0.131,-0.443,-0.776,0.903
0.6057510375976562,-0.144,-0.447,-0.713,0.854
0.6160478591918945,-0.183,-0.44,-0.679,0.83
0.6261539459228516,-0.226,-0.413,-0.621,0.779
0.6357409954071045,-0.277,-0.381,-0.558,0.73
0.6460518836975098,-0.364,-0.347,-0.497,0.707
0.6743459701538086,0.328,-0.382,-1.421,1.508
0.6758589744567871,0.328,-0.382,-1.421,1.508
0.678441047668457,0.328,-0.382,-1.421,1.508
0.6857180595397949,0.159,-0.511,-1.289,1.396
0.6953010559082031,0.016,-0.605,-0.901,1.085
0.7050859928131104,0.037,-0.692,-0.865,1.108
0.7157001495361328,0.275,-0.764,-0.513,0.96
0.7253949642181396,0.442,-0.546,-0.389,0.803
0.7353038787841797,0.225,-0.386,-0.795,0.912
0.7450449466705322,0.116,-0.246,-1.071,1.105
0.770427942276001,-0.356,-0.367,-1.09,1.204
0.7707738876342773,-0.356,-0.367,-1.09,1.204
0.7735891342163086,-0.215,-0.286,-1.004,1.066
0.7849340438842773,-0.077,-0.216,-1.004,1.03
0.7946369647979736,0.032,-0.208,-1.079,1.099
0.8044769763946533,0.096,-0.225,-1.07,1.098
0.8148651123046875,0.066,-0.227,-0.971,0.999
0.8244979381561279,0.014,-0.258,-0.87,0.908
0.8344130516052246,-0.012,-0.314,-0.901,0.954
0.844426155090332,-0.04,-0.322,-1.211,1.254
0.870898962020874,-0.261,-0.266,-1.352,1.402
0.8713209629058838,-0.261,-0.266,-1.352,1.402
0.8751459121704102,-0.284,-0.301,-0.957,1.043
0.8841490745544434,-0.199,-0.317,-0.9,0.975
0.8938469886779785,-0.141,-0.311,-0.761,0.834
0.9038758277893066,-0.138,-0.327,-0.726,0.808
0.9141449928283691,-0.237,-0.437,-0.585,0.768
0.923771858215332,-0.057,-0.391,-0.533,0.663
0.9336991310119629,0.009,-0.562,-0.803,0.98
0.9436230659484863,0.097,-0.675,-0.968,1.184
0.9681239128112793,0.135,-0.498,-0.806,0.957
0.9685158729553223,0.135,-0.498,-0.806,0.957
0.9736318588256836,-0.104,-0.214,-1.026,1.053
0.9834761619567871,-0.141,-0.042,-1.216,1.225
0.9934811592102051,-0.236,-0.101,-0.972,1.005
1.0032260417938232,-0.204,-0.139,-0.807,0.844
1.0137879848480225,-0.114,-0.168,-0.844,0.868
1.023244857788086,-0.059,-0.169,-0.957,0.974
1.033376932144165,-0.011,-0.16,-1.068,1.08
1.0431561470031738,0.014,-0.191,-1.051,1.068
1.0678720474243164,0.023,-0.182,-0.826,0.846
1.0681979656219482,0.023,-0.182,-0.826,0.846
1.072962999343872,0.062,-0.129,-0.845,0.857
1.0832569599151611,0.049,-0.11,-0.767,0.776
1.092897891998291,0.011,-0.083,-0.973,0.977
1.1029949188232422,-0.022,-0.125,-1.063,1.071
1.1128790378570557,0.012,-0.192,-0.824,0.846
1.1226158142089844,0.052,-0.157,-0.92,0.935
1.1331448554992676,-0.004,-0.12,-0.93,0.938
1.142698049545288,0.01,-0.115,-1.009,1.016
1.1705751419067383,-0.014,-0.108,-1.151,1.156
1.1722240447998047,0.036,-0.113,-1.028,1.035
1.1754989624023438,0.036,-0.113,-1.028,1.035
1.1826260089874268,0.056,-0.106,-0.955,0.962
1.1924049854278564,0.077,-0.108,-0.957,0.966
1.2023749351501465,0.064,-0.11,-0.984,0.992
1.2123539447784424,0.102,-0.095,-0.916,0.927
1.2219150066375732,0.13,-0.082,-0.859,0.873
1.2326431274414062,0.168,-0.07,-0.795,0.816
1.2419240474700928,0.197,-0.086,-0.77,0.799
1.2685129642486572,0.209,-0.18,-0.755,0.804
1.2688789367675781,0.209,-0.18,-0.755,0.804
1.2711048126220703,0.206,-0.229,-0.795,0.853
1.2818219661712646,0.048,-0.114,-0.883,0.892
1.2919249534606934,-0.071,0.024,-0.879,0.882
1.3017759323120117,-0.101,0.02,-0.856,0.862
1.3116841316223145,-0.155,-0.057,-0.935,0.949
1.321268081665039,-0.183,-0.099,-0.958,0.98
1.331261157989502,-0.192,-0.074,-0.92,0.943
1.3413548469543457,-0.227,-0.062,-0.922,0.952
1.3690991401672363,-0.359,-0.132,-0.897,0.975
1.3695321083068848,-0.398,-0.164,-0.882,0.981
1.372079849243164,-0.398,-0.164,-0.882,0.981
1.3797049522399902,-0.403,-0.174,-0.879,0.983
1.3910861015319824,-0.434,-0.188,-0.892,1.01
1.4008121490478516,-0.472,-0.2,-0.891,1.028
1.410830020904541,-0.523,-0.213,-0.881,1.046
1.420846939086914,-0.599,-0.219,-0.865,1.075
1.431023120880127,-0.662,-0.207,-0.868,1.111
1.4408140182495117,-0.705,-0.203,-0.872,1.14
1.4675979614257812,-0.745,-0.219,-0.899,1.188
1.4681611061096191,-0.745,-0.219,-0.899,1.188
1.471433162689209,-0.772,-0.221,-0.879,1.191
1.479114055633545,-0.799,-0.213,-0.841,1.179
1.4900951385498047,-0.828,-0.216,-0.828,1.191
1.4999239444732666,-0.871,-0.229,-0.828,1.223
1.5100040435791016,-0.919,-0.22,-0.801,1.239
1.5198278427124023,-0.962,-0.192,-0.757,1.239
1.530059814453125,-0.978,-0.172,-0.716,1.224
1.5398979187011719,-0.966,-0.169,-0.687,1.197
1.5677118301391602,-0.931,-0.181,-0.629,1.138
1.5689949989318848,-0.944,-0.198,-0.623,1.148
1.5709748268127441,-0.944,-0.198,-0.623,1.148
1.5782649517059326,-0.977,-0.207,-0.592,1.161
1.589630126953125,-1.027,-0.212,-0.545,1.182
1.5995368957519531,-1.093,-0.226,-0.517,1.23
1.6096911430358887,-1.161,-0.232,-0.491,1.282
1.6193628311157227,-1.205,-0.229,-0.472,1.314
1.6292271614074707,-1.203,-0.227,-0.479,1.315
1.6393489837646484,-1.175,-0.222,-0.505,1.298
1.6692149639129639,-1.083,-0.208,-0.446,1.19
1.6695308685302734,-1.083,-0.208,-0.446,1.19
1.6698119640350342,-1.083,-0.208,-0.446,1.19
1.6791410446166992,-1.07,-0.219,-0.417,1.169
1.6888539791107178,-1.08,-0.225,-0.414,1.178
1.6988680362701416,-1.065,-0.2,-0.266,1.116
1.7090480327606201,-1.075,-0.187,-0.266,1.123
1.7194240093231201,-1.062,-0.207,-0.27,1.115
1.728921890258789,-1.026,-0.224,-0.241,1.077
1.738487958908081,-1.008,-0.229,-0.239,1.061
1.7698619365692139,-1.041,-0.172,0.017,1.055
1.770226001739502,-1.041,-0.172,0.017,1.055
1.7705409526824951,-1.041,-0.172,0.017,1.055
1.7781858444213867,-1.084,-0.133,0.115,1.098
1.7882039546966553,-1.134,-0.084,0.199,1.154
1.79840087890625,-1.144,-0.053,0.188,1.161
1.8081560134887695,-1.104,-0.064,0.135,1.114
1.8178410530090332,-1.054,-0.096,0.091,1.062
1.8281619548797607,-1.012,-0.118,0.055,1.02
1.8378548622131348,-0.956,-0.139,-0.004,0.966
1.8665461540222168,-0.898,-0.097,-0.042,0.904
1.8676409721374512,-0.898,-0.097,-0.042,0.904
1.8703420162200928,-0.898,-0.097,-0.042,0.904
1.877781867980957,-0.858,-0.091,-0.121,0.871
1.8877699375152588,-0.835,-0.071,-0.264,0.879
1.8977220058441162,-0.847,-0.037,-0.238,0.881
1.907109022140503,-0.896,-0.037,-0.29,0.942
1.9175028800964355,-0.908,-0.035,-0.316,0.962
1.927483081817627,-0.991,-0.031,-0.204,1.012
1.9372270107269287,-1.072,-0.038,-0.162,1.085
1.9655041694641113,-1.204,0.049,-0.021,1.205
1.9667079448699951,-1.204,0.049,-0.021,1.205
1.9696650505065918,-1.204,0.049,-0.021,1.205
1.977107048034668,-1.142,0.07,0.048,1.145
1.987070083618164,-1.137,0.073,0.039,1.14
1.996985912322998,-1.211,0.083,0.02,1.214
2.006592035293579,-1.256,0.047,-0.018,1.257
2.0166759490966797,-1.228,-0.009,-0.073,1.23
2.026796817779541,-1.132,-0.101,-0.099,1.141
2.0364770889282227,-0.991,-0.103,-0.069,0.999
2.0656750202178955,-1.109,-0.063,-0.193,1.127
2.0663859844207764,-1.109,-0.063,-0.193,1.127
2.069375991821289,-1.109,-0.063,-0.193,1.127
2.0761818885803223,-1.146,-0.038,-0.254,1.174
2.086477041244507,-1.246,0.056,-0.309,1.285
2.09647798538208,-1.283,0.145,-0.358,1.34
2.1060030460357666,-1.242,0.233,-0.267,1.292
2.1160011291503906,-1.194,0.31,-0.076,1.236
2.1265311241149902,-1.167,0.363,0.117,1.228
2.135956048965454,-1.047,0.483,0.232,1.176
2.1660070419311523,-0.979,0.676,0.035,1.19
2.166396141052246,-0.979,0.676,0.035,1.19
2.166743040084839,-0.979,0.676,0.035,1.19
2.1756629943847656,-0.942,0.695,-0.051,1.172
2.18585205078125,-0.948,0.697,-0.162,1.188
2.1955199241638184,-0.944,0.676,-0.3,1.199
2.205277919769287,-0.924,0.625,-0.392,1.182
2.2154288291931152,-0.934,0.578,-0.475,1.197
2.2254390716552734,-0.931,0.493,-0.511,1.171
2.2349469661712646,-0.931,0.417,-0.53,1.15
2.2639870643615723,-0.955,0.199,-0.505,1.098
2.265000820159912,-0.955,0.199,-0.505,1.098
2.267953872680664,-0.955,0.199,-0.505,1.098
2.274914026260376,-0.935,0.076,-0.335,0.996
2.2850518226623535,-0.972,0.044,-0.31,1.021
2.295219898223877,-0.935,-0.004,-0.579,1.1
2.3047969341278076,-0.906,-0.07,-0.778,1.196
2.314831018447876,-0.82,-0.239,-0.603,1.046
2.3249478340148926,-0.761,-0.395,-0.366,0.932
2.3346500396728516,-0.722,-0.495,-0.154,0.889
2.362027168273926,-0.652,-0.547,-0.276,0.895
2.362192153930664,-0.652,-0.547,-0.276,0.895
2.363062858581543,-0.612,-0.589,-0.222,0.878
2.3730549812316895,-0.621,-0.58,-0.193,0.871
2.3855738639831543,-0.638,-0.582,-0.163,0.879
2.394534111022949,-0.648,-0.605,-0.101,0.892
2.4041881561279297,-0.634,-0.576,-0.1,0.862
2.4142889976501465,-0.645,-0.509,-0.199,0.845
2.424306869506836,-0.68,-0.382,-0.317,0.842
2.4338431358337402,-0.715,-0.318,-0.453,0.904
2.464869976043701,-0.773,-0.191,-0.395,0.889
2.4652459621429443,-0.773,-0.191,-0.395,0.889
2.465607166290283,-0.773,-0.191,-0.395,0.889
2.4735820293426514,-0.745,-0.081,-0.109,0.757
2.483386993408203,-0.765,0.053,0.199,0.792
2.493746042251587,-0.77,0.342,0.351,0.913
2.503408908843994,-0.703,0.019,0.472,0.847
2.5132699012756348,-0.759,0.009,0.202,0.785
2.5233540534973145,-0.844,0.218,-0.216,0.898
2.533310890197754,-0.791,0.348,-0.31,0.918
2.561263084411621,-0.772,0.411,-0.515,1.015
2.561746120452881,-0.772,0.411,-0.515,1.015
2.5627899169921875,-0.772,0.411,-0.515,1.015
2.5730271339416504,-0.734,0.165,-0.477,0.891
2.583436965942383,-0.792,0.11,-0.529,0.959
2.5927491188049316,-0.997,0.436,-0.55,1.219
2.6030430793762207,-1.053,0.214,-0.534,1.2
2.61273193359375,-1.051,0.021,-0.482,1.156
2.6228079795837402,-1.075,0.14,-0.312,1.128
2.6327929496765137,-1.159,0.403,-0.044,1.228
2.66050386428833,-1.173,0.365,0.049,1.229
2.6609859466552734,-1.173,0.365,0.049,1.229
