time,gFx,gFy,gFz,gFTotal
0.004848003387451172,0.12,-0.358,-0.922,0.996
0.017093896865844727,0.111,-0.355,-0.919,0.991
0.017243146896362305,0.111,-0.355,-0.919,0.991
0.026055097579956055,0.118,-0.357,-0.924,0.998
0.0359799861907959,0.122,-0.365,-0.92,0.997
0.047447919845581055,0.124,-0.371,-0.916,0.996
0.05721306800842285,0.127,-0.376,-0.915,0.997
0.06706690788269043,0.129,-0.377,-0.912,0.995
0.07730698585510254,0.131,-0.377,-0.914,0.997
0.08717203140258789,0.133,-0.379,-0.919,1.003
0.10921120643615723,0.133,-0.379,-0.927,1.01
0.1093900203704834,0.133,-0.379,-0.927,1.01
0.11529397964477539,0.128,-0.376,-0.922,1.004
0.1269361972808838,0.123,-0.371,-0.912,0.992
0.13692593574523926,0.12,-0.369,-0.905,0.985
0.14647316932678223,0.12,-0.371,-0.903,0.984
0.15636897087097168,0.12,-0.378,-0.9,0.984
0.16669702529907227,0.121,-0.382,-0.901,0.986
0.17705893516540527,0.123,-0.381,-0.905,0.99
0.18657803535461426,0.124,-0.376,-0.907,0.99
0.21163392066955566,0.124,-0.37,-0.909,0.989
0.21177101135253906,0.124,-0.37,-0.909,0.989
0.21453213691711426,0.122,-0.37,-0.916,0.995
0.2270040512084961,0.124,-0.371,-0.927,1.006
0.2359769344329834,0.129,-0.372,-0.938,1.017
0.24616003036499023,0.132,-0.377,-0.946,1.027
0.25644612312316895,0.134,-0.38,-0.947,1.029
0.2659480571746826,0.133,-0.381,-0.945,1.028
0.27617502212524414,0.131,-0.379,-0.946,1.027
0.285952091217041,0.126,-0.374,-0.947,1.026
0.3126208782196045,0.12,-0.371,-0.942,1.02
0.3129100799560547,0.12,-0.371,-0.942,1.02
0.3143320083618164,0.12,-0.373,-0.932,1.011
0.32585692405700684,0.121,-0.374,-0.917,0.998
0.33538317680358887,0.124,-0.377,-0.909,0.992
0.3454091548919678,0.125,-0.381,-0.906,0.991
0.35552406311035156,0.124,-0.382,-0.902,0.987
0.3650510311126709,0.126,-0.382,-0.9,0.986
0.3752319812774658,0.127,-0.382,-0.896,0.982
0.38480114936828613,0.127,-0.382,-0.893,0.98
0.4113190174102783,0.123,-0.377,-0.89,0.974
0.4115290641784668,0.123,-0.377,-0.89,0.974
0.41355109214782715,0.122,-0.374,-0.891,0.974
0.42517590522766113,0.124,-0.374,-0.905,0.987
0.43482518196105957,0.127,-0.372,-0.919,1.0
0.44483208656311035,0.128,-0.372,-0.924,1.004
0.45526719093322754,0.127,-0.374,-0.925,1.006
0.4651210308074951,0.125,-0.377,-0.926,1.008
0.4747610092163086,0.122,-0.378,-0.922,1.004
0.48496413230895996,0.124,-0.382,-0.923,1.007
0.511160135269165,0.125,-0.398,-0.924,1.014
0.5115480422973633,0.125,-0.398,-0.924,1.014
0.5151450634002686,0.121,-0.399,-0.915,1.006
0.5243639945983887,0.118,-0.402,-0.918,1.009
0.5341100692749023,0.12,-0.401,-0.878,0.973
0.543903112411499,0.113,-0.39,-0.837,0.93
0.5544509887695312,0.105,-0.348,-0.834,0.91
0.5637919902801514,0.076,-0.271,-0.899,0.942
0.5737011432647705,0.07,-0.296,-0.964,1.011
0.5836441516876221,0.08,-0.285,-0.999,1.042
0.6073911190032959,0.04,-0.288,-1.026,1.066
0.6077139377593994,0.04,-0.288,-1.026,1.066
0.6132528781890869,-0.05,-0.335,-1.191,1.238
0.6233251094818115,-0.05,-0.386,-1.135,1.2
