time,gFx,gFy,gFz,gFTotal
0.008608818054199219,-0.005,-0.269,-0.974,1.01
0.011036872863769531,-0.002,-0.275,-0.942,0.981
0.022644996643066406,0.006,-0.279,-0.935,0.976
0.03260087966918945,0.017,-0.28,-0.969,1.009
0.04249000549316406,0.021,-0.283,-0.992,1.032
0.0631418228149414,-0.001,-0.287,-0.987,1.028
0.06328988075256348,-0.001,-0.287,-0.987,1.028
0.07075381278991699,-0.022,-0.291,-0.986,1.028
0.08072996139526367,-0.049,-0.295,-0.972,1.017
0.0926218032836914,-0.058,-0.29,-0.956,1.001
0.10250997543334961,-0.064,-0.285,-0.946,0.99
0.11237382888793945,-0.058,-0.278,-0.93,0.972
0.12198877334594727,-0.048,-0.28,-0.923,0.966
0.13199996948242188,-0.02,-0.279,-0.925,0.966
0.1421799659729004,0.031,-0.25,-0.94,0.973
0.16997885704040527,-0.023,-0.241,-0.962,0.992
0.1702258586883545,-0.023,-0.241,-0.962,0.992
0.1708698272705078,-0.023,-0.241,-0.962,0.992
0.18028593063354492,-0.041,-0.259,-0.94,0.976
0.1920456886291504,-0.044,-0.273,-0.959,0.998
0.20149469375610352,-0.047,-0.277,-0.964,1.004
0.21172666549682617,-0.034,-0.288,-0.963,1.006
0.22159194946289062,-0.021,-0.275,-0.959,0.998
0.2315068244934082,-0.011,-0.261,-0.942,0.978
0.24163198471069336,-0.015,-0.263,-0.917,0.954
0.2646358013153076,-0.052,-0.232,-0.94,0.97
0.26479578018188477,-0.052,-0.232,-0.94,0.97
0.2695198059082031,-0.062,-0.22,-0.964,0.991
0.2808828353881836,-0.064,-0.25,-0.955,0.989
0.29041576385498047,-0.07,-0.283,-0.937,0.981
0.30068397521972656,-0.073,-0.294,-0.921,0.97
0.3102297782897949,-0.09,-0.318,-0.919,0.977
0.3219168186187744,-0.11,-0.365,-0.918,0.994
0.33050084114074707,-0.1,-0.414,-0.884,0.981
0.3406686782836914,-0.061,-0.464,-0.839,0.961
0.3653678894042969,0.069,-0.524,-0.868,1.016
0.3657107353210449,0.069,-0.524,-0.868,1.016
0.37001800537109375,0.08,-0.51,-0.92,1.055
0.3802778720855713,0.05,-0.488,-0.986,1.101
0.3902716636657715,0.01,-0.478,-1.021,1.127
0.4000108242034912,-0.004,-0.423,-1.014,1.099
0.4096338748931885,-0.002,-0.381,-1.01,1.079
0.41982388496398926,0.005,-0.353,-1.004,1.064
0.4296717643737793,0.006,-0.342,-0.97,1.029
0.43961572647094727,-0.004,-0.349,-0.879,0.946
0.4649996757507324,-0.011,-0.404,-0.877,0.966
0.4655146598815918,-0.011,-0.404,-0.877,0.966
0.4696927070617676,-0.034,-0.435,-0.857,0.962
0.47954273223876953,-0.046,-0.463,-0.941,1.05
0.48943185806274414,-0.097,-0.499,-1.021,1.141
0.4994668960571289,-0.258,-0.57,-1.096,1.262
0.5096848011016846,-0.341,-0.523,-1.135,1.295
0.5198328495025635,-0.294,-0.493,-1.073,1.217
