time,gFx,gFy,gFz,gFTotal
0.003885030746459961,0.113,-0.348,-0.928,0.998
0.02257084846496582,0.097,-0.339,-0.908,0.974
0.02271580696105957,0.097,-0.339,-0.908,0.974
0.029694795608520508,0.092,-0.338,-0.917,0.982
0.04112887382507324,0.092,-0.333,-0.926,0.988
0.05112910270690918,0.094,-0.325,-0.935,0.994
0.06119799613952637,0.099,-0.323,-0.944,1.003
0.0712430477142334,0.102,-0.329,-0.947,1.008
0.08098387718200684,0.104,-0.336,-0.946,1.009
0.09084010124206543,0.105,-0.34,-0.937,1.002
0.1007230281829834,0.103,-0.342,-0.92,0.987
0.12481999397277832,0.103,-0.341,-0.885,0.954
0.12496399879455566,0.103,-0.341,-0.885,0.954
0.12900900840759277,0.105,-0.338,-0.879,0.948
0.14004993438720703,0.105,-0.332,-0.872,0.939
0.15054106712341309,0.104,-0.323,-0.873,0.937
0.16041302680969238,0.1,-0.314,-0.891,0.95
0.17063403129577637,0.101,-0.313,-0.912,0.969
0.18010902404785156,0.1,-0.311,-0.924,0.98
0.19060993194580078,0.101,-0.305,-0.944,0.997
0.20015406608581543,0.104,-0.289,-0.968,1.016
0.22635102272033691,0.102,-0.267,-1.011,1.051
0.22657084465026855,0.102,-0.267,-1.011,1.051
0.22835898399353027,0.094,-0.271,-1.018,1.058
0.23825693130493164,0.09,-0.282,-1.011,1.053
0.24988579750061035,0.085,-0.299,-0.996,1.043
0.2597520351409912,0.088,-0.315,-0.985,1.038
0.26984286308288574,0.097,-0.325,-0.976,1.033
0.2795689105987549,0.105,-0.334,-0.968,1.029
0.2904369831085205,0.112,-0.34,-0.964,1.028
0.29930806159973145,0.118,-0.34,-0.963,1.028
0.3272068500518799,0.125,-0.332,-0.959,1.023
0.32776379585266113,0.126,-0.329,-0.951,1.014
0.3295128345489502,0.126,-0.329,-0.951,1.014
0.33778882026672363,0.128,-0.327,-0.944,1.007
0.3491709232330322,0.129,-0.325,-0.939,1.002
0.35892415046691895,0.13,-0.318,-0.937,0.998
0.368884801864624,0.134,-0.308,-0.944,1.002
0.379349946975708,0.138,-0.303,-0.949,1.006
0.3893311023712158,0.14,-0.302,-0.945,1.002
0.3989739418029785,0.138,-0.301,-0.938,0.995
0.4262220859527588,0.13,-0.3,-0.929,0.985
0.4263761043548584,0.13,-0.3,-0.929,0.985
0.42722105979919434,0.122,-0.3,-0.922,0.977
0.4372379779815674,0.127,-0.29,-0.945,0.997
0.4491100311279297,0.165,-0.278,-1.02,1.07
0.45873188972473145,0.132,-0.288,-0.963,1.014
0.4684760570526123,0.103,-0.281,-0.928,0.975
0.4780690670013428,0.095,-0.277,-0.935,0.98
0.4885571002960205,0.059,-0.301,-0.951,0.999
0.4983808994293213,0.053,-0.32,-0.934,0.989
0.5274100303649902,0.052,-0.319,-0.837,0.897
0.5276379585266113,0.052,-0.319,-0.837,0.897
0.5283610820770264,0.052,-0.319,-0.837,0.897
0.5381548404693604,0.03,-0.304,-0.816,0.871
0.5481278896331787,0.029,-0.29,-0.789,0.841
0.5576059818267822,0.042,-0.295,-0.784,0.839
0.5676119327545166,0.035,-0.312,-0.83,0.887
0.5774939060211182,0.029,-0.344,-0.816,0.886
0.5878629684448242,0.004,-0.366,-0.804,0.883
0.5974509716033936,-0.071,-0.395,-0.955,1.036
0.6231868267059326,0.106,-0.278,-0.965,1.01
0.6236040592193604,0.106,-0.278,-0.965,1.01
0.6275730133056641,0.168,-0.172,-1.067,1.094
0.6357669830322266,0.16,-0.182,-1.012,1.041
0.6469810009002686,0.083,-0.253,-0.829,0.871
0.6571938991546631,0.046,-0.244,-0.696,0.739
0.6669948101043701,0.063,-0.21,-0.791,0.821
0.6770269870758057,0.115,-0.196,-0.977,1.003
0.6864359378814697,0.148,-0.161,-1.047,1.07
0.6963508129119873,0.156,-0.127,-1.015,1.035
0.7197110652923584,0.156,-0.091,-0.924,0.941
0.7204999923706055,0.156,-0.091,-0.924,0.941
0.7274529933929443,0.155,-0.085,-0.882,0.9
0.7358758449554443,0.172,-0.113,-0.935,0.957
0.7462589740753174,0.217,-0.164,-1.057,1.091
0.7563941478729248,0.262,-0.201,-1.108,1.156
0.7660999298095703,0.294,-0.223,-1.059,1.121
0.7757689952850342,0.324,-0.244,-1.015,1.093
0.7861249446868896,0.317,-0.251,-1.037,1.113
0.7961440086364746,0.349,-0.252,-1.01,1.098
0.8194270133972168,0.445,-0.319,-1.049,1.183
0.8197529315948486,0.445,-0.319,-1.049,1.183
0.825469970703125,0.424,-0.311,-1.058,1.181
0.8357789516448975,0.367,-0.253,-1.132,1.217
0.8459219932556152,0.3,-0.127,-1.149,1.194
0.8556289672851562,0.249,-0.055,-1.114,1.143
0.8655819892883301,0.218,-0.044,-1.082,1.105
0.8753299713134766,0.204,-0.077,-0.971,0.995
0.8852930068969727,0.188,-0.123,-0.777,0.809
0.8960278034210205,0.213,-0.109,-0.522,0.574
0.927880048751831,0.035,-0.24,-1.032,1.06
0.9286220073699951,0.035,-0.24,-1.032,1.06
0.929224967956543,0.035,-0.24,-1.032,1.06
0.9350969791412354,0.018,-0.209,-1.011,1.033
0.9461009502410889,0.002,-0.173,-0.944,0.96
0.9556679725646973,0.004,-0.169,-0.852,0.869
0.9653761386871338,0.006,-0.201,-0.838,0.862
0.9752538204193115,0.036,-0.205,-0.878,0.902
0.9851968288421631,0.083,-0.176,-0.913,0.934
0.9950778484344482,0.013,-0.264,-0.757,0.802
1.0253429412841797,0.205,-0.112,-0.96,0.988
1.0255811214447021,0.205,-0.112,-0.96,0.988
1.0257840156555176,0.205,-0.112,-0.96,0.988
1.0331199169158936,0.181,-0.074,-0.989,1.008
1.0450780391693115,0.124,-0.137,-0.888,0.907
1.0549919605255127,0.012,-0.202,-0.789,0.815
1.0645649433135986,-0.138,-0.093,-0.729,0.748
1.0746381282806396,-0.141,-0.031,-1.231,1.239
1.0842621326446533,-0.367,-0.156,-0.909,0.993
1.0945439338684082,-0.347,-0.152,-0.931,1.005
1.1253600120544434,0.075,-0.106,-0.89,0.899
1.1256699562072754,0.075,-0.106,-0.89,0.899
1.1259589195251465,0.075,-0.106,-0.89,0.899
1.1322638988494873,0.281,-0.124,-0.703,0.767
1.144057035446167,0.428,-0.156,-0.494,0.672
1.1544101238250732,0.491,-0.224,-0.27,0.603
1.1636829376220703,0.267,-0.228,-0.472,0.588
1.1738719940185547,-0.123,-0.084,-0.84,0.853
1.1829919815063477,-0.165,-0.048,-0.52,0.548
1.194011926651001,-0.097,-0.083,-0.319,0.344
1.2238240242004395,-0.139,-0.029,-0.469,0.49
1.2239749431610107,-0.139,-0.029,-0.469,0.49
1.2241089344024658,-0.139,-0.029,-0.469,0.49
1.2319350242614746,-0.125,-0.045,-0.454,0.473
1.2436559200286865,-0.151,-0.088,-0.451,0.484
1.253472089767456,-0.211,-0.108,-0.39,0.456
1.263538122177124,-0.277,-0.082,-0.314,0.427
1.2731878757476807,-0.387,-0.016,-0.263,0.468
1.2830979824066162,-0.496,0.044,-0.234,0.55
1.2929530143737793,-0.577,0.084,-0.241,0.631
1.3188531398773193,-0.718,0.089,-0.304,0.785
1.3190069198608398,-0.718,0.089,-0.304,0.785
1.3215899467468262,-0.791,0.008,-0.342,0.862
1.332744836807251,-0.886,-0.099,-0.325,0.949
1.3429200649261475,-1.01,-0.208,-0.294,1.072
1.3524420261383057,-1.144,-0.277,-0.209,1.195
1.3623669147491455,-1.309,-0.264,-0.128,1.341
1.3726561069488525,-1.478,-0.237,-0.136,1.503
1.3824360370635986,-1.56,-0.184,-0.186,1.582
1.3924400806427002,-1.576,-0.22,-0.251,1.611
1.4195477962493896,-1.509,-0.268,-0.297,1.561
1.4197850227355957,-1.509,-0.268,-0.297,1.561
1.4209420680999756,-1.463,-0.253,-0.262,1.508
1.4304568767547607,-1.429,-0.304,-0.216,1.477
1.4419219493865967,-1.429,-0.414,-0.176,1.498
1.4519188404083252,-1.445,-0.47,-0.159,1.528
1.4618759155273438,-1.475,-0.394,-0.139,1.533
1.4726769924163818,-1.552,-0.376,-0.154,1.604
1.4815969467163086,-1.61,-0.462,-0.151,1.682
1.4918100833892822,-1.559,-0.473,-0.192,1.64
1.5219848155975342,-1.481,-0.446,-0.146,1.554
1.5233299732208252,-1.481,-0.446,-0.146,1.554
1.523967981338501,-1.481,-0.446,-0.146,1.554
1.5300018787384033,-1.461,-0.468,-0.077,1.536
1.541640043258667,-1.477,-0.53,-0.053,1.57
1.5512888431549072,-1.439,-0.417,-0.147,1.505
1.5613000392913818,-1.424,-0.426,-0.057,1.487
1.5711638927459717,-1.45,-0.438,-0.086,1.517
1.5855848789215088,-1.456,-0.419,-0.084,1.517
1.5910780429840088,-1.474,-0.384,-0.057,1.524
1.6167659759521484,-1.452,-0.293,-0.072,1.483
1.6168978214263916,-1.452,-0.293,-0.072,1.483
1.6190688610076904,-1.424,-0.236,-0.103,1.447
1.630854845046997,-1.414,-0.181,-0.164,1.435
1.6409990787506104,-1.381,-0.102,-0.158,1.394
1.6503880023956299,-1.351,-0.033,-0.159,1.361
1.6605479717254639,-1.311,0.005,-0.199,1.326
1.6705701351165771,-1.288,0.009,-0.242,1.311
1.6803779602050781,-1.246,-0.002,-0.223,1.266
1.6908338069915771,-1.213,0.024,-0.178,1.226
1.7214839458465576,-1.155,0.051,-0.36,1.211
1.7216989994049072,-1.155,0.051,-0.36,1.211
1.7219159603118896,-1.155,0.051,-0.36,1.211
1.728511095046997,-1.145,0.074,-0.396,1.214
1.740278959274292,-1.11,0.137,-0.447,1.204
1.7500460147857666,-1.073,0.2,-0.485,1.194
1.7602198123931885,-1.075,0.242,-0.485,1.204
1.7700397968292236,-1.061,0.279,-0.464,1.191
1.7796947956085205,-1.052,0.29,-0.458,1.183
1.790208101272583,-1.018,0.302,-0.558,1.2
1.8197219371795654,-0.88,0.289,-0.858,1.263
