time,gFx,gFy,gFz,gFTotal
0.0011219978332519531,0.031,-0.477,-1.028,1.134
0.0012688636779785156,0.031,-0.477,-1.028,1.134
0.0037178993225097656,0.032,-0.457,-1.144,1.232
0.013754844665527344,0.005,-0.45,-1.15,1.235
0.024732112884521484,-0.012,-0.463,-1.057,1.154
0.034716129302978516,-0.01,-0.479,-1.03,1.136
0.04510784149169922,0.007,-0.484,-1.024,1.133
0.055194854736328125,0.026,-0.487,-1.015,1.126
0.06488418579101562,0.025,-0.493,-1.006,1.121
0.07461404800415039,0.024,-0.499,-0.968,1.089
0.10400104522705078,0.11,-0.434,-1.066,1.156
0.10450196266174316,0.11,-0.434,-1.066,1.156
0.10576605796813965,0.11,-0.434,-1.066,1.156
0.11300802230834961,0.156,-0.433,-1.12,1.211
0.12467813491821289,0.153,-0.554,-1.06,1.206
0.13463592529296875,0.152,-0.596,-1.039,1.207
0.14390206336975098,0.174,-0.519,-1.0,1.14
0.15456295013427734,0.158,-0.426,-1.076,1.168
0.16374492645263672,0.081,-0.365,-1.148,1.207
0.17405319213867188,-0.012,-0.343,-1.163,1.213
0.20206308364868164,-0.177,-0.342,-0.708,0.806
0.20240306854248047,-0.177,-0.342,-0.708,0.806
0.20343494415283203,-0.177,-0.342,-0.708,0.806
0.21306419372558594,-0.147,-0.311,-0.644,0.73
0.2235720157623291,-0.107,-0.218,-0.815,0.85
0.23370695114135742,-0.07,-0.205,-0.98,1.004
0.24357199668884277,-0.026,-0.239,-0.947,0.977
0.25360798835754395,0.011,-0.252,-0.943,0.976
0.26334619522094727,0.127,-0.154,-1.046,1.065
0.27332592010498047,0.112,-0.157,-0.966,0.985
0.2991809844970703,-0.051,-0.288,-0.547,0.62
0.2996830940246582,-0.051,-0.288,-0.547,0.62
0.30305910110473633,-0.041,-0.294,-0.561,0.635
0.3118710517883301,-0.022,-0.305,-0.638,0.707
0.3231630325317383,-0.04,-0.304,-0.694,0.759
0.33320093154907227,-0.065,-0.311,-0.699,0.768
0.34349584579467773,-0.049,-0.324,-0.653,0.731
0.35292506217956543,-0.006,-0.34,-0.581,0.673
0.36319398880004883,0.032,-0.378,-0.489,0.619
0.37277984619140625,0.074,-0.409,-0.531,0.674
0.40293407440185547,0.145,-0.542,-0.631,0.844
0.4032459259033203,0.145,-0.542,-0.631,0.844
0.4035320281982422,0.145,-0.542,-0.631,0.844
0.4112050533294678,0.145,-0.498,-0.621,0.809
0.42268800735473633,0.01,-0.539,-0.561,0.778
