time,gFx,gFy,gFz,gFTotal
0.00560307502746582,-0.213,-0.245,-0.83,0.891
0.0157010555267334,-0.183,-0.221,-0.883,0.928
0.043313026428222656,-0.054,-0.209,-0.828,0.856
0.04376220703125,-0.054,-0.209,-0.828,0.856
0.04618024826049805,-0.023,-0.206,-0.826,0.852
0.0546422004699707,-0.015,-0.213,-0.82,0.847
0.06569719314575195,-0.016,-0.227,-0.782,0.814
0.07587814331054688,-0.027,-0.241,-0.74,0.779
0.08542609214782715,-0.014,-0.156,-0.626,0.645
0.09551715850830078,-0.038,-0.15,-0.563,0.584
0.10502409934997559,-0.039,-0.272,-0.621,0.679
0.11549997329711914,-0.073,-0.35,-0.692,0.779
0.14088821411132812,-0.115,-0.453,-0.704,0.845
0.14125919342041016,-0.115,-0.453,-0.704,0.845
0.14403200149536133,-0.104,-0.421,-0.696,0.82
0.15521621704101562,-0.097,-0.369,-0.711,0.807
0.16495704650878906,-0.114,-0.33,-0.725,0.805
0.17499017715454102,-0.154,-0.31,-0.697,0.778
0.18502211570739746,-0.216,-0.295,-0.68,0.772
0.1952071189880371,-0.263,-0.262,-0.657,0.755
0.20486211776733398,-0.315,-0.24,-0.652,0.763
0.2145531177520752,-0.35,-0.226,-0.652,0.774
0.23983502388000488,-0.239,-0.261,-0.689,0.775
0.24019098281860352,-0.239,-0.261,-0.689,0.775
0.2444000244140625,-0.16,-0.339,-0.776,0.862
0.25435495376586914,0.003,-0.451,-0.862,0.973
0.26427507400512695,0.14,-0.594,-0.942,1.122
0.27428412437438965,0.158,-0.676,-0.913,1.147
0.2843210697174072,0.146,-0.678,-0.79,1.051
0.2941620349884033,0.119,-0.676,-0.702,0.982
0.30412721633911133,0.094,-0.721,-0.677,0.993
0.3140230178833008,0.106,-0.82,-0.654,1.054
0.3402881622314453,0.05,-0.701,-0.835,1.091
0.3406791687011719,0.05,-0.701,-0.835,1.091
0.34357595443725586,-0.062,-0.422,-0.816,0.921
0.353687047958374,-0.18,-0.282,-0.713,0.788
0.3636770248413086,-0.268,-0.275,-0.77,0.86
0.37363719940185547,-0.303,-0.348,-0.833,0.952
0.38348913192749023,-0.269,-0.369,-0.799,0.92
0.39336109161376953,-0.238,-0.291,-0.783,0.869
0.4033670425415039,-0.233,-0.184,-0.729,0.787
0.41333508491516113,-0.219,-0.093,-0.646,0.688
0.43927621841430664,-0.196,-0.001,-0.549,0.583
0.43968725204467773,-0.196,-0.001,-0.549,0.583
0.4427032470703125,-0.195,0.038,-0.483,0.522
0.4530959129333496,-0.173,0.09,-0.406,0.45
0.46325111389160156,-0.181,0.161,-0.295,0.382
0.4727311134338379,-0.239,0.214,-0.191,0.373
0.4827871322631836,-0.317,0.257,-0.139,0.431
0.49274706840515137,-0.433,0.289,-0.104,0.531
0.5028319358825684,-0.605,0.32,-0.065,0.687
0.5130410194396973,-0.773,0.332,-0.052,0.843
0.5397350788116455,-1.033,0.216,0.01,1.055
0.5401029586791992,-1.033,0.216,0.01,1.055
0.5432381629943848,-1.128,0.093,0.108,1.137
0.5524911880493164,-1.18,-0.072,0.215,1.202
0.5627942085266113,-1.24,-0.189,0.369,1.307
0.5721731185913086,-1.318,-0.252,0.523,1.44
0.5819649696350098,-1.37,-0.292,0.638,1.539
0.5923171043395996,-1.402,-0.319,0.65,1.578
0.6019649505615234,-1.443,-0.342,0.589,1.596
0.6120491027832031,-1.442,-0.357,0.514,1.572
0.6378631591796875,-1.46,-0.271,0.269,1.509
0.6382310390472412,-1.46,-0.271,0.269,1.509
0.641355037689209,-1.429,-0.276,0.065,1.457
0.6517491340637207,-1.43,-0.286,-0.136,1.465
0.6620280742645264,-1.47,-0.278,-0.319,1.53
0.6717190742492676,-1.527,-0.321,-0.5,1.639
0.6814451217651367,-1.531,-0.38,-0.648,1.705
0.691439151763916,-1.575,-0.435,-0.688,1.773
0.7016029357910156,-1.64,-0.469,-0.63,1.818
0.7115011215209961,-1.678,-0.53,-0.556,1.845
0.7370119094848633,-1.722,-0.549,-0.396,1.85
0.7374200820922852,-1.722,-0.549,-0.396,1.85
0.7407560348510742,-1.681,-0.568,-0.372,1.813
0.7511520385742188,-1.623,-0.542,-0.369,1.75
0.761235237121582,-1.547,-0.567,-0.397,1.695
0.7710051536560059,-1.52,-0.508,-0.479,1.673
0.781001091003418,-1.545,-0.434,-0.428,1.661
0.7906270027160645,-1.555,-0.385,-0.439,1.661
0.8008580207824707,-1.554,-0.309,-0.407,1.636
0.8106470108032227,-1.524,-0.205,-0.262,1.56
0.836571216583252,-1.38,-0.137,-0.044,1.387
0.8368921279907227,-1.38,-0.137,-0.044,1.387
0.8404569625854492,-1.286,-0.123,0.034,1.292
0.8511240482330322,-1.2,-0.069,0.132,1.209
0.8598651885986328,-1.143,0.03,0.304,1.183
0.8698370456695557,-1.089,0.097,0.26,1.124
0.8811869621276855,-1.007,0.075,0.179,1.026
0.8897011280059814,-0.94,0.068,0.149,0.954
0.9001069068908691,-0.924,0.102,0.096,0.935
0.9101390838623047,-0.916,0.144,0.07,0.93
0.9358329772949219,-0.987,0.062,0.057,0.991
0.9362201690673828,-0.987,0.062,0.057,0.991
0.9393970966339111,-1.02,0.07,0.029,1.023
0.9496631622314453,-1.054,0.058,0.001,1.056
0.959787130355835,-1.017,-0.051,-0.092,1.022
0.9697279930114746,-0.969,-0.123,-0.229,1.003
0.9800870418548584,-0.995,-0.204,-0.393,1.089
0.989408016204834,-0.994,-0.339,-1.154,1.56
0.9991512298583984,-1.252,-0.083,-0.255,1.28
1.0094819068908691,-1.387,0.419,-0.62,1.576
1.036001205444336,-1.008,0.016,-0.653,1.201
1.0363850593566895,-1.008,0.016,-0.653,1.201
1.0396709442138672,-0.84,-0.057,-0.25,0.878
1.0487651824951172,-0.803,0.002,0.094,0.808
1.0589160919189453,-0.813,0.011,0.127,0.823
1.0689260959625244,-0.812,-0.034,0.112,0.82
1.0791020393371582,-0.848,-0.081,0.062,0.854
1.088773250579834,-0.844,-0.072,0.054,0.849
1.0985510349273682,-0.841,0.026,-0.079,0.845
1.1086721420288086,-0.873,0.07,-0.254,0.912
1.1353800296783447,-0.984,0.092,-0.393,1.064
1.1357851028442383,-0.984,0.092,-0.393,1.064
1.1391429901123047,-0.944,0.117,-0.447,1.051
1.1486051082611084,-0.848,0.166,-0.397,0.951
1.1582789421081543,-0.736,0.2,-0.316,0.826
1.1683180332183838,-0.64,0.123,-0.214,0.686
1.1786160469055176,-0.57,0.093,-0.04,0.579
1.1881780624389648,-0.507,0.097,0.081,0.523
1.1976900100708008,-0.428,0.048,0.107,0.444
1.2079150676727295,-0.373,0.049,0.01,0.376
1.2348310947418213,-0.436,0.174,-0.03,0.47
1.2352309226989746,-0.436,0.174,-0.03,0.47
1.238511085510254,-0.465,0.175,0.076,0.503
1.2477679252624512,-0.444,0.159,-0.045,0.474
1.257728099822998,-0.473,0.214,-0.242,0.573
1.2676491737365723,-0.442,0.194,-0.092,0.491
1.2777972221374512,-0.361,0.078,-0.283,0.465
1.2876241207122803,-0.444,0.338,-0.38,0.675
1.297424077987671,-0.587,0.584,-0.397,0.918
1.3073091506958008,-0.721,0.556,-0.486,1.032
1.3345661163330078,-0.761,0.661,-0.562,1.154
