time,gFx,gFy,gFz,gFTotal
0.0046541690826416016,-0.123,-0.716,-0.681,0.996
0.009979248046875,-0.135,-0.726,-0.698,1.016
0.020415067672729492,-0.131,-0.708,-0.7,1.004
0.05156111717224121,-0.127,-0.648,-0.705,0.966
0.05177927017211914,-0.127,-0.648,-0.705,0.966
0.05197310447692871,-0.127,-0.648,-0.705,0.966
0.060028076171875,-0.119,-0.645,-0.711,0.967
0.07019424438476562,-0.111,-0.644,-0.732,0.981
0.08066797256469727,-0.105,-0.641,-0.755,0.996
0.09053707122802734,-0.102,-0.63,-0.764,0.995
0.10119819641113281,-0.1,-0.615,-0.77,0.991
0.11058616638183594,-0.103,-0.597,-0.764,0.975
0.12075328826904297,-0.11,-0.576,-0.749,0.951
0.1512160301208496,-0.128,-0.589,-0.745,0.958
0.15143203735351562,-0.128,-0.589,-0.745,0.958
0.1516261100769043,-0.128,-0.589,-0.745,0.958
0.16048526763916016,-0.144,-0.602,-0.754,0.976
0.17069506645202637,-0.15,-0.606,-0.765,0.987
0.1826319694519043,-0.137,-0.614,-0.782,1.004
0.1909041404724121,-0.13,-0.591,-0.766,0.976
0.20086407661437988,-0.096,-0.563,-0.754,0.946
0.21072721481323242,-0.072,-0.58,-0.79,0.983
0.22106122970581055,-0.063,-0.614,-0.837,1.04
0.25269007682800293,0.014,-0.631,-0.853,1.061
0.2529749870300293,0.014,-0.631,-0.853,1.061
0.25322723388671875,0.014,-0.631,-0.853,1.061
0.2611401081085205,0.032,-0.601,-0.808,1.008
0.27143216133117676,0.031,-0.576,-0.756,0.951
0.28159213066101074,0.021,-0.563,-0.719,0.913
0.29144811630249023,0.017,-0.572,-0.705,0.908
0.301821231842041,0.026,-0.597,-0.708,0.926
0.3117241859436035,0.024,-0.622,-0.729,0.959
0.3224461078643799,0.006,-0.629,-0.743,0.974
0.35042810440063477,-0.039,-0.576,-0.703,0.91
0.35066699981689453,-0.039,-0.576,-0.703,0.91
0.3524510860443115,-0.058,-0.549,-0.671,0.869
0.3614461421966553,-0.077,-0.523,-0.642,0.832
0.37165117263793945,-0.091,-0.511,-0.638,0.822
0.3817939758300781,-0.101,-0.516,-0.658,0.842
0.3918290138244629,-0.111,-0.54,-0.693,0.886
0.40177011489868164,-0.12,-0.571,-0.732,0.936
0.4124910831451416,-0.113,-0.605,-0.767,0.983
0.42241525650024414,-0.092,-0.643,-0.796,1.027
0.4543490409851074,-0.037,-0.72,-0.845,1.111
0.4546341896057129,-0.037,-0.72,-0.845,1.111
0.45488810539245605,-0.037,-0.72,-0.845,1.111
0.4622960090637207,-0.042,-0.722,-0.869,1.131
0.4724612236022949,-0.062,-0.706,-0.885,1.134
0.4837169647216797,-0.082,-0.679,-0.9,1.13
0.49291229248046875,-0.081,-0.644,-0.912,1.119
0.5027732849121094,-0.052,-0.615,-0.907,1.097
0.5132789611816406,-0.026,-0.61,-0.898,1.086
0.522860050201416,-0.016,-0.612,-0.904,1.092
0.5540542602539062,-0.03,-0.623,-0.89,1.087
