time,gFx,gFy,gFz,gFTotal
0.006745815277099609,0.303,-0.176,-0.477,0.592
0.017554759979248047,0.379,-0.187,-0.518,0.669
0.050958871841430664,0.311,-0.362,-0.833,0.96
0.05123591423034668,0.311,-0.362,-0.833,0.96
0.0514829158782959,0.311,-0.362,-0.833,0.96
0.056944847106933594,0.346,-0.454,-0.836,1.012
0.06716108322143555,0.506,-0.396,-0.76,0.995
0.07716608047485352,0.286,-0.026,-0.751,0.804
0.08753299713134766,0.293,0.069,-0.763,0.82
0.0983438491821289,0.46,-0.301,-0.759,0.937
0.10748696327209473,0.227,-0.29,-0.813,0.893
0.11762595176696777,0.401,-0.375,-0.587,0.804
0.15106487274169922,0.027,-0.293,-0.763,0.818
0.15134477615356445,0.027,-0.293,-0.763,0.818
0.15160083770751953,0.027,-0.293,-0.763,0.818
0.1572728157043457,-0.062,-0.331,-0.782,0.851
0.16762495040893555,-0.147,-0.509,-0.848,1.0
0.1779460906982422,-0.136,-0.685,-0.963,1.19
0.18787384033203125,0.041,-0.721,-1.142,1.351
0.1985609531402588,0.185,-0.532,-1.147,1.278
0.20784497261047363,0.265,-0.299,-0.965,1.044
0.2180490493774414,0.343,-0.224,-0.791,0.891
0.24931788444519043,0.476,-0.142,-0.723,0.877
0.24959993362426758,0.476,-0.142,-0.723,0.877
0.24985194206237793,0.476,-0.142,-0.723,0.877
0.2579948902130127,0.377,-0.278,-0.787,0.916
0.2684168815612793,0.244,-0.47,-1.022,1.151
0.27829885482788086,0.084,-0.57,-1.197,1.328
0.28832006454467773,0.105,-0.501,-1.168,1.275
0.2982158660888672,0.227,-0.325,-1.029,1.103
0.3086690902709961,0.277,-0.155,-0.904,0.958
0.31856298446655273,0.227,-0.054,-0.792,0.826
0.35518693923950195,0.014,-0.195,-0.767,0.792
0.35547399520874023,0.014,-0.195,-0.767,0.792
0.3557279109954834,0.014,-0.195,-0.767,0.792
0.35825586318969727,0.03,-0.269,-0.84,0.883
0.36890602111816406,0.1,-0.308,-0.885,0.942
0.37846994400024414,0.142,-0.304,-0.894,0.955
0.3886699676513672,0.139,-0.279,-0.885,0.938
0.3987119197845459,0.145,-0.241,-0.874,0.918
0.4085838794708252,0.195,-0.217,-0.87,0.918
0.41875600814819336,0.24,-0.22,-0.917,0.973
0.45608997344970703,0.219,-0.341,-1.077,1.151
0.456373929977417,0.219,-0.341,-1.077,1.151
0.45662403106689453,0.219,-0.341,-1.077,1.151
0.4589700698852539,0.212,-0.349,-0.991,1.072
0.4689040184020996,0.201,-0.312,-0.863,0.939
0.47887086868286133,0.198,-0.234,-0.754,0.814
0.48874497413635254,0.221,-0.13,-0.702,0.747
0.4988539218902588,0.22,-0.08,-0.687,0.726
0.509145975112915,0.192,-0.102,-0.68,0.714
0.5191898345947266,0.185,-0.155,-0.698,0.739
0.5498490333557129,0.346,-0.373,-0.928,1.058
0.5501270294189453,0.346,-0.373,-0.928,1.058
0.5503749847412109,0.346,-0.373,-0.928,1.058
0.558931827545166,0.397,-0.387,-1.066,1.202
0.5693929195404053,0.422,-0.346,-1.165,1.286
0.580359935760498,0.428,-0.262,-1.191,1.292
0.589533805847168,0.45,-0.185,-1.142,1.241
0.5996439456939697,0.49,-0.148,-1.046,1.165
0.609522819519043,0.55,-0.184,-0.97,1.13
0.6196069717407227,0.577,-0.261,-0.908,1.107
0.6565051078796387,0.58,-0.344,-0.912,1.134
0.6567850112915039,0.58,-0.344,-0.912,1.134
0.6570367813110352,0.58,-0.344,-0.912,1.134
0.6595339775085449,0.683,-0.29,-1.0,1.245
0.6700348854064941,0.765,-0.222,-1.058,1.324
0.6805238723754883,0.813,-0.197,-1.087,1.372
0.6895689964294434,0.846,-0.231,-1.139,1.437
0.6997060775756836,0.85,-0.286,-1.166,1.471
0.7102260589599609,0.823,-0.334,-1.091,1.407
0.72005295753479,0.812,-0.31,-0.963,1.297
0.7529909610748291,0.898,-0.138,-0.771,1.192
0.7533779144287109,0.898,-0.138,-0.771,1.192
0.7537350654602051,0.898,-0.138,-0.771,1.192
0.7598280906677246,0.904,-0.123,-0.669,1.131
0.7702059745788574,1.054,-0.064,-0.804,1.327
0.781195878982544,1.101,0.087,-0.9,1.425
0.7903909683227539,1.054,0.278,-0.778,1.339
0.8009428977966309,0.999,0.359,-0.622,1.23
