time,gFx,gFy,gFz,gFTotal
0.022531986236572266,0.215,-0.388,-0.752,0.873
0.022754907608032227,0.215,-0.388,-0.752,0.873
0.02541494369506836,0.212,-0.382,-0.808,0.919
0.03586387634277344,0.19,-0.378,-0.83,0.932
0.045642852783203125,0.153,-0.372,-0.848,0.939
0.0558168888092041,0.125,-0.375,-0.852,0.939
0.06685590744018555,0.106,-0.414,-0.885,0.983
0.0761268138885498,0.095,-0.471,-0.885,1.007
0.08645486831665039,0.113,-0.487,-0.825,0.965
0.0963888168334961,0.153,-0.462,-0.783,0.922
0.12579584121704102,0.113,-0.278,-0.605,0.675
0.1262369155883789,0.113,-0.278,-0.605,0.675
0.12793684005737305,0.113,-0.278,-0.605,0.675
0.1363687515258789,0.119,-0.254,-0.635,0.694
0.1466689109802246,0.128,-0.268,-0.671,0.734
0.15663886070251465,0.18,-0.28,-0.716,0.79
0.16766071319580078,0.206,-0.323,-0.788,0.876
0.17666101455688477,0.134,-0.369,-0.85,0.936
0.1873769760131836,0.043,-0.358,-0.892,0.962
0.197052001953125,-0.003,-0.325,-0.862,0.921
0.23182296752929688,0.127,-0.363,-0.819,0.905
0.23209786415100098,0.127,-0.363,-0.819,0.905
0.2323458194732666,0.127,-0.363,-0.819,0.905
0.23639392852783203,0.265,-0.463,-0.786,0.95
0.2465808391571045,0.339,-0.551,-0.714,0.963
0.25704479217529297,0.278,-0.483,-0.797,0.973
0.2677040100097656,0.249,-0.288,-0.911,0.987
0.27735090255737305,0.246,-0.202,-0.894,0.949
0.28701186180114746,0.187,-0.248,-0.858,0.912
0.29794788360595703,0.126,-0.3,-0.795,0.859
0.3312859535217285,-0.069,-0.126,-0.864,0.876
0.3315598964691162,-0.069,-0.126,-0.864,0.876
0.3318047523498535,-0.069,-0.126,-0.864,0.876
0.3372359275817871,-0.002,-0.202,-0.827,0.851
0.3469057083129883,0.04,-0.234,-0.827,0.86
0.3571288585662842,0.14,-0.207,-0.761,0.801
0.3679468631744385,0.061,-0.215,-0.982,1.007
0.3772869110107422,0.007,-0.529,-1.296,1.4
0.3873867988586426,-0.199,-0.737,-0.552,0.942
0.3977017402648926,-0.429,-0.432,-0.81,1.013
0.4313778877258301,-0.375,-0.095,-0.649,0.756
0.4316587448120117,-0.375,-0.095,-0.649,0.756
0.43194103240966797,-0.375,-0.095,-0.649,0.756
0.43714380264282227,-0.245,-0.279,-0.765,0.85
0.44784092903137207,-0.182,-0.563,-0.897,1.075
0.45784997940063477,-0.303,-0.621,-1.053,1.259
0.4680957794189453,-0.235,-0.524,-0.776,0.965
0.47769689559936523,-0.008,-0.473,-0.592,0.758
0.4877357482910156,0.148,-0.364,-0.62,0.734
0.49775171279907227,0.171,-0.291,-0.583,0.674
0.5316228866577148,0.072,-0.598,-0.804,1.005
0.5319008827209473,0.072,-0.598,-0.804,1.005
0.5321516990661621,0.072,-0.598,-0.804,1.005
0.5375556945800781,0.134,-0.393,-0.936,1.024
0.5478010177612305,0.298,-0.122,-1.222,1.264
0.5586578845977783,0.273,0.054,-1.095,1.13
0.5682859420776367,0.272,0.085,-0.973,1.014
0.5781106948852539,0.232,0.015,-1.025,1.051
0.5881657600402832,0.152,-0.043,-1.045,1.057
0.5988049507141113,0.132,-0.091,-1.073,1.085
0.6318638324737549,0.166,0.115,-0.615,0.647
0.6321399211883545,0.166,0.115,-0.615,0.647
0.6323878765106201,0.166,0.115,-0.615,0.647
0.6379618644714355,0.21,0.183,-0.355,0.451
0.6484858989715576,0.286,0.082,-0.282,0.41
0.6584768295288086,0.381,-0.109,-0.446,0.597
0.6685757637023926,0.661,-0.126,-1.784,1.907
0.678473949432373,0.746,0.124,-1.901,2.046
0.6884727478027344,0.446,0.172,-1.083,1.184
0.6992669105529785,0.8,0.122,-1.465,1.674
0.7315158843994141,0.812,0.339,-1.1,1.409
0.7317967414855957,0.812,0.339,-1.1,1.409
0.7320489883422852,0.812,0.339,-1.1,1.409
0.7382168769836426,0.857,0.406,-0.794,1.237
0.748586893081665,0.883,0.46,-0.614,1.17
0.758887767791748,0.771,0.454,-0.674,1.12
0.7690520286560059,0.601,0.431,-0.838,1.118
0.7788777351379395,0.562,0.439,-0.993,1.223
0.7888407707214355,0.648,0.474,-1.039,1.313
0.7995929718017578,0.79,0.503,-0.854,1.267
0.8322210311889648,0.837,0.371,0.053,0.917
0.8324978351593018,0.837,0.371,0.053,0.917
0.8327488899230957,0.837,0.371,0.053,0.917
0.8387160301208496,0.763,0.3,0.1,0.826
0.8503859043121338,0.738,0.168,0.033,0.758
0.859245777130127,0.833,-0.003,-0.092,0.838
0.8694987297058105,0.99,-0.124,-0.218,1.021
0.8794889450073242,1.174,-0.072,-0.347,1.226
0.8894319534301758,1.384,0.056,-0.427,1.449
0.8998258113861084,1.574,0.103,-0.352,1.616
0.9320130348205566,1.567,0.175,-0.294,1.604
0.9322967529296875,1.567,0.175,-0.294,1.604
0.9325509071350098,1.567,0.175,-0.294,1.604
0.9391899108886719,1.507,0.143,-0.376,1.56
0.9502639770507812,1.504,0.137,-0.454,1.577
0.959324836730957,1.538,0.107,-0.469,1.611
0.9697799682617188,1.529,0.05,-0.45,1.595
0.9798738956451416,1.467,0.03,-0.403,1.522
0.9897348880767822,1.351,0.08,-0.359,1.4
1.0002670288085938,1.22,0.139,-0.337,1.273
1.0322608947753906,1.239,0.092,-0.078,1.245
1.0325398445129395,1.239,0.092,-0.078,1.245
1.032789707183838,1.239,0.092,-0.078,1.245
1.0395097732543945,1.215,0.025,0.157,1.225
1.050696849822998,1.228,0.067,0.222,1.25
1.059828758239746,1.112,0.155,0.207,1.142
1.0702877044677734,0.899,0.225,0.273,0.966
1.0802688598632812,0.844,0.272,0.673,1.113
1.0905518531799316,0.833,0.229,1.066,1.372
1.1004889011383057,0.541,0.085,0.76,0.937
1.132411003112793,1.134,0.453,0.388,1.281
1.1326918601989746,1.134,0.453,0.388,1.281
1.1329469680786133,1.134,0.453,0.388,1.281
1.1401820182800293,1.195,0.505,0.282,1.328
1.150850772857666,0.83,0.469,-0.118,0.961
1.1603758335113525,0.659,0.451,-0.24,0.834
1.1706678867340088,0.664,0.36,0.519,0.916
1.180922031402588,0.656,0.26,0.557,0.899
1.1906538009643555,0.629,0.253,0.357,0.766
1.2011218070983887,0.728,0.408,0.399,0.925
1.2325818538665771,1.035,0.596,0.315,1.235
1.232862949371338,1.035,0.596,0.315,1.235
1.2331128120422363,1.035,0.596,0.315,1.235
1.2404508590698242,1.075,0.626,0.267,1.272
1.25101900100708,1.047,0.696,0.165,1.268
1.2607898712158203,1.045,0.732,0.222,1.295
1.2711029052734375,1.09,0.727,0.358,1.358
1.2815608978271484,1.228,0.994,0.306,1.609
1.2909369468688965,1.549,1.39,-0.312,2.104
1.3014159202575684,1.014,1.025,-0.777,1.638
1.3369388580322266,0.821,0.898,0.271,1.247
1.3373298645019531,0.821,0.898,0.271,1.247
1.3376879692077637,0.821,0.898,0.271,1.247
1.340837001800537,0.636,0.953,0.187,1.161
1.351172924041748,0.684,0.9,-0.048,1.131
1.3612759113311768,0.694,1.011,-0.062,1.228
1.3714258670806885,0.621,1.161,-0.114,1.322
1.3815937042236328,0.584,1.211,-0.266,1.371
1.3916559219360352,0.553,1.087,-0.36,1.272
1.401371955871582,0.556,0.919,-0.285,1.111
1.4362659454345703,0.44,0.507,-0.083,0.676
1.4366507530212402,0.44,0.507,-0.083,0.676
1.436999797821045,0.44,0.507,-0.083,0.676
1.4414939880371094,0.368,0.456,-0.067,0.59
1.4519267082214355,0.306,0.357,-0.087,0.478
1.4616918563842773,0.337,0.474,-0.116,0.593
1.4718358516693115,0.316,0.586,-0.126,0.678
1.4822607040405273,0.359,0.672,-0.211,0.791
1.4919028282165527,0.462,0.696,-0.273,0.879
1.5019769668579102,0.553,0.697,-0.303,0.94
1.5364079475402832,0.561,0.569,-0.326,0.863
1.536794900894165,0.561,0.569,-0.326,0.863
1.5371458530426025,0.561,0.569,-0.326,0.863
1.541825771331787,0.556,0.469,-0.233,0.764
1.5526669025421143,0.571,0.482,-0.184,0.77
1.5621557235717773,0.565,0.575,-0.171,0.824
1.5726590156555176,0.512,0.607,-0.186,0.816
1.582587718963623,0.445,0.59,-0.18,0.761
1.5922558307647705,0.401,0.614,-0.125,0.744
1.6034138202667236,0.405,0.595,-0.118,0.729
1.6444218158721924,0.355,0.382,-0.12,0.535
1.6448068618774414,0.355,0.382,-0.12,0.535
1.6452898979187012,0.355,0.382,-0.12,0.535
1.645744800567627,0.355,0.382,-0.12,0.535
1.652514934539795,0.298,0.319,-0.023,0.437
1.662245750427246,0.31,0.292,-0.05,0.429
1.6729938983917236,0.397,0.436,-0.131,0.604
1.6831398010253906,0.473,0.636,-0.319,0.854
1.6926460266113281,0.5,0.589,-0.482,0.911
1.7026829719543457,0.508,0.523,-0.436,0.85
1.7372279167175293,0.668,0.301,0.101,0.74
1.7376158237457275,0.668,0.301,0.101,0.74
1.7379658222198486,0.668,0.301,0.101,0.74
1.7425270080566406,0.723,0.504,0.123,0.89
1.7534337043762207,0.608,0.725,0.012,0.946
1.7631258964538574,0.476,0.865,-0.253,1.019
1.7733817100524902,0.546,0.812,-0.359,1.042
1.783247947692871,0.749,0.746,-0.207,1.077
1.7930688858032227,0.868,0.795,-0.025,1.177
1.804067850112915,0.844,1.024,0.001,1.327
1.8446338176727295,0.859,1.137,0.062,1.426
1.8450169563293457,0.859,1.137,0.062,1.426
1.8453617095947266,0.859,1.137,0.062,1.426
1.8456988334655762,0.859,1.137,0.062,1.426
1.8530018329620361,1.037,1.02,-0.062,1.456
1.862952709197998,1.128,0.991,-0.181,1.512
1.8728547096252441,1.077,0.99,-0.157,1.471
1.882903814315796,0.97,0.897,-0.169,1.332
1.8932490348815918,0.842,0.812,-0.153,1.18
1.9033148288726807,0.777,0.803,-0.082,1.12
