time;gFx;gFy;gFz;TgF
0.005990625;-0,1679;0,6136;0,9793;1,168
0.007577084;-0,1528;0,6113;1,0119;1,192
0.008358334;-0,1390;0,6059;1,0598;1,229
0.008742709;-0,1306;0,5907;1,1031;1,258
0.008986979;-0,1280;0,5761;1,1556;1,298
0.009243229;-0,1291;0,5666;1,1998;1,333
0.01681875;-0,1139;0,5463;1,2223;1,344
0.017458854;-0,1095;0,5363;1,2522;1,367
0.026167709;-0,1242;0,5435;1,2875;1,403
0.026668229;-0,1416;0,5389;1,2920;1,407
0.026840104;-0,1542;0,5301;1,2849;1,398
0.031409896;-0,1645;0,5201;1,2813;1,393
0.035215625;-0,1680;0,5164;1,2768;1,388
0.038848959;-0,1730;0,5058;1,2755;1,383
0.043434375;-0,1828;0,4900;1,2800;1,383
0.047753646;-0,1918;0,4691;1,2846;1,381
0.050554688;-0,2037;0,4452;1,2968;1,386
0.054664584;-0,2194;0,4229;1,3054;1,390
0.058617709;-0,2380;0,4099;1,3151;1,398
0.064735417;-0,2322;0,4298;1,2858;1,375
0.066752604;-0,2303;0,4493;1,2545;1,352
0.070591667;-0,2467;0,4597;1,2361;1,342
0.074865625;-0,2671;0,4618;1,2330;1,343
0.081010417;-0,2864;0,4589;1,2313;1,345
0.082504167;-0,3076;0,4510;1,2317;1,347
0.086263021;-0,3201;0,4445;1,2322;1,348
0.090401563;-0,3298;0,4388;1,2221;1,340
0.094057292;-0,3375;0,4379;1,2061;1,327
0.098153646;-0,3309;0,4468;1,1774;1,302
0.102038542;-0,3208;0,4559;1,1457;1,274
0.106672396;-0,3086;0,4649;1,1082;1,241
0.114013021;-0,3063;0,4666;1,0713;1,208
0.126243229;-0,3124;0,4600;1,0513;1,189
0.127473959;-0,3157;0,4545;1,0371;1,176
0.128073438;-0,3236;0,4378;1,0315;1,166
0.128779688;-0,3297;0,4217;1,0376;1,168
0.143232292;-0,3386;0,4010;1,0340;1,160
0.144620834;-0,3449;0,3835;1,0287;1,151
0.147338542;-0,3552;0,3503;1,0324;1,147
0.148386979;-0,3843;0,2774;1,0270;1,131
0.149001042;-0,3471;0,3097;1,0280;1,128
0.161415625;-0,3136;0,3563;1,0251;1,130
0.164940625;-0,3077;0,3762;1,0305;1,139
0.167093229;-0,2973;0,3937;1,0448;1,155
0.167763542;-0,3243;0,3552;1,0564;1,161
0.168234375;-0,3340;0,3069;1,0572;1,150
0.171489584;-0,2999;0,2762;1,0316;1,109
0.175147396;-0,2705;0,2589;1,0159;1,083
0.178329167;-0,2401;0,2516;1,0138;1,072
0.186166146;-0,1932;0,2435;1,0171;1,064
0.187057813;-0,1896;0,2290;1,0594;1,100
0.18959375;-0,1907;0,2182;1,0867;1,125
0.193764584;-0,1692;0,2017;1,0874;1,119
0.198933854;-0,1442;0,1858;1,0832;1,108
0.20155;-0,1292;0,1765;1,0808;1,103
0.205468229;-0,1210;0,1762;1,0904;1,111
0.214011459;-0,1131;0,1796;1,0953;1,116
0.214917709;-0,1045;0,1845;1,0957;1,116
0.217405729;-0,1041;0,1897;1,0886;1,110
0.224703646;-0,1091;0,1919;1,0805;1,103
0.2251875;-0,1233;0,2034;1,0748;1,101
0.229503125;-0,1327;0,2104;1,0580;1,087
0.233086459;-0,1404;0,2167;1,0374;1,069
0.239502604;-0,1465;0,2236;1,0158;1,050
0.241967709;-0,1494;0,2321;0,9881;1,026
0.246811459;-0,1518;0,2382;0,9625;1,003
0.251057292;-0,1514;0,2406;0,9382;0,980
0.253028125;-0,1307;0,2160;0,8972;0,932
0.257047917;-0,1284;0,2500;0,9140;0,956
0.260992709;-0,1311;0,2700;0,9026;0,951
0.266201042;-0,1479;0,2722;0,8924;0,945
0.268922396;-0,1542;0,2600;0,8853;0,935
0.273121354;-0,1474;0,2575;0,8775;0,926
0.277075521;-0,1488;0,2776;0,8663;0,922
0.29279375;-0,1524;0,2837;0,8530;0,912
0.293738542;-0,1606;0,2878;0,8377;0,900
0.294294271;-0,1604;0,2900;0,8291;0,893
0.295258334;-0,1572;0,2995;0,8212;0,888
0.298864063;-0,1546;0,3066;0,8132;0,883
0.30095625;-0,1549;0,3065;0,8109;0,881
0.305238021;-0,1567;0,3053;0,8057;0,876
0.309339584;-0,1538;0,2977;0,7905;0,859
0.315063542;-0,1421;0,2893;0,7742;0,839
0.320029167;-0,1268;0,2857;0,7644;0,826
0.3211875;-0,1112;0,2850;0,7579;0,817
0.326107292;-0,1044;0,2821;0,7509;0,809
0.330440104;-0,0958;0,2734;0,7424;0,797
0.332583854;-0,0825;0,2693;0,7339;0,786
0.336659375;-0,0839;0,2732;0,7325;0,786
0.340957813;-0,0780;0,2761;0,7177;0,773
0.347353125;-0,0637;0,2782;0,6949;0,751
0.349802084;-0,0525;0,2745;0,6761;0,732
0.353596875;-0,0375;0,2690;0,6558;0,710
0.356703125;-0,0262;0,2751;0,6380;0,695
0.366392188;-0,0217;0,2838;0,6209;0,683
0.367235938;-0,0165;0,2861;0,6013;0,666
