time;gFx;gFy;gFz;TgF
0.007636458;0,1512;0,3296;0,9069;0,977
0.008501042;0,1511;0,3298;0,9039;0,974
0.010228646;0,1511;0,3279;0,9034;0,973
0.011329688;0,1539;0,3277;0,9028;0,973
0.011826563;0,1569;0,3263;0,9041;0,974
0.012161979;0,1592;0,3280;0,8966;0,968
0.012428646;0,1678;0,3378;0,8930;0,969
0.024845313;0,1727;0,3401;0,9057;0,983
0.026355208;0,1765;0,3412;0,9175;0,995
0.027586458;0,1803;0,3435;0,9295;1,007
0.028279167;0,1841;0,3480;0,9390;1,018
0.030875521;0,1925;0,3527;0,9495;1,031
0.039130729;0,1981;0,3579;0,9592;1,043
0.039666667;0,2033;0,3609;0,9684;1,053
0.0436125;0,2113;0,3637;0,9757;1,063
0.045160938;0,2170;0,3671;0,9809;1,070
0.049380208;0,2218;0,3705;0,9835;1,074
0.053279688;0,2289;0,3766;0,9855;1,080
0.059859375;0,2322;0,3798;0,9842;1,080
0.061246354;0,2350;0,3811;0,9800;1,077
0.066457813;0,2327;0,3820;0,9741;1,072
0.069516146;0,2319;0,3826;0,9659;1,064
0.083913542;0,2267;0,3797;0,9605;1,057
0.084474479;0,2198;0,3779;0,9526;1,048
0.084626042;0,2150;0,3763;0,9457;1,040
0.087388021;0,2078;0,3734;0,9405;1,033
0.094254167;0,1997;0,3701;0,9361;1,026
0.095563021;0,1955;0,3664;0,9328;1,021
0.097430208;0,1899;0,3622;0,9337;1,019
0.101007292;0,1844;0,3578;0,9351;1,018
0.106632813;0,1796;0,3542;0,9369;1,018
0.109022917;0,1754;0,3500;0,9408;1,019
0.112677604;0,1725;0,3463;0,9426;1,019
0.117023438;0,1673;0,3448;0,9428;1,018
0.120392188;0,1615;0,3408;0,9443;1,017
0.124623438;0,1575;0,3362;0,9474;1,018
0.128591146;0,1511;0,3341;0,9504;1,019
0.133713021;0,1433;0,3292;0,9540;1,019
0.142438542;0,1409;0,3261;0,9572;1,021
0.143760417;0,1362;0,3213;0,9611;1,023
0.144751563;0,1340;0,3185;0,9641;1,024
0.148415104;0,1326;0,3186;0,9651;1,025
0.152598958;0,1302;0,3180;0,9631;1,023
0.157202083;0,1321;0,3173;0,9605;1,020
0.16260625;0,1329;0,3178;0,9558;1,016
0.164229167;0,1320;0,3193;0,9525;1,013
0.168256771;0,1327;0,3191;0,9493;1,010
0.174022917;0,1314;0,3202;0,9490;1,010
0.17664375;0,1323;0,3217;0,9505;1,012
0.180055729;0,1319;0,3218;0,9513;1,013
0.184094271;0,1316;0,3206;0,9552;1,016
0.189489063;0,1291;0,3198;0,9581;1,018
0.192673438;0,1305;0,3188;0,9572;1,017
0.196607813;0,1306;0,3187;0,9552;1,015
0.201548958;0,1319;0,3192;0,9518;1,012
0.209583333;0,1288;0,3222;0,9496;1,011
0.211527604;0,1265;0,3236;0,9476;1,009
0.212190625;0,1241;0,3243;0,9449;1,007
0.237529688;0,1238;0,3245;0,9407;1,003
0.239720833;0,1224;0,3251;0,9373;1,000
0.240292708;0,1224;0,3241;0,9342;0,996
0.240654167;0,1229;0,3232;0,9308;0,993
0.240936458;0,1223;0,3226;0,9280;0,990
0.241253646;0,1195;0,3227;0,9234;0,985
0.241520833;0,1186;0,3221;0,9207;0,983
0.245185417;0,1169;0,3226;0,9200;0,982
0.247697396;0,1162;0,3217;0,9196;0,981
0.251626563;0,1164;0,3230;0,9215;0,983
0.256859896;0,1172;0,3243;0,9268;0,989
0.259907813;0,1202;0,3246;0,9346;0,997
0.263430208;0,1249;0,3188;0,9455;1,006
0.267529688;0,1306;0,3156;0,9541;1,013
0.273330208;0,1339;0,3123;0,9649;1,023
0.278215625;0,1370;0,3094;0,9732;1,030
0.279552083;0,1394;0,3089;0,9797;1,037
0.283875521;0,1409;0,3070;0,9818;1,038
0.287466146;0,1425;0,3083;0,9858;1,043
0.292302604;0,1413;0,3094;0,9900;1,047
0.297738021;0,1399;0,3138;0,9919;1,050
0.299332292;0,1421;0,3159;0,9971;1,056
0.303096354;0,1451;0,3186;1,0023;1,062
0.307597917;0,1465;0,3191;1,0104;1,070
0.315260417;0,1481;0,3211;1,0126;1,073
0.316010938;0,1494;0,3181;1,0112;1,071
0.319427083;0,1514;0,3156;1,0094;1,068
0.323634375;0,1532;0,3127;1,0036;1,062
0.327391146;0,1561;0,3115;0,9949;1,054
0.331180208;0,1579;0,3115;0,9834;1,044
0.335778646;0,1567;0,3112;0,9717;1,032
0.345414583;0,1531;0,3144;0,9593;1,021
0.346792188;0,1509;0,3190;0,9442;1,008
0.349434896;0,1464;0,3228;0,9333;0,998
0.373664063;0,1436;0,3267;0,9245;0,991
0.375751042;0,1392;0,3301;0,9137;0,981
0.377015625;0,1363;0,3336;0,9034;0,973
0.377803646;0,1367;0,3369;0,8973;0,968
0.378391667;0,1360;0,3395;0,8882;0,961
0.379671354;0,1362;0,3399;0,8816;0,955
0.380221875;0,1363;0,3416;0,8758;0,950
0.380629167;0,1367;0,3436;0,8708;0,946
0.382879167;0,1370;0,3468;0,8678;0,945
0.386869792;0,1362;0,3479;0,8654;0,943
0.391432292;0,1353;0,3501;0,8616;0,940
0.394851042;0,1363;0,3513;0,8618;0,941
0.398588021;0,1360;0,3501;0,8588;0,937
0.402582292;0,1364;0,3515;0,8576;0,937
0.406993229;0,1357;0,3531;0,8554;0,935
0.410521875;0,1325;0,3553;0,8544;0,935
0.414703646;0,1334;0,3566;0,8544;0,935
0.41868125;0,1330;0,3575;0,8554;0,937
0.422603646;0,1330;0,3600;0,8572;0,939
0.426547396;0,1346;0,3598;0,8609;0,943
0.430369271;0,1341;0,3601;0,8653;0,947
0.434950521;0,1368;0,3596;0,8712;0,952
0.439292708;0,1381;0,3588;0,8787;0,959
0.442368229;0,1399;0,3576;0,8828;0,963
0.446395313;0,1412;0,3570;0,8872;0,967
0.450035938;0,1408;0,3566;0,8909;0,970
0.457332813;0,1427;0,3558;0,8920;0,971
0.459107813;0,1456;0,3558;0,8947;0,974
0.462351042;0,1453;0,3575;0,8958;0,975
0.466267188;0,1457;0,3584;0,9025;0,982
0.475617708;0,1466;0,3610;0,9063;0,986
0.477189063;0,1464;0,3644;0,9142;0,995
0.478085938;0,1470;0,3655;0,9191;1,000
0.482229688;0,1465;0,3671;0,9220;1,003
0.485996354;0,1470;0,3659;0,9237;1,004
0.502057292;0,1468;0,3645;0,9216;1,002
0.505308333;0,1460;0,3622;0,9193;0,999
0.50596875;0,1456;0,3601;0,9187;0,997
0.506509375;0,1409;0,3570;0,9165;0,994
0.512555729;0,1393;0,3549;0,9156;0,992
0.516264583;0,1343;0,3551;0,9141;0,990
0.517011458;0,1305;0,3538;0,9113;0,986
0.518366667;0,1277;0,3538;0,9122;0,987
0.523618229;0,1244;0,3526;0,9103;0,984
0.526411979;0,1213;0,3515;0,9101;0,983
0.530027604;0,1231;0,3522;0,9082;0,982
0.535473438;0,1235;0,3534;0,9073;0,981
0.540017188;0,1235;0,3537;0,9082;0,982
0.543116667;0,1244;0,3553;0,9100;0,985
0.547354167;0,1260;0,3578;0,9113;0,987
0.549601563;0,1263;0,3593;0,9111;0,988
0.55578125;0,1279;0,3600;0,9114;0,988
0.558964063;0,1288;0,3612;0,9112;0,989
0.561277083;0,1322;0,3638;0,9095;0,988
0.565463021;0,1352;0,3678;0,9100;0,991
0.569191667;0,1401;0,3708;0,9093;0,992
0.573698958;0,1410;0,3743;0,9073;0,992
0.577410938;0,1444;0,3774;0,9062;0,992
0.581023958;0,1463;0,3814;0,9025;0,991
0.585617708;0,1470;0,3847;0,8961;0,986
0.589127083;0,1485;0,3872;0,8930;0,985
0.593147917;0,1479;0,3903;0,8895;0,983
0.597061979;0,1465;0,3921;0,8858;0,980
0.603293229;0,1448;0,3945;0,8832;0,978
0.606446354;0,1426;0,3963;0,8803;0,976
0.609261979;0,1399;0,3972;0,8789;0,975
0.627894271;0,1356;0,3968;0,8753;0,971
0.628766146;0,1305;0,3957;0,8716;0,966
0.629353125;0,1287;0,3948;0,8671;0,961
0.630629167;0,1251;0,3927;0,8657;0,959
0.631294792;0,1207;0,3900;0,8663;0,958
0.633292188;0,1180;0,3864;0,8684;0,958
0.636964583;0,1138;0,3843;0,8731;0,961
0.642759896;0,1102;0,3825;0,8803;0,966
0.645099479;0,1069;0,3800;0,8874;0,971
0.649149479;0,1046;0,3761;0,8933;0,975
0.652665625;0,0997;0,3734;0,8899;0,970
0.664040625;0,0962;0,3720;0,8981;0,977
0.665954167;0,0959;0,3717;0,9089;0,987
0.666731771;0,1019;0,3710;0,9167;0,994
0.669035417;0,1077;0,3701;0,9181;0,996
0.675665625;0,1147;0,3729;0,9165;0,996
0.678004688;0,1142;0,3763;0,9160;0,997
0.680613021;0,1170;0,3794;0,9171;0,999
0.684634375;0,1168;0,3810;0,9135;0,997
0.68915625;0,1174;0,3825;0,9109;0,995
0.695351563;0,1176;0,3836;0,9052;0,990
0.696402604;0,1174;0,3855;0,8996;0,986
0.701269792;0,1161;0,3880;0,8955;0,983
0.704803125;0,1148;0,3895;0,8912;0,979
0.708316667;0,1144;0,3925;0,8871;0,977
0.71281875;0,1151;0,3932;0,8856;0,976
0.718027083;0,1139;0,3940;0,8863;0,977
0.720113542;0,1139;0,3945;0,8873;0,978
0.726948438;0,1165;0,3938;0,8885;0,979
0.728409375;0,1190;0,3940;0,8927;0,983
0.733422396;0,1211;0,3936;0,8976;0,988
0.73620625;0,1238;0,3941;0,9006;0,991
0.740746875;0,1240;0,3942;0,9049;0,995
0.746365625;0,1242;0,3940;0,9067;0,996
0.748771875;0,1233;0,3941;0,9101;0,999
0.751983333;0,1235;0,3935;0,9157;1,004
0.756376042;0,1244;0,3914;0,9225;1,010
0.760078646;0,1226;0,3920;0,9272;1,014
0.763944271;0,1230;0,3923;0,9322;1,019
0.767731771;0,1231;0,3913;0,9335;1,020
0.777534375;0,1244;0,3917;0,9388;1,025
0.778150521;0,1283;0,3933;0,9461;1,033
0.779669792;0,1304;0,3939;0,9549;1,041
0.783421875;0,1318;0,3937;0,9623;1,048
0.788515104;0,1299;0,3934;0,9676;1,053
0.791589583;0,1296;0,3941;0,9696;1,055
0.795801563;0,1285;0,3948;0,9748;1,060
0.800236458;0,1325;0,3949;0,9822;1,067
0.805605729;0,1328;0,3961;0,9864;1,071
0.808619271;0,1332;0,3922;0,9877;1,071
0.816741146;0,1311;0,3922;0,9877;1,071
0.817238021;0,1290;0,3906;0,9878;1,070
0.819916146;0,1269;0,3889;0,9833;1,065
0.825316667;0,1219;0,3876;0,9865;1,067
0.827723958;0,1129;0,3871;0,9937;1,072
0.831486458;0,1014;0,3868;1,0030;1,080
0.835625521;0,0825;0,3804;1,0132;1,085
0.840765104;0,0702;0,3760;1,0246;1,094
0.843453125;0,0625;0,3718;1,0365;1,103
0.8531625;0,0545;0,3654;1,0591;1,122
0.855972917;0,0459;0,3624;1,0823;1,142
0.856811458;0,0345;0,3598;1,1078;1,165
0.859893229;0,0337;0,3567;1,1272;1,183
0.863853646;0,0346;0,3561;1,1400;1,195
0.867565104;0,0285;0,3555;1,1518;1,206
0.872485938;0,0253;0,3561;1,1694;1,223
0.875114063;0,0238;0,3560;1,1820;1,235
0.880325521;0,0225;0,3550;1,1907;1,243
0.883004167;0,0218;0,3556;1,1941;1,246
0.896814063;0,0226;0,3570;1,1958;1,248
0.897898438;0,0236;0,3564;1,1964;1,249
0.898276563;0,0221;0,3600;1,2049;1,258
0.899650521;0,0135;0,3636;1,2171;1,270
0.917182813;0,0054;0,3663;1,2304;1,284
0.919280208;-0,0055;0,3687;1,2397;1,293
0.920110938;-0,0067;0,3688;1,2443;1,298
0.921072396;0,0155;0,3633;1,2378;1,290
0.921359375;0,0071;0,3618;1,2459;1,297
0.931969792;0,0090;0,3613;1,2480;1,299
0.93275625;0,0053;0,3638;1,2453;1,297
0.933026042;0,0172;0,3667;1,2311;1,285
0.935725521;0,1196;0,3500;1,1529;1,211
0.942911458;0,0782;0,3771;1,1546;1,217
0.943825521;0,0210;0,4166;1,1735;1,245
0.947716667;0,0186;0,4341;1,1580;1,237
0.950528125;0,0161;0,4424;1,1327;1,216
0.955953646;0,0044;0,4471;1,1042;1,191
0.958301042;-0,0169;0,4506;1,0797;1,170
0.962189063;-0,0399;0,4545;1,0496;1,144
0.966452604;-0,0528;0,4579;1,0214;1,121
0.973393229;-0,0618;0,4597;0,9906;1,094
0.975041667;-0,0698;0,4643;0,9629;1,071
0.978673438;-0,0748;0,4678;0,9405;1,053
0.982882292;-0,0934;0,4739;0,9292;1,047
0.988334375;-0,0857;0,4753;0,9152;1,035
0.991186458;-0,0682;0,4710;0,9041;1,022
0.9956125;-0,0514;0,4684;0,9048;1,020
0.998294271;-0,0294;0,4687;0,9257;1,038
1.002042187;-0,0137;0,4685;0,9579;1,066
1.009845312;-0,0020;0,4679;0,9998;1,104
1.011971875;0,0088;0,4657;1,0531;1,151
1.014011458;0,0179;0,4603;1,0948;1,188
1.018070312;0,0245;0,4502;1,1317;1,218
1.028923958;0,0326;0,4339;1,1652;1,244
1.031059375;0,0353;0,4153;1,1883;1,259
1.031685937;0,0285;0,3933;1,2088;1,272
1.034014062;0,0230;0,3693;1,2228;1,278
1.056242187;0,0098;0,3486;1,2328;1,281
1.058811458;-0,0008;0,3235;1,2367;1,278
1.060002083;-0,0091;0,2945;1,2279;1,263
1.060760417;-0,0194;0,2750;1,2202;1,251
1.062047396;-0,0302;0,2600;1,2075;1,236
1.06295625;-0,0431;0,2457;1,1887;1,215
1.063633854;-0,0522;0,2364;1,1664;1,191
1.066173958;-0,0591;0,2320;1,1394;1,164
1.071600521;-0,0649;0,2268;1,1031;1,128
1.075175521;-0,0683;0,2273;1,0718;1,098
1.077665625;-0,0735;0,2313;1,0427;1,071
1.081891667;-0,0751;0,2353;1,0134;1,043
1.085300521;-0,0778;0,2430;0,9889;1,021
1.091867708;-0,0792;0,2506;0,9691;1,004
1.094397396;-0,0783;0,2589;0,9501;0,988
1.097857292;-0,0759;0,2671;0,9378;0,978
1.101433854;-0,0738;0,2722;0,9304;0,972
1.106532812;-0,0728;0,2790;0,9255;0,969
1.110592708;-0,0711;0,2824;0,9208;0,966
1.114267187;-0,0703;0,2879;0,9147;0,962
1.117265104;-0,0690;0,2895;0,9102;0,958
1.121479687;-0,0673;0,2901;0,9096;0,957
1.125116146;-0,0687;0,2864;0,9087;0,955
1.129882812;-0,0704;0,2831;0,9118;0,957
1.13296875;-0,0727;0,2799;0,9176;0,962
1.138379167;-0,0769;0,2736;0,9270;0,970
1.140992708;-0,0822;0,2626;0,9404;0,980
1.14521875;-0,0833;0,2496;0,9565;0,992
1.149583854;-0,0805;0,2388;0,9775;1,009
1.155451562;-0,0749;0,2266;1,0040;1,032
1.157115104;-0,0708;0,2152;1,0299;1,055
1.161005208;-0,0671;0,2045;1,0505;1,072
1.165840625;-0,0604;0,1953;1,0674;1,087
1.174109896;-0,0543;0,1886;1,0747;1,092
1.175886458;-0,0524;0,1814;1,0745;1,091
1.177059896;-0,0526;0,1752;1,0671;1,083
1.181964583;-0,0538;0,1691;1,0578;1,073
1.185998958;-0,0573;0,1640;1,0412;1,056
1.202796875;-0,0590;0,1615;1,0248;1,039
1.203694792;-0,0640;0,1574;1,0029;1,017
1.204038021;-0,0700;0,1549;0,9722;0,987
1.204283854;-0,0767;0,1548;0,9450;0,961
1.2045375;-0,0833;0,1545;0,9167;0,933
1.208704167;-0,0893;0,1540;0,8836;0,901
1.212547396;-0,0948;0,1546;0,8559;0,875
1.216650521;-0,0973;0,1568;0,8285;0,849
1.220982812;-0,1016;0,1610;0,8047;0,827
1.224371875;-0,1074;0,1669;0,7854;0,810
1.228380729;-0,1106;0,1723;0,7685;0,795
1.232518229;-0,1130;0,1780;0,7511;0,780
1.238449479;-0,1124;0,1835;0,7394;0,770
1.240585937;-0,1108;0,1895;0,7308;0,763
1.244471354;-0,1093;0,1965;0,7207;0,755
1.250646354;-0,1050;0,2038;0,7137;0,750
1.252082292;-0,0990;0,2119;0,7042;0,742
1.256411979;-0,0958;0,2195;0,6984;0,738
1.260036458;-0,0932;0,2273;0,6919;0,734
1.264020833;-0,0873;0,2383;0,6852;0,731
1.268021354;-0,0789;0,2485;0,6740;0,723
1.272269271;-0,0694;0,2569;0,6624;0,714
1.276146875;-0,0619;0,2665;0,6519;0,707
1.280898958;-0,0543;0,2778;0,6428;0,702
1.28399375;-0,0491;0,2852;0,6368;0,699
1.293068229;-0,0431;0,2941;0,6359;0,702
1.294091146;-0,0371;0,3008;0,6394;0,708
1.29708125;-0,0338;0,3049;0,6443;0,714
1.301052083;-0,0295;0,3095;0,6491;0,720
1.313788021;-0,0229;0,3129;0,6587;0,730
1.316263542;-0,0215;0,3165;0,6711;0,742
1.317336979;-0,0225;0,3173;0,6852;0,755
1.318186979;-0,0212;0,3191;0,6955;0,766
1.328245833;-0,0202;0,3177;0,7054;0,774
1.3307375;-0,0184;0,3195;0,7121;0,781
1.331882812;-0,0167;0,3219;0,7197;0,789
1.332509375;-0,0134;0,3237;0,7260;0,795
1.338311979;-0,0121;0,3274;0,7330;0,803
1.341283854;-0,0110;0,3318;0,7375;0,809
1.343397396;-0,0101;0,3354;0,7408;0,813
1.347364583;-0,0138;0,3376;0,7395;0,813
1.351397396;-0,0151;0,3425;0,7373;0,813
1.355317187;-0,0168;0,3464;0,7348;0,813
1.359341667;-0,0189;0,3501;0,7306;0,810
1.363216667;-0,0222;0,3562;0,7276;0,810
1.367474479;-0,0240;0,3619;0,7276;0,813
1.372636979;-0,0267;0,3646;0,7294;0,816
1.375813021;-0,0293;0,3685;0,7383;0,826
1.381811979;-0,0309;0,3716;0,7461;0,834
1.383239062;-0,0303;0,3723;0,7586;0,846
1.387917708;-0,0293;0,3748;0,7803;0,866
1.391097917;-0,0292;0,3760;0,7994;0,884
1.399010937;-0,0280;0,3750;0,8241;0,906
1.3996125;-0,0267;0,3732;0,8478;0,927
1.404457812;-0,0277;0,3715;0,8694;0,946
1.409229687;-0,0276;0,3708;0,8890;0,964
1.410990625;-0,0272;0,3686;0,9026;0,975
1.416314062;-0,0246;0,3675;0,9137;0,985
1.420528646;-0,0234;0,3684;0,9217;0,993
1.423156771;-0,0200;0,3683;0,9274;0,998
1.426847917;-0,0177;0,3683;0,9343;1,004
1.43086875;-0,0131;0,3702;0,9455;1,016
1.437098437;-0,0097;0,3748;0,9511;1,022
1.439114583;-0,0084;0,3820;0,9584;1,032
1.442852083;-0,0103;0,3897;0,9724;1,048
1.447155729;-0,0060;0,3966;0,9796;1,057
1.450827083;0,0016;0,4001;0,9829;1,061
1.458658854;0,0096;0,4059;0,9850;1,065
1.460104687;0,0144;0,4103;0,9896;1,071
1.46508125;0,0173;0,4155;0,9942;1,078
1.466780729;0,0195;0,4196;1,0002;1,085
1.480772396;0,0205;0,4228;1,0025;1,088
1.482402604;0,0222;0,4279;1,0034;1,091
1.483004687;0,0192;0,4320;1,0035;1,093
1.483384375;0,0153;0,4331;1,0057;1,095
1.492065625;0,0116;0,4342;1,0075;1,097
1.495607812;0,0077;0,4333;1,0108;1,100
1.496555208;0,0044;0,4343;1,0203;1,109
1.499363542;0,0030;0,4353;1,0322;1,120
1.504384375;0,0036;0,4388;1,0527;1,140
1.506644271;0,0032;0,4411;1,0745;1,162
1.510395833;0,0055;0,4433;1,0986;1,185
1.516280208;0,0068;0,4418;1,1267;1,210
1.520756771;0,0099;0,4404;1,1508;1,232
1.522445312;0,0105;0,4361;1,1749;1,253
1.526267708;0,0118;0,4312;1,2032;1,278
1.530383854;0,0133;0,4277;1,2245;1,297
1.535203125;0,0150;0,4244;1,2398;1,311
1.538173437;0,0175;0,4197;1,2516;1,320
1.542196354;0,0208;0,4172;1,2555;1,323
1.546257812;0,0269;0,4183;1,2526;1,321
1.550067187;0,0348;0,4171;1,2467;1,315
1.554765625;0,0409;0,4179;1,2407;1,310
1.558244792;0,0486;0,4184;1,2353;1,305
1.561830208;0,0586;0,4172;1,2284;1,299
1.576820833;0,0688;0,4131;1,2186;1,289
1.57864375;0,0809;0,4099;1,2047;1,275
1.579125;0,0931;0,4060;1,1970;1,267
1.579541667;0,1018;0,4014;1,1952;1,265
1.582269271;0,1083;0,3934;1,2015;1,269
1.598540625;0,1145;0,3831;1,2134;1,278
1.600673437;0,1181;0,3743;1,2250;1,286
1.601495312;0,1221;0,3623;1,2363;1,294
1.602279687;0,1299;0,3470;1,2480;1,302
1.604479167;0,1361;0,3337;1,2606;1,311
1.606265104;0,1437;0,3185;1,2770;1,324
1.611342187;0,1499;0,3067;1,2930;1,337
1.614257812;0,1550;0,2988;1,3124;1,355
1.618024479;0,1597;0,2876;1,3335;1,374
1.625039062;0,1634;0,2775;1,3512;1,389
1.626433854;0,1668;0,2672;1,3711;1,407
1.629527083;0,1712;0,2545;1,3957;1,429
1.633891667;0,1777;0,2447;1,4150;1,447
1.6380625;0,1866;0,2326;1,4334;1,464
1.641429167;0,1992;0,2182;1,4508;1,481
1.647204687;0,2122;0,2062;1,4610;1,491
1.649319792;0,2262;0,1964;1,4675;1,498
1.656243229;0,2417;0,1871;1,4688;1,500
1.657182812;0,2544;0,1818;1,4654;1,498
1.661171875;0,2667;0,1773;1,4581;1,493
1.667684896;0,2784;0,1775;1,4454;1,483
1.670814062;0,2886;0,1792;1,4267;1,467
1.673924479;0,2980;0,1826;1,3983;1,441
1.677094271;0,3077;0,1855;1,3594;1,406
1.681026562;0,3103;0,1892;1,3187;1,368
1.686865104;0,3163;0,1900;1,2754;1,328
1.689408333;0,3197;0,1916;1,2212;1,277
1.693104687;0,3149;0,1946;1,1830;1,240
1.697528125;0,3051;0,2014;1,1422;1,199
1.700951562;0,2955;0,2032;1,1095;1,166
1.704991667;0,2855;0,2043;1,0790;1,135
1.709260937;0,2749;0,2024;1,0517;1,106
1.712631771;0,2642;0,2045;1,0244;1,077
1.716648958;0,2559;0,2019;1,0055;1,057
1.723126562;0,2491;0,1973;0,9928;1,042
1.727097396;0,2416;0,1898;0,9800;1,027
1.747092708;0,2349;0,1834;0,9764;1,021
1.748577604;0,2295;0,1754;0,9748;1,017
1.749132812;0,2241;0,1639;0,9750;1,014
1.749563021;0,2196;0,1540;0,9748;1,011
1.750133854;0,2174;0,1467;0,9754;1,010
1.751711458;0,2119;0,1422;0,9786;1,011
1.760435417;0,2097;0,1396;0,9832;1,015
1.762196354;0,2082;0,1398;0,9893;1,021
1.762764062;0,2060;0,1415;0,9965;1,027
1.764544792;0,2069;0,1412;1,0038;1,035
1.772135417;0,2115;0,1457;1,0091;1,041
1.774230208;0,2117;0,1491;1,0181;1,051
1.776483333;0,2139;0,1526;1,0267;1,060
1.780629167;0,2192;0,1543;1,0368;1,071
1.784492187;0,2199;0,1563;1,0510;1,085
1.788211458;0,2190;0,1589;1,0646;1,098
1.792904687;0,2142;0,1598;1,0706;1,103
1.797488542;0,2063;0,1590;1,0689;1,100
1.800622396;0,2003;0,1560;1,0616;1,092
1.806609896;0,1927;0,1510;1,0456;1,074
1.807971875;0,1799;0,1446;1,0222;1,048
