time;gFx;gFy;gFz;TgF
0.002507813;0,0211;0,0156;1,0059;1,006
0.002965625;0,0207;0,0153;1,0051;1,005
0.003226563;0,0203;0,0140;1,0051;1,005
0.010592188;0,0210;0,0154;1,0072;1,008
0.011696355;0,0224;0,0148;1,0056;1,006
0.014222917;0,0215;0,0152;1,0053;1,006
0.01896198;0,0213;0,0135;1,0073;1,008
0.023457292;0,0215;0,0142;1,0070;1,007
0.043200521;0,0221;0,0150;1,0052;1,006
0.043879688;0,0214;0,0155;1,0071;1,007
0.044139584;0,0221;0,0142;1,0060;1,006
0.04439375;0,0218;0,0145;1,0054;1,006
0.04464323;0,0214;0,0167;1,0043;1,005
0.045830209;0,0218;0,0152;1,0060;1,006
0.054765105;0,0221;0,0153;1,0056;1,006
0.05596823;0,0203;0,0159;1,0062;1,006
0.059101042;0,0211;0,0155;1,0053;1,006
0.075281771;0,0199;0,0154;1,0047;1,005
0.076521355;0,0204;0,0153;1,0061;1,006
0.077401042;0,0198;0,0159;1,0064;1,007
0.078282292;0,0202;0,0146;1,0070;1,007
0.092728125;0,0205;0,0151;1,0055;1,006
0.097857813;0,0229;0,0157;1,0055;1,006
0.09885625;0,0203;0,0153;1,0054;1,006
0.099322917;0,0218;0,0154;1,0062;1,007
0.099689584;0,0201;0,0144;1,0071;1,007
0.100054688;0,0205;0,0148;1,0066;1,007
0.106885938;0,0209;0,0154;1,0058;1,006
0.107639584;0,0206;0,0153;1,0052;1,006
0.111454167;0,0212;0,0144;1,0042;1,004
0.115979167;0,0213;0,0156;1,0063;1,007
0.117746355;0,0211;0,0155;1,0052;1,005
0.121569792;0,0209;0,0154;1,0070;1,007
0.125735417;0,0206;0,0152;1,0063;1,007
0.129782813;0,0189;0,0145;1,0061;1,006
0.133757813;0,0207;0,0137;1,0070;1,007
0.137901563;0,0205;0,0136;1,0062;1,006
0.144110938;0,0203;0,0154;1,0057;1,006
0.145428125;0,0199;0,0143;1,0059;1,006
0.149576042;0,0204;0,0147;1,0060;1,006
0.154502084;0,0211;0,0157;1,0070;1,007
0.159315105;0,0205;0,0152;1,0056;1,006
0.161863021;0,0214;0,0150;1,0069;1,007
0.16571875;0,0209;0,0164;1,0061;1,006
0.169644792;0,0214;0,0155;1,0061;1,006
0.173241146;0,0215;0,0139;1,0065;1,007
0.177236459;0,0214;0,0150;1,0057;1,006
0.181016146;0,0207;0,0151;1,0063;1,007
0.184826563;0,0216;0,0147;1,0063;1,007
0.190401563;0,0213;0,0151;1,0062;1,007
0.204072917;0,0213;0,0139;1,0060;1,006
0.204994792;0,0207;0,0151;1,0061;1,006
0.205338021;0,0204;0,0146;1,0056;1,006
0.206656771;0,0217;0,0149;1,0065;1,007
0.209544792;0,0215;0,0142;1,0070;1,007
0.212744792;0,0209;0,0149;1,0057;1,006
0.216813021;0,0204;0,0144;1,0062;1,007
0.2206375;0,0204;0,0147;1,0062;1,007
0.225384375;0,0201;0,0144;1,0059;1,006
0.228676563;0,0201;0,0152;1,0049;1,005
0.232633855;0,0198;0,0151;1,0061;1,006
0.236805209;0,0212;0,0153;1,0054;1,006
0.242151042;0,0217;0,0160;1,0057;1,006
0.246783855;0,0216;0,0148;1,0056;1,006
0.252317709;0,0210;0,0155;1,0064;1,007
0.252814063;0,0216;0,0147;1,0073;1,008
0.261523959;0,0204;0,0140;1,0058;1,006
0.262296875;0,0223;0,0150;1,0064;1,007
0.265338542;0,0220;0,0152;1,0063;1,007
0.268777084;0,0219;0,0146;1,0062;1,007
0.27284323;0,0211;0,0154;1,0059;1,006
0.276608334;0,0214;0,0148;1,0061;1,006
0.293160938;0,0211;0,0141;1,0066;1,007
0.294039584;0,0214;0,0143;1,0073;1,008
0.294701563;0,0218;0,0154;1,0063;1,007
0.295552084;0,0222;0,0144;1,0061;1,006
0.296002605;0,0207;0,0162;1,0068;1,007
0.300528646;0,0200;0,0155;1,0065;1,007
0.304150521;0,0184;0,0163;1,0058;1,006
0.320569792;0,0208;0,0158;1,0067;1,007
0.322030209;0,0212;0,0151;1,0062;1,007
0.324029688;0,0199;0,0159;1,0054;1,006
0.325350521;0,0207;0,0161;1,0063;1,007
0.32730625;0,0203;0,0157;1,0051;1,005
0.328773959;0,0201;0,0156;1,0064;1,007
0.335886459;0,0193;0,0149;1,0051;1,005
0.33681823;0,0205;0,0150;1,0056;1,006
0.354370313;0,0209;0,0155;1,0055;1,006
0.355801042;0,0211;0,0159;1,0067;1,007
0.356723438;0,0212;0,0144;1,0078;1,008
0.357473438;0,0221;0,0148;1,0071;1,008
0.358230209;0,0210;0,0143;1,0059;1,006
0.371082813;0,0187;0,0154;1,0063;1,007
0.371935938;0,0208;0,0160;1,0062;1,007
0.372202084;0,0211;0,0155;1,0069;1,007
0.373066667;0,0216;0,0146;1,0063;1,007
0.37678125;0,0209;0,0151;1,0075;1,008
0.379663542;0,0213;0,0154;1,0076;1,008
0.38346875;0,0207;0,0157;1,0068;1,007
0.38779948;0,0204;0,0154;1,0062;1,006
0.39393125;0,0210;0,0142;1,0070;1,007
0.395434375;0,0205;0,0149;1,0058;1,006
0.3995625;0,0203;0,0141;1,0067;1,007
0.404698959;0,0200;0,0146;1,0064;1,007
0.410338021;0,0211;0,0152;1,0058;1,006
0.413289063;0,0213;0,0148;1,0056;1,006
0.415526563;0,0208;0,0142;1,0051;1,005
0.419045313;0,0205;0,0153;1,0068;1,007
0.42398125;0,0204;0,0159;1,0066;1,007
0.42742448;0,0209;0,0139;1,0055;1,006
0.431103646;0,0209;0,0146;1,0069;1,007
0.435398959;0,0217;0,0154;1,0069;1,007
0.438892188;0,0208;0,0154;1,0062;1,007
0.44311875;0,0218;0,0151;1,0060;1,006
0.447297917;0,0221;0,0146;1,0057;1,006
0.451141667;0,0220;0,0147;1,0065;1,007
0.455327605;0,0222;0,0150;1,0050;1,005
0.459217709;0,0216;0,0152;1,0054;1,006
0.463122917;0,0210;0,0148;1,0065;1,007
0.466854688;0,0212;0,0151;1,0050;1,005
0.471339063;0,0215;0,0170;1,0062;1,007
0.47826198;0,0203;0,0150;1,0064;1,007
0.480031771;0,0208;0,0155;1,0056;1,006
0.48373698;0,0205;0,0155;1,0056;1,006
0.491115104;0,0200;0,0147;1,0059;1,006
0.491875;0,0198;0,0153;1,0053;1,006
0.494949479;0,0206;0,0156;1,0054;1,006
0.498799479;0,0201;0,0157;1,0056;1,006
0.502429688;0,0206;0,0151;1,0072;1,008
0.507579688;0,0213;0,0147;1,0071;1,007
0.511909375;0,0207;0,0157;1,0057;1,006
0.514651042;0,0207;0,0162;1,0059;1,006
0.518529167;0,0213;0,0143;1,0072;1,007
