time;gFx;gFy;gFz;TgF
0.003528125;-0,1289;0,3933;0,8466;0,942
0.00411302;-0,1349;0,3928;0,8332;0,931
0.00451302;-0,1420;0,3938;0,8214;0,922
0.004834895;-0,1217;0,4031;0,8147;0,917
0.0050875;-0,1163;0,4107;0,8248;0,929
0.010311979;-0,1079;0,4179;0,8350;0,940
0.023651562;-0,1051;0,4194;0,8407;0,945
0.024389062;-0,1178;0,4220;0,8493;0,956
0.024685416;-0,1207;0,4313;0,8701;0,979
0.024875;-0,1160;0,4457;0,9096;1,020
0.027871354;-0,1117;0,4648;0,9671;1,079
0.03805677;-0,1157;0,4745;1,0051;1,117
0.038560416;-0,1205;0,4775;1,0321;1,144
0.040651041;-0,1323;0,4750;1,0542;1,164
0.043552604;-0,1318;0,4740;1,0592;1,168
0.049497916;-0,1231;0,4745;1,0538;1,162
0.051834895;-0,1133;0,4712;1,0365;1,144
0.055570833;-0,1063;0,4625;1,0064;1,113
0.0595625;-0,1128;0,4425;0,9792;1,080
0.063789583;-0,1241;0,4119;0,9592;1,051
0.068833333;-0,1243;0,3867;0,9410;1,025
0.071565625;-0,1132;0,3644;0,9233;0,999
0.075283854;-0,1012;0,3396;0,9100;0,977
0.079295833;-0,1025;0,3170;0,9186;0,977
0.08337552;-0,0978;0,3042;0,9461;0,999
0.087254166;-0,0795;0,3048;0,9686;1,019
0.09415625;-0,0585;0,3096;0,9913;1,040
0.098897395;-0,0556;0,3155;1,0285;1,077
0.099471354;-0,0816;0,3122;1,0780;1,125
0.103235937;-0,0885;0,3005;1,0825;1,127
0.10716927;-0,0826;0,2844;1,0840;1,124
0.11108125;-0,0835;0,2706;1,1092;1,145
0.117134375;-0,0658;0,2595;1,1362;1,167
0.119182291;-0,0674;0,2507;1,1664;1,195
0.123277604;-0,0712;0,2473;1,1977;1,225
0.127496354;-0,0437;0,2467;1,2170;1,243
0.133940104;-0,0560;0,2394;1,2726;1,296
0.135522395;-0,0860;0,2332;1,3259;1,349
0.138823958;-0,1083;0,2260;1,3541;1,377
0.143539583;-0,1263;0,2120;1,3664;1,388
0.146930208;-0,1402;0,1964;1,3544;1,376
0.151413541;-0,1516;0,1776;1,3392;1,359
0.15515;-0,1560;0,1567;1,3166;1,335
0.15933125;-0,1511;0,1419;1,2964;1,313
0.162689062;-0,1428;0,1295;1,2783;1,293
0.167060416;-0,1355;0,1163;1,2609;1,273
0.17346927;-0,1325;0,0993;1,2472;1,258
0.174698437;-0,1185;0,1028;1,2418;1,252
0.17855625;-0,1513;0,1330;1,2732;1,289
0.182923437;-0,2006;0,1463;1,2831;1,307
0.186760937;-0,1963;0,1745;1,2638;1,291
0.19098125;-0,1952;0,2040;1,2638;1,295
0.194572395;-0,2022;0,2208;1,2842;1,319
0.199580208;-0,2004;0,2291;1,3026;1,338
0.203254166;-0,1971;0,2307;1,3131;1,348
0.206573958;-0,2047;0,2205;1,3073;1,342
0.212357812;-0,2015;0,2005;1,2857;1,317
0.218142187;-0,1978;0,1753;1,2558;1,283
0.2211125;-0,1948;0,1480;1,2219;1,246
0.222614062;-0,1889;0,1176;1,2075;1,228
0.226445312;-0,1913;0,0859;1,1694;1,188
0.234404687;-0,2057;0,0616;1,1241;1,144
0.235857291;-0,2114;0,0358;1,0764;1,098
0.242261979;-0,1170;-0,0395;0,9733;0,981
0.243102604;-0,1045;-0,0983;0,9024;0,914
0.246136979;-0,1525;-0,1400;0,8637;0,888
0.253198437;-0,2127;-0,1376;0,8445;0,882
0.255360416;-0,2467;-0,0873;0,8605;0,899
0.258422916;-0,2654;-0,0205;0,8943;0,933
0.267749479;-0,2620;0,0521;0,9440;0,981
0.269385416;-0,2454;0,1017;0,9973;1,032
0.270320833;-0,2203;0,1388;1,0419;1,074
0.273985937;-0,1925;0,1582;1,0606;1,089
0.277752083;-0,1703;0,1608;1,0606;1,086
0.282403645;-0,1535;0,1538;1,0378;1,060
0.285775;-0,1424;0,1447;0,9864;1,007
0.292026562;-0,1303;0,1335;0,9128;0,932
0.294476041;-0,1218;0,1239;0,8249;0,843
0.30208802;-0,1293;0,0952;0,9950;1,008
0.3032;-0,1079;0,1215;1,2070;1,218
0.306204687;-0,1008;0,1677;0,8827;0,904
0.311032291;-0,1333;0,1599;0,9873;1,009
0.316104687;-0,1409;0,1555;1,1165;1,136
0.317876562;-0,1670;0,1262;1,0923;1,112
0.322625;-0,2063;0,0925;1,0033;1,028
0.326708854;-0,2118;0,0826;0,9131;0,941
0.332232291;-0,1913;0,0698;0,8608;0,885
0.3336625;-0,1635;0,0494;0,7850;0,803
0.337420833;-0,2044;-0,0314;0,5847;0,620
0.341454166;-0,2400;-0,1056;0,4298;0,503
0.345292187;-0,2619;-0,1236;0,4290;0,518
0.349671354;-0,2736;-0,1000;0,4926;0,572
0.353327604;-0,2608;-0,0557;0,6076;0,664
0.357285416;-0,2226;-0,0177;0,6605;0,697
0.361348437;-0,1559;0,0309;0,6922;0,710
0.365743229;-0,0662;0,0975;0,7499;0,759
0.369308854;0,0076;0,1604;0,7980;0,814
0.373292187;0,0686;0,2241;0,8381;0,870
0.3771875;0,1240;0,3001;0,8827;0,941
0.382441666;0,1596;0,3604;0,9248;1,005
0.38571302;0,1871;0,4139;0,9658;1,067
0.389257291;0,2083;0,4606;0,9990;1,120
0.393421354;0,2221;0,4843;0,9969;1,130
0.402092708;0,2345;0,4906;0,9740;1,115
0.403001041;0,2430;0,4812;0,9299;1,075
0.405042708;0,2385;0,4592;0,8893;1,029
0.411040625;0,2222;0,4289;0,8411;0,970
0.413120312;0,1964;0,3864;0,7797;0,892
0.41853125;0,1704;0,3487;0,7349;0,831
0.422232291;0,1389;0,3114;0,6921;0,772
0.424860937;0,0906;0,2685;0,6527;0,712
0.428934895;0,0474;0,2404;0,6327;0,679
0.434583854;0,0194;0,2205;0,6183;0,657
0.438535416;0,0139;0,2070;0,5972;0,632
0.440615625;0,0276;0,2038;0,5775;0,613
0.44482552;0,0524;0,2093;0,5625;0,602
0.449852604;0,0862;0,2247;0,5513;0,602
0.452601041;0,1128;0,2417;0,5424;0,604
0.45656927;0,1396;0,2622;0,5329;0,610
0.460393229;0,1576;0,2776;0,5321;0,620
0.465032291;0,1622;0,2782;0,5836;0,667
0.46840677;0,1807;0,2772;0,6419;0,722
0.472554166;0,1901;0,2761;0,5946;0,683
0.477181249;0,1829;0,2659;0,5613;0,647
0.482261979;0,1650;0,2488;0,5495;0,625
0.484336458;0,1461;0,2409;0,5630;0,630
0.490704166;0,1241;0,2370;0,5822;0,641
0.492628645;0,0990;0,2427;0,6110;0,665
0.496634895;0,0803;0,2438;0,6373;0,687
0.500328124;0,0716;0,2461;0,6606;0,709
0.505321354;0,0706;0,2352;0,6746;0,718
0.508351041;0,0723;0,2225;0,6760;0,715
0.512198437;0,0775;0,2150;0,6761;0,714
0.516030208;0,0830;0,2127;0,6767;0,714
0.520146874;0,0845;0,2122;0,6789;0,716
0.523897916;0,0782;0,2230;0,6867;0,726
0.528030208;0,0678;0,2370;0,6915;0,734
0.532304687;0,0634;0,2503;0,6835;0,731
0.535836458;0,0639;0,2642;0,6712;0,724
0.539935937;0,0665;0,2824;0,6602;0,721
0.543987499;0,0652;0,3002;0,6586;0,727
0.550163541;0,0579;0,3162;0,6592;0,733
0.55177552;0,0429;0,3311;0,6565;0,737
0.555626041;0,0273;0,3395;0,6441;0,729
0.560397916;0,0094;0,3395;0,6308;0,716
0.565424999;-0,0043;0,3289;0,6140;0,697
0.570498958;-0,0038;0,3156;0,6008;0,679
0.57176302;0,0123;0,2968;0,5868;0,658
0.575709895;0,0498;0,2746;0,5903;0,653
0.579724479;0,0927;0,2556;0,6094;0,667
0.583705729;0,1389;0,2365;0,6352;0,692
0.587654687;0,1887;0,2149;0,6706;0,729
0.591558333;0,2362;0,1929;0,6992;0,763
0.596060937;0,2851;0,1574;0,7293;0,799
0.599892187;0,3369;0,1055;0,7763;0,853
0.605396354;0,3753;0,0626;0,8428;0,925
0.610197916;0,4127;0,0296;0,9197;1,009
0.611206249;0,4582;-0,0068;0,9915;1,092
0.615507812;0,4915;-0,0485;1,0347;1,147
0.619436458;0,5166;-0,0932;1,0728;1,194
0.62335052;0,5368;-0,1427;1,1112;1,242
0.627239062;0,5433;-0,1759;1,1329;1,269
0.631936458;0,5384;-0,1960;1,1430;1,279
0.635272916;0,5173;-0,2158;1,1369;1,268
0.63926927;0,4752;-0,2698;1,1031;1,231
0.643570833;0,4293;-0,2898;1,1031;1,219
0.649428645;0,4280;-0,2215;1,1771;1,272
0.651265104;0,4540;-0,1319;1,2493;1,336
0.655098958;0,4838;-0,0515;1,2604;1,351
0.659221874;0,4984;-0,0130;1,1983;1,298
0.663276562;0,5009;0,0044;1,1004;1,209
0.667121354;0,4994;0,0094;0,9712;1,092
0.671264062;0,4928;0,0140;0,8694;0,999
0.674952083;0,4861;0,0194;0,7815;0,921
0.678920833;0,4899;0,0374;0,7095;0,863
0.682780208;0,5012;0,0582;0,6629;0,833
0.686860937;0,5130;0,0771;0,6307;0,817
0.690721874;0,5180;0,0941;0,6120;0,807
0.694701041;0,5179;0,1064;0,6039;0,803
0.700528645;0,5173;0,1140;0,6050;0,804
0.702643749;0,5268;0,1222;0,6154;0,819
0.70684427;0,5400;0,1313;0,6396;0,847
0.710857291;0,5497;0,1376;0,6697;0,877
0.71472552;0,5637;0,1377;0,7125;0,919
0.721483854;0,5846;0,1309;0,7540;0,963
