time,gFx,gFy,gFz,gFTotal
0.008114814758300781,-0.089,-0.121,-1.079,1.089
0.017963886260986328,-0.06,-0.091,-1.095,1.1
0.029518842697143555,-0.049,-0.06,-1.074,1.077
0.0379948616027832,-0.043,-0.06,-1.023,1.026
0.047276973724365234,-0.032,-0.084,-0.985,0.989
0.05825185775756836,-0.029,-0.112,-0.962,0.969
0.06784892082214355,-0.032,-0.137,-0.951,0.961
0.08371686935424805,-0.041,-0.155,-0.92,0.934
0.08681869506835938,-0.046,-0.165,-0.882,0.898
0.09766769409179688,-0.046,-0.167,-0.863,0.88
0.10760974884033203,-0.041,-0.16,-0.868,0.884
0.11759591102600098,-0.046,-0.152,-0.889,0.903
0.1274247169494629,-0.065,-0.156,-0.92,0.935
0.1374039649963379,-0.082,-0.162,-0.95,0.967
0.14665889739990234,-0.093,-0.162,-0.992,1.009
0.1573958396911621,-0.098,-0.153,-1.037,1.053
0.16846585273742676,-0.102,-0.136,-1.055,1.069
0.18389487266540527,-0.099,-0.117,-1.041,1.052
0.18670177459716797,-0.075,-0.111,-1.024,1.033
0.1972348690032959,-0.038,-0.135,-1.029,1.039
0.20713186264038086,-0.002,-0.149,-1.04,1.051
0.21709203720092773,0.015,-0.172,-1.041,1.055
0.22705698013305664,0.036,-0.198,-1.021,1.041
0.2369680404663086,0.029,-0.216,-1.017,1.04
0.24641084671020508,-0.026,-0.197,-0.987,1.007
0.2573049068450928,-0.082,-0.184,-0.922,0.944
0.2668418884277344,-0.096,-0.18,-0.886,0.909
0.2828497886657715,-0.098,-0.188,-0.857,0.883
0.2861199378967285,-0.089,-0.21,-0.816,0.847
0.29675769805908203,-0.088,-0.24,-0.791,0.831
0.3067207336425781,-0.057,-0.272,-0.8,0.847
0.3167908191680908,0.07,-0.295,-0.799,0.855
0.3264470100402832,-0.007,-0.309,-0.795,0.853
0.33659887313842773,-0.173,-0.18,-0.803,0.841
0.34580183029174805,-0.324,-0.05,-0.814,0.878
0.3562798500061035,-0.358,-0.055,-0.834,0.909
0.36752986907958984,-0.353,-0.089,-0.864,0.938
0.38204097747802734,-0.275,-0.207,-0.951,1.011
0.3853440284729004,-0.058,-0.421,-1.072,1.153
0.3963508605957031,0.275,-0.683,-1.16,1.374
0.4060368537902832,0.518,-0.797,-1.16,1.5
0.41608285903930664,0.436,-0.588,-1.153,1.366
0.4259178638458252,0.301,-0.388,-1.102,1.206
0.4361438751220703,0.204,-0.277,-0.982,1.041
0.4451727867126465,0.054,-0.144,-0.986,0.998
0.4559969902038574,0.104,-0.087,-0.931,0.941
0.46573495864868164,0.24,-0.165,-0.806,0.857
0.481719970703125,0.295,-0.291,-0.787,0.889
0.4849367141723633,0.321,-0.38,-0.793,0.936
0.49584293365478516,0.297,-0.382,-0.818,0.95
0.5058798789978027,0.262,-0.329,-0.84,0.939
0.5159769058227539,0.258,-0.286,-0.843,0.927
0.5256400108337402,0.261,-0.266,-0.784,0.868
0.5356907844543457,0.263,-0.273,-0.703,0.799
0.5449888706207275,0.259,-0.305,-0.651,0.764
0.5554947853088379,0.219,-0.304,-0.629,0.732
0.5653798580169678,0.183,-0.284,-0.672,0.752
0.5756819248199463,0.191,-0.27,-0.75,0.82
0.5852279663085938,0.225,-0.24,-0.794,0.859
0.5954957008361816,0.268,-0.2,-0.752,0.823
0.605172872543335,0.292,-0.185,-0.733,0.81
0.6152198314666748,0.273,-0.163,-0.758,0.822
0.6254367828369141,0.244,-0.194,-0.827,0.884
0.6357460021972656,0.221,-0.222,-0.997,1.045
0.6441307067871094,0.167,-0.182,-1.127,1.154
0.6554160118103027,0.14,-0.148,-1.179,1.196
0.6648240089416504,0.149,-0.13,-1.133,1.15
0.6809988021850586,0.136,-0.128,-1.033,1.05
0.6842269897460938,0.061,-0.105,-0.939,0.947
0.6949377059936523,0.032,-0.091,-0.881,0.886
0.7047877311706543,0.081,-0.074,-0.829,0.836
0.7147197723388672,0.118,-0.024,-0.814,0.823
0.7246458530426025,0.082,0.02,-0.744,0.749
0.7347097396850586,0.162,0.0,-0.789,0.805
0.7439799308776855,0.22,0.038,-0.777,0.808
0.7544169425964355,0.195,0.068,-0.711,0.74
0.7645230293273926,0.205,0.02,-0.739,0.767
0.780674934387207,0.147,0.019,-0.806,0.82
0.7835617065429688,0.095,0.045,-0.863,0.869
0.7947587966918945,0.058,0.065,-0.823,0.828
0.8041987419128418,0.042,0.057,-0.777,0.78
0.8144350051879883,0.026,0.134,-0.794,0.806
0.8242068290710449,0.061,0.19,-0.877,0.899
0.8342099189758301,0.132,0.182,-0.906,0.933
0.8433108329772949,0.189,0.153,-0.861,0.895
0.8540728092193604,0.217,0.13,-0.877,0.913
0.8638477325439453,0.165,0.126,-0.844,0.869
0.8804450035095215,0.068,0.16,-0.838,0.856
0.8833608627319336,0.042,0.206,-0.873,0.898
0.8940808773040771,0.093,0.228,-0.896,0.929
0.9038867950439453,0.195,0.254,-0.762,0.827
0.9140057563781738,0.294,0.255,-0.642,0.751
0.9237909317016602,0.384,0.268,-0.621,0.778
0.9338598251342773,0.389,0.289,-0.628,0.793
0.9429097175598145,0.296,0.35,-0.645,0.791
0.9535889625549316,0.18,0.441,-0.665,0.818
0.9632596969604492,0.084,0.5,-0.748,0.904
0.9734430313110352,0.072,0.523,-0.839,0.991
0.9825088977813721,0.114,0.508,-0.896,1.036
0.9932737350463867,0.145,0.472,-0.887,1.015
1.0034139156341553,0.171,0.455,-0.75,0.894
1.01322603225708,0.325,0.542,-0.812,1.029
1.023298740386963,0.584,0.698,-0.983,1.34
1.0333847999572754,0.805,0.839,-1.053,1.569
1.042609691619873,0.923,0.897,-1.066,1.671
1.053086757659912,0.899,0.895,-1.079,1.665
1.0629687309265137,0.811,0.836,-1.063,1.577
1.079603910446167,0.761,0.775,-1.085,1.535
1.0824646949768066,0.794,0.749,-1.167,1.598
1.0930588245391846,0.868,0.748,-1.221,1.674
1.102794885635376,1.001,0.776,-1.243,1.775
1.1128487586975098,1.167,0.809,-1.246,1.889
1.1227529048919678,1.517,0.849,-1.092,2.053
1.1330280303955078,1.631,0.908,-1.093,2.163
1.1419358253479004,1.484,0.892,-1.175,2.092
1.1531319618225098,1.509,0.812,-1.018,1.993
1.1629447937011719,1.512,0.738,-0.943,1.929
1.178971767425537,1.589,0.658,-0.891,1.937
1.1820929050445557,1.655,0.582,-0.945,1.993
1.1926639080047607,1.686,0.506,-0.999,2.024
1.2023868560791016,1.651,0.442,-1.041,2.001
1.2123727798461914,1.591,0.364,-1.044,1.937
1.2222590446472168,1.349,0.245,-1.134,1.779
1.2324988842010498,1.254,0.208,-1.029,1.635
1.2415447235107422,1.192,0.179,-1.005,1.569
1.2523188591003418,0.786,0.075,-1.213,1.447
1.2621006965637207,0.626,0.076,-1.032,1.209
1.2786428928375244,0.83,0.145,-0.915,1.244
1.2815568447113037,0.984,0.183,-0.775,1.266
1.2923927307128906,0.61,0.219,-0.687,0.944
1.3031787872314453,0.569,0.333,-0.675,0.944
1.3119618892669678,0.674,0.413,-0.599,0.992
1.3218297958374023,0.708,0.422,-0.493,0.96
1.331902027130127,0.754,0.43,-0.366,0.942
