time,gFx,gFy,gFz,gFTotal
0.007772922515869141,0.051,-0.081,-1.078,1.082
0.01734781265258789,0.044,-0.05,-1.106,1.108
0.027504920959472656,0.075,-0.04,-1.077,1.08
0.037494659423828125,0.104,-0.059,-0.978,0.985
0.04739093780517578,0.118,-0.08,-0.9,0.911
0.0572819709777832,0.111,-0.094,-0.879,0.891
0.06729984283447266,0.088,-0.103,-0.851,0.862
0.0775136947631836,0.049,-0.113,-0.783,0.793
0.08707284927368164,-0.013,-0.129,-0.683,0.695
0.09714484214782715,-0.044,-0.165,-0.648,0.67
0.10718679428100586,-0.035,-0.201,-0.686,0.716
0.1170186996459961,-0.076,-0.19,-0.718,0.747
0.12716197967529297,-0.113,-0.14,-0.697,0.72
0.13699078559875488,0.002,-0.099,-0.692,0.699
0.1469438076019287,0.074,-0.105,-0.787,0.797
0.15712785720825195,0.045,-0.106,-0.988,0.995
0.16697168350219727,-0.026,-0.045,-1.111,1.112
0.17698383331298828,-0.12,0.134,-1.117,1.131
0.1867537498474121,-0.106,0.082,-1.079,1.087
0.1968698501586914,-0.025,-0.041,-1.037,1.038
0.20669078826904297,0.142,-0.201,-1.028,1.057
0.2165060043334961,0.349,-0.404,-0.982,1.118
0.22678780555725098,0.462,-0.502,-0.891,1.122
0.23638176918029785,0.394,-0.414,-0.835,1.012
0.24649667739868164,0.292,-0.288,-0.804,0.903
0.2565169334411621,0.183,-0.156,-0.739,0.777
0.26648378372192383,0.14,0.015,-0.753,0.766
0.2787818908691406,0.188,0.155,-0.838,0.873
0.28627967834472656,0.248,0.138,-0.915,0.958
0.2962827682495117,0.288,0.008,-0.991,1.032
0.30628085136413574,0.288,-0.148,-1.09,1.137
0.31618595123291016,0.283,-0.315,-1.165,1.24
0.3261446952819824,0.295,-0.419,-1.125,1.236
0.3360776901245117,0.293,-0.336,-0.914,1.017
0.34615087509155273,0.284,-0.137,-0.676,0.746
0.356292724609375,0.294,-0.007,-0.463,0.549
0.36602282524108887,0.303,0.012,-0.304,0.429
0.37601184844970703,0.189,0.117,0.073,0.234
0.3858656883239746,0.044,0.342,0.427,0.549
0.39600682258605957,0.205,0.492,0.191,0.566
0.40595579147338867,0.449,0.303,-0.14,0.559
0.4156489372253418,0.436,0.248,-0.481,0.695
0.42603182792663574,0.148,0.422,-0.754,0.877
0.4358818531036377,-0.095,0.515,-0.794,0.951
0.44570183753967285,-0.324,0.534,-0.805,1.019
0.45557498931884766,-0.55,0.651,-0.934,1.264
0.4657268524169922,-0.64,0.782,-1.054,1.46
0.4757657051086426,-0.584,0.838,-1.116,1.513
0.48529767990112305,-0.433,0.832,-1.109,1.452
0.49516773223876953,-0.284,0.857,-1.064,1.395
0.505396842956543,-0.171,0.9,-0.941,1.313
0.5152096748352051,-0.102,0.904,-0.766,1.189
0.5253176689147949,-0.088,0.955,-0.614,1.139
0.5352568626403809,-0.048,1.04,-0.527,1.167
0.5452308654785156,-0.037,1.026,-0.498,1.141
0.5550258159637451,-0.083,0.985,-0.518,1.116
0.5648958683013916,-0.036,1.03,-0.589,1.187
0.5749588012695312,0.306,1.076,-0.536,1.24
0.5848898887634277,0.709,1.166,-0.401,1.422
0.5956177711486816,0.785,1.236,-0.371,1.51
0.6049668788909912,0.729,1.254,-0.384,1.5
0.6146516799926758,0.704,1.148,-0.35,1.391
0.6248769760131836,0.625,1.081,-0.326,1.291
0.6347408294677734,0.522,1.092,-0.34,1.257
0.6446256637573242,0.457,1.205,-0.428,1.358
0.6545288562774658,0.502,1.366,-0.56,1.559
0.6646938323974609,0.686,1.47,-0.734,1.781
0.6748147010803223,0.931,1.429,-0.992,1.973
0.6844286918640137,1.259,1.24,-1.314,2.202
0.6944136619567871,1.627,0.975,-1.612,2.489
0.7044768333435059,1.841,0.706,-1.823,2.685
0.7147459983825684,1.889,0.591,-1.928,2.763
0.7242498397827148,1.95,0.639,-1.856,2.767
0.7344827651977539,1.976,0.667,-1.696,2.688
0.7446279525756836,1.984,0.585,-1.524,2.569
0.7541017532348633,1.901,0.693,-1.341,2.427
0.7641067504882812,1.969,0.733,-1.127,2.384
0.7740488052368164,2.085,0.693,-0.92,2.382
0.7842168807983398,2.13,0.696,-0.799,2.379
0.7940616607666016,2.029,0.646,-0.69,2.238
0.8037509918212891,1.815,0.535,-0.664,2.005
0.8138127326965332,1.558,0.446,-0.716,1.772
0.8236799240112305,1.297,0.411,-0.752,1.555
0.8339509963989258,1.06,0.377,-0.792,1.376
0.8439626693725586,0.902,0.393,-0.786,1.259
0.8536109924316406,0.962,0.402,-0.646,1.227
0.8634798526763916,0.838,0.387,-0.526,1.062
0.8735966682434082,0.644,0.393,-0.459,0.883
0.8837988376617432,0.37,0.39,-0.549,0.768
0.8935508728027344,0.192,0.334,-0.56,0.68
0.9033498764038086,0.231,0.244,-0.425,0.542
0.9133009910583496,0.305,0.212,-0.356,0.514
0.9237546920776367,0.343,0.208,-0.24,0.467
0.9333896636962891,0.265,0.242,-0.151,0.389
0.9432308673858643,0.173,0.235,-0.152,0.329
0.9532346725463867,0.049,0.182,-0.195,0.271
0.9632806777954102,0.094,0.12,-0.177,0.234
0.9732499122619629,0.316,0.145,-0.138,0.374
0.9831218719482422,0.581,0.213,-0.142,0.635
0.9930329322814941,0.84,0.272,-0.158,0.897
1.0032877922058105,0.93,0.255,-0.201,0.985
1.0129618644714355,0.891,0.141,-0.235,0.932
1.0229928493499756,0.825,0.124,-0.387,0.92
1.0330018997192383,0.819,0.119,-0.452,0.943
1.0429129600524902,0.878,0.055,-0.448,0.987
1.05269193649292,0.904,-0.003,-0.407,0.991
1.0627827644348145,0.953,0.064,-0.375,1.026
1.0727148056030273,1.004,0.134,-0.357,1.074
1.0828218460083008,1.017,0.205,-0.225,1.062
1.092451810836792,1.018,0.199,-0.005,1.037
1.102616786956787,0.968,0.173,0.222,1.008
1.1124818325042725,0.953,0.344,0.255,1.045
1.1227517127990723,0.913,0.457,0.311,1.067
1.1325578689575195,0.858,0.496,0.375,1.06
1.1423978805541992,0.903,0.482,0.252,1.054
1.1521177291870117,0.99,0.438,-0.011,1.083
1.162698745727539,0.98,0.443,-0.188,1.092
1.172217845916748,0.946,0.333,-0.236,1.03
1.1822147369384766,0.946,0.307,-0.221,1.019
1.1920256614685059,1.01,0.396,-0.178,1.099
