time,gFx,gFy,gFz,gFTotal
0.010381937026977539,0.004,-0.237,-1.026,1.053
0.01706695556640625,0.03,-0.276,-0.945,0.985
0.027086973190307617,0.072,-0.325,-0.89,0.95
0.03693699836730957,0.074,-0.361,-0.871,0.946
0.04694795608520508,0.044,-0.373,-0.901,0.976
0.05693197250366211,0.019,-0.351,-0.945,1.008
0.06690692901611328,0.02,-0.327,-0.988,1.041
0.07674384117126465,0.021,-0.306,-1.005,1.051
0.08673691749572754,0.012,-0.288,-1.002,1.043
0.09662795066833496,-0.005,-0.282,-0.985,1.025
0.11004185676574707,-0.023,-0.293,-0.963,1.007
0.11621594429016113,-0.036,-0.308,-0.939,0.989
0.12663483619689941,-0.043,-0.322,-0.912,0.968
0.1365058422088623,-0.037,-0.339,-0.907,0.969
0.146561861038208,-0.017,-0.359,-0.943,1.009
0.15644288063049316,0.0,-0.378,-0.986,1.056
0.1665019989013672,0.038,-0.383,-0.989,1.061
0.17641711235046387,0.028,-0.367,-0.955,1.023
0.18637681007385254,-0.005,-0.337,-0.893,0.954
0.1962268352508545,-0.009,-0.33,-0.845,0.907
0.20630908012390137,-0.008,-0.323,-0.825,0.886
0.21559596061706543,0.006,-0.339,-0.86,0.924
0.22623515129089355,0.027,-0.372,-0.9,0.974
0.2360520362854004,0.046,-0.398,-0.927,1.01
0.2460949420928955,0.053,-0.4,-0.943,1.026
0.2559840679168701,0.064,-0.387,-0.961,1.038
0.26599597930908203,0.086,-0.381,-0.977,1.052
0.27577996253967285,0.11,-0.377,-0.977,1.053
0.28595709800720215,0.115,-0.37,-0.954,1.03
0.29526782035827637,0.105,-0.372,-0.919,0.997
0.3058640956878662,0.083,-0.372,-0.88,0.959
0.3157169818878174,0.057,-0.376,-0.845,0.927
0.3256499767303467,0.044,-0.378,-0.814,0.899
0.3355109691619873,0.042,-0.373,-0.8,0.884
0.3457949161529541,0.039,-0.352,-0.804,0.879
0.35561585426330566,0.042,-0.329,-0.816,0.881
0.3666219711303711,0.052,-0.312,-0.838,0.896
0.3753819465637207,0.067,-0.317,-0.887,0.944
0.3854358196258545,0.076,-0.339,-0.911,0.975
0.3953220844268799,0.087,-0.348,-0.896,0.965
0.40883803367614746,0.111,-0.366,-0.897,0.975
0.41484498977661133,0.114,-0.414,-0.893,0.991
0.42555880546569824,0.1,-0.435,-0.875,0.982
0.4360969066619873,0.067,-0.409,-0.842,0.938
0.44508910179138184,0.038,-0.386,-0.798,0.887
0.4551429748535156,0.016,-0.368,-0.75,0.836
0.46542906761169434,0.026,-0.301,-0.726,0.786
0.47492194175720215,-0.031,-0.226,-0.754,0.788
0.48493313789367676,-0.138,-0.152,-0.812,0.838
0.49439215660095215,-0.224,-0.117,-0.828,0.866
0.5052258968353271,-0.245,-0.173,-0.814,0.867
0.5143868923187256,-0.229,-0.251,-0.777,0.848
0.5243139266967773,-0.152,-0.354,-0.73,0.825
0.5347568988800049,0.093,-0.404,-0.712,0.824
0.5446679592132568,0.28,-0.303,-0.699,0.812
0.5546410083770752,0.181,-0.259,-0.734,0.799
0.5662879943847656,0.171,-0.303,-0.829,0.899
0.5744359493255615,0.158,-0.365,-0.851,0.939
0.584496021270752,0.166,-0.435,-0.784,0.912
0.5943820476531982,0.287,-0.499,-0.667,0.881
0.6044859886169434,0.415,-0.514,-0.583,0.881
0.6139438152313232,0.423,-0.521,-0.575,0.884
0.6242668628692627,0.297,-0.423,-0.614,0.803
0.6342940330505371,0.175,-0.309,-0.668,0.757
0.6450541019439697,0.141,-0.232,-0.648,0.703
0.6538519859313965,0.203,-0.218,-0.568,0.641
0.6641499996185303,0.305,-0.242,-0.502,0.635
0.6740639209747314,0.39,-0.24,-0.449,0.641
0.6839478015899658,0.436,-0.151,-0.313,0.558
0.6935079097747803,0.463,-0.044,-0.222,0.515
0.7040150165557861,0.488,-0.014,-0.303,0.575
0.7134149074554443,0.446,-0.008,-0.399,0.598
0.7240629196166992,0.425,-0.05,-0.55,0.697
0.7338731288909912,0.317,-0.057,-0.621,0.7
0.7438271045684814,0.149,-0.006,-0.608,0.626
0.7535769939422607,-0.009,0.043,-0.686,0.687
0.7638199329376221,-0.026,0.096,-0.859,0.865
0.7737159729003906,0.02,0.182,-0.949,0.967
0.7835140228271484,0.101,0.23,-1.045,1.075
0.793834924697876,0.147,0.241,-1.141,1.175
0.8072168827056885,0.127,0.247,-1.13,1.164
0.8130700588226318,0.014,0.261,-1.03,1.063
0.8230841159820557,-0.085,0.251,-0.952,0.988
0.8333740234375,-0.028,0.278,-0.9,0.942
0.8432910442352295,0.015,0.412,-0.798,0.898
0.8528521060943604,0.046,0.478,-0.705,0.853
0.8633458614349365,0.051,0.456,-0.544,0.712
0.8731338977813721,0.069,0.561,-0.454,0.725
0.883232831954956,0.107,0.674,-0.382,0.782
0.8931059837341309,0.122,0.769,-0.432,0.89
0.9070651531219482,0.195,0.843,-0.639,1.076
0.9125778675079346,0.307,0.887,-0.955,1.339
0.9230401515960693,0.372,0.915,-1.272,1.61
0.9330050945281982,0.384,0.941,-1.509,1.819
0.9429371356964111,0.332,0.942,-1.58,1.869
0.9524369239807129,0.285,0.896,-1.491,1.763
0.9627339839935303,0.294,0.849,-1.446,1.702
0.9727129936218262,0.373,0.79,-1.491,1.728
0.9826328754425049,0.508,0.698,-1.586,1.806
0.9929468631744385,0.63,0.584,-1.54,1.763
1.0026748180389404,0.712,0.494,-1.532,1.76
1.0121209621429443,0.792,0.476,-1.588,1.837
1.0225818157196045,0.852,0.49,-1.601,1.879
1.0326449871063232,0.891,0.487,-1.557,1.859
1.0425100326538086,0.956,0.476,-1.494,1.836
1.0532870292663574,1.057,0.459,-1.447,1.85
1.0623929500579834,1.12,0.422,-1.426,1.862
1.072598934173584,1.112,0.365,-1.423,1.842
1.0823681354522705,1.102,0.299,-1.457,1.851
1.0916550159454346,1.108,0.329,-1.443,1.849
1.1060290336608887,1.122,0.314,-1.386,1.811
1.1116869449615479,1.087,0.264,-1.332,1.739
1.1220228672027588,0.994,0.236,-1.234,1.602
1.1320960521697998,0.885,0.268,-1.103,1.439
1.1420059204101562,0.802,0.294,-0.927,1.261
1.1515250205993652,0.757,0.288,-0.758,1.109
1.1626310348510742,0.796,0.282,-0.702,1.098
1.1716821193695068,0.887,0.281,-0.698,1.163
1.181791067123413,0.994,0.249,-0.7,1.241
1.1918139457702637,1.107,0.215,-0.715,1.335
1.2056758403778076,1.204,0.239,-0.738,1.432
1.2111330032348633,1.201,0.244,-0.75,1.437
1.2214701175689697,1.113,0.243,-0.763,1.371
