time,gFx,gFy,gFz,gFTotal
0.00292205810546875,0.094,-0.11,-1.075,1.085
0.011638164520263672,0.105,-0.083,-1.087,1.095
0.02142810821533203,0.118,-0.075,-1.06,1.069
0.031568050384521484,0.132,-0.067,-1.003,1.014
0.041233062744140625,0.121,-0.067,-0.948,0.958
0.05169820785522461,0.101,-0.074,-0.911,0.92
0.06118202209472656,0.088,-0.079,-0.868,0.876
0.07142925262451172,0.086,-0.069,-0.814,0.821
0.08115911483764648,0.085,-0.068,-0.775,0.783
0.09119033813476562,0.043,-0.105,-0.784,0.792
0.10117912292480469,0.001,-0.173,-0.825,0.843
0.11132121086120605,0.007,-0.229,-0.863,0.893
0.12109518051147461,-0.002,-0.258,-0.917,0.953
0.13116216659545898,0.005,-0.203,-0.962,0.983
0.14090919494628906,-0.036,-0.229,-1.002,1.028
0.1511540412902832,-0.049,-0.234,-1.031,1.058
0.1608753204345703,-0.056,-0.191,-1.004,1.024
0.17109203338623047,-0.076,-0.118,-0.93,0.941
0.18073225021362305,-0.1,-0.055,-0.866,0.873
0.19071626663208008,-0.13,-0.025,-0.819,0.83
0.20058202743530273,-0.176,-0.038,-0.81,0.83
0.21069908142089844,-0.192,0.018,-0.9,0.92
0.2202000617980957,-0.192,-0.038,-1.009,1.028
0.23084402084350586,-0.1,-0.158,-1.041,1.058
0.24056410789489746,0.117,-0.299,-1.003,1.053
0.2505960464477539,0.348,-0.425,-0.939,1.088
0.26027822494506836,0.454,-0.405,-0.885,1.074
0.2707509994506836,0.251,-0.282,-0.936,1.009
0.28026318550109863,0.166,-0.191,-1.001,1.032
0.2910470962524414,0.219,-0.163,-0.932,0.971
0.30022215843200684,0.243,-0.171,-0.824,0.876
0.31025218963623047,0.26,-0.17,-0.684,0.751
0.31981801986694336,0.26,-0.128,-0.591,0.658
0.3302493095397949,0.241,-0.096,-0.578,0.634
0.3403053283691406,0.259,-0.119,-0.603,0.667
0.3501920700073242,0.253,-0.141,-0.615,0.68
0.3607602119445801,0.205,-0.11,-0.588,0.632
0.3702712059020996,0.112,-0.002,-0.291,0.312
0.3798701763153076,0.078,0.15,0.03,0.172
0.3899421691894531,0.189,0.311,-0.173,0.403
0.399644136428833,0.235,0.301,-0.347,0.516
0.410189151763916,0.246,0.224,-0.468,0.574
0.41979503631591797,0.093,0.281,-0.608,0.676
0.42999720573425293,-0.057,0.374,-0.696,0.792
0.4396641254425049,-0.15,0.42,-0.58,0.732
0.45003318786621094,-0.34,0.5,-0.609,0.858
0.4594571590423584,-0.435,0.631,-0.792,1.102
0.46976709365844727,-0.42,0.692,-0.881,1.196
0.4793572425842285,-0.359,0.719,-0.918,1.22
0.4894280433654785,-0.347,0.766,-0.805,1.164
0.4993901252746582,-0.398,0.695,-0.689,1.056
0.5092511177062988,-0.365,0.701,-0.699,1.055
0.5193042755126953,-0.287,0.806,-0.798,1.17
0.529548168182373,-0.038,0.912,-1.079,1.413
0.5394172668457031,0.371,0.949,-1.122,1.516
0.5494611263275146,0.601,0.938,-0.974,1.48
0.5590341091156006,0.64,0.948,-0.755,1.371
0.5693039894104004,0.636,0.982,-0.614,1.321
0.5788912773132324,0.642,1.055,-0.667,1.404
0.5897331237792969,0.72,1.116,-0.814,1.558
0.5989842414855957,0.851,1.131,-1.013,1.741
0.6090540885925293,0.944,1.135,-1.251,1.935
0.6196432113647461,1.052,1.088,-1.44,2.089
0.6289882659912109,1.154,1.009,-1.555,2.184
0.6389422416687012,1.257,0.922,-1.579,2.219
0.6488251686096191,1.382,0.83,-1.491,2.196
0.6586802005767822,1.467,0.788,-1.382,2.164
0.6688370704650879,1.485,0.746,-1.23,2.068
0.6784682273864746,1.47,0.667,-1.03,1.915
0.6887221336364746,1.466,0.603,-0.904,1.825
0.6986870765686035,1.506,0.587,-0.878,1.839
0.7084832191467285,1.609,0.568,-0.953,1.954
0.7192761898040771,1.695,0.501,-1.051,2.056
0.7286872863769531,1.686,0.42,-1.11,2.062
0.7384181022644043,1.636,0.333,-1.13,2.016
0.7484040260314941,1.595,0.251,-1.129,1.97
0.7582530975341797,1.497,0.203,-1.109,1.874
0.768397331237793,1.393,0.259,-1.082,1.783
0.7784433364868164,1.292,0.289,-1.097,1.719
0.7881813049316406,1.139,0.282,-1.088,1.6
0.7984731197357178,1.038,0.145,-1.018,1.461
0.8079571723937988,0.964,0.04,-1.012,1.398
0.8181452751159668,0.688,0.225,-0.967,1.208
0.8280541896820068,0.506,0.368,-0.816,1.028
0.8379940986633301,0.545,0.272,-0.686,0.917
0.8481121063232422,0.584,0.126,-0.429,0.736
0.8576493263244629,0.348,0.229,-0.379,0.563
0.8678631782531738,0.423,0.213,-0.347,0.587
0.8777492046356201,0.402,0.224,-0.324,0.563
0.8877341747283936,0.408,0.292,-0.314,0.592
0.8976502418518066,0.463,0.316,-0.209,0.598
0.9075992107391357,0.512,0.375,-0.107,0.644
0.9176971912384033,0.629,0.444,-0.029,0.77
0.9274930953979492,0.715,0.439,0.054,0.841
0.9378843307495117,0.728,0.371,0.049,0.819
0.9474031925201416,0.645,0.356,-0.054,0.739
0.9574680328369141,0.622,0.359,-0.117,0.728
0.9674191474914551,0.642,0.342,-0.138,0.74
0.9774281978607178,0.696,0.343,-0.114,0.784
0.9872281551361084,0.798,0.194,-0.083,0.825
0.9971423149108887,0.901,-0.037,0.025,0.902
1.0069670677185059,0.746,0.037,-0.129,0.758
1.0168581008911133,0.684,0.122,-0.23,0.732
1.0270190238952637,0.666,0.044,-0.167,0.688
1.0367522239685059,0.65,0.085,0.065,0.659
1.0469660758972168,0.758,0.356,0.118,0.846
1.0567760467529297,0.921,0.699,-0.072,1.158
1.0669732093811035,0.772,0.517,-0.203,0.951
1.0766081809997559,0.801,0.422,0.022,0.906
1.0867011547088623,0.834,0.514,0.076,0.983
1.097046136856079,0.934,0.636,0.2,1.148
1.1067171096801758,1.026,0.712,0.104,1.253
1.116819143295288,1.066,0.859,0.152,1.377
1.1268131732940674,1.107,0.934,0.229,1.466
1.1367712020874023,1.11,0.883,0.338,1.458
1.1464900970458984,1.031,0.756,0.371,1.331
1.1562223434448242,0.87,0.692,0.094,1.116
1.1665573120117188,0.696,0.674,-0.127,0.977
1.1762633323669434,0.618,0.707,-0.152,0.951
1.1862142086029053,0.626,0.708,-0.052,0.946
1.1962461471557617,0.67,0.671,-0.019,0.948
1.2061080932617188,0.653,0.723,0.015,0.974
1.2161612510681152,0.636,0.789,0.032,1.014
1.226100206375122,0.723,0.744,0.01,1.037
1.2361061573028564,0.93,0.669,0.111,1.151
1.2460312843322754,1.03,0.67,0.141,1.237
1.2560620307922363,0.894,0.621,0.023,1.089
1.2660140991210938,0.778,0.555,0.045,0.957
1.275841236114502,0.666,0.524,0.028,0.848
1.2856383323669434,0.678,0.596,0.023,0.903
1.2956881523132324,0.805,0.643,0.05,1.031
1.3056082725524902,0.943,0.652,0.012,1.147
1.3157241344451904,1.062,0.647,-0.017,1.244
1.3260869979858398,1.11,0.552,0.001,1.24
1.3358402252197266,1.053,0.48,0.015,1.157
1.3456151485443115,0.857,0.355,-0.016,0.928
1.3553190231323242,0.721,0.278,0.037,0.774
1.3659400939941406,0.726,0.164,0.043,0.746
1.3756392002105713,0.666,0.078,0.026,0.671
1.385223150253296,0.586,0.124,0.028,0.6
1.3954272270202637,0.49,0.214,-0.022,0.535
1.4059033393859863,0.298,0.377,-0.067,0.485
1.4154391288757324,0.202,0.511,-0.11,0.56
1.4249730110168457,0.237,0.483,-0.121,0.551
1.4349970817565918,0.273,0.457,-0.094,0.541
1.4454212188720703,0.317,0.481,-0.092,0.583
1.4551961421966553,0.361,0.491,-0.079,0.615
1.4651103019714355,0.404,0.511,-0.042,0.653
1.474952220916748,0.437,0.594,0.059,0.74
1.4848761558532715,0.374,0.645,0.133,0.757
1.494652271270752,0.452,0.679,0.105,0.822
1.5047450065612793,0.542,0.676,0.126,0.876
1.5147731304168701,0.973,0.916,0.236,1.357
1.5251281261444092,2.161,2.134,0.34,3.056
1.5345971584320068,2.529,3.421,0.111,4.256
1.5448222160339355,1.367,2.845,-0.088,3.158
1.5544910430908203,0.105,1.244,-0.191,1.263
1.5649511814117432,-0.133,0.608,-0.217,0.659
1.5744421482086182,0.023,0.535,-0.288,0.608
1.5843031406402588,0.247,0.65,-0.321,0.766
1.5943331718444824,0.392,0.802,-0.216,0.918
1.6046772003173828,0.512,0.907,-0.047,1.043
1.6139631271362305,0.547,0.867,0.079,1.028
1.6242191791534424,0.539,0.802,0.156,0.979
1.634101152420044,0.602,0.744,0.209,0.98
1.6444621086120605,0.65,0.733,0.182,0.996
1.6540002822875977,0.69,0.774,0.088,1.041
1.6642413139343262,0.695,0.835,-0.039,1.087
1.6740260124206543,0.651,0.864,-0.176,1.096
1.6838481426239014,0.607,0.881,-0.142,1.079
1.6938562393188477,0.681,0.853,0.031,1.092
1.703869342803955,0.747,0.757,0.085,1.067
1.7138621807098389,0.664,0.771,-0.022,1.018
1.7240500450134277,0.517,0.891,-0.083,1.033
1.7337713241577148,0.41,0.976,-0.022,1.059
1.744016170501709,0.352,0.957,0.017,1.02
1.7535243034362793,0.309,0.929,0.046,0.98
1.7637252807617188,0.339,0.877,0.037,0.941
1.7735400199890137,0.457,0.842,-0.018,0.958
1.7834782600402832,0.608,0.835,-0.109,1.039
1.7935142517089844,0.75,0.799,-0.212,1.116
1.8032782077789307,0.792,0.767,-0.222,1.125
1.8136420249938965,0.752,0.762,-0.147,1.081
1.8236870765686035,0.616,0.796,-0.023,1.007
1.833191156387329,0.504,0.796,0.158,0.955
1.8432350158691406,0.478,0.756,0.29,0.94
1.8529791831970215,0.538,0.706,0.284,0.932
1.8635163307189941,0.58,0.725,0.238,0.958
1.8734111785888672,0.596,0.829,0.135,1.03
1.883498191833496,0.505,0.959,0.08,1.087
1.8931221961975098,0.44,0.937,0.105,1.04
1.9028441905975342,0.476,0.923,-0.028,1.039
1.912947177886963,0.599,0.925,-0.222,1.124
