time,gFx,gFy,gFz,gFTotal
0.001722097396850586,-0.185,-0.367,-0.922,1.009
0.0019049644470214844,-0.185,-0.367,-0.922,1.009
0.0020630359649658203,-0.185,-0.367,-0.922,1.009
0.0059278011322021484,-0.054,-0.358,-0.98,1.045
0.02269911766052246,0.033,-0.297,-0.931,0.978
0.032750844955444336,0.089,-0.258,-0.921,0.961
0.04348587989807129,0.121,-0.242,-0.954,0.992
0.053511857986450195,0.126,-0.233,-0.946,0.982
0.06322884559631348,0.157,-0.213,-0.875,0.914
0.07387709617614746,0.161,-0.181,-0.955,0.985
0.10880589485168457,-0.05,-0.373,-0.981,1.051
0.10900187492370605,-0.05,-0.373,-0.981,1.051
0.10915684700012207,-0.05,-0.373,-0.981,1.051
0.11290597915649414,0.06,-0.266,-0.945,0.984
0.12311601638793945,0.155,-0.273,-0.954,1.004
0.13293194770812988,0.204,-0.337,-0.955,1.033
0.14381909370422363,0.189,-0.296,-0.896,0.962
0.15396380424499512,0.149,-0.168,-0.86,0.889
0.16352486610412598,0.128,-0.111,-0.932,0.947
0.1740739345550537,0.148,-0.155,-1.142,1.162
0.2108609676361084,-0.196,0.016,-0.61,0.641
0.21105313301086426,-0.196,0.016,-0.61,0.641
0.21120905876159668,-0.196,0.016,-0.61,0.641
0.21337008476257324,-0.219,0.025,-0.5,0.546
0.2235569953918457,-0.078,-0.204,-0.653,0.689
0.2335519790649414,0.122,-0.328,-0.836,0.906
0.24422502517700195,0.28,-0.429,-0.986,1.111
0.25408291816711426,0.406,-0.432,-1.141,1.286
0.2639920711517334,0.464,-0.374,-1.232,1.369
0.2745969295501709,0.509,-0.288,-1.535,1.643
0.309675931930542,0.42,-0.103,-1.206,1.281
0.30986499786376953,0.42,-0.103,-1.206,1.281
0.31002211570739746,0.42,-0.103,-1.206,1.281
0.31375813484191895,0.369,-0.104,-1.292,1.348
0.32387709617614746,0.444,-0.078,-1.749,1.806
0.33409595489501953,0.166,-0.21,-0.914,0.952
0.3446049690246582,0.313,-0.116,-1.01,1.064
0.35474610328674316,0.334,-0.059,-0.9,0.962
0.36482691764831543,0.238,-0.054,-0.74,0.779
0.3744089603424072,0.191,-0.047,-0.755,0.78
0.410200834274292,0.05,0.024,-0.529,0.532
0.41039204597473145,0.05,0.024,-0.529,0.532
0.4105539321899414,0.05,0.024,-0.529,0.532
0.41407299041748047,0.055,0.077,-0.518,0.527
0.4243509769439697,0.09,0.165,-0.508,0.542
0.43457913398742676,0.086,0.233,-0.456,0.519
0.4450528621673584,0.022,0.19,-0.462,0.5
0.4549980163574219,-0.016,0.122,-0.558,0.571
0.465069055557251,0.079,0.152,-0.578,0.603
0.4749901294708252,0.158,0.146,-0.624,0.66
0.5135409832000732,0.365,0.123,-0.99,1.062
0.5137951374053955,0.365,0.123,-0.99,1.062
0.5139520168304443,0.384,0.204,-1.066,1.151
0.5154850482940674,0.384,0.204,-1.066,1.151
0.5247409343719482,0.361,0.25,-1.092,1.177
0.5349209308624268,0.343,0.25,-1.11,1.188
0.5452969074249268,0.382,0.19,-1.123,1.201
0.5554590225219727,0.439,0.105,-1.079,1.17
0.5654499530792236,0.508,0.023,-1.009,1.13
0.5752389430999756,0.589,-0.082,-0.968,1.136
0.612663984298706,0.791,-0.38,-0.927,1.276
0.6128509044647217,0.791,-0.38,-0.927,1.276
0.6130189895629883,0.791,-0.38,-0.927,1.276
0.6148040294647217,0.801,-0.383,-0.949,1.3
0.6250760555267334,0.821,-0.381,-0.943,1.307
0.6349351406097412,0.866,-0.447,-0.93,1.347
0.6456429958343506,0.945,-0.544,-0.932,1.434
0.6558089256286621,1.025,-0.622,-0.931,1.518
0.665930986404419,1.08,-0.668,-0.88,1.545
0.6755468845367432,1.092,-0.713,-0.773,1.516
0.7117750644683838,1.038,-0.741,-0.465,1.357
0.7119629383087158,1.038,-0.741,-0.465,1.357
0.7121188640594482,1.038,-0.741,-0.465,1.357
0.7152540683746338,1.05,-0.746,-0.434,1.359
0.7254269123077393,1.083,-0.765,-0.412,1.388
0.7354660034179688,1.105,-0.768,-0.374,1.397
0.7460811138153076,1.121,-0.748,-0.359,1.395
0.7558867931365967,1.134,-0.728,-0.327,1.387
0.7664899826049805,1.127,-0.695,-0.278,1.353
0.77583909034729,1.108,-0.625,-0.257,1.298
0.8131110668182373,1.173,-0.433,-0.178,1.263
0.8132979869842529,1.173,-0.433,-0.178,1.263
0.8134520053863525,1.173,-0.433,-0.178,1.263
0.815593957901001,1.243,-0.472,-0.063,1.331
0.8257720470428467,1.356,-0.574,0.228,1.49
0.8359169960021973,1.429,-0.679,0.262,1.604
0.8457658290863037,1.344,-0.528,-0.06,1.445
0.8564679622650146,1.234,-0.154,-0.395,1.305
0.8664720058441162,1.155,0.045,-0.512,1.264
0.8761389255523682,1.097,0.038,-0.511,1.211
0.9085359573364258,0.99,-0.033,-0.394,1.066
0.9086759090423584,0.99,-0.033,-0.394,1.066
0.9087860584259033,0.99,-0.033,-0.394,1.066
0.9162609577178955,0.987,-0.052,-0.398,1.065
0.9261059761047363,0.954,-0.062,-0.388,1.032
0.936255931854248,0.916,-0.059,-0.341,0.979
0.9464290142059326,0.869,-0.034,-0.319,0.926
0.9569859504699707,0.854,-0.005,-0.367,0.93
0.9668810367584229,0.867,0.026,-0.457,0.98
0.9764809608459473,0.875,0.058,-0.524,1.022
1.0123019218444824,0.78,-0.039,-0.464,0.908
1.0124359130859375,0.78,-0.039,-0.464,0.908
