time,gFx,gFy,gFz,gFTotal
0.019923925399780273,0.105,-0.292,-0.873,0.927
0.02182292938232422,0.119,-0.299,-0.886,0.943
0.023410797119140625,0.134,-0.328,-0.876,0.945
0.03350400924682617,0.165,-0.323,-0.862,0.935
0.04307985305786133,0.189,-0.313,-0.891,0.963
0.05380988121032715,0.175,-0.282,-0.929,0.987
0.06446194648742676,0.131,-0.26,-0.963,1.006
0.07375288009643555,0.175,-0.267,-0.997,1.047
0.08454394340515137,0.195,-0.261,-1.012,1.063
0.09385490417480469,0.165,-0.245,-0.994,1.037
0.11802482604980469,0.146,-0.238,-1.029,1.066
0.12034487724304199,0.139,-0.206,-1.056,1.085
0.12437987327575684,0.079,-0.227,-1.102,1.128
0.13488388061523438,0.064,-0.207,-1.044,1.066
0.1445159912109375,0.039,-0.137,-0.978,0.988
0.15521478652954102,-0.036,-0.138,-1.0,1.01
0.16511106491088867,-0.006,-0.245,-0.927,0.959
0.1756577491760254,-0.029,-0.362,-0.891,0.962
0.18575382232666016,0.01,-0.493,-0.881,1.01
0.19693803787231445,0.03,-0.465,-0.781,0.909
0.22009801864624023,0.03,-0.336,-0.639,0.723
0.22185707092285156,0.03,-0.336,-0.639,0.723
0.2257227897644043,0.033,-0.295,-0.621,0.688
0.23681306838989258,0.037,-0.246,-0.662,0.707
0.24779391288757324,0.227,-0.292,-0.908,0.98
0.2564058303833008,0.502,-0.412,-1.161,1.33
0.2666187286376953,0.372,-0.394,-0.962,1.104
0.27650976181030273,0.213,-0.389,-0.809,0.923
0.28690576553344727,0.183,-0.485,-0.736,0.9
0.29744887351989746,0.248,-0.58,-0.712,0.951
0.31998300552368164,0.248,-0.578,-0.704,0.944
0.32190990447998047,0.178,-0.625,-0.732,0.979
0.3272669315338135,0.174,-0.639,-0.794,1.034
0.3377079963684082,0.127,-0.56,-0.765,0.957
0.3478059768676758,0.125,-0.487,-0.773,0.922
0.35777997970581055,0.11,-0.42,-0.724,0.844
0.3681020736694336,0.039,-0.436,-0.719,0.842
0.37799501419067383,-0.048,-0.479,-0.753,0.894
0.38834285736083984,0.028,-0.501,-0.849,0.986
0.3984498977661133,0.08,-0.5,-0.828,0.971
0.42169189453125,0.145,-0.416,-0.829,0.939
0.423429012298584,0.249,-0.423,-0.785,0.926
0.43105602264404297,0.38,-0.496,-0.833,1.041
0.4391758441925049,0.483,-0.561,-0.827,1.11
0.4493837356567383,0.362,-0.591,-0.516,0.864
0.4593348503112793,0.487,-0.758,-0.674,1.125
0.46967387199401855,0.394,-0.579,-0.736,1.016
0.48058176040649414,0.261,-0.458,-0.769,0.932
0.4897348880767822,0.159,-0.487,-0.777,0.931
0.5000977516174316,0.1,-0.5,-0.778,0.93
0.5227737426757812,0.334,-0.795,-0.435,0.966
0.5229568481445312,0.334,-0.795,-0.435,0.966
0.5317258834838867,0.319,-0.607,-0.779,1.038
0.5406038761138916,0.159,-0.648,-0.799,1.041
0.5512819290161133,0.095,-0.579,-0.786,0.981
0.5606560707092285,0.116,-0.483,-0.981,1.1
0.5711939334869385,0.23,-0.47,-0.977,1.108
0.5812399387359619,0.27,-0.499,-0.935,1.094
0.591278076171875,0.225,-0.527,-0.834,1.012
0.6014847755432129,0.214,-0.538,-0.86,1.037
0.6239719390869141,0.132,-0.526,-0.923,1.071
0.6258130073547363,0.122,-0.518,-0.838,0.993
0.6319658756256104,0.164,-0.543,-0.809,0.988
0.6420698165893555,0.146,-0.496,-0.812,0.963
0.6524498462677002,0.13,-0.312,-0.809,0.877
0.6635029315948486,0.066,0.091,-0.752,0.76
0.6724567413330078,-0.04,-0.301,-0.576,0.651
0.6827459335327148,0.026,-0.665,-0.604,0.899
0.6926569938659668,0.097,-0.671,-0.773,1.028
0.7029869556427002,0.119,-0.529,-0.714,0.897
0.7252707481384277,0.119,-0.275,-0.62,0.689
0.7268939018249512,-0.004,-0.457,-0.715,0.849
0.7339978218078613,-0.11,-0.964,-0.711,1.203
0.7434258460998535,0.008,-1.08,-0.822,1.357
0.7539489269256592,0.067,-0.849,-0.79,1.162
0.7639439105987549,0.066,-0.518,-0.732,0.899
0.7740607261657715,0.026,-0.427,-0.693,0.814
0.7842068672180176,-0.111,-0.574,-0.708,0.918
0.7940318584442139,-0.221,-0.611,-0.614,0.894
0.8044948577880859,-0.326,-0.71,-0.43,0.892
0.8258018493652344,-0.045,-1.284,-0.618,1.426
0.8259909152984619,-0.045,-1.284,-0.618,1.426
0.8353338241577148,0.064,-0.859,-0.655,1.082
0.8447837829589844,-0.071,-0.896,-0.704,1.142
0.8552060127258301,0.036,-1.059,-0.791,1.322
0.8654029369354248,-0.017,-1.086,-0.427,1.167
0.8753328323364258,-0.073,-1.203,-0.465,1.292
0.8857517242431641,-0.134,-1.286,-0.436,1.364
0.8972549438476562,-0.179,-1.34,-0.451,1.425
0.9059967994689941,-0.225,-1.433,-0.397,1.504
0.9277248382568359,-0.24,-1.325,-0.44,1.417
0.9320628643035889,-0.394,-0.764,-0.483,0.986
0.936460018157959,-0.147,-1.087,-0.101,1.102
0.9483819007873535,0.077,-1.624,0.204,1.639
0.9566788673400879,0.229,-1.505,0.267,1.546
0.9668350219726562,0.063,-1.004,-0.165,1.019
0.9767398834228516,-0.115,-0.871,-0.079,0.882
0.9871697425842285,-0.139,-0.93,0.035,0.941
0.9975788593292236,-0.105,-0.896,0.003,0.902
1.0073480606079102,-0.092,-0.698,0.014,0.704
1.0315649509429932,-0.043,-0.653,-0.006,0.654
1.0335209369659424,-0.017,-0.729,-0.022,0.73
1.037796974182129,0.025,-0.72,0.024,0.721
1.048144817352295,0.046,-0.644,0.055,0.648
1.0582170486450195,0.097,-0.596,0.005,0.604
1.068382740020752,0.135,-0.628,-0.025,0.643
1.0781798362731934,0.026,-0.606,-0.182,0.633
1.088608741760254,-0.059,-0.74,-0.171,0.762
1.0991158485412598,-0.099,-0.996,-0.085,1.005
1.1087679862976074,-0.216,-1.101,-0.109,1.127
1.130326747894287,-0.265,-1.169,-0.204,1.216
1.1321539878845215,-0.325,-1.232,-0.143,1.282
1.1393327713012695,-0.279,-1.374,-0.097,1.405
1.1495099067687988,-0.206,-1.494,-0.046,1.509
1.1595287322998047,-0.279,-1.608,-0.015,1.632
1.1699090003967285,-0.307,-1.792,0.06,1.819
1.1807599067687988,-0.219,-1.961,0.176,1.981
1.1899847984313965,-0.171,-1.851,0.082,1.861
1.2003498077392578,-0.12,-1.597,-0.13,1.607
1.210209846496582,-0.151,-1.389,-0.261,1.421
1.232334852218628,-0.154,-1.279,-0.362,1.338
1.2341108322143555,-0.194,-1.141,-0.438,1.237
1.2408618927001953,-0.202,-1.143,-0.355,1.214
1.2515318393707275,-0.228,-0.98,-0.361,1.069
1.260861873626709,-0.224,-0.885,-0.38,0.989
1.2713139057159424,-0.281,-0.957,-0.285,1.037
1.2813818454742432,-0.329,-0.889,-0.391,1.025
1.2914600372314453,-0.364,-0.896,-0.462,1.072
1.3017749786376953,-0.327,-0.969,-0.385,1.093
1.3118128776550293,-0.234,-1.049,-0.348,1.13
1.334662914276123,-0.17,-1.135,-0.302,1.187
1.3368568420410156,-0.16,-1.19,-0.319,1.242
1.342270851135254,-0.141,-1.162,-0.27,1.201
1.3526978492736816,-0.074,-1.068,-0.32,1.117
1.364053726196289,-0.027,-1.034,-0.468,1.135
1.3728408813476562,-0.001,-0.929,-0.492,1.051
1.3830599784851074,-0.019,-0.775,-0.594,0.977
1.3928189277648926,-0.006,-0.593,-0.587,0.834
1.4032299518585205,0.031,-0.403,-0.698,0.807
1.4142038822174072,0.196,-0.307,-0.738,0.823
1.4362518787384033,0.159,-0.125,-0.882,0.905
1.4383187294006348,0.094,-0.081,-0.83,0.839
1.444437026977539,0.143,-0.024,-0.712,0.727
1.4542417526245117,0.141,0.067,-0.632,0.651
1.4650249481201172,0.13,0.111,-0.608,0.632
1.4744267463684082,0.118,0.167,-0.643,0.675
1.4844779968261719,0.082,0.277,-0.684,0.743
1.4942989349365234,0.086,0.343,-0.671,0.758
1.5049448013305664,0.081,0.394,-0.691,0.8
1.5148639678955078,0.082,0.406,-0.702,0.815
1.5380518436431885,0.103,0.395,-0.734,0.84
1.5398850440979004,0.14,0.392,-0.772,0.877
1.545055866241455,0.146,0.368,-0.775,0.87
1.5555438995361328,0.127,0.336,-0.761,0.842
1.5657110214233398,0.145,0.283,-0.786,0.848
1.5757880210876465,0.165,0.266,-0.834,0.891
1.585993766784668,0.183,0.274,-0.866,0.927
1.5969839096069336,0.192,0.244,-0.901,0.953
1.6061718463897705,0.139,0.235,-0.915,0.955
1.6163718700408936,0.108,0.241,-0.883,0.922
1.6385788917541504,0.111,0.225,-0.857,0.893
1.6403417587280273,0.114,0.193,-0.841,0.87
1.648451805114746,0.114,0.131,-0.874,0.891
1.6568870544433594,0.176,0.064,-0.96,0.978
1.6677117347717285,0.214,0.097,-1.101,1.126
1.6809258460998535,0.26,0.064,-1.18,1.21
1.6872859001159668,0.226,0.103,-1.171,1.197
1.6980338096618652,0.115,0.131,-1.192,1.205
1.7076969146728516,-0.016,0.094,-1.131,1.135
1.7184278964996338,-0.004,0.06,-0.973,0.975
1.7440109252929688,-0.018,-0.019,-0.905,0.905
1.7491788864135742,0.001,-0.214,-0.857,0.883
1.7513668537139893,-0.043,-0.148,-0.754,0.77
1.758439064025879,0.094,-0.435,-0.65,0.788
1.7689478397369385,0.119,-0.613,-0.745,0.972
1.7784900665283203,0.104,-0.574,-0.983,1.143
1.788820743560791,0.111,-0.663,-0.995,1.201
1.7992138862609863,0.092,-0.773,-0.946,1.225
1.8088219165802002,0.025,-0.648,-0.873,1.088
1.8194060325622559,-0.006,-0.698,-0.773,1.042
1.8419609069824219,-0.013,-0.853,-0.622,1.056
1.8438539505004883,-0.086,-0.895,-0.546,1.052
1.849966049194336,-0.08,-1.04,-0.571,1.189
1.859879970550537,-0.027,-1.243,-0.715,1.434
1.8704018592834473,-0.055,-1.122,-0.722,1.335
1.8807828426361084,-0.011,-1.046,-0.32,1.094
1.8903088569641113,0.008,-1.078,-0.191,1.095
1.900552749633789,-0.088,-1.2,-0.01,1.203
1.9103569984436035,-0.138,-1.147,0.242,1.18
1.9208168983459473,-0.225,-0.886,0.199,0.936
1.94209885597229,-0.232,-0.634,0.233,0.714
1.9439077377319336,-0.229,-0.718,0.349,0.831
1.953230857849121,-0.302,-0.564,0.195,0.669
1.9697527885437012,-0.087,-0.096,0.24,0.273
1.972226858139038,-0.232,-0.062,-0.042,0.244
1.9818477630615234,-0.147,-0.132,0.185,0.271
1.9918580055236816,0.089,-0.254,3.681,3.691
2.001987934112549,0.181,-0.147,1.242,1.264
2.011854887008667,0.142,-0.156,-0.065,0.221
2.0221309661865234,0.132,-0.25,-0.076,0.293
2.0442678928375244,0.698,-0.961,-0.125,1.194
2.048508882522583,0.412,-0.744,-0.39,0.936
2.0530190467834473,0.03,-1.043,-0.291,1.083
2.0646848678588867,0.066,-2.349,-0.254,2.364
2.0729360580444336,0.026,-1.868,0.032,1.868
2.083169937133789,-0.023,-1.089,0.142,1.098
2.0931429862976074,-0.021,-0.856,0.276,0.9
2.1034398078918457,0.083,-0.712,0.439,0.841
2.1138010025024414,0.244,-0.492,0.508,0.748
2.123703956604004,0.349,-0.353,0.453,0.672
2.1453018188476562,0.562,-0.5,0.43,0.866
2.147829055786133,0.562,-0.5,0.43,0.866
2.154233932495117,1.074,-1.004,0.483,1.548
2.1646857261657715,1.016,-1.033,0.165,1.458
2.1744537353515625,0.698,-0.996,0.127,1.223
2.1846508979797363,0.575,-1.364,0.34,1.519
2.1944868564605713,0.6,-1.641,0.684,1.876
2.204916000366211,0.576,-1.723,1.058,2.102
2.215165853500366,0.524,-1.637,1.385,2.207
2.2252397537231445,0.486,-1.25,1.665,2.138
2.2465248107910156,0.515,-0.818,1.506,1.79
2.2484049797058105,0.538,-0.697,1.034,1.358
2.2555418014526367,0.48,-0.686,0.676,1.076
2.266007900238037,0.341,-0.62,0.459,0.843
2.2762858867645264,0.339,-0.663,0.417,0.853
2.286323070526123,0.364,-0.681,0.447,0.892
2.2992987632751465,0.348,-0.679,0.378,0.851
2.3062987327575684,0.34,-0.651,0.313,0.798
2.3165948390960693,0.353,-0.648,0.226,0.772
2.326447010040283,0.382,-0.692,0.134,0.802
2.349012851715088,0.413,-0.801,0.032,0.902
2.3509860038757324,0.456,-0.879,-0.058,0.992
2.357027053833008,0.521,-0.916,-0.146,1.064
2.367644786834717,0.553,-0.912,-0.229,1.091
2.37721586227417,0.505,-0.867,-0.275,1.04
2.3876748085021973,0.422,-0.843,-0.264,0.979
2.3978028297424316,0.367,-0.909,-0.305,1.027
2.4077839851379395,0.312,-1.039,-0.314,1.129
2.4180960655212402,0.276,-1.18,-0.238,1.235
2.427851915359497,0.233,-1.274,-0.128,1.301
2.450047016143799,0.233,-1.353,-0.002,1.373
2.4519200325012207,0.231,-1.47,0.043,1.489
2.458768844604492,0.19,-1.529,0.141,1.547
2.4688429832458496,0.185,-1.618,0.202,1.641
2.480353832244873,0.266,-1.748,0.612,1.871
2.489069938659668,0.42,-1.803,1.38,2.309
2.4994208812713623,0.566,-1.863,1.546,2.486
2.5092687606811523,0.535,-1.951,1.22,2.362
2.5195627212524414,0.506,-1.79,0.453,1.915
2.5307798385620117,0.503,-1.589,0.026,1.667
2.5529849529266357,0.696,-1.357,-0.12,1.53
2.5569210052490234,0.883,-1.095,0.042,1.407
2.559919834136963,0.961,-1.04,0.375,1.465
2.5703277587890625,0.706,-0.818,0.365,1.141
2.581425905227661,0.644,-0.9,0.191,1.123
2.5905869007110596,0.595,-1.025,0.066,1.187
2.600724935531616,0.469,-0.853,-0.114,0.98
