time,gFx,gFy,gFz,gFTotal
0.006206035614013672,0.129,-0.416,-0.855,0.96
0.01698017120361328,0.175,-0.428,-0.884,0.998
0.026212215423583984,0.195,-0.44,-0.848,0.975
0.03716111183166504,0.179,-0.439,-0.816,0.944
0.04671812057495117,0.156,-0.428,-0.819,0.937
0.07733821868896484,0.2,-0.47,-0.908,1.042
0.0778951644897461,0.2,-0.47,-0.908,1.042
0.08109402656555176,0.2,-0.47,-0.908,1.042
0.08734607696533203,0.202,-0.413,-0.904,1.014
0.09764313697814941,0.214,-0.31,-0.766,0.854
0.10759592056274414,0.188,-0.182,-0.623,0.676
0.11841607093811035,0.097,-0.2,-0.764,0.796
0.1276240348815918,0.076,-0.333,-0.767,0.84
0.1382761001586914,0.121,-0.416,-0.802,0.912
0.14842891693115234,0.122,-0.495,-1.182,1.287
0.18430423736572266,0.112,-0.032,-0.726,0.735
0.18460798263549805,0.112,-0.032,-0.726,0.735
0.1849079132080078,0.112,-0.032,-0.726,0.735
0.18848419189453125,0.042,-0.142,-0.854,0.867
0.19865798950195312,0.099,-0.433,-1.024,1.116
0.2087240219116211,0.269,-0.64,-1.057,1.265
0.21982097625732422,0.43,-0.703,-1.055,1.339
0.23015904426574707,0.46,-0.542,-0.976,1.207
0.23944306373596191,0.399,-0.386,-0.857,1.021
0.24993324279785156,0.337,-0.276,-0.824,0.932
0.2799100875854492,0.248,-0.121,-0.929,0.969
0.2802891731262207,0.248,-0.121,-0.929,0.969
0.28365206718444824,0.31,-0.182,-0.846,0.919
0.28990697860717773,0.518,-0.342,-0.799,1.012
0.3007011413574219,0.645,-0.517,-0.823,1.166
0.31005096435546875,0.662,-0.461,-0.718,1.08
0.3204679489135742,0.571,-0.354,-0.64,0.928
0.33132123947143555,0.497,-0.331,-0.627,0.866
0.3409090042114258,0.498,-0.338,-0.714,0.934
0.35119009017944336,0.529,-0.378,-0.832,1.056
0.3801701068878174,0.484,-0.457,-0.791,1.034
0.3805561065673828,0.422,-0.433,-0.78,0.987
0.382936954498291,0.422,-0.433,-0.78,0.987
0.39121103286743164,0.422,-0.383,-0.776,0.963
0.4021320343017578,0.445,-0.382,-0.78,0.976
0.4120779037475586,0.472,-0.348,-0.695,0.909
0.42212915420532227,0.587,-0.398,-0.61,0.935
0.43260622024536133,0.624,-0.444,-0.611,0.98
0.44263696670532227,0.542,-0.365,-0.693,0.952
0.4529850482940674,0.388,-0.2,-0.767,0.883
0.48206615447998047,0.617,-0.291,-0.905,1.133
0.4828372001647949,0.617,-0.291,-0.905,1.133
0.4844391345977783,0.617,-0.291,-0.905,1.133
0.4927072525024414,0.6,-0.438,-0.829,1.113
0.5036401748657227,0.639,-0.485,-0.466,0.928
0.5134201049804688,0.683,-0.443,-0.705,1.077
0.5238142013549805,0.553,-0.384,-0.727,0.991
0.5336310863494873,0.443,-0.434,-0.798,1.011
0.5433220863342285,0.423,-0.41,-0.765,0.966
0.5537281036376953,0.42,-0.422,-0.94,1.113
0.5752849578857422,-0.051,-0.325,-0.425,0.537
0.5754821300506592,-0.051,-0.325,-0.425,0.537
0.5845870971679688,0.049,-0.317,-0.511,0.603
0.5940389633178711,0.226,-0.388,-0.599,0.749
0.6046199798583984,0.366,-0.494,-0.738,0.961
0.6144981384277344,0.467,-0.513,-0.782,1.045
0.6245861053466797,0.474,-0.462,-0.767,1.013
0.634803056716919,0.408,-0.404,-0.705,0.909
0.6451880931854248,0.467,-0.429,-0.734,0.97
0.6550612449645996,0.504,-0.423,-0.835,1.063
0.6751251220703125,0.427,-0.332,-0.827,0.988
0.6766209602355957,0.427,-0.332,-0.827,0.988
0.6857061386108398,0.361,-0.327,-0.813,0.948
0.695652961730957,0.325,-0.324,-0.798,0.921
0.705833911895752,0.358,-0.328,-0.774,0.914
0.7158541679382324,0.448,-0.35,-0.763,0.952
0.7257709503173828,0.505,-0.377,-0.717,0.955
0.7361302375793457,0.468,-0.412,-0.746,0.972
0.7464232444763184,0.414,-0.418,-0.821,1.01
0.7563040256500244,0.349,-0.43,-0.899,1.056
0.7768912315368652,0.292,-0.375,-0.83,0.956
0.7785770893096924,0.292,-0.375,-0.83,0.956
0.7871589660644531,0.324,-0.357,-0.854,0.981
0.7971491813659668,0.256,-0.352,-0.851,0.956
0.8072042465209961,0.166,-0.214,-0.867,0.908
0.817451000213623,0.135,-0.503,-0.886,1.028
0.8273739814758301,0.154,-0.628,-0.948,1.148
0.8376679420471191,0.222,-0.675,-0.941,1.179
0.8483791351318359,0.234,-0.438,-0.85,0.984
0.8580842018127441,0.161,-0.415,-0.714,0.841
0.8822989463806152,0.266,-0.402,-0.916,1.035
0.8825540542602539,0.266,-0.402,-0.916,1.035
0.8883919715881348,0.204,-0.428,-0.775,0.909
0.8987290859222412,0.108,-0.519,-0.747,0.916
0.9086751937866211,0.051,-0.6,-0.912,1.093
0.9193792343139648,0.054,-0.806,-0.944,1.242
0.9293789863586426,0.076,-0.871,-0.896,1.252
0.9393351078033447,0.073,-0.626,-0.846,1.055
0.9496331214904785,0.044,-0.334,-0.755,0.827
0.9594790935516357,0.017,-0.388,-0.652,0.759
0.9841010570526123,0.209,-0.684,-0.633,0.955
0.984382152557373,0.209,-0.684,-0.633,0.955
0.9902019500732422,0.261,-0.493,-0.573,0.8
1.0009651184082031,0.216,-0.553,-0.684,0.906
1.010322093963623,0.185,-0.597,-0.729,0.96
1.0208401679992676,0.165,-0.617,-0.757,0.99
1.030771255493164,0.118,-0.665,-0.812,1.056
1.0408539772033691,0.086,-0.702,-0.858,1.112
1.0513701438903809,0.057,-0.739,-0.898,1.164
1.0614309310913086,0.102,-0.836,-0.919,1.247
1.0903539657592773,-0.076,-0.628,-1.017,1.198
1.0908970832824707,-0.076,-0.628,-1.017,1.198
1.093398094177246,-0.131,-0.822,-1.026,1.321
1.102100133895874,0.079,-1.176,-0.747,1.395
1.1120471954345703,-0.268,-1.203,-0.737,1.436
1.1222262382507324,-0.211,-1.052,-0.666,1.263
1.132390022277832,-0.15,-1.139,-0.722,1.357
1.1423890590667725,-0.095,-1.118,-0.663,1.303
1.1528239250183105,-0.072,-1.023,-0.646,1.212
1.1632251739501953,-0.012,-0.947,-0.603,1.123
1.1886200904846191,0.004,-0.766,-0.633,0.994
1.1889450550079346,0.004,-0.766,-0.633,0.994
1.1930761337280273,0.022,-0.769,-0.628,0.993
1.2037272453308105,0.023,-0.732,-0.59,0.94
1.2140369415283203,0.078,-0.619,-0.577,0.85
1.2237510681152344,-0.087,-0.665,-0.623,0.915
1.2342629432678223,-0.22,-0.682,-0.691,0.995
1.243934154510498,-0.236,-0.586,-0.523,0.82
1.254486083984375,-0.173,-0.691,-0.537,0.892
1.2645630836486816,-0.215,-0.57,-0.693,0.923
1.2911229133605957,-0.276,-0.609,-0.448,0.805
1.291417121887207,-0.276,-0.609,-0.448,0.805
1.294490098953247,-0.295,-0.878,-0.464,1.036
1.3051230907440186,-0.22,-0.939,-0.398,1.043
1.315162181854248,-0.172,-0.834,-0.423,0.951
1.3250761032104492,0.373,-0.721,-0.607,1.014
1.3353471755981445,0.168,-0.541,-0.601,0.826
1.345602035522461,-0.203,-1.068,-0.059,1.089
1.3558292388916016,-0.111,-1.957,-0.362,1.993
1.3663201332092285,0.043,-1.356,-0.196,1.371
1.3946919441223145,-0.046,-1.039,-0.153,1.051
1.3952491283416748,-0.046,-1.039,-0.153,1.051
1.3983781337738037,-0.092,-1.042,-0.143,1.056
1.4063591957092285,-0.117,-0.971,-0.16,0.991
1.4169530868530273,-0.119,-1.005,-0.144,1.022
1.4264202117919922,-0.095,-0.975,-0.133,0.989
1.4370980262756348,-0.134,-0.88,-0.146,0.902
1.4473860263824463,-0.128,-0.413,0.0,0.432
1.457292079925537,-0.205,-0.332,-0.125,0.41
1.4674370288848877,-0.406,-0.587,0.056,0.716
1.4970321655273438,0.012,-1.397,0.372,1.446
1.4978530406951904,0.012,-1.397,0.372,1.446
1.4998230934143066,0.012,-1.397,0.372,1.446
1.5080451965332031,-0.161,-1.223,0.146,1.242
1.5191402435302734,-0.246,-1.093,0.136,1.129
1.528144121170044,-0.225,-1.075,0.354,1.154
1.5387630462646484,-0.079,-1.121,0.457,1.213
1.5489091873168945,-0.004,-1.076,0.345,1.13
1.558638095855713,0.001,-0.788,0.246,0.826
1.5690269470214844,0.004,-0.676,0.112,0.685
1.6031432151794434,0.028,-0.892,0.142,0.904
1.6034281253814697,0.028,-0.892,0.142,0.904
1.6036860942840576,0.028,-0.892,0.142,0.904
1.6090421676635742,0.002,-0.807,0.034,0.808
1.6201682090759277,0.139,-0.579,0.079,0.601
1.6298670768737793,0.106,-0.598,0.065,0.611
1.6399900913238525,-0.082,-0.668,0.255,0.72
1.6504120826721191,-0.083,-0.836,0.92,1.246
1.6601181030273438,0.007,-0.492,1.095,1.2
1.6704211235046387,-0.235,0.295,0.163,0.411
1.7035961151123047,0.046,-0.354,-0.211,0.415
1.7038769721984863,0.046,-0.354,-0.211,0.415
1.7041349411010742,0.046,-0.354,-0.211,0.415
1.710526943206787,-0.052,-0.396,0.03,0.401
1.721285104751587,-0.112,-0.53,-0.052,0.544
1.7316601276397705,-0.385,-2.731,-0.133,2.761
1.7414631843566895,-0.499,-5.19,0.318,5.224
1.7519950866699219,-0.02,-2.986,0.84,3.102
1.762166976928711,0.45,-2.408,1.456,2.85
1.7721052169799805,0.663,-2.04,1.06,2.393
1.802612066268921,0.261,-0.612,0.306,0.732
1.8030462265014648,0.261,-0.612,0.306,0.732
1.8047020435333252,0.261,-0.612,0.306,0.732
1.8123071193695068,0.384,-0.637,0.323,0.811
1.8228120803833008,0.494,-0.676,0.454,0.952
1.8328580856323242,0.438,-0.694,0.51,0.966
1.8431470394134521,0.297,-0.732,0.449,0.909
1.8531742095947266,0.211,-0.783,0.386,0.898
1.8633520603179932,0.162,-0.839,0.355,0.925
1.8735589981079102,0.1,-0.863,0.27,0.91
1.903244972229004,0.047,-0.672,0.037,0.675
1.9038081169128418,0.047,-0.672,0.037,0.675
1.9056391716003418,0.047,-0.672,0.037,0.675
1.9143562316894531,0.091,-0.764,0.093,0.775
1.924941062927246,0.09,-0.637,0.185,0.669
1.9353070259094238,0.026,-0.47,0.215,0.517
1.9446680545806885,0.001,-0.551,0.308,0.631
1.9545769691467285,0.067,-1.001,0.821,1.296
1.9647431373596191,0.192,-1.313,1.023,1.676
1.9753389358520508,0.183,-1.318,0.828,1.567
2.010434150695801,0.101,-0.747,0.545,0.93
2.0108020305633545,0.101,-0.747,0.545,0.93
2.0111401081085205,0.101,-0.747,0.545,0.93
2.0152430534362793,0.147,-0.773,0.542,0.955
2.025987148284912,0.185,-0.838,0.442,0.965
2.036436080932617,0.204,-0.843,0.351,0.936
2.0461061000823975,0.211,-0.777,0.32,0.866
2.055975914001465,0.215,-0.666,0.378,0.795
2.0668692588806152,0.202,-0.597,0.468,0.785
2.0762200355529785,0.172,-0.643,0.566,0.874
2.105288028717041,0.163,-0.777,0.55,0.966
2.105579137802124,0.169,-0.783,0.553,0.973
2.1077451705932617,0.169,-0.783,0.553,0.973
2.116814136505127,0.164,-0.78,0.558,0.973
2.1288130283355713,0.155,-0.783,0.547,0.968
2.1373870372772217,0.139,-0.792,0.519,0.957
2.147459030151367,0.136,-0.816,0.469,0.951
2.157517910003662,0.116,-0.828,0.447,0.948
2.167720079421997,0.127,-0.853,0.492,0.993
2.1776609420776367,0.19,-0.926,0.556,1.097
2.2138960361480713,0.425,-1.35,0.597,1.536
2.214182138442993,0.425,-1.35,0.597,1.536
2.214440107345581,0.425,-1.35,0.597,1.536
2.2179441452026367,0.442,-1.213,0.723,1.48
2.22853422164917,0.451,-1.069,0.756,1.385
2.2388429641723633,0.399,-0.961,0.671,1.238
2.249091148376465,0.251,-0.867,0.526,1.045
2.258787155151367,0.138,-0.906,0.445,1.019
2.26901912689209,0.078,-0.997,0.396,1.076
2.2792000770568848,0.067,-1.109,0.343,1.163
2.3053910732269287,0.167,-1.112,0.365,1.182
2.3056740760803223,0.167,-1.112,0.365,1.182
2.3092331886291504,0.213,-1.008,0.332,1.082
2.3201231956481934,0.248,-0.957,0.271,1.025
2.330404043197632,0.25,-0.948,0.222,1.005
2.339966058731079,0.231,-0.941,0.182,0.986
2.350314140319824,0.235,-0.943,0.142,0.982
2.3599560260772705,0.207,-0.931,0.1,0.959
2.3702149391174316,0.207,-0.961,0.031,0.984
2.3810372352600098,0.237,-1.016,-0.048,1.044
2.4093620777130127,0.503,-1.177,-0.192,1.294
2.409675121307373,0.503,-1.177,-0.192,1.294
2.412041187286377,0.425,-0.94,-0.08,1.035
