time,gFx,gFy,gFz,gFTotal
0.005869150161743164,0.153,0.088,-1.073,1.087
0.016752958297729492,0.131,0.046,-1.037,1.046
0.026343107223510742,0.093,0.061,-0.969,0.975
0.036451101303100586,0.094,0.063,-0.961,0.968
0.06453800201416016,0.024,0.017,-0.982,0.982
0.06515097618103027,0.024,0.017,-0.982,0.982
0.06866002082824707,-0.02,0.032,-0.999,1.0
0.07664299011230469,-0.042,0.063,-1.024,1.027
0.0873570442199707,-0.061,0.071,-1.023,1.027
0.09716796875,-0.067,0.112,-1.072,1.08
0.10709905624389648,-0.146,0.201,-1.116,1.143
0.11742091178894043,0.039,0.295,-1.016,1.059
0.12791895866394043,-0.052,0.409,-0.954,1.039
0.13770198822021484,-0.054,0.463,-0.878,0.994
0.16230416297912598,-0.09,0.151,-0.693,0.715
0.16254305839538574,-0.09,0.151,-0.693,0.715
0.1678788661956787,-0.036,-0.124,-0.675,0.687
0.17810797691345215,0.002,-0.347,-0.733,0.811
0.18845105171203613,0.077,-0.523,-0.855,1.005
0.19897198677062988,0.179,-0.601,-0.945,1.134
0.2087240219116211,0.252,-0.542,-1.057,1.214
0.21877312660217285,0.276,-0.359,-1.103,1.192
0.2289268970489502,0.161,-0.196,-1.129,1.157
0.2387080192565918,0.016,-0.175,-1.065,1.079
0.2615079879760742,-0.101,-0.155,-0.785,0.807
0.2618401050567627,-0.101,-0.155,-0.785,0.807
0.26950502395629883,-0.1,-0.089,-0.681,0.694
0.2792041301727295,-0.095,-0.043,-0.563,0.573
0.2896111011505127,-0.044,-0.057,-0.567,0.572
0.299760103225708,-0.013,-0.245,-0.931,0.963
0.30962300300598145,-0.002,-0.372,-1.12,1.18
0.3199009895324707,0.13,-0.525,-1.074,1.202
0.330157995223999,0.076,-0.394,-0.995,1.073
0.34073805809020996,-0.026,-0.321,-0.986,1.037
0.3634641170501709,-0.06,-0.396,-0.815,0.908
0.36381006240844727,-0.06,-0.396,-0.815,0.908
0.3704700469970703,0.022,-0.4,-0.808,0.902
0.3814990520477295,0.017,-0.403,-0.819,0.913
0.39098501205444336,-0.023,-0.4,-0.843,0.933
0.4015209674835205,-0.033,-0.409,-0.866,0.958
0.41128993034362793,-0.078,-0.387,-0.887,0.971
0.4215118885040283,0.03,-0.444,-0.849,0.959
0.4320859909057617,0.029,-0.553,-0.792,0.966
0.4416501522064209,0.105,-0.526,-0.775,0.943
0.4700181484222412,0.35,-0.623,-0.587,0.925
0.4702918529510498,0.35,-0.623,-0.587,0.925
0.47226405143737793,0.155,-0.341,-0.655,0.755
0.48291516304016113,0.131,-0.491,-0.782,0.933
0.4921548366546631,0.203,-0.524,-0.83,1.002
0.5026140213012695,0.209,-0.518,-0.771,0.952
0.5127620697021484,0.147,-0.489,-0.646,0.823
0.5228509902954102,0.206,-0.592,-0.574,0.85
0.5348999500274658,0.19,-0.653,-0.76,1.02
0.5452301502227783,0.042,-0.574,-0.754,0.949
0.6088159084320068,0.042,-0.622,-0.739,0.967
0.6097791194915771,0.042,-0.622,-0.739,0.967
0.6110069751739502,0.042,-0.622,-0.739,0.967
0.6121008396148682,0.042,-0.622,-0.739,0.967
0.6135780811309814,0.042,-0.622,-0.739,0.967
0.6151909828186035,0.042,-0.622,-0.739,0.967
0.6226508617401123,0.069,-0.647,-0.751,0.994
0.628741979598999,0.125,-0.665,-0.647,0.936
0.6379101276397705,0.13,-0.602,-0.541,0.82
0.64628005027771,0.083,-0.517,-0.543,0.754
0.7036268711090088,-0.113,-0.93,-0.447,1.038
0.7042839527130127,-0.113,-0.93,-0.447,1.038
0.7052390575408936,-0.113,-0.93,-0.447,1.038
0.7058010101318359,0.076,-1.109,-0.642,1.284
0.7077538967132568,0.076,-1.109,-0.642,1.284
0.711575984954834,0.076,-1.109,-0.642,1.284
0.7170121669769287,0.078,-1.037,-0.702,1.255
0.7264399528503418,-0.04,-0.54,-0.591,0.802
0.7369558811187744,-0.181,-0.46,-0.432,0.656
0.7472419738769531,-0.195,-0.599,-0.385,0.738
0.789078950881958,-0.112,-0.741,-0.643,0.987
0.7900841236114502,-0.112,-0.741,-0.643,0.987
0.7906370162963867,-0.112,-0.741,-0.643,0.987
0.7915670871734619,-0.112,-0.741,-0.643,0.987
0.7985210418701172,-0.154,-0.794,-0.482,0.942
0.8079221248626709,-0.254,-0.87,-0.628,1.103
0.8188409805297852,-0.308,-0.855,-0.66,1.123
0.8282749652862549,-0.312,-0.863,-0.529,1.059
0.8382599353790283,-0.299,-0.724,-0.503,0.931
0.8479979038238525,-0.193,-0.741,-0.537,0.935
0.8783280849456787,-0.153,-0.837,-0.552,1.014
0.8786959648132324,-0.153,-0.837,-0.552,1.014
0.8821320533752441,-0.265,-0.702,-0.557,0.934
0.8889460563659668,-0.603,0.165,-0.725,0.957
0.898453950881958,0.083,-1.221,-0.261,1.251
0.9084551334381104,0.074,-1.746,-0.191,1.758
0.9186708927154541,-0.219,-0.801,-0.741,1.113
0.9289150238037109,-0.281,-0.55,-0.42,0.747
0.9388229846954346,-0.237,-1.222,-0.404,1.309
0.9493539333343506,-0.329,-1.466,-0.488,1.58
0.9800231456756592,-0.305,-1.103,-0.51,1.253
0.9808781147003174,-0.305,-1.103,-0.51,1.253
0.982659101486206,-0.305,-1.103,-0.51,1.253
0.9891970157623291,-0.217,-1.074,-0.386,1.162
1.0003020763397217,-0.17,-0.998,-0.551,1.153
1.0094778537750244,-0.195,-0.88,-0.527,1.044
1.0199401378631592,-0.231,-0.833,-0.468,0.983
1.0301501750946045,-0.186,-0.843,-0.417,0.959
1.04013991355896,-0.152,-0.716,-0.398,0.833
1.050865888595581,-0.155,-0.619,-0.433,0.771
1.0776221752166748,-0.175,-0.867,-0.333,0.945
1.077944040298462,-0.175,-0.867,-0.333,0.945
1.0810039043426514,-0.233,-1.054,-0.463,1.175
1.0910229682922363,-0.297,-1.125,-0.533,1.28
1.101438045501709,-0.338,-1.073,-0.575,1.263
1.1112329959869385,-0.259,-1.0,-0.562,1.176
1.121229887008667,-0.171,-1.026,-0.51,1.158
1.1314060688018799,-0.129,-1.031,-0.46,1.136
1.1411731243133545,-0.077,-0.859,-0.287,0.909
1.1515781879425049,0.091,-0.831,-0.271,0.879
1.1748549938201904,-0.019,-0.665,-0.093,0.672
1.1750919818878174,-0.019,-0.665,-0.093,0.672
1.1824510097503662,-0.188,-0.741,-0.081,0.769
1.19193696975708,-0.294,-0.791,-0.137,0.855
1.2022490501403809,-0.055,-0.626,-0.07,0.632
1.212440013885498,-0.153,-0.547,0.08,0.574
1.2222511768341064,-0.107,-0.788,-0.029,0.796
1.23294997215271,-0.253,-0.55,0.22,0.644
1.2424139976501465,-0.11,-0.96,-0.188,0.984
1.2527389526367188,-0.125,-0.609,0.367,0.722
1.2746989727020264,-0.303,-0.969,0.008,1.015
1.2748901844024658,-0.303,-0.969,0.008,1.015
1.2831549644470215,-0.421,-1.05,0.078,1.134
1.2929551601409912,-0.314,-1.219,-0.083,1.262
1.3034889698028564,-0.306,-1.048,-0.142,1.101
1.313446044921875,-0.51,-1.26,0.003,1.359
1.3233921527862549,-0.54,-1.67,-0.072,1.757
1.3336880207061768,-0.534,-2.017,-0.536,2.154
1.3437600135803223,-0.44,-2.406,-0.759,2.561
1.3539819717407227,-0.42,-1.617,-0.473,1.736
1.3844740390777588,0.166,-0.971,1.441,1.746
1.3865909576416016,0.166,-0.971,1.441,1.746
1.3910939693450928,0.166,-0.971,1.441,1.746
1.3968369960784912,0.029,-0.354,-0.166,0.392
1.408160924911499,0.212,-0.712,-0.286,0.796
1.4172160625457764,0.181,-0.494,0.056,0.529
