time,gFx,gFy,gFz,gFTotal
0.003392934799194336,0.101,-0.265,-0.948,0.99
0.011853933334350586,0.092,-0.27,-0.955,0.997
0.021812915802001953,0.082,-0.264,-0.96,0.999
0.034227848052978516,0.076,-0.255,-0.956,0.992
0.04373002052307129,0.077,-0.252,-0.948,0.984
0.06270885467529297,0.09,-0.248,-0.942,0.978
0.06576681137084961,0.099,-0.253,-0.95,0.988
0.07258796691894531,0.108,-0.247,-0.936,0.974
0.0830388069152832,0.103,-0.253,-0.932,0.971
0.092926025390625,0.097,-0.25,-0.942,0.979
0.1028890609741211,0.126,-0.181,-0.954,0.979
0.11353206634521484,0.143,-0.205,-0.979,1.01
0.1232748031616211,0.137,-0.213,-0.968,1.001
0.13593006134033203,0.109,-0.252,-0.972,1.01
0.14512991905212402,0.073,-0.295,-0.987,1.033
0.16411209106445312,0.104,-0.287,-0.897,0.948
0.16712284088134766,0.104,-0.287,-0.897,0.948
0.17404794692993164,0.112,-0.296,-0.852,0.909
0.18442893028259277,0.107,-0.322,-0.823,0.89
0.20283293724060059,0.127,-0.345,-0.769,0.852
0.20850801467895508,0.12,-0.348,-0.751,0.836
0.21868896484375,0.127,-0.355,-0.739,0.83
0.22463297843933105,0.145,-0.35,-0.743,0.834
0.2362661361694336,0.161,-0.347,-0.764,0.854
0.24691295623779297,0.178,-0.357,-0.804,0.898
0.26628994941711426,0.226,-0.364,-0.862,0.963
0.2676079273223877,0.226,-0.364,-0.862,0.963
0.2774059772491455,0.278,-0.39,-0.875,0.998
0.2858710289001465,0.252,-0.383,-0.829,0.947
0.295712947845459,0.243,-0.434,-0.838,0.974
0.3058180809020996,0.233,-0.447,-0.833,0.974
0.3161430358886719,0.215,-0.46,-0.794,0.942
0.32586002349853516,0.189,-0.485,-0.783,0.94
0.33800601959228516,0.17,-0.535,-0.768,0.951
0.3481709957122803,0.156,-0.544,-0.758,0.946
0.3697969913482666,0.157,-0.526,-0.754,0.933
0.372844934463501,0.181,-0.51,-0.716,0.898
0.3774409294128418,0.19,-0.532,-0.706,0.904
0.38702893257141113,0.185,-0.569,-0.678,0.904
0.3971729278564453,0.163,-0.604,-0.67,0.917
0.40711212158203125,0.13,-0.623,-0.668,0.923
0.4173920154571533,0.164,-0.729,-0.602,0.96
0.4274420738220215,0.19,-0.66,-0.604,0.915
0.43900203704833984,0.206,-0.695,-0.565,0.919
0.44939088821411133,0.185,-0.768,-0.538,0.956
0.46881580352783203,0.168,-0.791,-0.436,0.919
0.4698319435119629,0.168,-0.791,-0.436,0.919
0.4781608581542969,0.192,-0.777,-0.489,0.938
0.48839497566223145,0.328,-0.705,-0.606,0.986
