time,gFx,gFy,gFz,gFTotal
0.0019769668579101562,0.089,-0.452,-0.946,1.052
0.012064933776855469,0.078,-0.439,-0.899,1.003
0.021794795989990234,0.06,-0.448,-0.815,0.932
0.03256487846374512,0.052,-0.467,-0.753,0.888
0.04250383377075195,0.053,-0.482,-0.75,0.893
0.05251598358154297,0.055,-0.496,-0.761,0.91
0.06579780578613281,0.066,-0.503,-0.776,0.927
0.07499170303344727,0.076,-0.508,-0.786,0.939
0.09845185279846191,0.066,-0.435,-0.761,0.879
0.09996271133422852,0.066,-0.435,-0.761,0.879
0.10319185256958008,0.038,-0.409,-0.798,0.898
0.11395978927612305,0.038,-0.494,-0.751,0.9
0.12340092658996582,0.02,-0.524,-0.698,0.873
0.13379788398742676,0.062,-0.546,-0.706,0.895
0.14387083053588867,0.042,-0.559,-0.821,0.994
0.154188871383667,0.024,-0.566,-0.909,1.071
0.16735482215881348,0.067,-0.629,-0.988,1.173
0.17673397064208984,0.102,-0.579,-0.923,1.094
0.19928193092346191,0.082,-0.444,-0.875,0.985
0.20046281814575195,0.082,-0.444,-0.875,0.985
0.20428800582885742,0.014,-0.409,-0.841,0.935
0.21534085273742676,-0.028,-0.369,-0.782,0.865
0.22487783432006836,-0.039,-0.369,-0.775,0.859
0.23499584197998047,-0.033,-0.375,-0.761,0.849
0.24527788162231445,0.005,-0.394,-0.724,0.824
0.25503087043762207,0.042,-0.432,-0.66,0.79
0.2681269645690918,0.075,-0.547,-0.678,0.874
0.2781510353088379,0.087,-0.55,-0.603,0.821
0.30385684967041016,0.108,-0.473,-0.738,0.883
0.3057060241699219,0.124,-0.447,-0.914,1.025
0.3094339370727539,0.124,-0.447,-0.914,1.025
0.31599903106689453,0.137,-0.458,-1.086,1.187
0.3261868953704834,0.142,-0.475,-1.045,1.157
0.3363478183746338,0.147,-0.464,-0.996,1.109
0.3466029167175293,0.087,-0.417,-0.926,1.019
0.3564639091491699,0.138,-0.331,-0.855,0.927
0.3687918186187744,0.268,-0.364,-0.827,0.942
0.3793907165527344,0.368,-0.532,-0.98,1.174
0.40209388732910156,0.143,-0.601,-0.975,1.154
0.4035918712615967,0.143,-0.601,-0.975,1.154
0.4071948528289795,0.07,-0.552,-0.935,1.088
0.4174957275390625,0.048,-0.493,-0.874,1.005
0.4276008605957031,0.022,-0.431,-0.887,0.986
0.4377288818359375,0.036,-0.462,-0.84,0.959
0.4479849338531494,-0.074,-0.536,-0.808,0.972
0.4589059352874756,-0.053,-0.518,-0.81,0.963
0.47125792503356934,0.107,-0.455,-0.935,1.045
0.4816007614135742,0.402,-0.512,-1.232,1.393
0.5065817832946777,0.184,-0.511,-0.949,1.093
0.5087847709655762,0.184,-0.511,-0.949,1.093
0.5119209289550781,0.132,-0.525,-0.945,1.089
0.5195658206939697,0.114,-0.527,-0.972,1.112
0.5295767784118652,0.063,-0.494,-0.767,0.914
0.5390119552612305,0.405,-0.675,-0.693,1.049
0.5494117736816406,0.453,-0.757,-0.781,1.178
0.559689998626709,0.366,-0.718,-0.766,1.112
0.5716657638549805,0.281,-0.65,-0.838,1.097
0.5825667381286621,0.282,-0.705,-0.929,1.2
0.6073658466339111,0.036,-0.378,-0.872,0.951
0.6096339225769043,0.036,-0.378,-0.872,0.951
0.6119627952575684,0.074,-0.399,-0.951,1.034
0.6201128959655762,0.087,-0.418,-0.888,0.985
0.6312017440795898,0.047,-0.445,-0.789,0.907
0.6409769058227539,0.032,-0.46,-0.75,0.88
0.650432825088501,-0.002,-0.393,-0.691,0.795
0.6608288288116455,0.009,-0.304,-0.631,0.7
0.6730270385742188,0.07,-0.278,-0.675,0.733
0.6834769248962402,0.016,-0.267,-0.715,0.763
0.7060060501098633,-0.079,-0.282,-0.744,0.8
0.7076888084411621,-0.079,-0.282,-0.744,0.8
0.7115440368652344,-0.075,-0.329,-0.858,0.922
0.7215638160705566,-0.113,-0.343,-0.86,0.933
0.7322916984558105,-0.063,-0.301,-0.848,0.902
0.7421689033508301,-0.025,-0.249,-0.824,0.861
0.7519419193267822,-0.07,-0.269,-0.772,0.821
0.7627408504486084,-0.164,-0.278,-0.698,0.769
0.7749667167663574,-0.262,-0.325,-0.794,0.897
0.7846229076385498,-0.213,-0.471,-0.941,1.074
0.8070859909057617,-0.127,-0.688,-1.198,1.387
0.8094429969787598,-0.127,-0.688,-1.198,1.387
0.8131957054138184,-0.22,-0.662,-1.209,1.396
0.8227047920227051,-0.274,-0.623,-1.094,1.288
0.833219051361084,-0.257,-0.644,-0.969,1.192
0.8438220024108887,-0.35,-0.47,-0.951,1.117
0.8536157608032227,-0.325,-0.365,-1.071,1.177
0.86397385597229,-0.223,-0.313,-0.904,0.982
0.8787250518798828,-0.112,-0.274,-0.753,0.809
0.8872427940368652,-0.135,-0.316,-0.75,0.825
0.9149637222290039,-0.229,-0.358,-0.826,0.929
0.9170279502868652,-0.21,-0.43,-0.856,0.981
0.9200377464294434,-0.21,-0.43,-0.856,0.981
0.9243478775024414,-0.082,-0.582,-0.873,1.052
0.9346609115600586,0.574,-1.501,-0.4,1.656
0.9447808265686035,0.384,-1.755,-0.619,1.9
0.9546937942504883,0.248,-0.792,-0.953,1.264
0.9649908542633057,0.264,-0.199,-0.886,0.946
0.9774048328399658,0.035,-0.573,-0.754,0.948
0.9873108863830566,-0.102,-0.564,-0.892,1.06
1.0140957832336426,-0.023,-0.657,-0.829,1.058
1.0159409046173096,-0.012,-0.657,-0.858,1.081
1.018622875213623,-0.012,-0.657,-0.858,1.081
1.025730848312378,-0.018,-0.614,-0.756,0.974
1.0355958938598633,-0.006,-0.515,-0.695,0.865
1.0470046997070312,0.125,-0.482,-0.601,0.78
1.0558600425720215,0.044,-0.469,-0.543,0.719
1.0662028789520264,-0.027,-0.745,-0.536,0.918
1.0790300369262695,0.06,-0.921,-0.562,1.081
1.0888488292694092,0.094,-0.861,-0.547,1.024
1.1133358478546143,0.03,-0.489,-0.698,0.853
1.114832878112793,0.03,-0.489,-0.698,0.853
1.117661952972412,-0.03,-0.637,-0.664,0.921
1.1271228790283203,-0.062,-0.704,-0.669,0.973
1.1369848251342773,-0.093,-0.527,-0.662,0.851
1.1477437019348145,-0.048,-0.6,-0.568,0.828
1.156980037689209,-0.005,-0.81,-0.511,0.958
1.1674678325653076,-0.04,-0.92,-0.563,1.079
1.1802308559417725,-0.135,-0.899,-0.701,1.148
1.1898698806762695,-0.313,-0.847,-0.66,1.118
1.2129340171813965,-0.277,-1.447,-0.581,1.584
1.214128017425537,-0.277,-1.447,-0.581,1.584
1.2182118892669678,-0.314,-1.5,-0.477,1.605
1.2284178733825684,-0.456,-1.218,-0.39,1.358
1.2386128902435303,-0.472,-1.184,-0.333,1.317
1.2491607666015625,-0.352,-1.056,-0.187,1.129
1.258880853652954,-0.161,-0.962,-0.085,0.979
1.2689359188079834,-0.115,-0.915,-0.06,0.924
1.281808853149414,-0.076,-0.765,-0.044,0.77
1.2930407524108887,-0.177,-0.756,0.043,0.778
1.317887783050537,-0.108,-0.631,0.27,0.695
1.3195767402648926,-0.254,-0.057,0.212,0.336
1.3219499588012695,-0.254,-0.057,0.212,0.336
1.3304667472839355,-0.598,-0.325,0.185,0.705
1.3395600318908691,-0.203,-0.823,0.031,0.848
