time;gFx;gFy;gFz;TgF
0.003578154;-0,0733;0,5441;0,6730;0,868
0.004593539;-0,0782;0,5426;0,6937;0,884
0.004995693;-0,0897;0,5297;0,7326;0,908
0.005325462;-0,0946;0,5064;0,7748;0,930
0.009809077;-0,0862;0,4886;0,8137;0,953
0.010828539;-0,0804;0,4777;0,8494;0,978
0.023641;-0,0671;0,4588;0,8748;0,990
0.024248846;-0,0413;0,4659;0,8792;0,996
0.030499154;-0,0359;0,4781;0,8750;0,998
0.031161769;-0,0200;0,4957;0,8659;0,998
0.039242308;0,0043;0,5071;0,8547;0,994
0.040073231;0,0251;0,5126;0,8515;0,994
0.049267616;0,0404;0,5091;0,8442;0,987
0.049946539;0,0460;0,4998;0,8577;0,994
0.059729231;0,0434;0,4724;0,8799;1,000
0.060371846;0,0246;0,4468;0,8997;1,005
0.070294539;0,0080;0,4141;0,9393;1,027
0.071527616;-0,0081;0,3848;0,9833;1,056
0.080133154;-0,0128;0,3799;1,0047;1,074
0.080849385;-0,0208;0,3862;0,9989;1,071
0.090197616;-0,0217;0,3931;0,9803;1,056
0.090867539;-0,0073;0,3992;0,9414;1,023
0.100966462;-0,0024;0,4085;0,8974;0,986
0.101750769;0,0104;0,4232;0,8577;0,956
0.112001923;0,0214;0,4334;0,8224;0,930
0.112715846;0,0194;0,4351;0,7858;0,898
0.121276077;0,0206;0,4292;0,7604;0,873
0.121846539;0,0287;0,4172;0,7453;0,855
0.131368923;0,0321;0,4046;0,7313;0,836
0.132110308;0,0400;0,3887;0,7404;0,837
0.141912154;0,0437;0,3728;0,7436;0,833
0.143052539;0,0334;0,3562;0,7631;0,843
0.152151539;0,0302;0,3435;0,7702;0,844
0.15303277;0,0239;0,3377;0,7907;0,860
0.162041462;0,0092;0,3379;0,8110;0,879
0.162801231;-0,0047;0,3384;0,8293;0,896
0.172301846;-0,0095;0,3413;0,8191;0,887
0.172832616;-0,0070;0,3466;0,8024;0,874
0.182822077;-0,0088;0,3510;0,7790;0,854
0.183513231;-0,0130;0,3420;0,7634;0,837
0.194489616;-0,0186;0,3410;0,7690;0,841
0.195211616;-0,0289;0,3389;0,7629;0,835
0.203648385;-0,0413;0,3428;0,7485;0,824
0.20445777;-0,0506;0,3422;0,7436;0,820
0.21340077;-0,0271;0,3464;0,7485;0,825
0.214176385;0,0018;0,3401;0,7555;0,829
0.223961077;0,0339;0,3368;0,7490;0,822
0.224800616;0,0634;0,3222;0,7397;0,809
0.234331923;0,0864;0,3056;0,7343;0,800
0.235390077;0,0917;0,2929;0,7343;0,796
0.246270308;0,0896;0,2778;0,7362;0,792
0.247021616;0,0947;0,2732;0,7336;0,788
0.25488377;0,0971;0,2678;0,7259;0,780
0.255476077;0,1003;0,2629;0,7189;0,772
0.264622616;0,1022;0,2504;0,7182;0,767
0.265289462;0,1022;0,2429;0,7226;0,769
0.275032693;0,1017;0,2360;0,7316;0,775
0.275582154;0,0832;0,2267;0,7429;0,781
0.285295154;0,0634;0,2157;0,7639;0,796
0.286691077;0,0370;0,1961;0,7797;0,805
0.295458077;0,0087;0,1793;0,7723;0,793
0.296323846;-0,0149;0,1735;0,7546;0,774
0.305735923;-0,0166;0,1453;0,6957;0,711
0.306293077;0,0129;0,1033;0,6414;0,650
0.316099693;0,0739;0,0517;0,6141;0,621
0.317518154;0,1445;0,0012;0,5855;0,603
0.327213539;0,2207;-0,0466;0,5591;0,603
0.328093077;0,2731;-0,0850;0,5594;0,628
0.336636462;0,3134;-0,1094;0,5657;0,656
0.337166539;0,3204;-0,1138;0,5589;0,654
0.346761693;0,2923;-0,1148;0,5227;0,610
0.34758777;0,2366;-0,1094;0,4897;0,555
0.356889077;0,1699;-0,1152;0,4795;0,522
0.35748277;0,1017;-0,1229;0,4914;0,517
0.367495846;0,0481;-0,1238;0,5083;0,525
0.368352154;-0,0103;-0,1115;0,5219;0,534
0.388069616;-0,0862;-0,0974;0,5379;0,553
0.38898077;-0,1561;-0,0952;0,5815;0,610
0.389378308;-0,2062;-0,1020;0,6502;0,690
0.389724616;-0,2632;-0,1243;0,7184;0,775
0.398557616;-0,3061;-0,1548;0,7973;0,868
0.399841077;-0,3515;-0,1821;0,8904;0,974
0.408271923;-0,3794;-0,2112;0,9681;1,061
0.408757077;-0,3750;-0,2620;1,0285;1,126
0.418842231;-0,3482;-0,3046;1,0870;1,181
0.420027539;-0,3024;-0,3153;1,1382;1,219
0.428908231;-0,2668;-0,2992;1,1638;1,231
0.429811308;-0,2427;-0,2672;1,1589;1,214
0.439148539;-0,2292;-0,2333;1,1406;1,187
0.439741;-0,2431;-0,2271;1,1130;1,162
0.449424231;-0,2749;-0,2320;1,0795;1,138
0.450650462;-0,3313;-0,2574;1,0572;1,137
0.460133231;-0,4000;-0,2860;1,0426;1,153
0.461244154;-0,4813;-0,3011;1,0343;1,180
0.470499846;-0,5749;-0,3032;1,0229;1,212
0.471495308;-0,6611;-0,3039;1,0350;1,265
0.480182385;-0,7468;-0,3065;1,0678;1,339
0.481157462;-0,8311;-0,3116;1,0983;1,412
0.490309231;-0,8933;-0,3232;1,1403;1,484
0.491006616;-0,9308;-0,3307;1,1858;1,543
0.500952385;-0,9336;-0,3307;1,2302;1,579
0.50175;-0,9255;-0,3410;1,2645;1,604
0.512130616;-0,9166;-0,3554;1,2891;1,621
0.51312577;-0,9003;-0,3708;1,2742;1,604
0.521406;-0,8558;-0,3757;1,2307;1,545
0.521939693;-0,8062;-0,3791;1,1965;1,492
0.531541462;-0,7796;-0,3791;1,1474;1,438
0.532355231;-0,7808;-0,3519;1,0888;1,385
0.541665154;-0,8092;-0,3207;1,0287;1,348
0.542255923;-0,8519;-0,2885;0,9691;1,322
0.55250477;-0,9005;-0,2734;0,9136;1,312
0.553349923;-0,9369;-0,2580;0,8708;1,305
0.562145231;-0,9690;-0,2408;0,8479;1,310
0.563440846;-1,0054;-0,2303;0,8398;1,330
0.572507539;-1,0389;-0,2247;0,8510;1,362
0.573120846;-1,0635;-0,2213;0,8606;1,386
0.583420231;-1,0811;-0,2284;0,8655;1,404
0.584361846;-1,0892;-0,2384;0,8711;1,415
0.593084539;-1,0829;-0,2536;0,8643;1,408
0.593938154;-1,0703;-0,2669;0,8723;1,406
0.603705385;-1,0417;-0,2608;0,8841;1,391
0.604288693;-1,0137;-0,2296;0,9109;1,382
0.613520462;-1,0012;-0,1844;0,9195;1,372
0.614510154;-0,9885;-0,1418;0,9239;1,360
0.623947231;-0,9580;-0,1187;0,9346;1,344
0.624560846;-0,9108;-0,1187;0,9710;1,337
0.634379231;-0,8424;-0,1278;1,0123;1,323
0.635632616;-0,7755;-0,1387;1,0372;1,303
0.644346846;-0,7156;-0,1455;1,0426;1,273
0.645026693;-0,6734;-0,1431;1,0231;1,233
0.65445877;-0,6623;-0,1390;0,9952;1,204
0.655103693;-0,6738;-0,1321;0,9654;1,185
0.664913539;-0,7053;-0,1348;0,9332;1,177
0.665907154;-0,7517;-0,1392;0,9087;1,188
0.676108308;-0,7838;-0,1382;0,8816;1,188
0.676887;-0,7992;-0,1321;0,8379;1,165
0.685933539;-0,8094;-0,1348;0,8039;1,149
0.686706693;-0,8153;-0,1392;0,7800;1,137
0.695746231;-0,8251;-0,1409;0,7502;1,124
0.696629462;-0,8307;-0,1502;0,7467;1,127
0.705733693;-0,8199;-0,1639;0,7521;1,125
0.706401231;-0,7960;-0,1604;0,7578;1,111
0.716480385;-0,7813;-0,1465;0,7621;1,101
0.717515923;-0,7622;-0,1285;0,7599;1,084
0.726197077;-0,7347;-0,1262;0,7685;1,071
0.727156;-0,6860;-0,1280;0,7785;1,045
0.73668977;-0,6184;-0,1180;0,7812;1,003
0.73724877;-0,5507;-0,1026;0,7839;0,963
0.746918154;-0,4717;-0,0708;0,7756;0,911
0.747938846;-0,4034;-0,0612;0,7707;0,872
0.757623;-0,3636;-0,0791;0,7680;0,853
0.758499;-0,3564;-0,1115;0,7618;0,848
0.767535385;-0,3680;-0,1431;0,7711;0,866
0.769292616;-0,4004;-0,1798;0,7614;0,879
0.777548923;-0,4283;-0,2122;0,7550;0,894
0.778654923;-0,4589;-0,2418;0,7421;0,905
0.787872154;-0,4742;-0,2629;0,7199;0,901
0.788466077;-0,4864;-0,2734;0,7206;0,911
0.798250539;-0,4936;-0,2846;0,7026;0,905
0.799181;-0,5004;-0,2785;0,6644;0,877
0.820559616;-0,4950;-0,2616;0,6332;0,845
0.821525693;-0,4938;-0,2420;0,6165;0,826
0.82194077;-0,4913;-0,2384;0,6080;0,817
0.822291616;-0,5120;-0,2489;0,6097;0,834
0.829008616;-0,5763;-0,2631;0,6058;0,877
0.830081154;-0,6550;-0,2680;0,5972;0,926
0.839513308;-0,7009;-0,2885;0,5989;0,966
0.840090923;-0,7200;-0,3027;0,5894;0,978
0.849504154;-0,7037;-0,3056;0,5703;0,956
0.850876077;-0,6520;-0,2980;0,5452;0,901
0.859749308;-0,5947;-0,3165;0,5774;0,887
0.860650077;-0,5639;-0,3974;0,6654;0,958
0.870225385;-0,5700;-0,4912;0,7357;1,052
0.870869539;-0,5891;-0,5440;0,7639;1,107
0.88032877;-0,5912;-0,5382;0,7736;1,112
0.881473462;-0,5944;-0,5137;0,7271;1,070
0.890884231;-0,6135;-0,5128;0,7071;1,067
0.891907616;-0,6380;-0,5438;0,6920;1,087
0.901009616;-0,6629;-0,5774;0,6773;1,110
0.902048308;-0,6699;-0,6056;0,6670;1,123
0.911581693;-0,6667;-0,6100;0,6211;1,097
0.912463308;-0,6484;-0,5976;0,5682;1,049
0.921346;-0,6338;-0,5848;0,5210;1,008
0.921954539;-0,6501;-0,5948;0,4811;1,004
0.931533846;-0,6855;-0,6235;0,4333;1,023
0.932787923;-0,7298;-0,6757;0,4042;1,074
0.942164616;-0,7696;-0,7602;0,3727;1,144
0.943273154;-0,7706;-0,8697;0,3478;1,213
0.952229077;-0,7368;-0,9715;0,3532;1,269
0.952836616;-0,7090;-1,0470;0,3681;1,317
0.962320693;-0,6848;-1,0945;0,3568;1,339
0.963404462;-0,7019;-1,1113;0,3588;1,363
0.972960385;-0,7733;-1,0893;0,3693;1,386
0.97381977;-0,8593;-1,0605;0,3600;1,412
0.98310277;-0,9746;-1,0502;0,3456;1,474
0.984019308;-1,0671;-1,0771;0,3537;1,557
0.993148539;-1,1207;-1,1120;0,3588;1,619
0.99408777;-1,1319;-1,1426;0,3717;1,651
1.00332477;-1,1014;-1,1665;0,3949;1,652
1.003948616;-1,0615;-1,2002;0,4562;1,666
1.013763154;-1,0344;-1,2510;0,5435;1,712
1.014842;-1,0230;-1,2743;0,5906;1,738
1.025319308;-1,0268;-1,2640;0,6239;1,744
1.026237846;-1,0677;-1,2252;0,6441;1,748
1.034512077;-1,1321;-1,1729;0,7003;1,774
1.035307462;-1,1971;-1,1438;0,7541;1,819
1.044444;-1,2404;-1,1245;0,7858;1,849
1.04520877;-1,2184;-1,1164;0,7839;1,829
1.054659616;-1,1686;-1,1143;0,8051;1,804
1.055317077;-1,1106;-1,0971;0,8222;1,764
1.065531385;-1,0464;-1,0656;0,8271;1,707
1.067042462;-0,9878;-1,0473;0,8720;1,683
1.075526616;-0,9318;-1,0446;0,8969;1,663
1.076496308;-0,8693;-1,0216;0,9060;1,619
1.085450308;-0,8053;-0,9845;0,9424;1,583
1.086021231;-0,6699;-0,9244;1,1834;1,644
1.095733;-0,1943;-0,7463;1,6898;1,857
1.096734077;-0,0487;-0,6349;1,8261;1,934
1.10625877;-0,0894;-0,5890;1,7226;1,823
1.107063;-0,1777;-0,6061;1,6654;1,781
1.11657877;-0,1987;-0,6559;1,6568;1,793
1.118240077;-0,3091;-0,7129;1,4848;1,676
1.126720462;-0,5074;-0,7260;1,2393;1,523
1.127584385;-0,6482;-0,6884;0,9551;1,344
1.136734385;-0,7884;-0,7209;0,6793;1,266
1.137324462;-0,9927;-0,7793;0,4501;1,340
1.147404846;-1,1268;-0,7805;0,2354;1,391
1.148801231;-1,1766;-0,7146;0,0600;1,378
1.158550846;-1,1038;-0,6170;0,0721;1,267
1.159752308;-0,9785;-0,5406;0,1028;1,123
