time;gFx;gFy;gFz;TgF
0.003100461;-0,0743;0,3498;0,7448;0,826
0.003721;-0,0929;0,3510;0,7653;0,847
0.004093461;-0,1055;0,3540;0,7885;0,871
0.004510461;-0,1119;0,3594;0,8034;0,887
0.010693;-0,1097;0,3533;0,7921;0,874
0.011585692;-0,1046;0,3461;0,7846;0,864
0.021954;-0,0857;0,3340;0,7839;0,856
0.022651077;-0,0720;0,3286;0,7690;0,839
0.037538846;-0,0638;0,3242;0,7580;0,827
0.038236923;-0,0664;0,3188;0,7450;0,813
0.039287154;-0,0716;0,3183;0,7164;0,787
0.039692307;-0,0848;0,3271;0,6817;0,761
0.050206846;-0,0750;0,3284;0,6663;0,747
0.051402307;-0,0706;0,3352;0,7096;0,788
0.060019692;-0,0748;0,3373;0,8240;0,893
0.060919923;-0,1251;0,3337;0,9260;0,992
0.070190846;-0,1519;0,3606;0,9676;1,044
0.070751846;-0,1542;0,3799;0,9896;1,071
0.080698307;-0,1212;0,4004;0,9945;1,079
0.081442769;-0,0589;0,4111;1,0118;1,094
0.093507461;0,0204;0,4170;1,0474;1,128
0.094313846;0,0776;0,4332;1,0639;1,151
0.101624231;0,1152;0,4417;1,0553;1,150
0.102549692;0,1147;0,4493;1,0218;1,122
0.111443692;0,0822;0,4353;0,9966;1,091
0.112192923;0,0610;0,4095;1,0099;1,091
0.121651692;0,0416;0,3687;1,0518;1,115
0.122234154;0,0165;0,3254;1,0868;1,135
0.132659231;-0,0002;0,3019;1,1051;1,146
0.133527923;-0,2206;0,3051;1,2080;1,265
0.154309307;-0,0716;0,3594;1,0942;1,154
0.154969307;0,0118;0,4043;1,0118;1,090
0.155323154;0,0319;0,4043;0,9386;1,022
0.155628307;0,0126;0,3906;0,8785;0,961
0.163392538;-0,0308;0,3759;0,8149;0,898
0.164172461;-0,0571;0,3708;0,7716;0,858
0.173073615;-0,0417;0,3901;0,7543;0,850
0.173832231;-0,0184;0,4085;0,7702;0,872
0.183425307;-0,0051;0,4188;0,8037;0,906
0.184250923;-0,0088;0,4106;0,8342;0,930
0.194004307;-0,0200;0,3899;0,8728;0,956
0.194783538;-0,0228;0,3711;0,9067;0,980
0.204088231;-0,0149;0,3517;0,9598;1,022
0.204819615;-0,0237;0,3330;1,0103;1,064
0.214241;-0,0337;0,3156;1,0374;1,085
0.215227461;-0,0420;0,3063;1,0458;1,091
0.226797615;-0,0684;0,3058;1,0485;1,094
0.227673615;-0,1070;0,3170;1,0226;1,076
0.234946923;-0,1507;0,3296;0,9830;1,048
0.235798;-0,1764;0,3393;0,9409;1,016
0.245165769;-0,2074;0,3393;0,9029;0,987
0.246006461;-0,2080;0,3366;0,8777;0,963
0.255326231;-0,1461;0,3340;0,8850;0,957
0.255940538;-0,0755;0,3237;0,9051;0,964
0.265915769;-0,0384;0,3188;0,9316;0,985
0.266686538;-0,0184;0,3166;0,9803;1,030
0.288078077;-0,0163;0,3124;1,0765;1,121
0.289574461;-0,1561;0,3266;1,2488;1,300
0.290444307;-0,0364;0,3794;1,3316;1,385
0.291258692;0,0460;0,4067;1,4147;1,473
0.306895615;0,0702;0,3962;1,4589;1,513
0.307984154;-0,1034;0,3655;1,5124;1,559
0.308824307;-0,0992;0,3796;1,3947;1,449
0.309567846;-0,0528;0,3894;1,2598;1,320
0.317272231;-0,0386;0,3780;1,1547;1,216
0.318078077;-0,0347;0,3598;1,0497;1,110
0.327322538;-0,0433;0,3410;0,9644;1,024
0.328122154;-0,0701;0,3263;0,8943;0,955
0.337637538;-0,1249;0,3179;0,8296;0,897
0.338248692;-0,1857;0,3051;0,8024;0,878
0.347945384;-0,2220;0,2909;0,8100;0,889
0.348868231;-0,2390;0,2807;0,8237;0,902
0.359184077;-0,2306;0,2816;0,8340;0,910
0.359992615;-0,2152;0,2900;0,8288;0,904
0.368718538;-0,1740;0,3054;0,8070;0,880
0.369353154;-0,1342;0,3212;0,7797;0,854
0.378715154;-0,1158;0,3405;0,7695;0,849
0.379461231;-0,1065;0,3547;0,7797;0,863
0.38914;-0,1099;0,3677;0,8176;0,903
0.389846154;-0,1088;0,3694;0,8494;0,933
0.399417154;-0,0958;0,3706;0,8708;0,951
0.400514538;-0,0774;0,3691;0,8880;0,965
0.420513538;-0,0340;0,3767;0,9004;0,977
0.421256538;-0,0564;0,3635;0,9283;0,998
0.421660692;-0,0853;0,3633;0,9502;1,021
0.422003692;-0,2761;0,3535;1,0648;1,155
0.429923307;-0,1176;0,3987;1,0511;1,130
0.430852307;-0,0496;0,3838;1,0812;1,148
0.442397538;-0,0557;0,3647;1,1103;1,170
0.443323231;-0,0760;0,3491;1,0704;1,128
0.450833692;-0,3286;0,3477;1,0998;1,199
0.451792;-0,1698;0,3904;0,9434;1,035
0.461196307;-0,1153;0,3601;0,7474;0,838
0.462063231;-0,1463;0,3471;0,5237;0,645
0.471200692;-0,1786;0,3701;0,3971;0,571
0.471860307;-0,2365;0,3864;0,3532;0,574
0.481553307;-0,2292;0,4143;0,4821;0,676
0.482572077;-0,2059;0,4207;0,6570;0,807
0.492547154;-0,1999;0,4106;0,7497;0,878
0.493443769;-0,1700;0,3808;0,8112;0,912
0.502414692;-0,1365;0,3650;0,8782;0,961
0.503000769;-0,1430;0,3752;0,9583;1,039
0.512445538;-0,1789;0,3999;0,9996;1,091
0.513449461;-0,2108;0,4038;1,0421;1,137
0.522619154;-0,1889;0,4372;1,0541;1,157
0.523454846;-0,1551;0,4332;1,1088;1,200
0.532995692;-0,0914;0,4268;1,1906;1,268
0.533994846;-0,0430;0,4705;1,1119;1,208
0.543034;0,0087;0,4522;1,1934;1,276
0.543757615;-0,0222;0,4197;1,1697;1,243
0.553362307;-0,1004;0,3889;1,0541;1,128
0.554024154;-0,1668;0,3679;0,9619;1,043
0.570164154;-0,2062;0,3522;0,9158;1,003
0.570913846;-0,2509;0,2956;0,8838;0,965
0.575270692;-0,1974;0,2685;0,8638;0,926
0.576211923;-0,1524;0,3244;0,8626;0,934
0.584466307;-0,2040;0,3550;0,8156;0,913
0.585270846;-0,1456;0,3713;0,7912;0,886
0.594405923;-0,0980;0,3816;0,8224;0,912
0.595169461;-0,0794;0,3711;0,8417;0,923
0.604687923;-0,1170;0,3461;0,8806;0,953
0.605391307;-0,1826;0,3356;0,9593;1,033
0.615296923;-0,2108;0,3547;1,0192;1,100
0.616739538;-0,1920;0,3794;1,0548;1,137
0.625258077;-0,1549;0,3848;1,0900;1,166
0.626297769;-0,1324;0,3703;1,0890;1,158
0.635241077;-0,1268;0,3554;1,0334;1,100
0.635795461;-0,1190;0,3608;0,9906;1,061
0.646125077;-0,1136;0,3640;0,9647;1,037
0.647370231;-0,1102;0,3545;0,9324;1,004
0.657562923;-0,1263;0,3587;0,9111;0,987
0.658587307;-0,1334;0,3736;0,9058;0,989
0.667003769;-0,1172;0,3857;0,9209;1,005
0.667708307;-0,0980;0,3848;0,9337;1,015
0.676643307;-0,0745;0,3526;0,8941;0,964
0.677833538;-0,0298;0,3100;0,8701;0,924
0.686957307;-0,0496;0,3420;0,8473;0,915
0.687660461;-0,0645;0,3862;0,9009;0,982
0.697845615;-0,0689;0,5357;0,6558;0,850
0.698744615;0,0174;0,5583;0,7472;0,933
0.719289923;0,0568;0,4998;0,8591;0,996
0.720274384;0,0376;0,3723;0,8054;0,888
0.720743538;0,0265;0,2721;0,7426;0,791
0.721044692;0,0206;0,2436;0,7182;0,759
0.728497154;-0,0205;0,2336;0,6893;0,728
0.729888;-0,0674;0,2318;0,6370;0,681
0.738390615;-0,1160;0,2411;0,5908;0,649
0.739294769;-0,1982;0,2360;0,5549;0,635
0.749167;-0,2942;0,2033;0,4929;0,609
0.750603154;-0,3794;0,1243;0,4553;0,606
0.758784615;-0,4468;0,0342;0,4357;0,625
0.759679615;-0,5385;-0,0417;0,4748;0,719
0.768950846;-0,5793;-0,0879;0,5589;0,810
0.769562077;-0,5495;-0,0922;0,6302;0,841
0.779348692;-0,5013;-0,0571;0,6768;0,844
0.780725692;-0,4400;0,0430;0,6768;0,808
0.791142461;-0,2912;0,1570;0,6705;0,748
0.792101692;-0,0650;0,2492;0,7174;0,762
0.800165461;0,1983;0,3161;0,8571;0,935
0.801010846;0,4732;0,3823;1,0565;1,219
0.810284;0,6752;0,4129;1,2576;1,486
0.811270769;0,7932;0,4026;1,4145;1,671
0.820477538;0,8100;0,3496;1,6478;1,869
0.821095615;0,7316;0,2753;1,8352;1,995
0.830643846;0,5936;0,1984;1,8664;1,969
0.831412077;0,3982;0,1085;1,8027;1,849
0.844462846;0,1650;0,0214;1,6863;1,695
0.845434461;-0,0543;-0,0390;1,5029;1,504
0.851257769;-0,2118;-0,0671;1,3099;1,329
0.851879154;-0,3122;-0,0603;1,1257;1,170
0.861588846;-0,3340;-0,0417;1,0269;1,081
0.862650077;-0,2851;-0,0116;1,0074;1,047
0.872199538;-0,1781;0,0315;1,0294;1,045
0.873322615;-0,0466;0,0989;1,1005;1,106
0.882392846;0,0666;0,1673;1,2148;1,228
0.883978;0,1462;0,2218;1,3045;1,331
0.892433461;0,1643;0,2396;1,3436;1,375
0.893662384;0,1423;0,2423;1,2730;1,304
0.902791461;0,0966;0,2171;1,1606;1,185
0.903480923;0,0570;0,1754;1,0148;1,031
0.912962307;0,0624;0,1427;0,9200;0,933
0.914149846;0,0842;0,1283;0,8252;0,839
0.924070769;0,0717;0,1038;0,7772;0,787
0.925231;0,0595;0,0784;0,6372;0,645
0.933481461;0,0472;0,0691;0,6065;0,612
0.934146538;0,0654;0,1099;0,5112;0,527
0.943954307;0,0614;0,1074;0,5691;0,582
