time;gFx;gFy;gFz;TgF
0.003275693;-0,1889;0,4940;0,8308;0,985
0.003954077;-0,1833;0,4935;0,7909;0,950
0.004336308;-0,1805;0,4812;0,7636;0,920
0.004684308;-0,1798;0,4786;0,7514;0,909
0.012158923;-0,1852;0,4705;0,7546;0,908
0.012884308;-0,1891;0,4705;0,7768;0,928
0.024940462;-0,2047;0,4703;0,8010;0,951
0.025656077;-0,2326;0,4676;0,8352;0,985
0.032271693;-0,2690;0,4679;0,8596;1,015
0.03288177;-0,3047;0,4642;0,8782;1,039
0.04267677;-0,3408;0,4610;0,8934;1,062
0.043704923;-0,3818;0,4502;0,8906;1,068
0.052614308;-0,4060;0,4478;0,9074;1,090
0.053337923;-0,4127;0,4351;0,9300;1,107
0.063235846;-0,4137;0,4121;0,9537;1,118
0.063920308;-0,4195;0,3899;0,9733;1,129
0.073343693;-0,4176;0,3771;0,9889;1,138
0.074253;-0,4081;0,3694;0,9957;1,138
0.085116616;-0,3790;0,3764;0,9889;1,124
0.085975693;-0,3220;0,3864;0,9756;1,098
0.094226693;-0,2842;0,3999;0,9470;1,067
0.094934154;-0,2734;0,3936;0,9046;1,024
0.104173385;-0,2695;0,3887;0,8687;0,989
0.104969693;-0,2773;0,3911;0,8303;0,959
0.114697077;-0,2741;0,3967;0,7893;0,925
0.115617539;-0,2846;0,3992;0,7580;0,903
0.124643154;-0,2830;0,4062;0,7274;0,880
0.125437616;-0,2809;0,4163;0,6947;0,857
0.135880539;-0,2805;0,4285;0,6632;0,838
0.136661462;-0,2854;0,4368;0,6255;0,815
0.145384616;-0,2979;0,4412;0,6009;0,803
0.146001539;-0,3210;0,4502;0,5774;0,799
0.162882154;-0,3406;0,4595;0,5528;0,795
0.163716308;-0,3623;0,4800;0,5437;0,811
0.168225154;-0,3731;0,5018;0,5445;0,829
0.169134385;-0,3669;0,5096;0,5657;0,845
0.176401539;-0,3377;0,5245;0,5840;0,854
0.177133;-0,2959;0,5323;0,6011;0,856
0.186265154;-0,2641;0,5320;0,6062;0,849
0.187084616;-0,2358;0,5369;0,5955;0,836
0.19652077;-0,2104;0,5306;0,5913;0,822
0.197165154;-0,2011;0,5194;0,5885;0,810
0.207252077;-0,1974;0,4947;0,5969;0,800
0.208313539;-0,1962;0,4593;0,6106;0,789
0.218145462;-0,1918;0,4239;0,6451;0,795
0.219153539;-0,1891;0,3929;0,6884;0,815
0.228145385;-0,1845;0,3650;0,7426;0,848
