time;gFx;gFy;gFz;TgF
0.002828;-0,3071;-0,3957;0,9041;1,034
0.003328539;-0,3003;-0,4038;0,9083;1,038
0.003566923;-0,2902;-0,3908;0,9048;1,027
0.003771615;-0,2729;-0,3705;0,9018;1,012
0.022124;-0,2609;-0,3528;0,9009;1,002
0.022777923;-0,2439;-0,3327;0,9083;0,998
0.023156308;-0,2341;-0,3224;0,9146;0,998
0.023446385;-0,2231;-0,3141;0,9232;1,000
0.031182769;-0,2116;-0,3176;0,9341;1,009
0.031811462;-0,2096;-0,3212;0,9324;1,008
0.042375;-0,2123;-0,3214;0,9316;1,008
0.043131462;-0,2197;-0,3286;0,9307;1,011
0.051924;-0,2353;-0,3305;0,9207;1,006
0.052516308;-0,2460;-0,3330;0,9221;1,011
0.062386308;-0,2539;-0,3415;0,9256;1,019
0.063102923;-0,2585;-0,3471;0,9278;1,024
0.072404308;-0,2697;-0,3503;0,9314;1,031
0.073129;-0,2648;-0,3542;0,9229;1,023
0.083297692;-0,2629;-0,3498;0,9270;1,025
0.084601077;-0,2532;-0,3486;0,9212;1,017
0.093143539;-0,2499;-0,3383;0,9151;1,007
0.093827615;-0,2472;-0,3366;0,9141;1,005
0.103472769;-0,2576;-0,3312;0,9092;1,001
0.104013385;-0,2592;-0,3273;0,9041;0,996
0.121026692;-0,2536;-0,3268;0,8999;0,990
0.121707154;-0,2490;-0,3295;0,8960;0,987
0.126324308;-0,2460;-0,3302;0,9002;0,990
0.127181769;-0,2446;-0,3300;0,8980;0,987
0.134414692;-0,2516;-0,3246;0,9080;0,997
0.135091;-0,2536;-0,3268;0,9197;1,008
0.144384539;-0,2612;-0,3268;0,9319;1,022
0.145133462;-0,2693;-0,3249;0,9376;1,028
0.155192231;-0,2734;-0,3239;0,9405;1,032
0.156156615;-0,2753;-0,3234;0,9551;1,045
0.165196308;-0,2768;-0,3181;0,9566;1,045
0.166201769;-0,2688;-0,3156;0,9603;1,046
0.176174462;-0,2644;-0,3151;0,9644;1,048
0.177020769;-0,2483;-0,3230;0,9749;1,057
0.185860923;-0,2336;-0,3224;0,9747;1,053
0.186539539;-0,2334;-0,3317;0,9740;1,055
0.196008846;-0,2370;-0,3376;0,9566;1,042
0.196922077;-0,2480;-0,3412;0,9337;1,025
0.206696385;-0,2616;-0,3410;0,9153;1,011
0.207402385;-0,2683;-0,3412;0,8994;0,999
0.216450692;-0,2807;-0,3403;0,8882;0,992
0.217300077;-0,2922;-0,3496;0,8760;0,987
0.226756692;-0,3061;-0,3589;0,8736;0,993
0.227483231;-0,3152;-0,3620;0,8757;0,999
0.236915385;-0,3032;-0,3540;0,8965;1,010
0.237573;-0,2781;-0,3422;0,9190;1,019
0.247207692;-0,2487;-0,3200;0,9424;1,026
0.248085077;-0,2255;-0,3104;0,9473;1,022
0.270383231;-0,2180;-0,3100;0,9530;1,026
0.271126077;-0,2223;-0,3092;0,9412;1,015
0.271495154;-0,2370;-0,3181;0,9470;1,027
0.271797231;-0,2372;-0,3314;0,9324;1,018
0.278231154;-0,2485;-0,3370;0,9253;1,016
0.279513462;-0,2470;-0,3332;0,9221;1,011
0.288710077;-0,2487;-0,3300;0,9060;0,996
0.289812615;-0,2604;-0,3319;0,9055;0,999
0.299060308;-0,2744;-0,3381;0,8985;0,998
0.300510154;-0,2737;-0,3376;0,9085;1,007
0.309273154;-0,2786;-0,3403;0,9202;1,020
0.310445077;-0,2685;-0,3376;0,9324;1,027
0.319252385;-0,2614;-0,3314;0,9434;1,034
0.319896385;-0,2560;-0,3319;0,9412;1,030
0.329474846;-0,2551;-0,3283;0,9381;1,026
0.331104;-0,2474;-0,3268;0,9344;1,020
0.339653539;-0,2532;-0,3197;0,9290;1,015
0.340268462;-0,2544;-0,3146;0,9236;1,008
0.350566308;-0,2567;-0,3190;0,9197;1,007
0.351381769;-0,2451;-0,3137;0,9329;1,014
0.360171;-0,2467;-0,3124;0,9468;1,027
0.361147385;-0,2487;-0,3265;0,9527;1,037
0.370525;-0,2541;-0,3298;0,9535;1,040
0.371122539;-0,2604;-0,3373;0,9500;1,041
0.381073154;-0,2658;-0,3412;0,9439;1,038
0.382015615;-0,2697;-0,3456;0,9334;1,031
0.403314769;-0,2805;-0,3479;0,9293;1,031
0.404226385;-0,2834;-0,3486;0,9176;1,022
0.404650539;-0,2821;-0,3432;0,9204;1,022
0.404995231;-0,2749;-0,3439;0,9216;1,021
0.411712769;-0,2676;-0,3349;0,9260;1,020
0.412975923;-0,2612;-0,3351;0,9386;1,030
0.421660539;-0,2697;-0,3354;0,9451;1,038
0.422086385;-0,2763;-0,3342;0,9510;1,045
0.432282923;-0,2895;-0,3283;0,9570;1,052
0.434004462;-0,2939;-0,3239;0,9712;1,065
0.442360923;-0,2905;-0,3095;0,9700;1,059
0.443244539;-0,2837;-0,3046;0,9779;1,063
0.452480154;-0,2817;-0,3078;0,9835;1,068
0.453084154;-0,2846;-0,3104;0,9950;1,080
0.462940769;-0,2861;-0,3163;1,0057;1,092
0.463880539;-0,2888;-0,3168;1,0082;1,096
0.474649462;-0,3042;-0,3144;0,9982;1,090
0.475871846;-0,3191;-0,3165;0,9889;1,086
0.484055462;-0,3233;-0,3165;0,9761;1,076
0.484714462;-0,3215;-0,3221;0,9632;1,065
0.493623923;-0,3303;-0,3386;0,9673;1,077
0.494768692;-0,3261;-0,3603;0,9728;1,087
0.504267077;-0,3079;-0,3728;0,9407;1,058
0.505152077;-0,2914;-0,3659;0,9190;1,031
0.514394308;-0,2717;-0,3498;0,8987;1,002
0.515237769;-0,2406;-0,3246;0,8929;0,980
0.536180539;-0,2262;-0,3237;0,8906;0,974
0.537185692;-0,2231;-0,3286;0,8797;0,965
0.537593692;-0,2441;-0,3417;0,8623;0,959
0.537950308;-0,2644;-0,3708;0,8398;0,955
0.545363077;-0,2905;-0,4023;0,8228;0,961
0.546720692;-0,3235;-0,4258;0,8034;0,965
0.557605;-0,3620;-0,4576;0,7578;0,956
0.558547231;-0,4183;-0,4810;0,7262;0,966
0.566709154;-0,4608;-0,4993;0,7022;0,977
0.567777231;-0,4982;-0,5149;0,6644;0,977
0.576109308;-0,5074;-0,5359;0,6160;0,961
0.577067923;-0,4850;-0,5653;0,6016;0,957
0.586163923;-0,4496;-0,5941;0,6065;0,961
0.586878231;-0,4100;-0,5976;0,6270;0,958
0.596578077;-0,3870;-0,5860;0,6556;0,961
0.597897692;-0,3811;-0,5562;0,6385;0,929
0.608057846;-0,3804;-0,5389;0,6058;0,896
0.609286154;-0,4244;-0,5024;0,6170;0,902
0.617293231;-0,4556;-0,4827;0,6165;0,906
0.618404077;-0,4926;-0,4681;0,6102;0,913
0.627553769;-0,5327;-0,4617;0,6006;0,926
0.628480923;-0,5502;-0,4721;0,5857;0,932
0.637333077;-0,5876;-0,4871;0,5813;0,959
0.637990462;-0,6218;-0,5206;0,6239;1,023
0.647981846;-0,6401;-0,5665;0,7122;1,113
0.648939308;-0,6399;-0,5863;0,7816;1,168
0.669779769;-0,6113;-0,5743;0,8386;1,186
0.671050077;-0,5646;-0,5714;0,8965;1,204
0.671534615;-0,5109;-0,5783;0,9373;1,214
0.671919615;-0,4540;-0,5867;0,9889;1,236
0.679395769;-0,4009;-0,5923;1,0062;1,235
0.681112385;-0,3718;-0,6007;1,0269;1,246
0.691217846;-0,3618;-0,6173;1,0521;1,272
0.692137077;-0,3538;-0,6149;1,0378;1,257
0.700038308;-0,3604;-0,5878;1,0087;1,222
0.700621923;-0,3680;-0,5697;0,9114;1,136
0.709330692;-0,3931;-0,5741;0,8181;1,074
0.710739923;-0,4214;-0,5638;0,7257;1,011
0.719882846;-0,4488;-0,5501;0,6514;0,964
0.720541385;-0,4600;-0,5228;0,5901;0,913
0.730041077;-0,4750;-0,5010;0,5449;0,880
0.731397231;-0,4820;-0,4898;0,5377;0,873
0.740738154;-0,4964;-0,5091;0,5559;0,903
0.741669692;-0,4696;-0,5557;0,6058;0,947
0.750626615;-0,4302;-0,6170;0,6598;1,001
0.751204846;-0,4032;-0,6510;0,6847;1,027
