time;gFx;gFy;gFz;TgF
7.50521E-4;-0,0171;0,2775;1,0080;1,046
0.001005364;-0,0120;0,2748;1,0168;1,053
0.001133698;-0,0063;0,2714;1,0256;1,061
0.002125677;-0,0027;0,2673;1,0334;1,067
0.011491302;-0,0002;0,2629;1,0400;1,073
0.0118;0,0032;0,2587;1,0461;1,078
0.011910625;0,0063;0,2555;1,0514;1,082
0.012019583;0,0076;0,2533;1,0561;1,086
0.012188698;0,0076;0,2511;1,0593;1,089
0.012291458;0,0054;0,2482;1,0620;1,091
0.012383646;0,0042;0,2455;1,0634;1,091
0.012470469;0,0044;0,2448;1,0644;1,092
0.012564583;0,0037;0,2443;1,0651;1,093
0.013738698;0,0024;0,2443;1,0661;1,094
0.014795729;0,0007;0,2453;1,0669;1,095
0.041992187;-0,0007;0,2460;1,0666;1,095
0.04231651;-0,0032;0,2475;1,0659;1,094
0.042450364;-0,0061;0,2489;1,0651;1,094
0.042561614;-0,0078;0,2504;1,0637;1,093
0.042662083;-0,0098;0,2526;1,0617;1,091
0.042762239;-0,0125;0,2555;1,0593;1,090
0.042852292;-0,0154;0,2587;1,0585;1,090
0.04294125;-0,0190;0,2614;1,0593;1,091
0.043039167;-0,0220;0,2646;1,0588;1,092
0.043123854;-0,0254;0,2673;1,0563;1,090
0.043216771;-0,0293;0,2697;1,0534;1,088
0.043311094;-0,0320;0,2724;1,0512;1,086
0.043399948;-0,0354;0,2748;1,0473;1,083
0.043489062;-0,0401;0,2770;1,0419;1,079
0.043585885;-0,0437;0,2792;1,0363;1,074
0.043672969;-0,0472;0,2809;1,0312;1,070
0.043784583;-0,0503;0,2827;1,0263;1,066
0.043878125;-0,0528;0,2846;1,0209;1,061
0.043967604;-0,0547;0,2863;1,0151;1,056
0.044057708;-0,0567;0,2873;1,0097;1,051
0.044148594;-0,0596;0,2885;1,0050;1,047
0.044270104;-0,0620;0,2902;1,0009;1,044
0.044363489;-0,0640;0,2907;0,9977;1,041
0.044457604;-0,0667;0,2912;0,9943;1,038
0.044725833;-0,0689;0,2919;0,9899;1,034
0.046447812;-0,0711;0,2917;0,9857;1,030
0.048129531;-0,0743;0,2919;0,9823;1,027
0.048386146;-0,0772;0,2924;0,9784;1,024
0.083930677;-0,0779;0,2929;0,9750;1,021
0.084333594;-0,0791;0,2934;0,9706;1,017
0.084492917;-0,0816;0,2944;0,9650;1,012
0.084629792;-0,0833;0,2956;0,9606;1,008
0.084768854;-0,0835;0,2958;0,9574;1,006
0.085010677;-0,0840;0,2961;0,9542;1,003
0.085204687;-0,0857;0,2968;0,9513;1,000
0.085364167;-0,0863;0,2985;0,9486;0,998
0.08552026;-0,0872;0,3019;0,9452;0,996
0.085683594;-0,0884;0,3041;0,9420;0,994
0.085833437;-0,0882;0,3039;0,9388;0,991
0.086000625;-0,0892;0,3024;0,9354;0,987
0.086197552;-0,0911;0,3024;0,9312;0,983
0.086363542;-0,0914;0,3049;0,9273;0,980
0.086535364;-0,0914;0,3068;0,9251;0,979
0.086807292;-0,0921;0,3076;0,9234;0,978
0.086983281;-0,0936;0,3083;0,9220;0,977
0.08715651;-0,0953;0,3088;0,9203;0,975
0.087313802;-0,0955;0,3102;0,9186;0,974
0.087478177;-0,0972;0,3110;0,9171;0,973
0.087704271;-0,0997;0,3115;0,9168;0,973
0.087873698;-0,1002;0,3122;0,9171;0,974
0.088035312;-0,0997;0,3127;0,9178;0,975
0.088198333;-0,0982;0,3137;0,9195;0,977
0.088374271;-0,0985;0,3149;0,9205;0,978
0.088529687;-0,1004;0,3149;0,9217;0,979
0.088709114;-0,1002;0,3146;0,9232;0,980
0.08887375;-0,0999;0,3154;0,9247;0,982
0.089108177;-0,1011;0,3164;0,9256;0,983
0.089285833;-0,1009;0,3169;0,9264;0,984
0.089464687;-0,0992;0,3169;0,9271;0,985
0.089642812;-0,0987;0,3166;0,9288;0,986
0.090060417;-0,0989;0,3161;0,9310;0,988
0.090258177;-0,0994;0,3161;0,9325;0,990
0.090439062;-0,0994;0,3159;0,9330;0,990
0.092582812;-0,0980;0,3152;0,9344;0,991
0.093109531;-0,0970;0,3149;0,9364;0,993
0.094061146;-0,0965;0,3146;0,9381;0,994
0.114017239;-0,0970;0,3139;0,9393;0,995
0.114481146;-0,0963;0,3134;0,9410;0,996
0.114708177;-0,0936;0,3124;0,9427;0,998
0.114880469;-0,0916;0,3112;0,9439;0,998
0.115042291;-0,0902;0,3095;0,9459;0,999
0.115190416;-0,0875;0,3066;0,9474;1,000
0.115332916;-0,0813;0,2983;0,9498;0,999
0.115470416;-0,0711;0,2787;0,9503;0,993
0.115600573;-0,0577;0,2536;0,9476;0,983
0.115738281;-0,0459;0,2355;0,9444;0,974
0.115864219;-0,0369;0,2265;0,9422;0,970
0.115995937;-0,0281;0,2245;0,9437;0,970
0.116130885;-0,0208;0,2282;0,9484;0,976
0.116260052;-0,0137;0,2348;0,9564;0,985
0.116395573;-0,0068;0,2431;0,9667;0,997
0.116525;-0,0010;0,2521;0,9774;1,009
0.116654062;0,0046;0,2609;0,9865;1,020
0.116792083;0,0093;0,2692;0,9938;1,030
0.116963333;0,0142;0,2744;0,9987;1,036
0.133081406;0,0181;0,2780;0,9996;1,038
0.133479531;0,0215;0,2807;0,9996;1,039
0.133831302;0,0244;0,2822;0,9999;1,039
0.134003854;0,0264;0,2848;1,0001;1,040
0.134151458;0,0286;0,2892;1,0011;1,042
0.13431401;0,0286;0,2939;1,0021;1,045
0.134466666;0,0269;0,2993;1,0031;1,047
0.134599844;0,0242;0,3054;1,0055;1,051
0.134749114;0,0198;0,3120;1,0090;1,056
0.13489526;0,0149;0,3203;1,0121;1,062
0.135019062;0,0095;0,3288;1,0160;1,068
0.135157708;0,0046;0,3357;1,0195;1,073
0.135291823;0,0010;0,3396;1,0226;1,078
0.135421719;-0,0037;0,3415;1,0253;1,081
0.135561458;-0,0085;0,3430;1,0256;1,081
0.141263854;-0,0129;0,3442;1,0241;1,080
0.141576041;-0,0156;0,3430;1,0224;1,078
0.141726927;-0,0173;0,3408;1,0195;1,075
0.141852604;-0,0198;0,3391;1,0151;1,070
0.141990469;-0,0208;0,3349;1,0124;1,067
0.142121979;-0,0217;0,3308;1,0099;1,063
0.142262812;-0,0249;0,3254;1,0065;1,058
0.145939271;-0,0269;0,3193;1,0041;1,054
0.14619026;-0,0269;0,3139;1,0014;1,050
0.146317135;-0,0266;0,3073;0,9979;1,045
0.147009427;-0,0266;0,3022;0,9945;1,040
0.148223802;-0,0264;0,2993;0,9909;1,035
0.151582604;-0,0264;0,2961;0,9867;1,031
0.151875156;-0,0254;0,2932;0,9828;1,026
0.152010312;-0,0239;0,2905;0,9791;1,022
0.153133541;-0,0232;0,2888;0,9752;1,017
0.154188021;-0,0220;0,2878;0,9718;1,014
0.155533437;-0,0212;0,2870;0,9686;1,010
0.156639687;-0,0210;0,2870;0,9647;1,007
0.157707135;-0,0205;0,2868;0,9613;1,003
0.158865885;-0,0195;0,2875;0,9574;1,000
0.159990781;-0,0183;0,2880;0,9533;0,996
0.161319479;-0,0178;0,2900;0,9503;0,994
0.162859531;-0,0164;0,2932;0,9474;0,992
0.163684323;-0,0142;0,2956;0,9432;0,989
0.165058229;-0,0134;0,2983;0,9393;0,986
0.169025989;-0,0134;0,3015;0,9378;0,985
0.169814271;-0,0129;0,3037;0,9374;0,985
0.170320104;-0,0129;0,3054;0,9371;0,986
0.170707187;-0,0134;0,3078;0,9371;0,986
0.171401875;-0,0142;0,3102;0,9378;0,988
0.173380573;-0,0139;0,3124;0,9383;0,989
0.173956927;-0,0139;0,3144;0,9388;0,990
0.174644531;-0,0139;0,3146;0,9405;0,992
0.175694687;-0,0122;0,3146;0,9420;0,993
0.177129427;-0,0098;0,3152;0,9425;0,994
0.178248594;-0,0085;0,3159;0,9425;0,994
0.17967776;-0,0103;0,3174;0,9432;0,995
0.180704896;-0,0117;0,3176;0,9425;0,995
0.181885416;-0,0110;0,3176;0,9410;0,993
0.186304219;-0,0088;0,3191;0,9410;0,994
0.188842656;-0,0056;0,3208;0,9410;0,994
0.189707031;-0,0029;0,3203;0,9408;0,994
0.190765;-0,0010;0,3205;0,9410;0,994
0.191334844;0,0002;0,3208;0,9410;0,994
0.191810364;0,0005;0,3210;0,9403;0,994
0.192080937;0,0010;0,3225;0,9405;0,994
0.192242187;0,0022;0,3230;0,9408;0,995
0.192587604;0,0029;0,3227;0,9408;0,995
0.193951302;0,0032;0,3217;0,9405;0,994
0.194763385;0,0042;0,3213;0,9398;0,993
0.195959323;0,0044;0,3210;0,9391;0,992
0.197306771;0,0037;0,3205;0,9383;0,992
0.198359166;0,0032;0,3205;0,9374;0,991
0.201225729;0,0032;0,3196;0,9361;0,989
0.201497708;0,0046;0,3183;0,9349;0,988
0.201780833;0,0061;0,3181;0,9334;0,986
0.203014791;0,0066;0,3188;0,9310;0,984
0.204063021;0,0061;0,3191;0,9291;0,982
0.205790833;0,0042;0,3181;0,9281;0,981
0.206846198;0,0024;0,3181;0,9269;0,980
0.212314635;0,0027;0,3186;0,9261;0,979
0.212665677;0,0029;0,3183;0,9249;0,978
0.212818385;0,0029;0,3191;0,9242;0,978
0.21302151;0,0032;0,3186;0,9242;0,978
0.213168698;0,0029;0,3174;0,9247;0,978
0.21420875;0,0022;0,3169;0,9244;0,977
0.215069739;0,0012;0,3169;0,9244;0,977
0.217310156;0,0002;0,3166;0,9242;0,977
0.218507031;-0,0005;0,3159;0,9239;0,976
0.218845208;-0,0010;0,3161;0,9232;0,976
