time;gFx;gFy;gFz;TgF
0.002266406;-0,1143;0,3080;0,8941;0,953
0.002771771;-0,1165;0,3105;0,8919;0,952
0.003051042;-0,1192;0,3122;0,8897;0,950
0.003303438;-0,1226;0,3144;0,8875;0,950
0.00355974;-0,1261;0,3164;0,8846;0,948
0.003683229;-0,1280;0,3183;0,8807;0,945
0.003813594;-0,1295;0,3191;0,8780;0,943
0.003947031;-0,1307;0,3196;0,8748;0,940
0.004074948;-0,1304;0,3222;0,8707;0,938
0.004206198;-0,1292;0,3232;0,8680;0,935
0.005419271;-0,1285;0,3235;0,8675;0,935
0.007598698;-0,1280;0,3252;0,8682;0,936
0.007993125;-0,1280;0,3274;0,8697;0,938
0.010612604;-0,1275;0,3281;0,8714;0,940
0.01121099;-0,1268;0,3281;0,8753;0,943
0.012213073;-0,1265;0,3286;0,8809;0,949
0.012970365;-0,1261;0,3305;0,8868;0,955
0.013852708;-0,1265;0,3322;0,8936;0,962
0.015073698;-0,1263;0,3337;0,9019;0,970
0.016258438;-0,1258;0,3359;0,9117;0,980
0.017243542;-0,1248;0,3381;0,9205;0,989
0.018405521;-0,1229;0,3405;0,9281;0,996
0.020137136;-0,1190;0,3423;0,9344;1,002
0.020956823;-0,1131;0,3425;0,9398;1,007
0.02201625;-0,1070;0,3427;0,9447;1,011
0.023795;-0,1007;0,3432;0,9479;1,013
0.032388386;-0,0936;0,3442;0,9513;1,016
0.032967708;-0,0867;0,3440;0,9550;1,019
0.033220833;-0,0806;0,3430;0,9584;1,021
0.033440365;-0,0738;0,3410;0,9628;1,024
0.033660052;-0,0650;0,3381;0,9672;1,027
0.033873021;-0,0557;0,3349;0,9723;1,030
0.034074792;-0,0474;0,3318;0,9784;1,034
0.034296823;-0,0386;0,3293;0,9843;1,039
0.034515938;-0,0286;0,3257;0,9901;1,043
0.035488958;-0,0183;0,3213;0,9962;1,047
0.036556667;-0,0068;0,3154;1,0021;1,051
0.037797656;0,0049;0,3093;1,0085;1,055
0.038910521;0,0173;0,3032;1,0146;1,059
0.043685208;0,0291;0,2983;1,0221;1,065
0.04420974;0,0396;0,2944;1,0295;1,071
0.044995052;0,0518;0,2907;1,0363;1,078
0.04574125;0,0650;0,2868;1,0429;1,084
0.046009531;0,0782;0,2841;1,0485;1,089
0.046235938;0,0914;0,2817;1,0541;1,095
0.047314063;0,1038;0,2785;1,0603;1,101
0.048508229;0,1156;0,2770;1,0669;1,108
0.049769063;0,1278;0,2775;1,0744;1,117
0.050899948;0,1400;0,2775;1,0817;1,126
0.052234479;0,1510;0,2758;1,0891;1,134
0.053711615;0,1605;0,2722;1,0935;1,138
0.054513542;0,1659;0,2685;1,0942;1,139
0.055517761;0,1688;0,2641;1,0937;1,138
0.057999011;0,1695;0,2587;1,0908;1,134
0.058474063;0,1691;0,2531;1,0866;1,128
0.059631511;0,1691;0,2475;1,0822;1,123
0.060450208;0,1686;0,2423;1,0781;1,118
0.061469583;0,1688;0,2375;1,0749;1,114
0.063544219;0,1700;0,2340;1,0715;1,110
0.063869583;0,1710;0,2313;1,0681;1,106
0.064954375;0,1713;0,2296;1,0649;1,103
0.066447865;0,1725;0,2272;1,0605;1,098
0.067240469;0,1742;0,2245;1,0561;1,094
0.068590573;0,1749;0,2233;1,0505;1,088
0.069851563;0,1742;0,2211;1,0436;1,081
0.070997344;0,1752;0,2189;1,0361;1,073
0.072195104;0,1764;0,2194;1,0278;1,066
0.073664219;0,1764;0,2201;1,0192;1,058
0.076387708;0,1769;0,2213;1,0097;1,049
0.076997031;0,1776;0,2235;1,0004;1,040
0.0773625;0,1793;0,2252;0,9926;1,033
0.078225365;0,1818;0,2279;0,9855;1,028
0.079362136;0,1844;0,2326;0,9791;1,023
0.080607188;0,1869;0,2362;0,9745;1,020
0.081608438;0,1888;0,2394;0,9718;1,019
0.082721771;0,1908;0,2438;0,9694;1,018
0.084322083;0,1915;0,2482;0,9667;1,016
0.085292188;0,1918;0,2509;0,9633;1,014
0.086639636;0,1901;0,2533;0,9601;1,011
0.08765724;0,1861;0,2563;0,9559;1,007
0.088740261;0,1837;0,2572;0,9506;1,002
0.091030625;0,1835;0,2577;0,9435;0,995
0.091731198;0,1835;0,2580;0,9356;0,988
0.092897448;0,1820;0,2572;0,9273;0,979
0.093780781;0,1805;0,2572;0,9198;0,972
0.094939636;0,1796;0,2577;0,9132;0,966
0.096104844;0,1788;0,2585;0,9059;0,959
0.09713474;0,1791;0,2607;0,8978;0,952
0.098474583;0,1796;0,2643;0,8902;0,946
0.099517656;0,1783;0,2673;0,8836;0,940
0.102699271;0,1778;0,2702;0,8773;0,935
0.103072188;0,1781;0,2739;0,8719;0,931
0.10331224;0,1761;0,2780;0,8682;0,929
0.104630781;0,1732;0,2812;0,8658;0,927
0.105527604;0,1698;0,2856;0,8636;0,925
0.108021875;0,1664;0,2917;0,8604;0,924
0.108454844;0,1634;0,2963;0,8572;0,922
0.109079427;0,1603;0,2993;0,8543;0,919
0.110436979;0,1568;0,3027;0,8506;0,916
0.111588125;0,1532;0,3071;0,8460;0,913
0.112616771;0,1500;0,3102;0,8404;0,908
0.113582552;0,1473;0,3137;0,8345;0,904
0.114716823;0,1446;0,3181;0,8301;0,901
0.116182083;0,1419;0,3237;0,8294;0,902
0.117227656;0,1387;0,3291;0,8306;0,904
0.118431146;0,1361;0,3327;0,8311;0,906
0.119764896;0,1348;0,3362;0,8316;0,907
0.120816458;0,1336;0,3398;0,8328;0,909
0.122045313;0,1314;0,3430;0,8345;0,912
0.123524896;0,1297;0,3469;0,8345;0,913
0.125555208;0,1304;0,3501;0,8336;0,913
