time;gFx;gFy;gFz;TgF
0.001839583;-0,2111;0,3054;0,8272;0,907
0.002243021;-0,2135;0,3083;0,8306;0,911
0.002477969;-0,2162;0,3100;0,8343;0,916
0.002696562;-0,2191;0,3122;0,8387;0,921
0.002859792;-0,2221;0,3156;0,8445;0,929
0.003031458;-0,2252;0,3188;0,8521;0,937
0.003209375;-0,2289;0,3205;0,8594;0,945
0.003384219;-0,2309;0,3222;0,8655;0,952
0.004416146;-0,2323;0,3259;0,8692;0,957
0.005435885;-0,2365;0,3288;0,8707;0,960
0.006520573;-0,2404;0,3315;0,8714;0,963
0.00784151;-0,2428;0,3347;0,8716;0,965
0.012931354;-0,2458;0,3374;0,8716;0,966
0.013353698;-0,2475;0,3405;0,8709;0,967
0.013592865;-0,2492;0,3440;0,8692;0,967
0.013861823;-0,2514;0,3462;0,8665;0,966
0.014090625;-0,2528;0,3491;0,8638;0,965
0.015322812;-0,2531;0,3525;0,8621;0,965
0.016505677;-0,2509;0,3547;0,8604;0,964
0.017436458;-0,2460;0,3547;0,8577;0,960
0.018578125;-0,2387;0,3528;0,8543;0,955
0.01962375;-0,2343;0,3520;0,8504;0,950
0.020982552;-0,2323;0,3547;0,8477;0,948
0.022085521;-0,2311;0,3589;0,8445;0,946
0.023221771;-0,2287;0,3611;0,8419;0,944
0.024322552;-0,2250;0,3620;0,8401;0,942
0.028733125;-0,2230;0,3637;0,8389;0,941
0.029124375;-0,2211;0,3642;0,8372;0,939
0.029319583;-0,2189;0,3628;0,8362;0,937
0.029490469;-0,2152;0,3613;0,8357;0,936
0.030579115;-0,2108;0,3611;0,8365;0,935
0.031745885;-0,2077;0,3606;0,8382;0,936
0.033058802;-0,2042;0,3601;0,8409;0,937
0.034116406;-0,2006;0,3598;0,8448;0,940
0.035307708;-0,1979;0,3601;0,8504;0,944
0.036275208;-0,1966;0,3608;0,8560;0,950
0.037568281;-0,1959;0,3618;0,8614;0,955
0.038587656;-0,1952;0,3620;0,8665;0,959
0.040147604;-0,1949;0,3615;0,8707;0,963
0.041046615;-0,1949;0,3615;0,8748;0,966
0.042454375;-0,1942;0,3608;0,8792;0,970
0.044478542;-0,1922;0,3606;0,8836;0,974
0.044949687;-0,1910;0,3615;0,8870;0,977
0.045960677;-0,1901;0,3623;0,8895;0,979
0.04720401;-0,1876;0,3633;0,8907;0,980
0.048305885;-0,1854;0,3642;0,8893;0,979
0.049476667;-0,1847;0,3642;0,8843;0,974
0.050577396;-0,1847;0,3633;0,8790;0,969
0.052005417;-0,1847;0,3633;0,8751;0,965
0.052984531;-0,1830;0,3625;0,8719;0,962
0.054242292;-0,1800;0,3603;0,8712;0,960
0.055397604;-0,1764;0,3596;0,8719;0,959
0.05655;-0,1727;0,3594;0,8726;0,959
0.057744635;-0,1686;0,3584;0,8751;0,961
0.05982;-0,1637;0,3572;0,8777;0,962
0.060241927;-0,1605;0,3564;0,8802;0,963
0.061636354;-0,1573;0,3559;0,8817;0,964
0.062639896;-0,1537;0,3540;0,8821;0,963
0.063919635;-0,1522;0,3506;0,8826;0,962
0.064907083;-0,1517;0,3474;0,8831;0,961
0.065984687;-0,1512;0,3449;0,8838;0,961
0.067240937;-0,1495;0,3405;0,8834;0,958
0.068390156;-0,1473;0,3352;0,8824;0,955
0.069550937;-0,1451;0,3301;0,8824;0,953
0.070771094;-0,1431;0,3242;0,8829;0,951
0.072155521;-0,1414;0,3178;0,8826;0,949
0.073134167;-0,1392;0,3122;0,8814;0,945
0.074285;-0,1375;0,3068;0,8799;0,942
0.077497917;-0,1375;0,3007;0,8787;0,939
0.07804625;-0,1385;0,2951;0,8770;0,936
0.078391719;-0,1380;0,2897;0,8758;0,933
0.079197135;-0,1380;0,2836;0,8753;0,930
0.080488229;-0,1380;0,2778;0,8753;0,929
0.081703385;-0,1385;0,2704;0,8748;0,926
0.082748385;-0,1407;0,2631;0,8751;0,925
0.083993958;-0,1422;0,2577;0,8748;0,923
0.085029948;-0,1451;0,2538;0,8746;0,922
0.086154948;-0,1481;0,2494;0,8748;0,922
0.087400625;-0,1507;0,2433;0,8746;0,920
0.088659062;-0,1542;0,2377;0,8743;0,919
0.089974948;-0,1573;0,2331;0,8755;0,920
0.091181979;-0,1598;0,2284;0,8787;0,922
0.093620937;-0,1620;0,2233;0,8812;0,923
0.094135729;-0,1647;0,2189;0,8838;0,925
0.095000312;-0,1666;0,2138;0,8875;0,928
0.09612599;-0,1681;0,2074;0,8922;0,931
0.097140573;-0,1695;0,2020;0,8968;0,935
0.098263021;-0,1713;0,1971;0,9032;0,940
0.099333594;-0,1715;0,1915;0,9110;0,947
0.10055151;-0,1708;0,1861;0,9188;0,953
0.101729844;-0,1693;0,1813;0,9276;0,960
