time;gFx;gFy;gFz;TgF
0.005465468;0,2111;-0,2075;0,9503;0,995
0.00615625;0,2098;-0,2095;0,9459;0,991
0.006540885;0,2091;-0,2121;0,9547;1,000
0.006903072;0,2129;-0,2132;0,9577;1,004
0.007280364;0,2126;-0,2117;0,9580;1,004
0.007605364;0,2109;-0,2136;0,9572;1,003
0.007923593;0,2054;-0,2189;0,9657;1,011
0.008251354;0,1984;-0,2229;0,9591;1,004
0.008596093;0,1981;-0,2235;0,9472;0,993
0.008938333;0,2131;-0,2178;0,9643;1,011
0.009284166;0,1843;-0,2055;1,0211;1,058
0.009653072;0,1591;-0,2059;0,9844;1,018
0.010502083;0,1583;-0,2014;0,9554;0,989
0.016877552;0,1519;-0,1945;0,9562;0,988
0.017704687;0,1436;-0,1937;0,9590;0,989
0.017962552;0,1369;-0,1951;0,9709;1,000
0.02667651;0,1357;-0,1982;0,9722;1,001
0.027962447;0,1314;-0,2011;0,9764;1,005
0.028345833;0,1365;-0,2109;0,9885;1,020
0.02873526;0,1513;-0,2470;1,0356;1,075
0.03945776;0,1606;-0,2586;1,0778;1,120
0.040565208;0,1477;-0,2330;1,0400;1,076
0.041318333;0,1363;-0,2479;0,9880;1,028
0.041718697;0,1197;-0,2794;0,9610;1,008
0.042180052;0,1325;-0,2695;0,9554;1,001
0.042499114;0,1510;-0,2390;0,9247;0,967
0.046758541;0,1559;-0,2226;0,9148;0,954
0.048687812;0,1635;-0,2251;0,9092;0,951
0.049801666;0,1585;-0,2125;0,9117;0,949
0.052148854;0,1580;-0,1979;0,9091;0,944
0.056636718;0,1601;-0,1917;0,9131;0,947
0.057319739;0,1750;-0,1851;0,9260;0,960
0.061322656;0,1850;-0,1885;0,9342;0,971
0.06215625;0,1885;-0,1843;0,9423;0,978
0.064675416;0,1817;-0,1698;0,9341;0,967
0.067088593;0,1821;-0,1640;0,9429;0,974
0.069403281;0,1829;-0,1701;0,9612;0,993
0.072959062;0,1732;-0,1748;0,9775;1,008
0.07554552;0,1701;-0,1816;1,0151;1,045
0.078215729;0,1644;-0,1800;1,0161;1,045
0.0803225;0,1519;-0,1847;0,9889;1,017
0.081853802;0,1314;-0,1836;0,9799;1,006
0.08427927;0,1077;-0,1930;0,9963;1,021
0.087354531;0,0892;-0,1885;1,0101;1,031
0.08971427;0,1073;-0,1679;1,0001;1,020
0.092143958;0,1308;-0,1674;0,9656;0,989
0.094881145;0,1302;-0,1621;0,9633;0,985
0.097717239;0,1583;-0,1529;0,9909;1,015
0.099300833;0,1721;-0,1733;1,0131;1,042
0.101613125;0,1658;-0,1921;1,0079;1,039
0.104076666;0,1537;-0,1858;1,0002;1,029
0.106568541;0,1476;-0,1778;1,0009;1,027
0.108918177;0,1446;-0,1768;0,9984;1,024
0.11129625;0,1233;-0,1851;1,0051;1,029
0.126314062;0,1014;-0,1874;1,0181;1,040
0.127917031;0,0845;-0,1906;1,0322;1,053
0.128615885;0,0732;-0,1825;1,0293;1,048
0.12973526;0,0593;-0,1758;1,0144;1,031
0.130449114;0,0481;-0,1650;1,0035;1,018
0.131098593;0,0368;-0,1576;1,0019;1,015
0.131742395;0,0451;-0,1254;1,0041;1,013
0.132362187;0,0371;-0,1149;0,9616;0,969
0.155700937;0,0341;-0,1051;0,9405;0,947
0.157238281;0,0219;-0,1078;0,9522;0,959
0.157992291;0,0164;-0,0950;0,9725;0,977
0.158922552;0,0101;-0,1071;0,9595;0,966
0.159583281;0,0086;-0,1184;0,9652;0,973
0.160220677;0,0178;-0,1205;0,9899;0,997
0.160831041;0,0251;-0,1217;0,9646;0,973
0.161443645;0,0457;-0,1211;0,9398;0,949
0.162045468;0,0060;-0,1310;1,0180;1,026
0.162762187;-0,0144;-0,1437;0,9903;1,001
0.163547812;-0,0080;-0,1449;0,9673;0,978
0.164583125;-0,0209;-0,1380;0,9665;0,976
0.165229479;-0,0181;-0,1455;0,9689;0,980
0.171300208;-0,0085;-0,1552;0,9860;0,998
0.172603541;0,0004;-0,1702;1,0007;1,015
0.173116718;0,0163;-0,1797;1,0104;1,026
0.173502239;0,0221;-0,1840;1,0064;1,023
0.175372656;0,0295;-0,1835;1,0040;1,021
0.178207343;0,0334;-0,1797;1,0195;1,036
0.180930416;0,0330;-0,1694;1,0504;1,064
0.182975468;0,0411;-0,1619;1,0740;1,087
0.185373124;0,0642;-0,1745;1,0919;1,108
0.187688697;0,1024;-0,1792;1,0665;1,086
0.18986651;0,1408;-0,1802;1,0229;1,048
0.192382604;0,1691;-0,1770;1,0001;1,030
0.196972656;0,1801;-0,1832;1,0045;1,037
0.205661718;0,1890;-0,1928;1,0167;1,052
0.206429947;0,2078;-0,1978;1,0185;1,058
0.20674276;0,2179;-0,1912;1,0156;1,056
0.207021666;0,2232;-0,1983;1,0082;1,052
0.207313333;0,2127;-0,2087;0,9859;1,030
0.211927916;0,2152;-0,2089;0,9974;1,041
0.212853437;0,2166;-0,2164;0,9979;1,044
0.216057083;0,2257;-0,2132;0,9987;1,046
0.220084947;0,2309;-0,2165;0,9970;1,046
0.221145416;0,2287;-0,2225;0,9975;1,047
0.222276927;0,2322;-0,2199;0,9875;1,038
0.224760885;0,2405;-0,2163;0,9747;1,027
0.227225833;0,2396;-0,2094;0,9692;1,020
0.233636874;0,2352;-0,2175;0,9600;1,012
0.235055156;0,2314;-0,2237;0,9579;1,011
0.235708229;0,2317;-0,2236;0,9457;0,999
0.237030156;0,2214;-0,2216;0,9342;0,985
0.239503854;0,2113;-0,2237;0,9249;0,975
0.241967968;0,2119;-0,2230;0,9121;0,963
0.244250781;0,2054;-0,2248;0,9053;0,955
0.256909739;0,1977;-0,2293;0,9028;0,952
0.258019218;0,1883;-0,2359;0,9032;0,952
0.258562031;0,1722;-0,2381;0,9004;0,947
0.259002239;0,1575;-0,2207;0,9084;0,948
0.25959427;0,1292;-0,2241;0,8971;0,934
0.260048489;0,1085;-0,2343;0,8887;0,925
0.261383437;0,1162;-0,2331;0,8827;0,920
0.275441197;0,1197;-0,2286;0,8943;0,931
0.276992864;0,0938;-0,2167;0,9202;0,950
0.277777812;0,0525;-0,2078;0,9376;0,962
0.27832776;0,0274;-0,1990;0,9364;0,958
0.278915364;0,0212;-0,1985;0,9235;0,945
0.27950052;0,0136;-0,2042;0,9185;0,941
0.28005302;0,0122;-0,2051;0,9103;0,933
0.283223541;0,0017;-0,2130;0,8863;0,912
0.284516666;-0,0057;-0,2203;0,8673;0,895
0.286481145;-0,0060;-0,2363;0,8646;0,896
0.288942708;-0,0178;-0,2558;0,8642;0,901
0.291258385;-0,0136;-0,2628;0,8613;0,901
0.294467031;-0,0086;-0,2648;0,8757;0,915
0.311625989;0,0012;-0,2693;0,9128;0,952
0.314295416;0,0139;-0,2744;0,9363;0,976
0.315534374;0,0194;-0,2841;0,9513;0,993
0.31639802;0,0291;-0,2884;0,9637;1,006
0.317103489;0,0329;-0,2911;0,9849;1,028
0.317864166;0,0409;-0,2961;1,0037;1,047
0.318577395;0,0525;-0,2948;1,0089;1,052
0.319304531;0,0622;-0,2914;1,0218;1,064
0.319948749;0,0600;-0,2911;1,0340;1,076
0.320721458;0,0657;-0,2838;1,0465;1,086
0.321377187;0,0702;-0,2612;1,0681;1,102
0.323157031;0,0544;-0,2684;1,0586;1,093
0.325826302;0,0516;-0,2723;1,0426;1,079
0.328079374;0,0675;-0,2578;1,0691;1,102
0.332767395;0,0818;-0,2415;1,0869;1,116
0.337630885;0,0861;-0,2324;1,0843;1,112
