time;gFx;gFy;gFz;TgF
0.002606927;-0,1656;0,3273;0,8411;0,918
0.002970625;-0,1727;0,3254;0,8465;0,923
0.003196197;-0,1751;0,3276;0,8569;0,934
0.003404843;-0,1780;0,3296;0,8728;0,950
0.00363;-0,1791;0,3282;0,8896;0,965
0.003850677;-0,1815;0,3303;0,9062;0,981
0.004057343;-0,1855;0,3310;0,9238;0,999
0.006768802;-0,1890;0,3317;0,9392;1,014
0.008926927;-0,1916;0,3366;0,9599;1,035
0.011447291;-0,1894;0,3367;0,9766;1,050
0.013669218;-0,1916;0,3361;0,9931;1,066
0.016132187;-0,1977;0,3436;1,0028;1,078
0.024376874;-0,1978;0,3353;1,0030;1,076
0.025084895;-0,1986;0,3303;1,0023;1,074
0.025454635;-0,2005;0,3317;1,0020;1,074
0.027164583;-0,1964;0,3360;0,9987;1,072
0.028815312;-0,1943;0,3366;0,9932;1,067
0.031302031;-0,1926;0,3331;0,9836;1,056
0.036818645;-0,1854;0,3326;0,9789;1,050
0.03786802;-0,1844;0,3355;0,9721;1,045
0.038877395;-0,1826;0,3349;0,9718;1,044
0.041069531;-0,1818;0,3344;0,9659;1,038
0.043360833;-0,1779;0,3331;0,9663;1,038
0.045736614;-0,1802;0,3317;0,9602;1,032
0.048347135;-0,1819;0,3327;0,9535;1,026
0.053149427;-0,1812;0,3338;0,9505;1,024
0.054017291;-0,1793;0,3333;0,9490;1,022
0.055774062;-0,1778;0,3307;0,9514;1,023
0.059176666;-0,1833;0,3289;0,9479;1,020
0.061656093;-0,1827;0,3282;0,9424;1,014
0.064081302;-0,1786;0,3256;0,9419;1,012
0.066574531;-0,1794;0,3277;0,9359;1,008
0.068714427;-0,1786;0,3263;0,9335;1,005
0.070431354;-0,1794;0,3283;0,9273;1,000
0.073053854;-0,1782;0,3263;0,9275;0,999
0.07544651;-0,1801;0,3260;0,9326;1,004
0.078469895;-0,1805;0,3272;0,9348;1,007
0.080268281;-0,1852;0,3234;0,9342;1,006
0.082778802;-0,1927;0,3237;0,9301;1,003
0.085962343;-0,1958;0,3285;0,9389;1,014
0.088220937;-0,1986;0,3255;0,9475;1,021
0.090376927;-0,1992;0,3246;0,9549;1,028
0.092760104;-0,2144;0,3386;0,9687;1,048
0.095063229;-0,2346;0,3488;0,9971;1,082
0.098008541;-0,2463;0,3577;1,0153;1,104
0.114182187;-0,2418;0,3587;1,0224;1,110
0.115739635;-0,2172;0,3756;1,0564;1,142
0.116561249;-0,2060;0,3943;1,0868;1,174
0.117758281;-0,2113;0,3856;1,0503;1,139
0.118712031;-0,2135;0,3620;1,0181;1,101
0.119591406;-0,2157;0,3461;0,9937;1,074
0.120429895;-0,2221;0,3315;0,9656;1,045
0.121291562;-0,2293;0,3187;0,9293;1,009
0.12217276;-0,2383;0,3162;0,9030;0,986
0.150093958;-0,2533;0,3154;0,8837;0,972
0.151325677;-0,2566;0,3086;0,8642;0,953
0.151822916;-0,2494;0,3064;0,8510;0,938
0.15219526;-0,2291;0,3085;0,8448;0,928
0.152558541;-0,2016;0,3136;0,8425;0,921
0.152927552;-0,1785;0,3193;0,8289;0,906
0.153251666;-0,1620;0,3238;0,8190;0,895
0.153623177;-0,1558;0,3245;0,8150;0,891
0.153950572;-0,1495;0,3278;0,8134;0,890
0.154304999;-0,1517;0,3251;0,8166;0,892
0.154639739;-0,1535;0,3217;0,8104;0,885
0.154975572;-0,1652;0,3184;0,8204;0,895
0.155376145;-0,1699;0,3184;0,8205;0,896
0.155809999;-0,1723;0,3233;0,8269;0,904
0.16319177;-0,1712;0,3212;0,8309;0,907
0.164282031;-0,1768;0,3219;0,8420;0,919
0.164666406;-0,1751;0,3285;0,8502;0,928
0.164994895;-0,1762;0,3307;0,8556;0,934
0.166518906;-0,1791;0,3340;0,8655;0,945
0.169590781;-0,1808;0,3417;0,8733;0,955
0.171934062;-0,1865;0,3439;0,8885;0,971
0.174357864;-0,1879;0,3393;0,8962;0,977
0.176647656;-0,1885;0,3397;0,8960;0,977
0.180282239;-0,1916;0,3381;0,8966;0,977
0.181381249;-0,1958;0,3372;0,9102;0,990
0.186724583;-0,2001;0,3348;0,9154;0,995
0.187854479;-0,2005;0,3371;0,9175;0,998
0.188979739;-0,2034;0,3367;0,9220;1,002
0.191415468;-0,2006;0,3327;0,9237;1,002
0.193586406;-0,1987;0,3333;0,9243;1,002
0.197985364;-0,1976;0,3360;0,9264;1,005
0.198724114;-0,1901;0,3323;0,9266;1,003
0.20231552;-0,1881;0,3317;0,9266;1,002
0.20402026;-0,1856;0,3277;0,9252;0,999
0.206156614;-0,1790;0,3323;0,9269;1,001
0.208727135;-0,1739;0,3309;0,9157;0,989
0.210902031;-0,1630;0,3328;0,9017;0,975
0.213242083;-0,1593;0,3292;0,8953;0,967
0.215717343;-0,1746;0,3154;0,9168;0,985
0.228481249;-0,2127;0,2919;0,9916;1,055
0.229626926;-0,2547;0,2711;1,0591;1,123
0.230090468;-0,2555;0,2759;1,0742;1,138
0.230694635;-0,2223;0,2853;1,0577;1,118
0.231109166;-0,1744;0,2959;1,0371;1,092
0.23149802;-0,1339;0,3067;1,0219;1,075
0.233081145;-0,1101;0,3149;1,0079;1,062
0.235979114;-0,1024;0,3174;0,9940;1,048
0.241794791;-0,1077;0,3307;0,9842;1,044
0.24260651;-0,1162;0,3370;0,9694;1,033
0.243378697;-0,1326;0,3406;0,9643;1,031
0.245750416;-0,1421;0,3398;0,9533;1,022
0.248293854;-0,1491;0,3337;0,9336;1,003
0.252954166;-0,1519;0,3337;0,9238;0,994
0.254100364;-0,1567;0,3300;0,9127;0,983
0.255704687;-0,1666;0,3362;0,9034;0,978
0.258216197;-0,1729;0,3421;0,8968;0,975
0.260522291;-0,1826;0,3465;0,8907;0,973
0.262767499;-0,1970;0,3452;0,8868;0,972
0.265274895;-0,2076;0,3415;0,8794;0,966
0.268524843;-0,2209;0,3400;0,8729;0,962
0.271410156;-0,2280;0,3369;0,8628;0,954
0.272623437;-0,2326;0,3389;0,8556;0,949
0.275315624;-0,2273;0,3475;0,8537;0,949
0.278603229;-0,2265;0,3448;0,8507;0,945
0.279944843;-0,2251;0,3487;0,8480;0,944
0.282323176;-0,2258;0,3551;0,8476;0,946
0.286689739;-0,2246;0,3603;0,8455;0,946
0.287719322;-0,2238;0,3667;0,8571;0,959
0.291564166;-0,2215;0,3636;0,8690;0,968
0.29242552;-0,2153;0,3564;0,8703;0,965
0.296442447;-0,2141;0,3557;0,8758;0,969
0.297350833;-0,2172;0,3519;0,8815;0,974
0.301074843;-0,2155;0,3493;0,8896;0,980
0.303487239;-0,2180;0,3527;0,8975;0,989
0.304892551;-0,2201;0,3516;0,9072;0,998
0.307409895;-0,2182;0,3533;0,9137;1,004
0.309814218;-0,2105;0,3573;0,9205;1,010
0.31221927;-0,2056;0,3662;0,9337;1,024
0.314884999;-0,2058;0,3653;0,9342;1,024
0.330584895;-0,2127;0,3698;0,9406;1,033
0.332269531;-0,2175;0,3768;0,9501;1,045
0.332969166;-0,2177;0,3792;0,9566;1,052
0.333623489;-0,2298;0,3851;0,9659;1,065
0.334183645;-0,2348;0,3984;0,9838;1,087
0.334739114;-0,2386;0,4183;0,9944;1,105
0.335251301;-0,2176;0,4613;1,0196;1,140
0.335700885;-0,2253;0,4671;1,0453;1,167
0.353465833;-0,2698;0,4280;1,0672;1,181
