time;gFx;gFy;gFz;TgF
0.002021042;0,1364;0,7514;0,6156;0,981
0.002508073;0,1375;0,7527;0,6136;0,981
0.002754479;0,1368;0,7536;0,6106;0,980
0.00299651;0,1354;0,7534;0,6130;0,981
0.003863542;0,1352;0,7525;0,6192;0,984
0.004643229;0,1358;0,7567;0,6127;0,983
0.007585833;0,1375;0,7517;0,6133;0,980
0.009083385;0,1346;0,7538;0,6158;0,983
0.011341719;0,1303;0,7549;0,6091;0,979
0.013780312;0,1283;0,7445;0,6007;0,965
0.016261771;0,1209;0,7462;0,5956;0,962
0.018625;0,1223;0,7502;0,6067;0,973
0.025054583;0,1305;0,7485;0,6130;0,976
0.025493802;0,1374;0,7539;0,6138;0,982
0.025957135;0,1397;0,7481;0,6224;0,983
0.028402396;0,1448;0,7415;0,6235;0,980
0.031758542;0,1497;0,7318;0,6342;0,980
0.034159948;0,1476;0,7415;0,6297;0,984
0.036635625;0,1474;0,7415;0,6235;0,980
0.038967448;0,1421;0,7392;0,6265;0,979
0.040867031;0,1437;0,7371;0,6232;0,976
0.043099219;0,1357;0,7352;0,6191;0,971
0.045622656;0,1350;0,7342;0,6193;0,970
0.048068385;0,1368;0,7350;0,6186;0,970
0.050571719;0,1376;0,7338;0,6297;0,977
0.053114479;0,1321;0,7350;0,6373;0,982
0.057325521;0,1112;0,7243;0,6611;0,987
0.059641146;0,1129;0,7280;0,6699;0,996
0.064840469;0,1207;0,7382;0,6524;0,993
0.065316979;0,1253;0,7428;0,6382;0,987
0.065574479;0,1243;0,7395;0,6290;0,979
0.067882604;0,1239;0,7413;0,6255;0,978
0.070370677;0,1229;0,7401;0,6220;0,975
0.072936042;0,1294;0,7439;0,6236;0,979
0.075441198;0,1254;0,7380;0,6211;0,973
0.077820156;0,1267;0,7371;0,6232;0,974
0.080172552;0,1234;0,7346;0,6224;0,971
0.082633021;0,1181;0,7375;0,6237;0,973
0.085278958;0,1210;0,7411;0,6207;0,974
0.089621094;0,1187;0,7330;0,6150;0,964
0.090728594;0,1218;0,7341;0,6178;0,967
0.0927125;0,1232;0,7386;0,6220;0,973
0.095048646;0,1259;0,7392;0,6260;0,977
0.097438385;0,1259;0,7431;0,6306;0,983
0.099836927;0,1317;0,7415;0,6362;0,986
0.102518906;0,1278;0,7408;0,6288;0,980
0.106539635;0,1295;0,7419;0,6241;0,978
0.107378333;0,1328;0,7468;0,6332;0,988
0.110409167;0,1385;0,7480;0,6321;0,989
0.113911927;0,1397;0,7479;0,6393;0,994
0.114618281;0,1414;0,7472;0,6348;0,991
0.118048698;0,1409;0,7435;0,6330;0,987
0.120599167;0,1420;0,7434;0,6308;0,985
0.12278151;0,1451;0,7477;0,6281;0,987
0.124664635;0,1440;0,7497;0,6327;0,992
0.127124115;0,1447;0,7496;0,6319;0,991
0.129430625;0,1436;0,7478;0,6273;0,987
0.131910312;0,1497;0,7544;0,6270;0,992
0.13436401;0,1518;0,7550;0,6343;0,998
0.1369375;0,1541;0,7533;0,6304;0,994
0.139760625;0,1536;0,7527;0,6293;0,993
0.141937187;0,1541;0,7567;0,6293;0,996
0.144302031;0,1568;0,7527;0,6317;0,995
0.146686354;0,1554;0,7511;0,6270;0,991
0.149221302;0,1558;0,7567;0,6280;0,996
0.151894583;0,1535;0,7528;0,6216;0,988
0.154201094;0,1540;0,7536;0,6247;0,991
0.157539739;0,1572;0,7553;0,6301;0,996
0.159868594;0,1512;0,7558;0,6244;0,992
0.1642075;0,1485;0,7553;0,6209;0,989
0.16473151;0,1482;0,7574;0,6252;0,993
0.166568854;0,1512;0,7511;0,6253;0,989
0.168953646;0,1482;0,7488;0,6247;0,986
0.172623125;0,1499;0,7500;0,6244;0,987
0.173847969;0,1463;0,7444;0,6248;0,983
0.176452396;0,1452;0,7505;0,6231;0,986
0.178787187;0,1435;0,7479;0,6244;0,985
0.181197187;0,1458;0,7489;0,6181;0,982
0.183545781;0,1410;0,7477;0,6233;0,984
0.186225364;0,1419;0,7497;0,6238;0,986
0.189343542;0,1427;0,7447;0,6176;0,978
0.191166198;0,1415;0,7451;0,6246;0,982
0.193529896;0,1402;0,7468;0,6259;0,984
0.195841042;0,1346;0,7456;0,6232;0,981
0.198248542;0,1315;0,7446;0,6243;0,981
0.200764844;0,1374;0,7418;0,6243;0,979
0.203420937;0,1376;0,7425;0,6251;0,980
0.206636406;0,1359;0,7424;0,6323;0,985
0.208466562;0,1339;0,7398;0,6251;0,978
0.210830104;0,1348;0,7376;0,6249;0,976
0.214417396;0,1346;0,7390;0,6277;0,979
0.215694062;0,1305;0,7370;0,6298;0,978
0.218174635;0,1366;0,7381;0,6222;0,975
0.221922187;0,1366;0,7390;0,6274;0,979
0.224488437;0,1380;0,7407;0,6294;0,982
0.225623385;0,1387;0,7386;0,6308;0,981
0.228005885;0,1357;0,7367;0,6308;0,979
0.230658385;0,1347;0,7358;0,6299;0,978
0.232761875;0,1382;0,7354;0,6251;0,975
0.235792083;0,1358;0,7352;0,6249;0,974
0.23912651;0,1403;0,7362;0,6274;0,977
0.240579323;0,1392;0,7368;0,6266;0,977
0.242890208;0,1379;0,7389;0,6264;0,978
0.245420677;0,1403;0,7384;0,6287;0,980
0.247640469;0,1349;0,7386;0,6266;0,978
0.250180625;0,1370;0,7392;0,6226;0,976
0.252572864;0,1424;0,7386;0,6188;0,974
0.25806276;0,1393;0,7464;0,6166;0,978
0.259057604;0,1369;0,7467;0,6215;0,981
0.260908698;0,1358;0,7435;0,6175;0,976
0.262781614;0,1409;0,7458;0,6147;0,977
0.265065052;0,1424;0,7452;0,6186;0,979
