time;gFx;gFy;gFz;TgF
0.00346526;0,1545;0,8220;0,5260;0,988
0.004209583;0,1496;0,8211;0,5305;0,989
0.004604479;0,1437;0,8238;0,5356;0,993
0.004985364;0,1415;0,8268;0,5436;1,000
0.005442187;0,1388;0,8252;0,5508;1,002
0.009944948;0,1374;0,8244;0,5620;1,007
0.011049896;0,1349;0,8216;0,5748;1,012
0.0115875;0,1342;0,8197;0,5817;1,014
0.01202901;0,1388;0,8229;0,5865;1,020
0.017521875;0,1375;0,8192;0,5941;1,021
0.018454062;0,1346;0,8202;0,5987;1,024
0.01890776;0,1229;0,8205;0,6051;1,027
0.019270416;0,1091;0,8143;0,6082;1,022
0.026811041;0,0918;0,8130;0,6069;1,019
0.027780208;0,0365;0,8008;0,6285;1,019
0.028213229;-0,0209;0,7986;0,6979;1,061
0.030882083;0,0431;0,8082;0,6935;1,066
0.03170026;0,1003;0,8081;0,6597;1,048
0.033305625;0,1251;0,8080;0,6208;1,027
0.040419427;0,1304;0,8046;0,5929;1,008
0.041270312;0,1295;0,8064;0,5672;0,994
0.041574218;0,1357;0,7991;0,5399;0,974
0.043064791;0,1232;0,7953;0,5229;0,960
0.046482396;0,1140;0,7965;0,4967;0,946
0.049253593;0,1118;0,7874;0,4854;0,932
0.050908073;0,1124;0,7866;0,4787;0,928
0.053219323;0,1199;0,7854;0,4757;0,926
0.05516302;0,1325;0,7833;0,4737;0,925
0.057837708;0,1411;0,7837;0,4799;0,930
0.061268802;0,1502;0,7847;0,4803;0,932
0.063974375;0,1514;0,7870;0,4889;0,939
0.065172604;0,1541;0,7882;0,5014;0,947
0.06757651;0,1520;0,7896;0,5176;0,956
0.070122708;0,1499;0,7907;0,5290;0,963
0.072569479;0,1528;0,7902;0,5403;0,969
0.074792656;0,1518;0,7993;0,5571;0,986
0.078039583;0,1508;0,8003;0,5729;0,996
0.080581354;0,1554;0,8004;0,5835;1,003
0.08291052;0,1552;0,8023;0,5885;1,007
0.085891823;0,1583;0,8037;0,5966;1,013
0.088282708;0,1570;0,8084;0,5934;1,015
0.090312916;0,1550;0,8085;0,5935;1,015
0.092708854;0,1534;0,8056;0,5918;1,011
0.095275208;0,1523;0,8081;0,5856;1,010
0.097897343;0,1504;0,8108;0,5847;1,011
0.100133698;0,1481;0,8159;0,5730;1,008
0.103649635;0,1477;0,8114;0,5723;1,004
0.105684635;0,1474;0,8118;0,5697;1,003
0.10785526;0,1448;0,8145;0,5632;1,001
0.109906614;0,1396;0,8186;0,5652;1,005
0.11266276;0,1389;0,8208;0,5549;1,001
0.115704687;0,1383;0,8240;0,5558;1,004
0.117938802;0,1426;0,8165;0,5585;0,999
0.120898958;0,1381;0,8156;0,5564;0,997
0.122831093;0,1328;0,8179;0,5593;1,000
0.125458281;0,1319;0,8165;0,5585;0,998
0.127656198;0,1294;0,8172;0,5570;0,997
0.130186354;0,1277;0,8147;0,5596;0,997
0.132555364;0,1284;0,8154;0,5564;0,996
0.140463229;0,1239;0,8120;0,5536;0,991
0.141520468;0,1226;0,8129;0,5570;0,993
0.141981614;0,1193;0,8091;0,5586;0,990
0.144654895;0,1220;0,8082;0,5529;0,987
0.145543125;0,1225;0,8070;0,5566;0,988
0.146509843;0,1184;0,8058;0,5535;0,985
0.14897276;0,1190;0,8064;0,5501;0,983
0.154424166;0,1144;0,8002;0,5515;0,979
0.155560052;0,1171;0,7994;0,5455;0,975
0.156504843;0,1203;0,7930;0,5460;0,970
0.158875052;0,1211;0,7908;0,5432;0,967
0.161213698;0,1217;0,7888;0,5419;0,965
0.163466718;0,1234;0,7877;0,5397;0,963
0.167441875;0,1245;0,7876;0,5351;0,960
0.169791041;0,1237;0,7825;0,5332;0,955
0.171087968;0,1272;0,7817;0,5376;0,957
0.173509687;0,1272;0,7795;0,5360;0,955
0.177003229;0,1267;0,7783;0,5312;0,951
0.179818541;0,1256;0,7795;0,5290;0,950
0.180710625;0,1247;0,7710;0,5310;0,944
0.184505833;0,1234;0,7666;0,5262;0,938
0.187184166;0,1195;0,7718;0,5282;0,943
0.188843073;0,1183;0,7728;0,5278;0,943
0.190894427;0,1218;0,7711;0,5229;0,940
0.193421041;0,1162;0,7751;0,5232;0,942
0.195958073;0,1155;0,7728;0,5257;0,942
0.198369843;0,1137;0,7716;0,5235;0,939
0.20075052;0,1146;0,7762;0,5257;0,945
0.203363125;0,1098;0,7784;0,5320;0,949
0.206091302;0,1021;0,7771;0,5283;0,945
0.208064427;0,1041;0,7803;0,5317;0,950
0.210633385;0,1028;0,7825;0,5386;0,955
0.21287125;0,0967;0,7896;0,5387;0,961
0.215368802;0,0966;0,7874;0,5340;0,956
0.230659427;0,0961;0,7932;0,5410;0,965
0.2320275;0,0896;0,7976;0,5425;0,969
0.232688698;0,0876;0,8013;0,5340;0,967
0.233261145;0,0824;0,8092;0,5362;0,974
0.233826406;0,0793;0,8136;0,5386;0,979
0.234412448;0,0787;0,8090;0,5364;0,974
0.234994531;0,0792;0,8206;0,5342;0,982
0.257354635;0,0792;0,8263;0,5314;0,986
0.258538229;0,0757;0,8293;0,5288;0,986
0.25906302;0,0809;0,8321;0,5333;0,992
0.259445573;0,0808;0,8338;0,5284;0,990
0.259871979;0,0732;0,8424;0,5310;0,999
0.260259166;0,0741;0,8443;0,5254;0,997
0.260615468;0,0747;0,8449;0,5267;0,998
0.260984114;0,0745;0,8460;0,5276;1,000
0.261330989;0,0737;0,8495;0,5248;1,001
0.261668854;0,0680;0,8558;0,5202;1,004
0.262041145;0,0633;0,8561;0,5200;1,004
0.262440937;0,0641;0,8615;0,5167;1,007
0.265141666;0,0603;0,8570;0,5172;1,003
0.267095573;0,0616;0,8631;0,5161;1,008
0.270043177;0,0586;0,8729;0,5143;1,015
0.272222291;0,0548;0,8751;0,5174;1,018
0.274714375;0,0532;0,8828;0,5165;1,024
0.277016562;0,0564;0,8824;0,5085;1,020
0.279223333;0,0594;0,8870;0,5227;1,031
0.281865312;0,0622;0,8944;0,5207;1,037
0.287087395;0,0657;0,9008;0,5191;1,042
0.288272291;0,0697;0,9029;0,5265;1,048
0.289429322;0,0795;0,9045;0,5235;1,048
