time,gFx,gFy,gFz,gFTotal
0.0034627914428710938,0.092,-0.277,-0.937,0.981
0.009446859359741211,0.077,-0.231,-0.867,0.901
0.01990485191345215,0.071,-0.21,-0.875,0.903
0.038437843322753906,0.103,-0.216,-0.903,0.934
0.04107189178466797,0.111,-0.239,-0.899,0.937
0.049330949783325195,0.102,-0.258,-0.878,0.921
0.0608210563659668,0.093,-0.274,-0.866,0.913
0.06932973861694336,0.081,-0.293,-0.865,0.917
0.07924795150756836,0.082,-0.312,-0.856,0.915
0.0897970199584961,0.093,-0.322,-0.843,0.907
0.10203790664672852,0.095,-0.324,-0.825,0.891
0.10968184471130371,0.083,-0.329,-0.82,0.887
0.11954498291015625,0.042,-0.354,-0.847,0.919
0.14066505432128906,-0.106,-0.373,-0.885,0.966
0.14167499542236328,-0.106,-0.373,-0.885,0.966
0.14894580841064453,-0.133,-0.355,-0.909,0.985
0.1604008674621582,-0.085,-0.359,-0.941,1.011
0.16916394233703613,-0.021,-0.372,-0.965,1.034
0.18031072616577148,0.025,-0.397,-0.952,1.032
0.1897568702697754,0.055,-0.423,-0.896,0.992
0.2018449306488037,0.055,-0.43,-0.815,0.923
0.20939087867736816,-0.007,-0.426,-0.759,0.87
0.2195439338684082,0.001,-0.385,-0.778,0.868
0.24023675918579102,0.051,-0.447,-0.716,0.846
0.24126195907592773,0.051,-0.447,-0.716,0.846
0.2486567497253418,0.033,-0.468,-0.73,0.868
0.26018595695495605,0.022,-0.419,-0.785,0.89
0.26871681213378906,-0.017,-0.186,-0.952,0.97
0.2795529365539551,-0.058,-0.237,-0.954,0.985
0.28940892219543457,-0.091,-0.546,-0.696,0.889
0.3009767532348633,-0.161,-0.478,-0.76,0.912
0.30884599685668945,-0.005,-0.271,-0.633,0.689
0.3194308280944824,0.169,-0.145,-0.506,0.553
0.340195894241333,0.071,-0.306,-0.486,0.579
0.3407888412475586,0.071,-0.306,-0.486,0.579
0.3486289978027344,-0.322,-0.417,-0.44,0.686
0.35993003845214844,-0.871,-0.426,-0.494,1.088
0.36893486976623535,-0.981,-0.272,-0.502,1.135
0.3787569999694824,-0.412,-0.061,-0.532,0.676
0.3890509605407715,0.606,0.121,-0.724,0.952
0.4017510414123535,1.146,-0.091,-0.578,1.287
0.4087648391723633,0.761,-0.519,-0.425,1.014
0.4190797805786133,0.294,-0.428,-0.27,0.585
0.44063687324523926,-0.363,0.043,-0.249,0.442
0.4417119026184082,-0.363,0.043,-0.249,0.442
