time,gFx,gFy,gFz,gFTotal
0.0032570362091064453,0.001,-0.061,-1.083,1.085
0.008368968963623047,0.01,-0.053,-1.045,1.046
0.021013975143432617,0.02,-0.069,-0.995,0.998
0.030885934829711914,0.008,-0.08,-0.958,0.961
0.04254794120788574,-0.028,-0.092,-0.939,0.944
0.048751115798950195,-0.065,-0.097,-0.926,0.933
0.05833888053894043,-0.068,-0.087,-0.91,0.917
0.0721738338470459,-0.055,-0.07,-0.914,0.918
0.0785830020904541,-0.068,-0.052,-0.945,0.949
0.09203886985778809,-0.101,-0.043,-0.987,0.993
0.09813499450683594,-0.131,-0.046,-1.016,1.025
0.11172294616699219,-0.145,-0.057,-1.036,1.048
0.1201179027557373,-0.134,-0.076,-1.031,1.042
0.13176894187927246,-0.098,-0.09,-0.986,0.995
0.14153599739074707,-0.075,-0.1,-0.933,0.941
0.1514749526977539,-0.09,-0.092,-0.886,0.895
0.15807700157165527,-0.149,-0.049,-0.877,0.891
0.16859078407287598,-0.127,-0.092,-0.936,0.949
0.18259501457214355,-0.136,-0.162,-1.028,1.05
0.18832087516784668,-0.165,-0.228,-1.061,1.098
0.20218992233276367,-0.173,-0.236,-1.038,1.078
0.2107551097869873,-0.162,-0.197,-0.993,1.025
0.22083091735839844,-0.129,-0.153,-0.941,0.962
0.23242402076721191,-0.084,-0.119,-0.886,0.898
0.23818492889404297,-0.087,-0.114,-0.864,0.876
0.25229382514953613,-0.083,-0.1,-0.833,0.843
0.2578108310699463,-0.074,-0.076,-0.807,0.814
0.2681858539581299,-0.067,-0.08,-0.834,0.841
0.28192782402038574,-0.05,-0.115,-0.905,0.914
0.28855204582214355,-0.035,-0.171,-0.993,1.008
0.2974550724029541,-0.025,-0.216,-1.039,1.062
0.31151390075683594,-0.021,-0.227,-1.065,1.089
0.3200838565826416,-0.056,-0.193,-1.122,1.14
0.3317248821258545,-0.125,-0.143,-1.071,1.088
0.33823084831237793,-0.116,-0.128,-0.921,0.937
0.350147008895874,-0.175,-0.115,-1.03,1.051
0.35751891136169434,-0.245,-0.128,-1.046,1.082
0.3687429428100586,-0.239,-0.154,-0.976,1.017
0.3804759979248047,-0.191,-0.1,-0.932,0.957
0.3877890110015869,-0.15,-0.014,-0.952,0.964
0.40094590187072754,-0.134,0.072,-0.973,0.985
0.40948987007141113,-0.188,0.196,-0.969,1.006
