time,gFx,gFy,gFz,gFTotal
0.008741140365600586,-0.117,0.39,-0.757,0.86
0.018681049346923828,-0.115,0.387,-0.776,0.875
0.03247809410095215,-0.131,0.359,-0.808,0.894
0.03855299949645996,-0.149,0.313,-0.812,0.883
0.04881119728088379,-0.157,0.269,-0.795,0.854
0.05868220329284668,-0.169,0.248,-0.807,0.861
0.06845211982727051,-0.173,0.242,-0.849,0.9
0.07866787910461426,-0.161,0.239,-0.882,0.928
0.0882561206817627,-0.142,0.24,-0.9,0.942
0.09874415397644043,-0.118,0.244,-0.92,0.959
0.10855603218078613,-0.111,0.249,-0.92,0.96
0.11835002899169922,-0.133,0.26,-0.879,0.926
0.13230490684509277,-0.161,0.27,-0.832,0.889
0.13839221000671387,-0.172,0.277,-0.812,0.875
0.1484370231628418,-0.175,0.288,-0.826,0.892
0.1584320068359375,-0.15,0.281,-0.859,0.916
0.16823220252990723,-0.14,0.235,-0.931,0.97
0.17840099334716797,-0.135,0.198,-0.974,1.003
0.18808698654174805,-0.024,0.221,-0.93,0.956
0.1981639862060547,0.054,0.261,-0.878,0.918
0.20813202857971191,0.117,0.293,-0.832,0.89
0.21851706504821777,0.158,0.307,-0.797,0.869
0.23160099983215332,0.162,0.305,-0.8,0.871
0.23816704750061035,0.121,0.283,-0.858,0.912
0.24819707870483398,0.071,0.238,-0.914,0.947
0.25797295570373535,0.014,0.209,-0.914,0.938
0.2679159641265869,-0.035,0.21,-0.891,0.916
0.27811694145202637,-0.02,0.206,-0.859,0.884
0.2875821590423584,0.061,0.177,-0.856,0.876
0.2981851100921631,0.163,0.134,-0.875,0.9
0.30773186683654785,0.227,0.099,-0.938,0.97
0.31798601150512695,0.185,0.082,-1.011,1.031
0.3315451145172119,0.048,0.004,-0.993,0.994
0.33788204193115234,0.08,0.024,-1.026,1.029
0.3478660583496094,0.1,0.069,-1.078,1.085
0.3579230308532715,0.013,0.092,-1.056,1.06
0.3674471378326416,-0.019,0.092,-1.08,1.084
0.37778306007385254,0.015,0.053,-1.111,1.112
0.3870232105255127,0.031,0.024,-1.119,1.12
0.3976619243621826,0.015,0.03,-1.111,1.112
0.4075281620025635,-0.014,0.048,-1.101,1.102
0.4175410270690918,-0.015,0.067,-1.038,1.04
0.4313950538635254,-0.043,0.074,-0.957,0.961
0.437542200088501,-0.05,0.101,-0.884,0.891
0.4476659297943115,-0.041,0.173,-0.862,0.88
0.45764899253845215,-0.102,0.236,-0.838,0.877
0.46732306480407715,-0.235,0.255,-0.785,0.858
0.47748708724975586,-0.351,0.252,-0.751,0.866
0.4869999885559082,-0.477,0.202,-0.719,0.886
0.49753594398498535,-0.48,0.23,-0.733,0.906
0.5075650215148926,-0.102,0.488,-0.977,1.097
0.5171730518341064,0.08,0.521,-0.84,0.992
0.5310981273651123,-0.021,0.372,-0.605,0.711
0.5373010635375977,-0.088,0.279,-0.57,0.641
0.5472671985626221,-0.052,0.334,-0.548,0.644
0.5572950839996338,-0.015,0.409,-0.529,0.669
0.5670280456542969,-0.041,0.403,-0.58,0.707
0.5771830081939697,-0.07,0.377,-0.53,0.654
0.5867660045623779,-0.075,0.397,-0.457,0.61
0.5972769260406494,-0.074,0.464,-0.491,0.68
0.6074020862579346,-0.048,0.5,-0.529,0.729
0.6173169612884521,0.001,0.485,-0.572,0.75
0.6310510635375977,0.04,0.437,-0.636,0.773
0.6368758678436279,0.059,0.398,-0.739,0.841
0.6470270156860352,0.134,0.368,-0.851,0.937
0.6570930480957031,0.276,0.324,-0.985,1.073
0.6667439937591553,0.405,0.284,-1.107,1.212
0.6769449710845947,0.496,0.295,-1.204,1.335
0.686305046081543,0.533,0.318,-1.267,1.411
