time,gFx,gFy,gFz,gFTotal
0.008804082870483398,0.975,0.36,-0.11,1.045
0.01881694793701172,0.89,0.313,-0.096,0.948
0.029034137725830078,0.862,0.315,-0.157,0.931
0.03892326354980469,0.89,0.325,-0.23,0.975
0.04875612258911133,0.911,0.327,-0.296,1.012
0.0589752197265625,0.929,0.34,-0.345,1.048
0.06884622573852539,0.924,0.332,-0.341,1.039
0.07859992980957031,0.919,0.325,-0.295,1.018
0.08824706077575684,0.912,0.323,-0.267,1.004
0.09871196746826172,0.911,0.317,-0.256,0.998
0.10881900787353516,0.905,0.313,-0.246,0.989
0.11861610412597656,0.901,0.318,-0.229,0.983
0.1285851001739502,0.91,0.324,-0.215,0.99
0.1398930549621582,0.907,0.326,-0.224,0.989
0.14866018295288086,0.91,0.324,-0.234,0.994
0.1584491729736328,0.913,0.314,-0.248,0.997
0.16849207878112793,0.92,0.32,-0.257,1.007
0.1784961223602295,0.925,0.322,-0.261,1.014
0.18756508827209473,0.929,0.322,-0.28,1.022
0.19848918914794922,0.94,0.326,-0.3,1.039
0.20804905891418457,0.946,0.338,-0.3,1.048
0.2194981575012207,0.932,0.337,-0.281,1.03
0.22820210456848145,0.892,0.323,-0.256,0.983
0.2384941577911377,0.88,0.329,-0.267,0.977
0.2483692169189453,0.903,0.331,-0.289,1.004
0.25807809829711914,0.919,0.329,-0.252,1.008
0.2681591510772705,0.9,0.317,-0.209,0.977
0.2781240940093994,0.883,0.304,-0.208,0.957
0.28774309158325195,0.888,0.297,-0.215,0.961
0.29845404624938965,0.905,0.295,-0.214,0.976
0.3079841136932373,0.927,0.306,-0.22,1.001
0.3178861141204834,0.93,0.314,-0.251,1.013
0.32813310623168945,0.898,0.3,-0.277,0.986
0.33823204040527344,0.889,0.258,-0.266,0.963
0.34792518615722656,0.907,0.202,-0.273,0.968
0.35779714584350586,0.89,0.217,-0.287,0.96
0.36791110038757324,0.878,0.265,-0.312,0.969
0.37782907485961914,0.884,0.323,-0.327,0.996
0.3873300552368164,0.885,0.33,-0.313,0.995
0.39821720123291016,0.903,0.31,-0.298,1.0
0.40780115127563477,0.888,0.268,-0.275,0.967
0.41776108741760254,0.865,0.212,-0.278,0.933
0.4276161193847656,0.851,0.17,-0.287,0.914
0.4380512237548828,0.822,0.136,-0.283,0.88
0.4477701187133789,0.802,0.09,-0.261,0.848
0.45740509033203125,0.763,0.036,-0.227,0.797
0.46773195266723633,0.695,-0.002,-0.203,0.724
0.47745704650878906,0.657,0.028,-0.164,0.678
0.48700714111328125,0.683,0.121,-0.119,0.704
0.4976539611816406,0.694,0.202,-0.077,0.727
0.5075869560241699,0.751,0.246,-0.049,0.792
0.51727294921875,0.794,0.267,-0.035,0.838
0.5275821685791016,0.858,0.18,-0.059,0.879
0.5375752449035645,0.936,0.068,0.004,0.938
0.5474891662597656,1.247,0.12,-0.242,1.276
0.5573370456695557,1.32,0.131,-0.326,1.366
0.5673332214355469,1.273,0.097,-0.363,1.327
0.5771980285644531,1.269,0.073,-0.368,1.323
0.5867352485656738,1.26,0.137,-0.401,1.329
0.5974781513214111,1.296,0.316,-0.351,1.379
0.6072902679443359,1.332,0.542,-0.189,1.45
0.6170449256896973,1.213,0.713,-0.117,1.412
0.6271600723266602,0.843,0.5,0.033,0.981
0.6373910903930664,0.353,-0.087,-0.039,0.366
0.6468710899353027,0.166,-0.256,-0.043,0.308
0.6571800708770752,0.117,-0.189,0.059,0.23
0.6670961380004883,-0.116,-0.002,-0.055,0.128
0.6769840717315674,-0.213,-0.158,0.237,0.356
0.6868271827697754,-0.158,-0.146,0.485,0.531
0.6972050666809082,-0.09,-0.094,0.454,0.472
0.7071621417999268,-0.117,-0.047,0.499,0.515
0.716738224029541,-1.034,1.747,0.949,2.241
0.7267632484436035,-3.341,5.889,2.36,7.17
0.7370100021362305,-2.905,5.122,1.245,6.019
0.7466912269592285,-1.524,1.406,-0.539,2.142
0.756932258605957,-1.641,-0.035,-0.898,1.871
0.7668230533599854,-1.261,-0.19,-0.532,1.382
0.777022123336792,-0.755,-0.046,-0.385,0.849
0.7865021228790283,-0.523,0.284,-0.257,0.648
0.7968790531158447,-0.465,0.611,-0.164,0.785
0.8069930076599121,-0.408,0.82,0.01,0.916
0.8164510726928711,-0.378,0.951,0.082,1.027
0.8265120983123779,-0.375,1.0,0.003,1.068
0.8368260860443115,-0.372,1.079,-0.026,1.142
0.8465671539306641,-0.334,1.116,0.029,1.165
0.8564181327819824,-0.309,0.985,0.051,1.034
