time,gFx,gFy,gFz,gFTotal
0.0044519901275634766,-0.035,-0.138,-1.11,1.119
0.014322996139526367,-0.13,-0.055,-1.131,1.14
0.024153947830200195,-0.169,0.001,-1.05,1.064
0.03381609916687012,-0.206,0.003,-0.959,0.981
0.04392600059509277,-0.224,-0.061,-0.88,0.91
0.05453991889953613,-0.235,-0.153,-0.826,0.872
0.06437397003173828,-0.238,-0.247,-0.797,0.868
0.07532596588134766,-0.177,-0.317,-0.799,0.878
0.08383011817932129,-0.108,-0.351,-0.859,0.934
0.09341788291931152,-0.064,-0.344,-0.896,0.962
0.10409283638000488,-0.048,-0.329,-0.849,0.912
0.11403703689575195,-0.062,-0.312,-0.774,0.837
0.12384295463562012,-0.094,-0.304,-0.715,0.783
0.13342690467834473,-0.155,-0.362,-0.709,0.811
0.14374709129333496,-0.123,-0.329,-0.728,0.808
0.15407109260559082,-0.073,-0.268,-0.762,0.811
0.16394686698913574,-0.077,-0.233,-0.821,0.857
0.175429105758667,-0.069,-0.253,-0.841,0.881
0.18346500396728516,-0.056,-0.294,-0.821,0.874
0.19324898719787598,-0.061,-0.3,-0.798,0.855
0.2038590908050537,-0.016,-0.223,-0.767,0.799
0.21360182762145996,0.022,-0.145,-0.772,0.786
0.22345280647277832,0.034,-0.082,-0.821,0.826
0.2334001064300537,0.004,-0.144,-0.833,0.845
0.24386382102966309,-0.012,-0.252,-0.873,0.909
0.253986120223999,-0.009,-0.295,-0.943,0.988
0.26358914375305176,-0.009,-0.28,-1.005,1.043
0.2748839855194092,-0.003,-0.251,-1.028,1.058
0.28310084342956543,-0.003,-0.248,-0.981,1.012
0.2935359477996826,-0.015,-0.268,-0.94,0.978
0.3032820224761963,-0.01,-0.283,-0.961,1.002
0.3134889602661133,0.002,-0.286,-1.001,1.041
0.32315492630004883,0.011,-0.278,-1.018,1.055
0.3329598903656006,0.025,-0.265,-1.022,1.056
0.34299302101135254,0.043,-0.25,-1.028,1.059
0.3536398410797119,0.042,-0.224,-1.009,1.034
0.36350512504577637,0.03,-0.186,-0.971,0.989
