time,gFx,gFy,gFz,gFTotal
0.001986980438232422,0.139,-0.01,-0.868,0.879
0.010898113250732422,0.11,0.089,-0.711,0.725
0.021986007690429688,0.019,0.058,-0.627,0.63
0.03143620491027832,0.009,0.059,-0.738,0.74
0.0407710075378418,0.012,0.086,-0.978,0.982
0.05167412757873535,-0.023,0.046,-1.133,1.134
0.06093621253967285,-0.011,0.028,-1.218,1.218
0.07151222229003906,0.029,0.047,-1.25,1.251
0.08253312110900879,0.064,0.053,-1.223,1.226
0.09135103225708008,0.102,0.042,-1.142,1.147
0.10081005096435547,0.14,0.049,-1.047,1.057
0.11076831817626953,0.139,0.039,-0.969,0.98
0.12123727798461914,0.107,0.014,-0.93,0.936
0.13128232955932617,0.085,0.028,-0.938,0.942
0.14070916175842285,0.05,0.026,-0.947,0.949
0.15089130401611328,0.014,0.013,-0.941,0.941
0.16048121452331543,0.007,0.022,-0.919,0.919
0.17113208770751953,0.027,0.042,-0.917,0.918
0.18104314804077148,0.043,0.061,-0.942,0.945
0.19072318077087402,0.057,0.064,-0.956,0.96
0.20045804977416992,0.067,0.064,-0.945,0.95
0.21024417877197266,0.061,0.074,-0.957,0.962
0.22052526473999023,0.061,0.069,-0.958,0.962
0.23080110549926758,0.053,0.086,-0.968,0.973
0.24143719673156738,0.029,0.098,-0.951,0.956
0.2506101131439209,0.014,0.095,-0.921,0.926
0.26007914543151855,0.015,0.08,-0.911,0.915
0.2704920768737793,0.019,0.059,-0.933,0.935
0.28075313568115234,0.047,0.042,-0.946,0.948
0.2907261848449707,0.069,-0.0,-0.928,0.931
0.3002033233642578,0.09,-0.022,-0.945,0.95
0.30999112129211426,0.123,-0.047,-0.97,0.979
0.32059311866760254,0.129,-0.047,-0.995,1.004
0.3306081295013428,0.124,-0.036,-1.058,1.066
0.3404703140258789,0.114,-0.059,-1.143,1.15
0.3503541946411133,0.106,-0.09,-1.175,1.183
0.35962414741516113,0.103,-0.085,-1.204,1.211
0.37056612968444824,0.115,-0.11,-1.157,1.168
0.38083720207214355,0.139,-0.092,-1.018,1.032
0.3901371955871582,0.185,-0.029,-0.76,0.783
0.399874210357666,0.151,-0.093,-0.777,0.797
0.4096372127532959,0.119,0.019,-0.78,0.789
0.4203653335571289,0.081,-0.009,-0.955,0.958
0.43048524856567383,0.073,0.019,-1.073,1.076
0.4409942626953125,0.018,-0.029,-1.18,1.18
0.45038318634033203,0.03,-0.051,-1.144,1.146
0.45955801010131836,0.083,-0.022,-1.028,1.032
0.47077417373657227,0.18,0.121,-0.937,0.962
0.480147123336792,0.191,0.192,-0.906,0.946
0.4901390075683594,0.127,0.247,-0.872,0.915
0.4994661808013916,0.104,0.318,-0.884,0.945
0.5093393325805664,0.007,0.397,-0.83,0.92
0.5201051235198975,-0.044,0.474,-0.752,0.89
0.5300791263580322,-0.043,0.517,-0.727,0.893
0.539802074432373,-0.044,0.504,-0.806,0.952
0.5495362281799316,-0.006,0.44,-0.896,0.998
0.5592923164367676,0.107,0.35,-0.97,1.037
0.5700540542602539,0.163,0.246,-0.986,1.029
0.5800521373748779,0.172,0.169,-0.908,0.939
0.5897650718688965,0.125,0.234,-0.857,0.897
0.5995612144470215,0.091,0.286,-0.916,0.964
0.609119176864624,0.15,0.353,-1.01,1.08
0.6197900772094727,0.101,0.391,-1.076,1.149
0.6297860145568848,0.004,0.305,-1.077,1.119
0.6391651630401611,-0.034,0.161,-1.077,1.089
0.6498422622680664,-0.008,0.087,-1.06,1.064
0.658933162689209,0.047,0.101,-1.013,1.019
0.6696281433105469,0.024,0.125,-1.034,1.042
0.6796293258666992,0.025,0.126,-1.008,1.016
0.6893572807312012,0.052,0.132,-0.974,0.984
0.6987781524658203,0.05,0.135,-0.959,0.97
0.7089681625366211,0.042,0.045,-0.987,0.989
0.719630241394043,0.045,-0.001,-0.994,0.995
0.72971510887146,0.054,-0.007,-1.009,1.01
0.7394931316375732,0.062,0.032,-1.016,1.018
0.7491061687469482,0.056,0.122,-1.036,1.045
0.7586522102355957,0.07,0.134,-1.019,1.03
0.7695531845092773,0.08,0.107,-0.984,0.993
0.7793803215026855,0.081,0.169,-0.973,0.991
0.7903232574462891,0.141,0.247,-0.98,1.02
0.7986092567443848,0.158,0.303,-0.902,0.965
0.8087120056152344,0.27,0.556,-0.678,0.917
0.8190312385559082,0.19,0.619,-0.777,1.011
0.829308032989502,0.142,0.542,-0.929,1.085
0.8398232460021973,0.138,0.471,-0.937,1.058
0.8490321636199951,0.192,0.435,-1.012,1.118
0.8583641052246094,0.154,0.4,-0.924,1.019
0.8693680763244629,0.173,0.365,-0.92,1.005
0.8793771266937256,0.17,0.39,-0.923,1.016
0.8889191150665283,0.143,0.372,-0.963,1.042
0.8983912467956543,0.132,0.343,-0.971,1.038
0.9084219932556152,0.136,0.336,-0.969,1.035
0.9189941883087158,0.114,0.322,-0.976,1.034
0.9287862777709961,0.099,0.285,-0.977,1.023
0.9380240440368652,0.099,0.263,-0.997,1.036
0.9485001564025879,0.1,0.245,-1.012,1.046
0.9580421447753906,0.094,0.225,-1.005,1.034
0.9691720008850098,0.123,0.213,-0.974,1.005
0.9788222312927246,0.118,0.215,-0.984,1.014
0.9884481430053711,0.076,0.261,-0.9,0.94
0.9980881214141846,0.069,0.222,-0.967,0.995
1.0079522132873535,-0.008,0.156,-1.194,1.204
1.018808126449585,-0.041,0.08,-1.191,1.194
1.028717041015625,0.001,0.095,-0.964,0.969
1.0377721786499023,0.163,0.112,-0.923,0.944
1.0484201908111572,0.198,0.01,-0.898,0.92
1.0579800605773926,0.048,0.024,-0.882,0.884
1.068669319152832,0.035,0.203,-0.869,0.893
1.078632116317749,0.106,0.293,-0.974,1.023
1.0884242057800293,0.098,0.264,-0.822,0.869
1.097858190536499,0.185,0.316,-0.903,0.974
1.107544183731079,0.052,0.181,-1.033,1.05
1.1183862686157227,0.005,0.135,-1.059,1.068
1.128305196762085,0.046,0.146,-1.041,1.052
1.1375951766967773,0.074,0.132,-1.034,1.045
1.1483371257781982,0.075,0.132,-1.025,1.036
1.157379150390625,0.056,0.136,-1.015,1.026
1.1680960655212402,0.041,0.165,-1.025,1.039
1.1782760620117188,0.066,0.171,-1.047,1.063
