time,gFx,gFy,gFz,TgF
0.051861771,0.1144,0.9488,-0.1368,0.965
0.052765157,0.0993,0.9500,-0.1087,0.961
0.053383021,0.0866,0.9469,-0.0608,0.953
0.053966302,0.0856,0.9456,0.0022,0.950
0.054533021,0.0934,0.9517,0.0591,0.958
0.055105261,0.1039,0.9549,0.1058,0.966
0.056016771,0.1161,0.9559,0.1361,0.972
0.056813438,0.1269,0.9522,0.1637,0.974
0.057578646,0.1362,0.9471,0.1801,0.974
0.058249792,0.1430,0.9498,0.1893,0.979
0.05892474,0.1391,0.9513,0.1920,0.980
0.059675365,0.1415,0.9466,0.1852,0.975
0.060539219,0.1371,0.9500,0.1652,0.974
0.061429427,0.1254,0.9535,0.1339,0.971
0.06240974,0.1132,0.9588,0.1099,0.972
0.063286875,0.1063,0.9618,0.0870,0.972
0.064023854,0.1093,0.9613,0.0699,0.970
0.06475875,0.1147,0.9647,0.0601,0.973
0.065549636,0.1176,0.9605,0.0591,0.970
0.066296302,0.1173,0.9549,0.0721,0.965
0.067160313,0.1147,0.9503,0.0904,0.961
0.067947448,0.1051,0.9488,0.1107,0.961
0.068650625,0.1015,0.9474,0.1295,0.962
0.0693375,0.1039,0.9434,0.1388,0.959
0.070006823,0.1051,0.9405,0.1444,0.957
0.076458646,0.1149,0.9339,0.1422,0.952
0.077441667,0.1286,0.9268,0.1307,0.945
0.086595261,0.1352,0.9219,0.1212,0.940
0.087470521,0.1432,0.9180,0.1073,0.935
0.092615052,0.1396,0.9180,0.0941,0.933
0.103301094,0.1278,0.9224,0.0938,0.936
0.104056823,0.1274,0.9290,0.0970,0.943
0.107000781,0.1183,0.9366,0.0992,0.949
0.112694427,0.1120,0.9513,0.1026,0.963
0.117306979,0.1051,0.9681,0.1046,0.979
0.122512344,0.1027,0.9816,0.1119,0.993
0.129805886,0.1063,0.9911,0.1104,1.003
0.132165834,0.1090,0.9955,0.1087,1.007
0.136962656,0.1208,0.9974,0.1036,1.010
0.142013177,0.1325,0.9945,0.0972,1.008
0.147288646,0.1393,0.9840,0.0904,0.998
0.152074948,0.1427,0.9732,0.0858,0.987
0.15651224,0.1408,0.9632,0.0787,0.977
0.162351615,0.1396,0.9530,0.0792,0.966
0.166465,0.1376,0.9383,0.0833,0.952
0.171410729,0.1315,0.9268,0.0887,0.940
0.177341198,0.1254,0.9210,0.0924,0.934
0.181936146,0.1247,0.9215,0.0948,0.935
0.186702084,0.1178,0.9195,0.1009,0.932
0.191960417,0.1161,0.9188,0.0975,0.931
0.204016875,0.1198,0.9210,0.0977,0.934
0.204691979,0.1225,0.9249,0.1009,0.938
0.206214844,0.1217,0.9378,0.0968,0.951
0.212719323,0.1212,0.9491,0.0975,0.962
0.216502188,0.1159,0.9645,0.0968,0.976
0.220834531,0.1083,0.9779,0.0999,0.989
0.225831459,0.1059,0.9862,0.1099,0.998
0.231268854,0.1115,0.9877,0.1124,1.000
0.235804375,0.1205,0.9842,0.1109,0.998
0.240840313,0.1300,0.9747,0.1136,0.990
0.245748594,0.1405,0.9625,0.1112,0.979
0.250575729,0.1423,0.9532,0.1068,0.970
0.255063854,0.1357,0.9486,0.1043,0.964
0.260653229,0.1291,0.9442,0.1007,0.958
