time,gFx,gFy,gFz,TgF
0.002547604,-0.1895,1.0075,0.1456,1.035
0.003067136,-0.0984,0.9762,0.1212,0.989
0.003365469,0.0067,0.9469,0.1422,0.958
0.003725104,0.0585,0.9356,0.1823,0.955
0.007185052,0.0590,0.9329,0.2211,0.961
0.009713229,0.0445,0.9281,0.2597,0.965
0.014829271,0.0326,0.9227,0.2646,0.960
0.019750781,0.0265,0.9171,0.2519,0.951
0.026291875,0.0260,0.9122,0.2343,0.942
0.029492865,0.0289,0.9070,0.1957,0.928
0.034843386,0.0287,0.8990,0.1591,0.913
0.040537396,0.0306,0.9007,0.1710,0.917
0.044568177,0.0387,0.9158,0.2016,0.939
0.049464636,0.0252,0.9452,0.2526,0.979
0.054385156,0.0028,0.9610,0.2648,0.997
0.065642656,0.0015,0.9645,0.2275,0.991
0.066562084,0.0084,0.9640,0.1996,0.984
0.069447969,0.0316,0.9557,0.1896,0.975
0.074625729,0.0494,0.9452,0.1923,0.966
0.079224584,0.0462,0.9432,0.1989,0.965
0.084626354,0.0414,0.9447,0.2011,0.967
0.117493073,0.0394,0.9464,0.2138,0.971
0.118397292,0.0404,0.9393,0.2187,0.965
0.118938698,0.0401,0.9386,0.2162,0.964
0.119415261,0.0428,0.9346,0.2086,0.959
0.119856042,0.0350,0.9386,0.1967,0.960
0.120404792,0.0213,0.9456,0.1867,0.964
0.121046979,0.0167,0.9464,0.1781,0.963
0.125734375,0.0240,0.9400,0.1832,0.958
0.128448229,0.0289,0.9405,0.1942,0.961
0.133426511,0.0230,0.9466,0.2077,0.969
0.13961375,0.0064,0.9554,0.2211,0.981
0.143143959,-0.0019,0.9598,0.2299,0.987
0.147832552,0.0091,0.9537,0.2243,0.980
0.153401146,0.0335,0.9481,0.2126,0.972
0.164829792,0.0397,0.9400,0.2060,0.963
0.165703073,0.0365,0.9339,0.2028,0.956
0.167729844,0.0365,0.9298,0.2096,0.954
0.173550834,0.0316,0.9254,0.2235,0.953
0.177583438,0.0355,0.9141,0.2333,0.944
0.182642031,0.0411,0.9114,0.2443,0.945
0.205805313,0.0384,0.9149,0.2450,0.948
0.206897865,0.0370,0.9185,0.2404,0.950
0.207473854,0.0382,0.9215,0.2336,0.951
0.207928542,0.0370,0.9241,0.2279,0.953
0.208413125,0.0382,0.9307,0.2233,0.958
0.215649375,0.0282,0.9408,0.2140,0.965
0.216719479,0.0321,0.9417,0.2118,0.966
0.227494323,0.0397,0.9388,0.2145,0.964
0.228407708,0.0438,0.9388,0.2184,0.965
0.231951354,0.0436,0.9417,0.2216,0.968
0.237668698,0.0428,0.9427,0.2206,0.969
0.252999167,0.0397,0.9430,0.2150,0.968
0.25431099,0.0401,0.9388,0.2123,0.963
0.25506599,0.0487,0.9303,0.2077,0.954
0.271031667,0.0487,0.9251,0.2023,0.948
0.272770052,0.0467,0.9219,0.1859,0.942
0.273763646,0.0487,0.9188,0.1950,0.940
0.274618021,0.0406,0.9158,0.1891,0.936
0.317645521,0.0409,0.9122,0.1925,0.933
0.318480573,0.0484,0.9083,0.2206,0.936
0.318983542,0.0599,0.9036,0.2580,0.942
0.319355521,0.0743,0.8865,0.2590,0.927
0.319817708,0.1083,0.8594,0.2363,0.898
0.320463698,0.1335,0.8450,0.2336,0.887
0.32109099,0.1313,0.8301,0.2504,0.877
0.321782813,0.1310,0.8164,0.2431,0.862
0.322330208,0.1139,0.8450,0.2509,0.889
0.322695886,0.0660,0.8770,0.2504,0.914
0.332230208,0.0074,0.9356,0.2468,0.968
0.333172969,-0.0346,0.9842,0.2499,1.016
0.335026302,-0.0542,1.0172,0.2521,1.049
0.347444167,-0.0573,1.0299,0.2543,1.062
0.348376979,-0.0730,1.0588,0.2358,1.087
0.350020677,-0.1006,1.0832,0.2121,1.108
0.363594115,-0.0837,1.0658,0.2128,1.090
0.364712188,-0.0593,1.0478,0.2184,1.072
0.365201354,-0.0371,1.0265,0.2272,1.052
0.370469219,-0.0131,1.0053,0.2487,1.036
0.37488875,-0.0077,0.9823,0.2683,1.018
0.379625781,-0.0119,0.9696,0.2873,1.011
0.384442865,-0.0158,0.9750,0.2998,1.020
0.404996094,-0.0236,1.0028,0.3103,1.050
0.406091875,-0.0219,1.0170,0.3083,1.063
0.406722552,-0.0031,1.0070,0.2851,1.047
0.407174167,0.0208,0.9757,0.2646,1.011
0.409594167,0.0318,0.9364,0.2502,0.970
0.414501354,0.0401,0.9000,0.2336,0.931
0.41975224,0.0397,0.8714,0.2331,0.903
0.424891615,0.0311,0.8501,0.2380,0.883
0.429474531,0.0196,0.8337,0.2387,0.867
0.434108802,0.0123,0.8203,0.2402,0.855
0.450510365,0.0206,0.7951,0.2255,0.827
0.452030885,0.0167,0.7947,0.2323,0.828
0.4528375,-0.0104,0.8359,0.2868,0.884
0.455794375,-0.0060,0.8592,0.3183,0.916
0.458813802,0.0069,0.8767,0.3230,0.934
0.463831979,0.0526,0.8653,0.2729,0.909
0.46941125,0.0929,0.8697,0.2731,0.916
0.494070469,0.0914,0.9146,0.3308,0.977
0.495066563,0.0927,0.9464,0.3447,1.011
0.495552604,0.1066,0.9481,0.3117,1.004
0.495906042,0.1369,0.9295,0.2556,0.974
0.496280938,0.1467,0.9222,0.2182,0.959
0.498177865,0.1413,0.9180,0.2057,0.951
0.503147396,0.1445,0.9090,0.2020,0.942
0.508049531,0.1388,0.9112,0.1945,0.942
0.512759271,0.1154,0.9232,0.1991,0.951
0.517934844,0.0973,0.9317,0.2177,0.962
0.523441354,0.0797,0.9437,0.2402,0.977
0.52800974,0.0655,0.9456,0.2546,0.982
0.532884635,0.0646,0.9288,0.2370,0.961
0.550591927,0.0677,0.9149,0.2118,0.942
