time,gFx,gFy,gFz,TgF
0.003152448,-0.6273,0.7353,0.2402,0.996
0.003716198,-0.6261,0.7338,0.2443,0.995
0.004009114,-0.6219,0.7331,0.2472,0.993
0.004285677,-0.6246,0.7360,0.2453,0.996
0.004572656,-0.6278,0.7346,0.2463,0.997
0.008687916,-0.6302,0.7336,0.2433,0.997
0.016168437,-0.6337,0.7346,0.2421,1.000
0.01691875,-0.6346,0.7331,0.2404,0.999
0.020693906,-0.6324,0.7341,0.2409,0.998
0.031706094,-0.6337,0.7338,0.2353,0.998
0.032576354,-0.6371,0.7321,0.2270,0.997
0.035392656,-0.6315,0.7331,0.2270,0.994
0.040469271,-0.6200,0.7314,0.2248,0.985
0.050771094,-0.6200,0.7307,0.2265,0.985
0.051527864,-0.6188,0.7314,0.2284,0.985
0.055396302,-0.6192,0.7311,0.2336,0.986
0.060697552,-0.6205,0.7294,0.2326,0.985
0.065111458,-0.6146,0.7294,0.2292,0.981
0.070159791,-0.6134,0.7297,0.2245,0.979
0.075923489,-0.6126,0.7307,0.2233,0.979
0.08018875,-0.6090,0.7321,0.2260,0.979
0.085534896,-0.6134,0.7307,0.2314,0.982
0.090973281,-0.6153,0.7302,0.2321,0.983
0.095548437,-0.6163,0.7314,0.2331,0.984
0.100299531,-0.6200,0.7336,0.2260,0.987
0.10523875,-0.6234,0.7353,0.2206,0.989
0.120962604,-0.6266,0.7365,0.2243,0.993
0.122123125,-0.6268,0.7341,0.2299,0.992
0.122897135,-0.6278,0.7346,0.2377,0.995
0.126430989,-0.6297,0.7333,0.2426,0.997
0.131393854,-0.6312,0.7341,0.2389,0.997
0.133885052,-0.6273,0.7319,0.2343,0.992
0.141037552,-0.6293,0.7275,0.2301,0.989
0.155033646,-0.6403,0.7289,0.2248,0.996
0.156055052,-0.6608,0.7385,0.2255,1.016
0.156621198,-0.6789,0.7421,0.2155,1.029
0.163828802,-0.6837,0.7402,0.2111,1.030
0.164637031,-0.6774,0.7412,0.2118,1.026
0.169088489,-0.6593,0.7375,0.2133,1.012
0.173820208,-0.6359,0.7351,0.2250,0.998
0.178872239,-0.6119,0.7346,0.2490,0.988
0.183696302,-0.5865,0.7365,0.2751,0.981
0.188587656,-0.5660,0.7448,0.2985,0.982
0.193412396,-0.5626,0.7446,0.3012,0.981
0.198625625,-0.5687,0.7412,0.2888,0.978
0.203517448,-0.5897,0.7421,0.2702,0.986
0.218636198,-0.6061,0.7360,0.2465,0.985
0.219594896,-0.6212,0.7282,0.2287,0.984
0.22008625,-0.6315,0.7209,0.2194,0.983
0.223329531,-0.6310,0.7162,0.2189,0.979
0.228210208,-0.6302,0.7133,0.2204,0.977
0.23294401,-0.6368,0.7214,0.2257,0.988
0.237927656,-0.6451,0.7221,0.2287,0.995
0.250674531,-0.6544,0.7263,0.2297,1.004
0.251653489,-0.6537,0.7280,0.2289,1.005
0.252628593,-0.6500,0.7270,0.2265,1.001
0.259270937,-0.6564,0.7280,0.2250,1.006
0.262582187,-0.6752,0.7353,0.2123,1.021
0.26741026,-0.6789,0.7399,0.2086,1.026
0.27201401,-0.6857,0.7412,0.2099,1.031
0.277149375,-0.7099,0.7448,0.2177,1.052
0.282131718,-0.7211,0.7441,0.2245,1.060
0.287062135,-0.7238,0.7363,0.2365,1.059
0.292751666,-0.7380,0.7326,0.2460,1.069
0.297269218,-0.7434,0.7338,0.2531,1.075
0.302212291,-0.7509,0.7394,0.2607,1.086
0.308042708,-0.7710,0.7495,0.2651,1.107
0.312346145,-0.7969,0.7651,0.2621,1.135
0.317201562,-0.8000,0.7649,0.2624,1.137
0.322558229,-0.7934,0.7595,0.2617,1.129
0.338082291,-0.7993,0.7595,0.2548,1.132
0.339623333,-0.8037,0.7619,0.2279,1.131
0.340437395,-0.8162,0.7619,0.2216,1.138
0.344041458,-0.8240,0.7644,0.2155,1.144
0.34700026,-0.8191,0.7595,0.2052,1.136
0.354611302,-0.7837,0.7495,0.1989,1.102
0.356637239,-0.7861,0.7522,0.2179,1.110
