time,gFx,gFy,gFz,TgF
0.002906719,-0.6283,0.7118,0.1972,0.970
0.003412761,-0.6456,0.7275,0.1744,0.988
0.003803594,-0.6586,0.7429,0.1339,1.002
0.004082188,-0.6432,0.7524,0.1168,0.997
0.004428229,-0.6278,0.7651,0.1341,0.999
0.00470224,-0.6285,0.7683,0.1581,1.005
0.004964479,-0.6393,0.7715,0.1683,1.016
0.014175208,-0.6422,0.7710,0.1647,1.017
0.016062031,-0.6429,0.7668,0.1432,1.011
0.044589531,-0.6412,0.7634,0.1280,1.005
0.045405573,-0.6346,0.7658,0.1114,1.001
0.045753073,-0.6266,0.7751,0.0980,1.001
0.046047813,-0.6183,0.7805,0.1038,1.001
0.046339583,-0.6195,0.7859,0.1148,1.007
0.046632552,-0.6297,0.7859,0.1231,1.015
0.063210938,-0.6390,0.7886,0.1239,1.023
0.064179271,-0.6449,0.7856,0.0999,1.021
0.0645975,-0.6417,0.7812,0.0801,1.014
0.065007083,-0.6432,0.7815,0.0770,1.015
0.070496719,-0.6488,0.7839,0.0916,1.022
0.075874583,-0.6503,0.7795,0.1432,1.025
0.078590469,-0.6630,0.7705,0.1417,1.026
0.08328724,-0.6813,0.7668,0.1048,1.031
0.090805521,-0.6791,0.7612,0.0875,1.024
0.093419479,-0.6539,0.7541,0.0777,1.001
0.098183906,-0.6249,0.7531,0.0848,0.982
0.121649271,-0.6146,0.7639,0.1214,0.988
0.122459531,-0.6139,0.7793,0.1891,1.010
0.12282875,-0.6327,0.8005,0.2631,1.054
0.123131406,-0.6537,0.8176,0.3095,1.092
0.123443438,-0.7197,0.8350,0.3692,1.162
0.127848125,-0.7802,0.8614,0.4613,1.250
0.133571667,-0.8215,0.8843,0.4925,1.304
0.140850208,-0.9117,0.9102,0.4996,1.382
0.143249531,-1.0263,0.9305,0.5096,1.476
0.147795469,-1.1105,0.9388,0.4647,1.527
0.157488698,-1.1403,0.9417,0.4029,1.533
0.158200208,-1.1164,0.9266,0.3393,1.490
0.162791771,-1.0766,0.9002,0.2727,1.430
0.174757656,-1.0197,0.8838,0.2211,1.367
0.175945156,-0.9432,0.8482,0.1747,1.280
0.178050781,-0.8699,0.8135,0.1556,1.201
0.183439583,-0.8218,0.7998,0.1786,1.161
0.197334635,-0.7829,0.7878,0.1950,1.128
0.198454271,-0.8042,0.7556,0.1933,1.120
0.199146771,-0.7832,0.7561,0.2055,1.108
0.203096146,-0.7824,0.7812,0.2255,1.128
0.207785104,-0.8775,0.7683,0.2448,1.192
0.212512031,-0.9083,0.7763,0.2734,1.226
0.245690833,-0.9200,0.8025,0.3064,1.259
0.246733177,-0.9195,0.8203,0.3137,1.272
0.247091354,-0.8486,0.7986,0.3259,1.210
0.247359271,-0.7069,0.7463,0.3328,1.080
0.24763224,-0.4802,0.6622,0.3025,0.872
0.24792375,-0.1069,0.5450,0.2428,0.606
0.248208021,0.3910,0.4243,0.0650,0.581
0.253338646,0.6536,0.4094,-0.0997,0.778
0.261222031,0.6045,0.4961,-0.1283,0.792
0.261929271,0.5112,0.5853,-0.0892,0.782
0.266217187,0.2735,0.7128,0.0005,0.763
0.275984687,-0.0102,0.8301,0.1314,0.840
0.276831667,-0.1165,0.8975,0.1693,0.921
0.281330365,0.0934,0.8895,0.0735,0.897
0.292358333,0.4982,0.8301,-0.0872,0.972
0.293282917,0.8832,0.7575,-0.2775,1.196
0.295557969,0.8718,0.7248,-0.4097,1.205
0.318552656,0.3836,0.7351,-0.4158,0.928
0.31959375,-0.1653,0.7707,-0.2262,0.820
0.320035677,-0.5271,0.8154,0.0059,0.971
0.320353854,-0.6190,0.8443,0.0530,1.048
0.320639323,-0.6283,0.8672,0.0713,1.073
0.325648073,-0.5540,0.8912,0.0924,1.053
0.33034026,-0.4267,0.8733,0.1427,0.982
0.335952708,-0.3112,0.8421,0.1564,0.911
0.340372187,-0.2149,0.8193,0.1214,0.856
0.345330937,-0.1702,0.8218,0.1036,0.846
0.35046474,-0.1956,0.8403,0.1153,0.870
0.356145365,-0.2679,0.8721,0.1280,0.921
0.360900521,-0.3454,0.8968,0.1498,0.973
0.365250052,-0.3969,0.9029,0.1801,1.003
0.379687552,-0.4069,0.8975,0.1700,1.000
0.38107974,-0.3962,0.8882,0.1041,0.978
0.381808229,-0.3908,0.8753,0.0479,0.960
0.38623625,-0.3810,0.8555,0.0032,0.937
0.389841302,-0.3583,0.8381,-0.0259,0.912
0.395039323,-0.3271,0.8162,-0.0198,0.879
0.399791927,-0.2779,0.7942,-0.0061,0.841
0.426216615,-0.2196,0.7785,-0.0217,0.809
0.427110156,-0.1045,0.7776,-0.0227,0.785
0.427565417,0.0338,0.7905,0.0196,0.791
0.42786375,0.1254,0.8059,0.0354,0.816
0.428144583,0.1728,0.8152,0.0181,0.833
0.42904375,0.2014,0.8235,-0.0220,0.848
0.436133437,0.1980,0.8374,0.0051,0.861
0.443643802,0.1625,0.8523,0.0963,0.873
0.44422849,0.1217,0.8636,0.1246,0.881
0.449054896,0.0230,0.9227,-0.0120,0.923
0.454211979,-0.2247,1.0717,-0.1585,1.106
0.458854531,-0.5758,1.2105,-0.0437,1.341
0.463464167,-0.7006,1.2112,0.0569,1.400
0.477496302,-0.7250,1.1582,0.1456,1.374
0.478649896,-0.7426,1.0854,0.2128,1.332
0.479007969,-0.7304,0.9996,0.2514,1.263
0.48403151,-0.7079,0.9237,0.2573,1.192
0.488335156,-0.7272,0.8614,0.2609,1.157
0.49318776,-0.9293,0.8008,0.3264,1.269
0.497812344,-1.2598,0.7155,0.4376,1.513
0.513934531,-1.4098,0.6566,0.4647,1.623
0.514839739,-1.2014,0.6637,0.3308,1.412
0.515371094,-0.7666,0.7155,0.1336,1.057
0.523904114,-0.4624,0.7724,-0.0068,0.900
0.524812812,-0.3175,0.8289,-0.0745,0.891
0.527352552,-0.2494,0.8709,-0.0774,0.909
0.532850417,-0.2423,0.8863,-0.0320,0.919
0.537277292,-0.2393,0.8895,0.0296,0.922
0.542301719,-0.2039,0.8824,0.0811,0.909
0.547080104,-0.1534,0.8650,0.1009,0.884
0.552158542,-0.1257,0.8425,0.0972,0.857
0.557134219,-0.1541,0.8245,0.0833,0.843
0.561909687,-0.2638,0.8066,0.0921,0.854
