time;gFx;gFy;gFz;TgF
0.001755654;-0.1429;0.2409;0.8189;0.866
0.002119731;-0.1590;0.2345;0.7994;0.848
0.002285308;-0.1747;0.2304;0.7828;0.834
0.002444961;-0.1874;0.2282;0.7706;0.825
0.002578808;-0.1959;0.2284;0.7625;0.820
0.002712423;-0.2018;0.2294;0.7584;0.818
0.004695423;-0.2050;0.2323;0.7579;0.819
0.006504077;-0.2050;0.2370;0.7623;0.824
0.008760269;-0.2040;0.2419;0.7740;0.836
0.010674577;-0.2006;0.2470;0.7913;0.853
0.012544807;-0.1928;0.2533;0.8153;0.875
0.014420731;-0.1803;0.2587;0.8495;0.906
0.016383692;-0.1600;0.2634;0.8966;0.948
0.018660115;-0.1336;0.2690;0.9540;1.000
0.020533692;-0.1041;0.2773;1.0163;1.059
0.022752654;-0.0750;0.2861;1.0769;1.117
0.029341423;-0.0498;0.2929;1.1358;1.174
0.029654884;-0.0303;0.2968;1.1922;1.229
0.029789154;-0.0151;0.2993;1.2470;1.282
0.030583192;-0.0005;0.3003;1.2985;1.333
0.032307384;0.0125;0.2993;1.3444;1.377
0.034517846;0.0247;0.2981;1.3838;1.416
0.036592038;0.0362;0.2961;1.4141;1.445
0.038489231;0.0459;0.2937;1.4361;1.466
0.0412115;0.0540;0.2917;1.4500;1.480
0.042424692;0.0603;0.2875;1.4549;1.484
0.044484423;0.0652;0.2836;1.4515;1.480
0.046479807;0.0682;0.2807;1.4422;1.471
0.048483654;0.0699;0.2763;1.4275;1.456
0.050985577;0.0704;0.2717;1.4085;1.436
0.052384846;0.0674;0.2690;1.3857;1.413
0.054587923;0.0621;0.2673;1.3574;1.385
0.057197692;0.0550;0.2653;1.3249;1.352
0.058426154;0.0472;0.2631;1.2892;1.317
0.060535192;0.0398;0.2624;1.2521;1.280
0.062435;0.0320;0.2626;1.2142;1.243
0.064367577;0.0235;0.2631;1.1761;1.205
0.067272154;0.0161;0.2636;1.1407;1.171
0.068499615;0.0071;0.2641;1.1072;1.138
0.070460115;-0.0022;0.2665;1.0757;1.108
0.072446384;-0.0100;0.2695;1.0486;1.083
0.074300654;-0.0176;0.2719;1.0256;1.061
0.076541038;-0.0257;0.2748;1.0051;1.042
0.078355846;-0.0335;0.2788;0.9882;1.027
0.080435731;-0.0403;0.2824;0.9746;1.015
0.082301307;-0.0459;0.2863;0.9633;1.006
0.084662769;-0.0498;0.2893;0.9538;0.998
0.086455846;-0.0513;0.2934;0.9460;0.992
0.088385615;-0.0506;0.3000;0.9394;0.987
0.090366961;-0.0489;0.3066;0.9340;0.984
0.092502423;-0.0467;0.3122;0.9303;0.982
0.094432192;-0.0437;0.3186;0.9286;0.983
0.096416115;-0.0415;0.3249;0.9286;0.985
0.098329;-0.0396;0.3288;0.9272;0.985
0.100718807;-0.0371;0.3315;0.9267;0.985
0.102390038;-0.0352;0.3340;0.9269;0.986
0.104404654;-0.0332;0.3354;0.9267;0.986
0.106430307;-0.0305;0.3357;0.9255;0.985
0.108366231;-0.0291;0.3352;0.9242;0.984
0.110633923;-0.0269;0.3335;0.9233;0.982
0.112492077;-0.0235;0.3310;0.9216;0.979
0.114355384;-0.0188;0.3293;0.9196;0.977
0.116422884;-0.0127;0.3298;0.9164;0.974
0.118415923;-0.0115;0.3286;0.9079;0.966
0.120582077;-0.0200;0.3215;0.8976;0.954
0.122346615;-0.0305;0.3142;0.8998;0.954
0.124341807;-0.0357;0.3137;0.9108;0.964
0.130135884;-0.0327;0.3198;0.9213;0.976
0.130551192;-0.0252;0.3274;0.9274;0.984
0.13075473;-0.0151;0.3342;0.9277;0.986
0.132595846;-0.0054;0.3386;0.9223;0.982
0.1344795;0.0034;0.3374;0.9137;0.974
0.136754154;0.0107;0.3310;0.9045;0.963
0.13866023;0.0161;0.3227;0.8964;0.953
0.140415884;0.0215;0.3139;0.8900;0.944
0.142998461;0.0259;0.3059;0.8881;0.940
0.144549384;0.0300;0.3005;0.8903;0.940
0.146410038;0.0344;0.2973;0.8961;0.945
0.148556423;0.0386;0.2951;0.9042;0.952
0.150668307;0.0420;0.2937;0.9145;0.961
0.152747461;0.0452;0.2922;0.9269;0.973
0.154608;0.0467;0.2897;0.9416;0.986
0.156940269;0.0472;0.2871;0.9592;1.002
0.165650384;0.0484;0.2839;0.9812;1.023
0.16594123;0.0496;0.2795;1.0044;1.044
0.166033269;0.0515;0.2741;1.0227;1.060
0.1661215;0.0513;0.2682;1.0391;1.074
