time,gFx,gFy,gFz,gFTotal
0.00673675537109375,-0.067,-0.292,-0.9,0.949
0.016440868377685547,-0.065,-0.301,-0.901,0.952
0.026454925537109375,-0.069,-0.315,-0.939,0.993
0.03779292106628418,-0.065,-0.313,-0.956,1.008
0.046211957931518555,-0.076,-0.315,-0.96,1.013
0.06400680541992188,-0.099,-0.326,-0.966,1.024
0.0660390853881836,-0.119,-0.335,-0.971,1.034
0.07587099075317383,-0.12,-0.345,-0.962,1.029
0.08583998680114746,-0.111,-0.346,-0.956,1.023
0.09658002853393555,-0.106,-0.34,-0.948,1.013
0.10634088516235352,-0.114,-0.336,-0.931,0.996
0.11618375778198242,-0.116,-0.33,-0.929,0.993
0.12616491317749023,-0.106,-0.32,-0.936,0.995
0.13856792449951172,-0.089,-0.309,-0.936,0.99
0.14581894874572754,-0.075,-0.302,-0.944,0.994
0.16638898849487305,-0.075,-0.304,-0.949,0.999
0.16676998138427734,-0.075,-0.304,-0.949,0.999
0.17554688453674316,-0.076,-0.307,-0.95,1.001
0.18596506118774414,-0.079,-0.31,-0.955,1.007
0.19582796096801758,-0.081,-0.312,-0.943,0.997
0.20572710037231445,-0.081,-0.311,-0.936,0.99
0.21627497673034668,-0.075,-0.312,-0.936,0.989
0.2258768081665039,-0.072,-0.313,-0.941,0.994
0.2390151023864746,-0.076,-0.315,-0.936,0.991
0.24509096145629883,-0.078,-0.315,-0.929,0.984
0.26898789405822754,-0.081,-0.318,-0.937,0.993
0.26944494247436523,-0.081,-0.318,-0.937,0.993
0.2749209403991699,-0.08,-0.317,-0.943,0.998
0.28513479232788086,-0.084,-0.317,-0.933,0.989
0.29459476470947266,-0.087,-0.314,-0.932,0.987
0.30535888671875,-0.09,-0.316,-0.938,0.994
0.31583499908447266,-0.085,-0.318,-0.939,0.995
0.32506704330444336,-0.08,-0.315,-0.937,0.992
0.3377549648284912,-0.08,-0.312,-0.939,0.993
0.3443019390106201,-0.082,-0.312,-0.939,0.993
0.36794495582580566,-0.09,-0.321,-0.93,0.988
0.3683910369873047,-0.09,-0.321,-0.93,0.988
0.3737630844116211,-0.091,-0.322,-0.93,0.988
0.38498783111572266,-0.089,-0.322,-0.936,0.994
0.3942298889160156,-0.088,-0.323,-0.938,0.996
0.4046189785003662,-0.09,-0.324,-0.933,0.992
0.4141108989715576,-0.09,-0.325,-0.933,0.992
0.4244980812072754,-0.09,-0.325,-0.931,0.99
0.4362058639526367,-0.086,-0.327,-0.931,0.99
0.44410085678100586,-0.084,-0.327,-0.935,0.994
0.4647979736328125,-0.087,-0.327,-0.929,0.989
0.46564483642578125,-0.087,-0.327,-0.929,0.989
0.47336578369140625,-0.091,-0.329,-0.928,0.989
0.4841880798339844,-0.094,-0.332,-0.929,0.991
0.49331188201904297,-0.094,-0.332,-0.925,0.987
0.5039799213409424,-0.088,-0.329,-0.92,0.981
0.5146238803863525,-0.085,-0.33,-0.918,0.979
0.5237751007080078,-0.083,-0.33,-0.917,0.978
0.5363509654998779,-0.083,-0.33,-0.919,0.98
0.5436058044433594,-0.082,-0.334,-0.916,0.978
0.5658318996429443,-0.095,-0.352,-0.899,0.97
0.566058874130249,-0.095,-0.352,-0.899,0.97
0.5725297927856445,-0.103,-0.357,-0.889,0.964
0.583521842956543,-0.102,-0.348,-0.882,0.954
0.592710018157959,-0.133,-0.353,-0.885,0.962
0.6034188270568848,-0.215,-0.375,-0.891,0.99
0.6131830215454102,-0.071,-0.312,-0.854,0.912
0.6239149570465088,0.062,-0.227,-0.893,0.923
0.6354379653930664,-0.066,-0.268,-0.941,0.981
0.6425678730010986,-0.1,-0.294,-0.931,0.981
0.6639199256896973,0.035,-0.31,-0.929,0.98
0.6642870903015137,0.035,-0.31,-0.929,0.98
0.6725559234619141,0.007,-0.311,-0.93,0.981
0.6824588775634766,-0.002,-0.277,-0.919,0.96
0.6919569969177246,0.074,-0.281,-0.808,0.859
0.7021207809448242,0.19,-0.215,-0.768,0.82
0.7118749618530273,0.176,0.128,-1.045,1.067
0.7226181030273438,0.189,0.144,-1.065,1.091
0.7348859310150146,0.208,-0.121,-0.938,0.968
0.7416079044342041,0.196,-0.374,-0.822,0.924
0.7623448371887207,0.26,-0.674,-0.706,1.01
0.7628729343414307,0.26,-0.674,-0.706,1.01
0.7716150283813477,0.24,-0.77,-0.747,1.099
0.7808969020843506,0.238,-0.841,-0.806,1.189
0.7913980484008789,0.285,-0.971,-0.843,1.317
0.8009490966796875,0.368,-0.781,-0.896,1.244
0.8112268447875977,0.31,-0.53,-0.986,1.162
0.8214020729064941,0.289,-0.418,-1.04,1.158
0.8336079120635986,0.298,-0.405,-1.008,1.126
