time,gFx,gFy,gFz,gFTotal
0.017906904220581055,-0.023,-0.198,-1.019,1.038
0.018386125564575195,-0.023,-0.198,-1.019,1.038
0.023049116134643555,-0.031,-0.176,-1.004,1.02
0.03326606750488281,-0.046,-0.157,-0.961,0.975
0.04308295249938965,-0.047,-0.156,-0.936,0.95
0.05334115028381348,-0.039,-0.169,-0.933,0.949
0.06327199935913086,-0.032,-0.192,-0.95,0.97
0.07305502891540527,-0.008,-0.236,-0.973,1.001
0.08326101303100586,0.027,-0.27,-0.979,1.016
0.09323716163635254,0.052,-0.28,-0.996,1.036
0.10291218757629395,0.061,-0.289,-0.992,1.035
0.11278200149536133,0.06,-0.299,-0.979,1.025
0.1229698657989502,0.046,-0.298,-0.995,1.04
0.1331169605255127,0.038,-0.287,-0.993,1.034
0.14269614219665527,0.035,-0.275,-0.98,1.018
0.15291714668273926,-0.019,-0.263,-0.991,1.025
0.16271495819091797,-0.037,-0.236,-1.016,1.044
0.17264485359191895,-0.004,-0.195,-1.026,1.044
0.18282198905944824,-0.032,-0.19,-0.988,1.007
0.19265103340148926,-0.081,-0.203,-0.978,1.002
0.2024860382080078,-0.079,-0.218,-0.968,0.995
0.21254301071166992,-0.029,-0.226,-0.964,0.991
0.22255706787109375,0.009,-0.228,-0.949,0.976
0.2326979637145996,0.033,-0.233,-0.934,0.963
0.24230313301086426,0.049,-0.265,-0.929,0.967
0.25228095054626465,0.064,-0.343,-0.961,1.022
0.2622659206390381,0.057,-0.392,-0.95,1.029
0.2725241184234619,0.024,-0.406,-0.83,0.924
0.28220486640930176,0.031,-0.352,-0.883,0.951
0.2921888828277588,0.069,-0.36,-0.936,1.005
0.30214810371398926,0.19,-0.373,-1.051,1.131
0.31214213371276855,0.387,-0.431,-1.224,1.354
0.32233309745788574,0.199,-0.428,-1.095,1.192
0.33216404914855957,0.065,-0.402,-1.125,1.196
0.3420889377593994,0.071,-0.396,-1.044,1.119
0.35176706314086914,0.054,-0.369,-0.948,1.019
0.361616849899292,0.065,-0.373,-0.908,0.984
0.3718249797821045,0.092,-0.346,-0.831,0.905
0.3814699649810791,0.048,-0.27,-0.79,0.836
0.3915090560913086,0.011,-0.291,-0.749,0.804
0.401594877243042,0.024,-0.386,-0.758,0.851
0.4116380214691162,0.042,-0.424,-0.804,0.91
0.4219629764556885,0.048,-0.444,-0.869,0.977
0.43180108070373535,0.075,-0.485,-0.907,1.031
0.4416029453277588,0.094,-0.433,-0.939,1.038
0.4516310691833496,0.05,-0.416,-1.003,1.087
0.4615771770477295,0.038,-0.436,-0.999,1.091
0.4717850685119629,0.053,-0.434,-0.94,1.037
0.4815981388092041,0.004,-0.341,-0.929,0.99
0.49155402183532715,-0.074,-0.217,-0.922,0.95
0.5014388561248779,-0.091,-0.203,-0.903,0.93
0.5114400386810303,-0.061,-0.291,-0.922,0.969
0.5213191509246826,-0.041,-0.357,-0.901,0.97
0.531386137008667,-0.012,-0.347,-0.878,0.944
0.5414550304412842,0.022,-0.348,-0.841,0.91
0.5512521266937256,0.043,-0.324,-0.835,0.897
0.5612239837646484,0.04,-0.314,-0.852,0.909
0.5713920593261719,0.096,-0.322,-0.982,1.038
0.5815689563751221,0.153,-0.344,-1.108,1.17
0.5911281108856201,-0.032,-0.387,-1.023,1.094
0.6011409759521484,-0.003,-0.379,-1.063,1.129
0.6112160682678223,-0.007,-0.405,-0.972,1.053
0.6210730075836182,0.018,-0.445,-0.902,1.006
0.6314408779144287,0.0,-0.389,-0.865,0.948
0.640941858291626,-0.025,-0.341,-0.859,0.925
