time,gFx,gFy,gFz,gFTotal
0.018368005752563477,0.016,-0.211,-0.968,0.991
0.018769025802612305,0.016,-0.211,-0.968,0.991
0.036695003509521484,0.047,-0.213,-1.03,1.053
0.03687000274658203,0.047,-0.213,-1.03,1.053
0.04285693168640137,0.06,-0.234,-1.035,1.063
0.05311703681945801,0.092,-0.258,-1.026,1.062
0.06314897537231445,0.111,-0.275,-1.02,1.062
0.07326793670654297,0.113,-0.286,-1.019,1.064
0.0833580493927002,0.108,-0.281,-1.002,1.046
0.09372496604919434,0.078,-0.28,-0.989,1.031
0.12810897827148438,-0.029,-0.286,-0.922,0.966
0.12829089164733887,-0.029,-0.286,-0.922,0.966
0.12864184379577637,-0.029,-0.286,-0.922,0.966
0.1325669288635254,-0.022,-0.31,-0.894,0.946
0.14271998405456543,-0.01,-0.326,-0.886,0.944
0.15290284156799316,-0.006,-0.326,-0.89,0.948
0.16272807121276855,-0.006,-0.318,-0.896,0.951
0.17354202270507812,0.005,-0.302,-0.909,0.958
0.18308281898498535,0.034,-0.292,-0.927,0.972
0.19349408149719238,0.08,-0.298,-0.938,0.987
0.22845792770385742,0.112,-0.289,-0.911,0.962
0.2286360263824463,0.112,-0.289,-0.911,0.962
0.22908902168273926,0.112,-0.289,-0.911,0.962
0.23226714134216309,0.045,-0.303,-0.908,0.958
0.24244379997253418,0.01,-0.329,-0.963,1.018
0.2525961399078369,0.019,-0.352,-1.01,1.07
0.2625410556793213,0.046,-0.343,-1.023,1.08
0.2727468013763428,0.065,-0.308,-0.97,1.02
0.28312182426452637,0.015,-0.306,-0.914,0.964
0.2931339740753174,-0.081,-0.307,-0.894,0.949
0.3265230655670166,-0.265,-0.245,-0.693,0.781
0.3266940116882324,-0.265,-0.245,-0.693,0.781
0.3268468379974365,-0.265,-0.245,-0.693,0.781
0.3319690227508545,-0.305,-0.264,-0.662,0.775
0.3423769474029541,-0.322,-0.3,-0.667,0.799
0.35213685035705566,-0.333,-0.339,-0.715,0.859
0.36265110969543457,-0.329,-0.349,-0.813,0.944
0.3724100589752197,-0.352,-0.319,-0.839,0.964
