time,gFx,gFy,gFz,gFTotal
0.01131892204284668,-0.029,-0.092,-0.989,0.994
0.011493921279907227,-0.029,-0.092,-0.989,0.994
0.01335906982421875,-0.029,-0.092,-0.989,0.994
0.016234159469604492,-0.029,-0.092,-0.989,0.994
0.020780086517333984,-0.048,-0.101,-0.946,0.953
0.03053903579711914,-0.048,-0.097,-0.957,0.963
0.04104495048522949,-0.034,-0.102,-1.004,1.01
0.051351070404052734,-0.034,-0.113,-1.03,1.037
0.06126809120178223,-0.037,-0.111,-1.055,1.061
0.07186293601989746,-0.035,-0.124,-1.038,1.046
0.0984041690826416,-0.076,-0.099,-0.942,0.95
0.09910106658935547,-0.076,-0.099,-0.942,0.95
0.10189509391784668,-0.059,-0.082,-0.941,0.946
0.11054015159606934,-0.033,-0.082,-0.932,0.936
0.12067914009094238,-0.019,-0.083,-0.963,0.967
0.13079404830932617,-0.014,-0.09,-0.988,0.992
0.14162206649780273,-0.023,-0.095,-1.006,1.011
0.15190911293029785,-0.028,-0.09,-1.033,1.037
0.16167998313903809,-0.042,-0.09,-1.012,1.017
0.1750040054321289,-0.06,-0.09,-0.981,0.987
0.2015669345855713,-0.047,-0.087,-0.939,0.944
0.20174002647399902,-0.047,-0.087,-0.939,0.944
0.2036120891571045,-0.047,-0.087,-0.939,0.944
0.21023201942443848,-0.043,-0.095,-0.933,0.939
0.22079110145568848,-0.037,-0.098,-0.951,0.957
0.23089909553527832,-0.031,-0.097,-0.975,0.98
0.24142718315124512,-0.034,-0.107,-1.019,1.025
0.251939058303833,-0.039,-0.12,-1.039,1.047
0.2609829902648926,-0.057,-0.113,-1.043,1.051
0.27159714698791504,-0.064,-0.119,-1.049,1.058
0.30117201805114746,-0.042,-0.132,-0.957,0.967
0.3016669750213623,-0.042,-0.132,-0.957,0.967
0.3033111095428467,-0.042,-0.132,-0.957,0.967
0.3100700378417969,-0.034,-0.103,-0.948,0.954
0.3200099468231201,-0.024,-0.088,-0.977,0.981
0.330517053604126,0.006,-0.088,-1.012,1.016
0.34155917167663574,0.046,-0.095,-1.05,1.055
0.3506770133972168,0.006,-0.106,-1.092,1.097
0.3611619472503662,-0.02,-0.116,-1.104,1.11
0.3716318607330322,-0.044,-0.116,-1.093,1.1
0.3992290496826172,-0.048,-0.096,-1.0,1.006
0.4000120162963867,-0.048,-0.096,-1.0,1.006
0.40281200408935547,-0.048,-0.096,-1.0,1.006
0.40967607498168945,-0.045,-0.097,-0.981,0.987
0.4196910858154297,-0.055,-0.107,-0.974,0.981
0.43053197860717773,-0.069,-0.118,-0.985,0.994
0.44037795066833496,-0.08,-0.122,-1.01,1.02
0.4499330520629883,-0.083,-0.128,-1.044,1.055
0.4600670337677002,-0.079,-0.123,-1.071,1.081
0.4717710018157959,-0.07,-0.119,-1.087,1.096
0.5004220008850098,-0.057,-0.1,-1.034,1.04
0.5007400512695312,-0.057,-0.1,-1.034,1.04
0.5024111270904541,-0.057,-0.1,-1.034,1.04
0.5091400146484375,-0.057,-0.097,-1.0,1.006
0.5197241306304932,-0.059,-0.095,-0.968,0.974
0.5300090312957764,-0.073,-0.101,-0.941,0.949
0.540708065032959,-0.092,-0.109,-0.926,0.937
0.5496928691864014,-0.111,-0.111,-0.921,0.934
0.5609080791473389,-0.124,-0.112,-0.924,0.939
0.571173906326294,-0.129,-0.103,-0.931,0.946
0.6008939743041992,-0.081,-0.081,-0.937,0.944
0.6010801792144775,-0.081,-0.081,-0.937,0.944
0.6030519008636475,-0.081,-0.081,-0.937,0.944
0.6089870929718018,-0.058,-0.076,-0.929,0.934
0.6191799640655518,-0.044,-0.075,-0.918,0.922
0.6293630599975586,-0.038,-0.081,-0.913,0.917
0.6403820514678955,-0.044,-0.09,-0.914,0.919
0.6498281955718994,-0.057,-0.099,-0.919,0.926
0.6593601703643799,-0.073,-0.106,-0.93,0.939
0.6693999767303467,-0.081,-0.109,-0.945,0.955
0.6990749835968018,-0.044,-0.096,-0.989,0.995
0.6995570659637451,-0.044,-0.096,-0.989,0.995
0.7022521495819092,-0.044,-0.096,-0.989,0.995
0.7086241245269775,-0.027,-0.092,-0.989,0.994
0.7191479206085205,-0.013,-0.089,-0.981,0.985
0.729132890701294,-0.006,-0.089,-0.973,0.977
0.740070104598999,-0.008,-0.092,-0.965,0.969
0.7491300106048584,-0.022,-0.091,-0.957,0.962
0.7597510814666748,-0.045,-0.091,-0.953,0.958
0.7705261707305908,-0.069,-0.089,-0.954,0.961
0.7993850708007812,-0.097,-0.099,-0.981,0.991
0.7997210025787354,-0.097,-0.099,-0.981,0.991
0.801318883895874,-0.097,-0.099,-0.981,0.991
0.8087999820709229,-0.09,-0.087,-0.989,0.997
0.8183720111846924,-0.073,-0.08,-0.993,0.999
0.8290488719940186,-0.056,-0.074,-0.99,0.994
0.8388850688934326,-0.044,-0.076,-0.986,0.99
0.8487861156463623,-0.038,-0.083,-0.982,0.986
0.8596820831298828,-0.048,-0.09,-0.984,0.989
0.8702600002288818,-0.069,-0.102,-0.994,1.002
0.9022340774536133,-0.107,-0.12,-1.037,1.049
0.9025430679321289,-0.107,-0.12,-1.037,1.049
0.9040381908416748,-0.107,-0.12,-1.037,1.049
0.9081161022186279,-0.094,-0.109,-1.037,1.047
0.9183681011199951,-0.067,-0.094,-1.026,1.032
0.9282481670379639,-0.043,-0.092,-1.004,1.009
0.9386680126190186,-0.03,-0.091,-0.979,0.984
0.9486889839172363,-0.03,-0.096,-0.963,0.968
0.9592270851135254,-0.045,-0.113,-0.962,0.97
0.9701290130615234,-0.074,-0.131,-0.981,0.992
0.9819281101226807,-0.102,-0.143,-1.014,1.029
1.001910924911499,-0.109,-0.128,-1.083,1.096
1.0036180019378662,-0.109,-0.128,-1.083,1.096
1.0080029964447021,-0.086,-0.106,-1.097,1.105
1.018362045288086,-0.055,-0.094,-1.089,1.094
1.0282089710235596,-0.028,-0.085,-1.065,1.069
1.0383379459381104,-0.007,-0.084,-1.039,1.042
1.0488409996032715,0.009,-0.092,-1.02,1.024
1.0599229335784912,0.01,-0.105,-1.012,1.017
1.0694580078125,-0.013,-0.122,-1.017,1.024
1.1003758907318115,-0.103,-0.113,-1.042,1.053
1.100926160812378,-0.103,-0.113,-1.042,1.053
1.1025609970092773,-0.103,-0.113,-1.042,1.053
1.1078269481658936,-0.101,-0.103,-1.033,1.043
1.1178879737854004,-0.081,-0.098,-1.012,1.02
