time,gFx,gFy,gFz,gFTotal
0.0019388198852539062,-0.35,-0.121,-0.861,0.937
0.0116729736328125,-0.314,-0.175,-0.864,0.936
0.021313905715942383,-0.237,-0.252,-0.891,0.956
0.03152275085449219,-0.18,-0.302,-0.914,0.979
0.041684865951538086,-0.202,-0.286,-0.903,0.969
0.05152487754821777,-0.218,-0.233,-0.881,0.937
0.060672760009765625,-0.297,-0.18,-0.85,0.918
0.07190084457397461,-0.285,-0.163,-0.86,0.921
0.08139395713806152,-0.202,-0.181,-0.925,0.964
0.09721088409423828,-0.145,-0.21,-1.053,1.083
0.10242295265197754,-0.157,-0.205,-1.14,1.169
0.1113429069519043,-0.251,-0.144,-1.141,1.177
0.12108588218688965,-0.311,-0.099,-1.04,1.09
0.1313159465789795,-0.361,-0.07,-0.907,0.979
0.14154887199401855,-0.393,-0.052,-0.772,0.868
0.15163373947143555,-0.359,-0.04,-0.627,0.724
0.16030502319335938,-0.291,-0.019,-0.537,0.611
0.17170190811157227,-0.223,-0.019,-0.481,0.531
0.18106484413146973,-0.162,-0.048,-0.446,0.477
0.19716596603393555,-0.117,-0.087,-0.414,0.439
0.20202398300170898,-0.072,-0.13,-0.389,0.416
0.21106386184692383,-0.024,-0.183,-0.405,0.445
0.22051787376403809,-0.08,-0.212,-0.421,0.478
0.23180103302001953,-0.193,-0.246,-0.477,0.57
0.24098992347717285,-0.298,-0.288,-0.549,0.688
0.25087881088256836,-0.281,-0.318,-0.62,0.751
0.2600419521331787,-0.273,-0.306,-0.606,0.732
0.27090978622436523,-0.348,-0.16,-0.476,0.611
0.2810709476470947,-0.445,0.028,-0.347,0.565
0.2972068786621094,-0.503,0.156,-0.238,0.578
0.30201292037963867,-0.526,0.243,-0.114,0.591
0.3106858730316162,-0.55,0.287,0.0,0.62
0.3200979232788086,-0.607,0.277,0.089,0.673
0.3305630683898926,-0.664,0.247,0.229,0.745
0.3405759334564209,-0.726,0.234,0.378,0.851
0.35193777084350586,-0.766,0.241,0.439,0.915
0.35965681076049805,-0.828,0.241,0.391,0.947
0.370851993560791,-0.949,0.226,0.353,1.037
0.38044190406799316,-1.099,0.181,0.352,1.168
0.39721107482910156,-1.25,0.114,0.342,1.301
0.40288782119750977,-1.379,0.057,0.393,1.435
0.41036486625671387,-1.454,0.054,0.487,1.534
0.4196739196777344,-1.474,0.098,0.505,1.561
0.4308648109436035,-1.423,0.168,0.467,1.507
0.4404168128967285,-1.285,0.252,0.412,1.373
0.4502549171447754,-1.121,0.298,0.291,1.196
0.4594087600708008,-0.966,0.268,0.066,1.005
0.47039294242858887,-0.824,0.133,-0.048,0.836
0.48010683059692383,-0.748,0.067,-0.127,0.762
0.49709177017211914,-0.696,0.068,-0.175,0.721
0.5036478042602539,-0.829,0.176,-0.295,0.897
0.5100469589233398,-0.802,0.294,-0.287,0.901
0.5190908908843994,-0.64,0.261,-0.233,0.729
0.5299499034881592,-0.258,0.163,-0.169,0.349
0.5400009155273438,-0.09,0.133,-0.193,0.251
0.5498290061950684,-0.176,0.155,-0.364,0.433
0.5591039657592773,-0.236,0.15,-0.317,0.423
0.570044994354248,-0.302,0.162,0.018,0.343
0.579838752746582,-0.4,0.208,0.138,0.471
0.5971198081970215,-0.565,0.308,0.165,0.664
0.6030869483947754,-1.079,0.664,-0.468,1.351
0.6097309589385986,-3.677,2.416,-4.06,5.987
0.6190290451049805,-2.745,2.661,0.999,3.951
0.6299488544464111,-2.777,4.231,-2.411,5.606
0.6398708820343018,-1.103,2.687,-0.271,2.917
