time,gFx,gFy,gFz,gFTotal
0.0065021514892578125,-0.211,-0.136,-0.943,0.976
0.01493692398071289,-0.211,-0.139,-0.965,0.998
0.02509021759033203,-0.209,-0.184,-1.006,1.044
0.03513503074645996,-0.214,-0.195,-1.028,1.068
0.044241905212402344,-0.222,-0.175,-1.01,1.049
0.055506229400634766,-0.24,-0.143,-0.979,1.018
0.06480002403259277,-0.258,-0.119,-0.964,1.005
0.0806422233581543,-0.262,-0.122,-0.961,1.004
0.08667421340942383,-0.254,-0.136,-0.941,0.984
0.09492301940917969,-0.233,-0.144,-0.924,0.964
0.10520100593566895,-0.206,-0.154,-0.942,0.976
0.11471796035766602,-0.183,-0.172,-0.998,1.029
0.12490510940551758,-0.179,-0.202,-1.062,1.096
0.1345360279083252,-0.177,-0.251,-1.105,1.147
0.14382314682006836,-0.173,-0.295,-1.102,1.154
0.1552410125732422,-0.205,-0.289,-1.066,1.123
0.1644902229309082,-0.267,-0.245,-1.025,1.087
0.18016505241394043,-0.274,-0.231,-0.945,1.011
0.18697500228881836,-0.229,-0.241,-0.838,0.902
0.194533109664917,-0.174,-0.248,-0.786,0.842
0.2054738998413086,-0.181,-0.239,-0.769,0.825
0.21435809135437012,-0.204,-0.238,-0.789,0.849
0.22449302673339844,-0.198,-0.266,-0.826,0.89
0.23425912857055664,-0.222,-0.282,-0.827,0.902
0.2434840202331543,-0.247,-0.301,-0.824,0.911
0.2542130947113037,-0.22,-0.338,-0.87,0.959
0.26394104957580566,-0.211,-0.322,-0.928,1.005
0.2803769111633301,-0.278,-0.219,-1.004,1.065
0.2867579460144043,-0.278,-0.15,-1.058,1.104
0.29401206970214844,-0.243,-0.148,-1.058,1.096
0.30415821075439453,-0.196,-0.18,-1.028,1.062
0.3141031265258789,-0.279,-0.071,-1.036,1.075
0.32404303550720215,-0.391,-0.011,-0.882,0.965
0.3338460922241211,-0.405,-0.081,-0.718,0.828
0.3433709144592285,-0.315,-0.175,-0.679,0.769
0.35447120666503906,-0.197,-0.25,-0.668,0.74
0.3640620708465576,-0.122,-0.277,-0.623,0.693
0.38161706924438477,-0.103,-0.242,-0.57,0.628
