time,gFx,gFy,gFz,gFTotal
0.014000892639160156,-0.007,-0.182,-0.965,0.982
0.014641046524047852,-0.007,-0.182,-0.965,0.982
0.021113872528076172,0.019,-0.188,-0.995,1.013
0.0316009521484375,0.042,-0.188,-1.024,1.042
0.043501853942871094,0.05,-0.197,-1.016,1.036
0.05860090255737305,-0.022,-0.161,-0.95,0.964
0.06072711944580078,-0.085,-0.109,-0.923,0.933
0.07051205635070801,-0.102,-0.1,-0.925,0.936
0.08101415634155273,-0.137,-0.128,-0.907,0.926
0.09092402458190918,-0.158,-0.18,-0.923,0.954
0.10124707221984863,-0.158,-0.252,-0.946,0.992
0.1110692024230957,-0.143,-0.314,-0.924,0.986
0.12134599685668945,-0.104,-0.358,-0.903,0.977
0.13252997398376465,-0.024,-0.397,-0.928,1.01
0.14379119873046875,0.048,-0.374,-0.975,1.045
0.1646728515625,0.119,-0.284,-1.062,1.106
0.16486406326293945,0.119,-0.284,-1.062,1.106
0.17029500007629395,0.14,-0.244,-1.045,1.082
0.1818089485168457,0.131,-0.223,-0.991,1.024
0.19100403785705566,0.094,-0.181,-0.943,0.965
0.2009880542755127,0.058,-0.142,-0.91,0.923
0.21087408065795898,0.038,-0.151,-0.873,0.887
0.2208690643310547,0.058,-0.196,-0.863,0.887
0.23157906532287598,0.094,-0.247,-0.902,0.94
0.26735401153564453,-0.013,-0.219,-1.006,1.03
0.2676119804382324,-0.013,-0.219,-1.006,1.03
0.2678489685058594,-0.013,-0.219,-1.006,1.03
0.2701292037963867,-0.052,-0.191,-1.019,1.038
0.2803058624267578,-0.096,-0.163,-1.064,1.081
0.2904810905456543,-0.13,-0.146,-1.11,1.127
0.30080199241638184,-0.141,-0.131,-1.118,1.134
0.3111391067504883,-0.121,-0.117,-1.107,1.12
0.32062292098999023,-0.052,-0.047,-1.076,1.078
0.33095216751098633,0.089,0.051,-1.134,1.139
0.36540794372558594,-0.196,-0.102,-0.945,0.97
0.3656620979309082,-0.196,-0.102,-0.945,0.97
0.3658161163330078,-0.196,-0.102,-0.945,0.97
0.36951303482055664,-0.209,-0.081,-0.874,0.902
0.37994813919067383,-0.276,-0.118,-0.737,0.796
0.39034199714660645,-0.336,-0.143,-0.62,0.72
0.400346040725708,-0.371,-0.113,-0.61,0.723
0.4106919765472412,-0.419,-0.11,-0.619,0.756
0.42029285430908203,-0.501,-0.09,-0.595,0.783
0.4310321807861328,-0.573,-0.09,-0.61,0.842
0.46651315689086914,-0.717,-0.096,-0.558,0.914
0.46676015853881836,-0.717,-0.096,-0.558,0.914
0.466994047164917,-0.717,-0.096,-0.558,0.914
0.4694380760192871,-0.771,-0.04,-0.586,0.969
0.47955989837646484,-0.858,-0.009,-0.604,1.049
0.490170955657959,-0.934,0.001,-0.643,1.134
0.5001158714294434,-0.966,0.008,-0.724,1.207
0.5101070404052734,-0.996,0.052,-0.818,1.29
