time,gFx,gFy,gFz,gFTotal
0.00885009765625,-0.018,-0.178,-0.858,0.876
0.018824100494384766,-0.031,-0.193,-0.839,0.861
0.028867006301879883,-0.033,-0.189,-0.831,0.853
0.05365896224975586,0.002,-0.169,-0.831,0.848
0.05392885208129883,0.002,-0.169,-0.831,0.848
0.05876493453979492,0.016,-0.168,-0.816,0.833
0.06896305084228516,0.014,-0.172,-0.812,0.83
0.07919788360595703,0.011,-0.176,-0.817,0.836
0.08969593048095703,0.027,-0.174,-0.804,0.823
0.09973716735839844,0.046,-0.161,-0.777,0.795
0.10927295684814453,0.071,-0.151,-0.767,0.785
0.1195380687713623,0.128,-0.138,-0.778,0.8
0.1294710636138916,0.183,-0.127,-0.777,0.808
0.15534496307373047,0.222,-0.169,-0.866,0.91
0.15563392639160156,0.222,-0.169,-0.866,0.91
0.15894699096679688,0.168,-0.153,-0.825,0.856
0.16937899589538574,0.14,-0.123,-0.727,0.751
0.17902088165283203,0.144,-0.128,-0.718,0.743
0.18982315063476562,0.18,-0.162,-0.783,0.82
0.1999499797821045,0.369,-0.181,-1.14,1.212
0.2095341682434082,0.66,-0.092,-1.903,2.016
0.21987485885620117,0.466,-0.319,-0.995,1.144
0.22958803176879883,0.2,-0.482,-0.599,0.794
0.2561831474304199,0.059,-0.4,-0.946,1.029
0.2564520835876465,0.059,-0.4,-0.946,1.029
0.2590341567993164,0.038,-0.305,-0.909,0.96
0.26898813247680664,0.345,-0.313,-0.951,1.059
0.2797830104827881,0.245,-0.336,-0.674,0.792
0.2895090579986572,-0.022,-0.337,-0.618,0.704
0.2996950149536133,-0.226,-0.391,-0.82,0.936
0.30941104888916016,-0.268,-0.436,-1.074,1.19
0.3199920654296875,-0.127,-0.328,-1.04,1.098
0.3294081687927246,-0.041,-0.287,-0.923,0.967
0.3574681282043457,-0.046,-0.289,-1.003,1.045
0.3577430248260498,-0.046,-0.289,-1.003,1.045
0.35930919647216797,-0.009,-0.318,-1.032,1.08
0.3690199851989746,-0.001,-0.35,-1.028,1.086
0.37981510162353516,-0.036,-0.3,-0.957,1.004
0.38964319229125977,-0.16,-0.215,-1.189,1.219
0.39981985092163086,-0.319,-0.187,-1.075,1.137
0.4094350337982178,-0.312,-0.107,-1.006,1.059
0.4200780391693115,-0.299,-0.093,-0.941,0.992
0.429610013961792,-0.41,-0.192,-0.889,0.998
0.45823192596435547,-0.518,-0.235,-0.907,1.071
0.4587709903717041,-0.499,-0.227,-0.815,0.982
0.46005916595458984,-0.499,-0.227,-0.815,0.982
0.4699740409851074,-0.49,-0.262,-0.693,0.888
0.4793529510498047,-0.506,-0.324,-0.588,0.841
0.4899170398712158,-0.507,-0.399,-0.556,0.852
0.5002999305725098,-0.54,-0.461,-0.555,0.901
0.5097100734710693,-0.592,-0.487,-0.545,0.941
0.5199730396270752,-0.585,-0.475,-0.566,0.942
0.5304431915283203,-0.514,-0.535,-0.604,0.957
0.5583539009094238,-0.608,-0.408,-0.486,0.879
0.5588669776916504,-0.594,-0.212,-0.6,0.871
0.5601201057434082,-0.594,-0.212,-0.6,0.871
0.5693540573120117,-0.655,-0.184,-0.64,0.934
0.5801000595092773,-0.758,-0.258,-0.662,1.039
0.5898590087890625,-0.787,-0.245,-0.758,1.12
0.6001129150390625,-0.767,-0.245,-0.752,1.102
0.6098051071166992,-0.741,-0.282,-0.707,1.062
0.6200580596923828,-0.757,-0.271,-0.736,1.09
0.6298251152038574,-0.796,-0.226,-0.73,1.103
0.6579940319061279,-0.753,-0.188,-0.664,1.021
0.6582930088043213,-0.753,-0.188,-0.664,1.021
0.6599020957946777,-0.765,-0.165,-0.649,1.017
0.6693859100341797,-0.769,-0.149,-0.594,0.983
0.6802349090576172,-0.771,-0.158,-0.534,0.951
0.689906120300293,-0.81,-0.172,-0.552,0.995
0.6999330520629883,-0.831,-0.183,-0.51,0.992
0.7097511291503906,-0.82,-0.211,-0.455,0.961
0.72011399269104,-0.812,-0.217,-0.423,0.941
0.729827880859375,-0.803,-0.173,-0.391,0.91
0.7566859722137451,-0.832,-0.149,-0.362,0.919
0.7569570541381836,-0.832,-0.149,-0.362,0.919
0.7592329978942871,-0.849,-0.148,-0.347,0.929
0.7694091796875,-0.867,-0.128,-0.328,0.936
0.7801461219787598,-0.896,-0.104,-0.306,0.953
0.7899990081787109,-0.929,-0.111,-0.294,0.981
0.7999639511108398,-0.936,-0.124,-0.274,0.983
0.8099169731140137,-0.94,-0.114,-0.271,0.985
0.8201160430908203,-0.966,-0.104,-0.276,1.01
0.8302350044250488,-1.018,-0.109,-0.269,1.059
0.8567628860473633,-1.135,-0.056,-0.225,1.158
0.8570351600646973,-1.135,-0.056,-0.225,1.158
0.8591949939727783,-1.171,-0.009,-0.218,1.191
0.869318962097168,-1.23,0.038,-0.208,1.248
0.879878044128418,-1.293,0.048,-0.166,1.304
0.8900740146636963,-1.375,0.012,-0.084,1.378
0.9000339508056641,-1.379,-0.012,0.048,1.38
0.909945011138916,-1.308,-0.02,0.126,1.314
0.9204440116882324,-1.26,-0.042,0.069,1.263
0.929844856262207,-1.252,0.084,0.274,1.284
0.9585781097412109,-1.765,-0.635,0.438,1.926
0.9588489532470703,-1.812,-0.299,0.413,1.882
0.9604148864746094,-1.812,-0.299,0.413,1.882
0.9696359634399414,-1.657,-0.106,0.289,1.685
0.9804930686950684,-1.422,0.019,0.408,1.479
0.9900989532470703,-1.224,-0.019,0.56,1.346
1.0006070137023926,-1.131,-0.081,0.525,1.25
1.0098509788513184,-1.043,-0.041,0.23,1.069
1.020768165588379,-0.87,0.027,-0.509,1.008
1.0304250717163086,-0.765,0.032,-0.554,0.945
1.060256004333496,-1.033,0.142,-0.027,1.043
1.0605249404907227,-1.033,0.142,-0.027,1.043
1.0607659816741943,-1.033,0.142,-0.027,1.043
1.069694995880127,-1.075,0.15,-0.202,1.104
1.0806121826171875,-1.019,0.314,-0.268,1.099
1.0901260375976562,-1.017,0.284,-0.216,1.078
1.1004350185394287,-1.027,0.296,-0.163,1.081
1.1100549697875977,-1.032,0.325,-0.189,1.098
1.1203320026397705,-1.003,0.321,-0.231,1.078
1.1305360794067383,-0.947,0.305,-0.272,1.031
1.158280849456787,-0.858,0.28,-0.295,0.95
1.1585650444030762,-0.858,0.28,-0.295,0.95
1.1601381301879883,-0.835,0.252,-0.297,0.921
1.169663906097412,-0.787,0.258,-0.285,0.876
1.1805801391601562,-0.754,0.261,-0.272,0.843
1.1900990009307861,-0.737,0.291,-0.281,0.841
1.2004339694976807,-0.696,0.31,-0.318,0.826
1.2100281715393066,-0.643,0.311,-0.41,0.824
1.2205371856689453,-0.625,0.265,-0.412,0.794
1.2301878929138184,-0.651,0.226,-0.5,0.851
1.2589590549468994,-0.801,0.068,-0.346,0.875
1.2594780921936035,-0.801,0.068,-0.346,0.875
1.2607200145721436,-0.801,0.068,-0.346,0.875
1.2704229354858398,-0.901,-0.016,-0.302,0.95
1.279982089996338,-0.998,-0.086,-0.266,1.036
1.2902851104736328,-1.081,-0.166,-0.254,1.123
1.30047607421875,-1.176,-0.227,-0.273,1.228
1.3100619316101074,-1.236,-0.265,-0.256,1.29
1.320824146270752,-1.265,-0.314,-0.216,1.321
1.3308870792388916,-1.262,-0.368,-0.202,1.33
1.3625810146331787,-1.161,-0.369,-0.146,1.227
1.3628489971160889,-1.161,-0.369,-0.146,1.227
1.3631479740142822,-1.161,-0.369,-0.146,1.227
1.369603157043457,-1.121,-0.287,-0.108,1.162
1.380782127380371,-1.055,-0.196,-0.002,1.073
1.3902649879455566,-0.977,-0.137,0.224,1.012
1.400583028793335,-0.949,-0.06,0.324,1.005
1.4105639457702637,-0.979,0.028,0.256,1.012
1.4204468727111816,-0.981,0.111,0.224,1.012
1.4303169250488281,-0.873,0.301,0.036,0.924
1.4584250450134277,-0.636,0.627,-0.563,1.056
1.4587299823760986,-0.636,0.627,-0.563,1.056
1.4603090286254883,-0.69,0.372,-0.194,0.808
1.469858169555664,-1.006,0.363,0.102,1.074
1.4808831214904785,-1.302,0.334,-0.121,1.35
1.4899630546569824,-1.411,0.378,-0.38,1.509
