time,gFx,gFy,gFz,gFTotal
0.005913972854614258,-0.043,-0.072,-1.006,1.009
0.015125036239624023,-0.037,-0.097,-1.02,1.025
0.02524709701538086,-0.023,-0.098,-1.038,1.043
0.035284996032714844,-0.024,-0.088,-1.033,1.037
0.04604697227478027,-0.044,-0.087,-1.003,1.008
0.0579228401184082,-0.073,-0.096,-0.98,0.987
0.06550002098083496,-0.101,-0.107,-0.97,0.981
0.08632993698120117,-0.124,-0.072,-1.006,1.016
0.08716917037963867,-0.124,-0.072,-1.006,1.016
0.09591913223266602,-0.116,-0.04,-1.05,1.057
0.10588312149047852,-0.114,-0.033,-1.105,1.111
0.11574792861938477,-0.107,-0.043,-1.138,1.144
0.12638401985168457,-0.119,-0.047,-1.103,1.11
0.13561105728149414,-0.12,-0.064,-1.05,1.059
0.1463298797607422,-0.092,-0.1,-1.007,1.016
0.15909910202026367,-0.063,-0.147,-0.989,1.002
0.1657700538635254,-0.045,-0.21,-0.994,1.017
0.18741989135742188,-0.037,-0.243,-0.961,0.992
0.18828296661376953,-0.037,-0.243,-0.961,0.992
0.19598388671875,-0.098,-0.18,-0.963,0.985
0.2059779167175293,-0.135,-0.105,-0.952,0.967
0.21576499938964844,-0.15,-0.093,-0.919,0.936
0.22632884979248047,-0.183,-0.081,-0.881,0.903
0.2357800006866455,-0.266,-0.04,-0.873,0.914
0.2471780776977539,-0.295,-0.035,-0.868,0.917
0.26007699966430664,-0.252,-0.084,-0.85,0.891
0.26596498489379883,-0.219,-0.157,-0.833,0.875
0.28824710845947266,-0.169,-0.29,-0.856,0.919
0.2885298728942871,-0.169,-0.29,-0.856,0.919
0.2960848808288574,-0.179,-0.286,-0.858,0.922
0.30562591552734375,-0.188,-0.281,-0.87,0.933
0.31580591201782227,-0.134,-0.312,-0.856,0.921
0.3263111114501953,-0.121,-0.346,-0.82,0.898
0.33673715591430664,-0.101,-0.424,-0.826,0.934
0.3464241027832031,-0.147,-0.377,-0.845,0.937
0.3609499931335449,-0.195,-0.173,-0.831,0.871
0.3658020496368408,-0.186,-0.06,-0.882,0.903
0.38765406608581543,-0.229,-0.025,-0.905,0.934
0.3885200023651123,-0.229,-0.025,-0.905,0.934
0.3961491584777832,-0.213,-0.068,-0.891,0.919
0.4062480926513672,-0.226,-0.055,-0.855,0.886
0.4157428741455078,-0.267,-0.024,-0.834,0.876
0.42633700370788574,-0.307,-0.009,-0.816,0.872
0.4356389045715332,-0.355,-0.01,-0.823,0.896
0.44733500480651855,-0.401,-0.03,-0.847,0.938
0.45937490463256836,-0.481,-0.003,-0.866,0.991
0.4659450054168701,-0.546,0.069,-0.864,1.024
0.48833513259887695,-0.486,-0.004,-0.821,0.954
0.4893379211425781,-0.486,-0.004,-0.821,0.954
0.4960489273071289,-0.427,-0.129,-0.746,0.869
0.5060980319976807,-0.346,-0.254,-0.665,0.791
0.5160119533538818,-0.29,-0.314,-0.639,0.769
0.5270318984985352,-0.314,-0.253,-0.656,0.77
0.535675048828125,-0.359,-0.156,-0.682,0.786
0.5465059280395508,-0.376,-0.097,-0.757,0.851
0.5593719482421875,-0.414,-0.007,-0.83,0.928
0.5659799575805664,-0.435,0.077,-0.855,0.962
0.5887269973754883,-0.371,0.018,-1.024,1.089
0.589047908782959,-0.371,0.018,-1.024,1.089
0.5960779190063477,-0.478,0.071,-0.917,1.037
0.6061270236968994,-0.431,0.087,-0.881,0.985
0.6159470081329346,-0.393,0.145,-0.955,1.043
0.6264328956604004,-0.45,0.144,-0.909,1.024
0.6359729766845703,-0.445,0.153,-0.96,1.069
0.6465921401977539,-0.43,0.172,-0.964,1.069
0.6591050624847412,-0.452,0.184,-0.943,1.062
