time,gFx,gFy,gFz,gFTotal
0.005140066146850586,-0.003,-0.013,-0.76,0.76
0.015238046646118164,0.037,-0.023,-0.69,0.691
0.026141881942749023,0.057,-0.057,-0.633,0.638
0.035362958908081055,0.059,-0.078,-0.684,0.691
0.04596686363220215,0.046,-0.072,-0.765,0.77
0.055377960205078125,0.02,-0.043,-0.796,0.797
0.06647610664367676,0.018,-0.009,-0.771,0.771
0.08697795867919922,-0.009,-0.016,-0.72,0.72
0.08899402618408203,-0.009,-0.016,-0.72,0.72
0.09547781944274902,-0.074,-0.013,-0.699,0.703
0.10554003715515137,-0.165,-0.016,-0.693,0.713
0.1153109073638916,-0.283,-0.044,-0.725,0.78
0.1265718936920166,-0.271,-0.038,-0.794,0.84
0.1359119415283203,-0.209,0.023,-0.882,0.907
0.1464850902557373,-0.137,0.011,-0.894,0.905
0.15649199485778809,-0.125,-0.081,-0.857,0.87
0.1664888858795166,-0.147,-0.184,-0.815,0.848
0.1881580352783203,-0.378,-0.198,-0.923,1.017
0.19071507453918457,-0.378,-0.198,-0.923,1.017
0.19579601287841797,-0.423,-0.156,-0.99,1.088
0.20565009117126465,-0.556,-0.125,-1.011,1.161
0.21589112281799316,-0.662,-0.003,-0.914,1.129
0.22629904747009277,-0.389,-0.023,-0.826,0.913
0.23569083213806152,-0.43,-0.084,-0.851,0.957
0.2462618350982666,-0.423,-0.082,-0.799,0.908
0.25617194175720215,0.507,-0.089,-0.711,0.878
0.2665388584136963,1.124,-0.515,-0.727,1.434
0.29081296920776367,-0.931,-0.442,-0.735,1.266
0.2931540012359619,-0.931,-0.442,-0.735,1.266
0.296036958694458,-0.471,-0.095,-0.667,0.822
0.30554699897766113,-0.141,-0.019,-0.767,0.78
0.3163950443267822,-0.296,-0.138,-0.79,0.855
0.326401948928833,-0.392,-0.194,-0.849,0.955
0.33600687980651855,-0.409,-0.234,-0.805,0.933
0.34690213203430176,-0.372,-0.197,-0.829,0.93
0.35644102096557617,-0.334,-0.101,-0.876,0.943
0.36661696434020996,-0.315,-0.083,-0.857,0.917
0.3900411128997803,-0.35,-0.2,-0.939,1.022
0.3927891254425049,-0.35,-0.2,-0.939,1.022
0.39586901664733887,-0.364,-0.16,-0.97,1.048
0.4055750370025635,-0.391,-0.121,-0.988,1.069
0.41609883308410645,-0.416,-0.12,-0.995,1.085
0.4257681369781494,-0.456,-0.111,-1.002,1.106
0.43604111671447754,-0.476,-0.094,-0.982,1.095
0.44632792472839355,-0.468,-0.072,-0.969,1.079
0.45604586601257324,-0.462,-0.042,-0.941,1.049
0.4669349193572998,-0.441,-0.043,-0.902,1.005
0.48876500129699707,-0.361,-0.104,-0.857,0.936
0.4908921718597412,-0.361,-0.104,-0.857,0.936
0.4957859516143799,-0.349,-0.078,-0.843,0.916
0.5058639049530029,-0.359,-0.055,-0.837,0.912
0.5161709785461426,-0.348,-0.04,-0.839,0.909
0.5264871120452881,-0.344,-0.03,-0.83,0.899
0.5361700057983398,-0.388,-0.06,-0.853,0.939
0.546579122543335,-0.437,-0.053,-0.905,1.006
0.5560159683227539,-0.483,-0.039,-0.951,1.067
0.5667121410369873,-0.534,-0.037,-0.977,1.114
0.5892200469970703,-0.588,-0.105,-0.989,1.155
0.5916149616241455,-0.588,-0.105,-0.989,1.155
0.5958411693572998,-0.569,-0.11,-0.939,1.103
0.606774091720581,-0.568,-0.125,-0.911,1.081
0.615962028503418,-0.586,-0.121,-0.915,1.093
0.6266260147094727,-0.815,-0.229,-0.949,1.272
0.6363389492034912,-0.582,-0.225,-1.019,1.195
0.6468119621276855,-0.467,-0.197,-1.016,1.135
0.6566450595855713,-0.62,-0.287,-1.045,1.249
0.6667690277099609,-0.701,-0.262,-1.044,1.285
0.688992977142334,-0.7,-0.275,-1.051,1.292
0.6922450065612793,-0.7,-0.275,-1.051,1.292
0.6959640979766846,-0.73,-0.254,-1.019,1.279
0.7068109512329102,-0.727,-0.218,-0.977,1.237
0.7164089679718018,-0.685,-0.256,-0.914,1.171
0.7264878749847412,-0.617,-0.264,-0.861,1.092
0.7363159656524658,-0.554,-0.255,-0.811,1.015
0.7469189167022705,-0.538,-0.26,-0.742,0.953
0.7576210498809814,-0.544,-0.228,-0.729,0.938
0.7668290138244629,-0.564,-0.139,-0.786,0.977
0.7895748615264893,-0.714,-0.142,-0.778,1.065
0.7913939952850342,-0.714,-0.142,-0.778,1.065
0.7959811687469482,-0.707,-0.122,-0.742,1.032
0.8060159683227539,-0.717,-0.089,-0.709,1.012
0.8161709308624268,-0.733,-0.076,-0.707,1.021
0.8261890411376953,-0.757,-0.081,-0.677,1.019
0.8361649513244629,-0.745,-0.054,-0.568,0.938
0.846933126449585,-0.719,-0.08,-0.561,0.915
0.8561618328094482,-0.745,-0.147,-0.6,0.968
0.8665640354156494,-0.667,-0.121,-0.589,0.898
0.8886768817901611,-0.603,-0.056,-0.551,0.819
0.8905818462371826,-0.603,-0.056,-0.551,0.819
0.8961098194122314,-0.773,-0.053,-0.578,0.967
0.9067561626434326,-0.778,0.016,-0.578,0.969
0.9162418842315674,-0.709,0.014,-0.572,0.911
0.9267971515655518,-0.717,0.045,-0.573,0.919
0.9361121654510498,-0.705,0.003,-0.545,0.891
0.9472720623016357,-0.731,-0.08,-0.546,0.916
0.9557669162750244,-0.775,-0.09,-0.52,0.938
0.966667890548706,-0.845,-0.053,-0.485,0.976
0.9881119728088379,-0.933,-0.028,-0.378,1.007
0.9906179904937744,-0.933,-0.028,-0.378,1.007
0.9960429668426514,-0.992,-0.007,-0.361,1.056
1.0061030387878418,-1.047,-0.057,-0.341,1.103
1.0164258480072021,-1.012,-0.023,-0.337,1.067
1.0268070697784424,-1.0,0.018,-0.323,1.051
1.0362110137939453,-0.987,-0.013,-0.345,1.046
1.0472228527069092,-1.004,0.019,-0.36,1.067
1.0569140911102295,-1.049,0.049,-0.364,1.111
1.0668699741363525,-1.061,0.042,-0.359,1.121
1.088819980621338,-1.147,0.017,-0.155,1.158
1.0906469821929932,-1.147,0.017,-0.155,1.158
1.096163034439087,-1.081,0.117,-0.22,1.109
1.1064751148223877,-1.032,0.162,-0.261,1.077
1.1165039539337158,-0.997,0.261,-0.268,1.065
1.1266119480133057,-1.054,0.298,-0.277,1.13
1.1365768909454346,-1.053,0.332,-0.332,1.153
1.1471030712127686,-1.047,0.326,-0.415,1.172
1.1575839519500732,-1.003,0.353,-0.483,1.168
1.1667468547821045,-1.01,0.403,-0.557,1.222
1.1914398670196533,-1.006,0.219,-0.434,1.117
1.1939618587493896,-1.006,0.219,-0.434,1.117
1.196185827255249,-1.019,0.217,-0.38,1.109
1.2061641216278076,-1.033,0.274,-0.348,1.124
1.2170989513397217,-1.058,0.25,-0.338,1.138
1.227215051651001,-1.084,0.18,-0.323,1.145
1.2361528873443604,-1.084,0.134,-0.289,1.13
1.2473599910736084,-1.075,0.136,-0.278,1.119
1.2570478916168213,-1.065,0.126,-0.219,1.095
1.2672929763793945,-1.055,0.106,-0.135,1.069
1.2899620532989502,-0.93,0.039,0.146,0.942
1.2917330265045166,-0.93,0.039,0.146,0.942
1.2962110042572021,-0.908,0.064,0.004,0.91
1.3063299655914307,-0.857,0.12,-0.117,0.873
1.3165550231933594,-0.878,0.144,-0.138,0.9
1.3261549472808838,-0.901,0.161,-0.116,0.923
1.3367278575897217,-0.91,0.159,-0.099,0.929
1.3472950458526611,-0.912,0.195,-0.071,0.935
1.357154130935669,-0.91,0.261,-0.035,0.947
1.3671150207519531,-0.933,0.276,-0.042,0.974
1.3915340900421143,-0.879,0.457,-0.184,1.008
1.3936951160430908,-0.879,0.457,-0.184,1.008
1.3963429927825928,-0.869,0.508,-0.164,1.02
1.4062080383300781,-0.885,0.549,-0.154,1.053
1.4168851375579834,-0.889,0.63,-0.149,1.1
1.4271090030670166,-0.959,0.698,-0.163,1.197
