time;gFx;gFy;gFz;TgF
0.001336562;-0,2997;0,4950;0,7513;0,948
0.001740104;-0,2780;0,5035;0,7501;0,945
0.002382604;-0,2629;0,5116;0,7616;0,954
0.00420927;-0,2585;0,5162;0,7850;0,974
0.006711458;-0,2553;0,5157;0,8104;0,993
0.009505572;-0,2516;0,5133;0,8363;1,012
0.011147395;-0,2455;0,5079;0,8578;1,026
0.013631041;-0,2343;0,5018;0,8820;1,040
0.016027552;-0,2157;0,4918;0,9143;1,059
0.019522031;-0,1967;0,4822;0,9455;1,078
0.021868229;-0,1764;0,4705;0,9727;1,093
0.024663385;-0,1603;0,4541;0,9949;1,103
0.025757864;-0,1461;0,4356;1,0103;1,107
0.03519177;-0,1337;0,4194;1,0208;1,109
0.03553026;-0,1226;0,4038;1,0308;1,111
0.035682343;-0,1116;0,3853;1,0450;1,116
0.035817083;-0,1029;0,3691;1,0625;1,126
0.039040104;-0,0960;0,3528;1,0809;1,138
0.041557239;-0,0904;0,3386;1,0994;1,151
0.043850312;-0,0823;0,3296;1,1102;1,158
0.046076093;-0,0723;0,3237;1,1180;1,163
0.047969166;-0,0657;0,3169;1,1229;1,165
0.051654479;-0,0620;0,3129;1,1204;1,161
0.053560781;-0,0577;0,3124;1,1090;1,150
0.055258854;-0,0550;0,3137;1,0914;1,133
0.058538749;-0,0545;0,3127;1,0733;1,116
0.060427395;-0,0581;0,3112;1,0530;1,096
0.063390572;-0,0647;0,3090;1,0364;1,080
0.065693229;-0,0784;0,3066;1,0259;1,070
0.067553593;-0,0909;0,3012;1,0237;1,068
0.070870729;-0,1029;0,2949;1,0306;1,074
0.072285677;-0,1087;0,2888;1,0428;1,084
0.074798437;-0,1082;0,2885;1,0535;1,095
0.077343749;-0,1058;0,2888;1,0643;1,105
0.081037447;-0,1048;0,2863;1,0699;1,109
0.082232864;-0,1041;0,2822;1,0770;1,115
0.084652187;-0,1033;0,2787;1,0828;1,120
0.08802552;-0,0992;0,2778;1,0867;1,123
0.090443489;-0,0987;0,2797;1,0931;1,129
0.09192526;-0,0941;0,2787;1,0946;1,130
0.095002604;-0,0865;0,2770;1,0916;1,126
0.096886666;-0,0762;0,2744;1,0845;1,118
0.100011145;-0,0689;0,2665;1,0762;1,107
0.10191927;-0,0635;0,2575;1,0689;1,098
0.105554322;-0,0586;0,2480;1,0635;1,090
0.10650552;-0,0498;0,2375;1,0599;1,084
0.110137187;-0,0415;0,2311;1,0540;1,076
0.111667395;-0,0310;0,2279;1,0491;1,070
0.114408697;-0,0179;0,2243;1,0425;1,063
0.116419791;-0,0073;0,2177;1,0411;1,060
0.119917083;0,0005;0,2118;1,0459;1,063
0.121249947;0,0061;0,2057;1,0523;1,068
0.124794166;0,0146;0,2033;1,0559;1,071
0.126442916;0,0217;0,1998;1,0547;1,069
0.129454531;0,0298;0,1966;1,0518;1,066
0.131557187;0,0374;0,1915;1,0454;1,059
0.133668177;0,0415;0,1866;1,0447;1,057
0.137316822;0,0442;0,1839;1,0459;1,058
0.138495312;0,0515;0,1852;1,0418;1,055
0.140930364;0,0589;0,1830;1,0342;1,047
0.14418052;0,0633;0,1695;1,0332;1,044
0.152187395;0,0664;0,1468;1,0403;1,048
0.152668072;0,0682;0,1253;1,0572;1,062
0.152839114;0,0708;0,1090;1,0662;1,069
0.153778177;0,0745;0,1019;1,0672;1,070
0.156686927;0,0813;0,0989;1,0620;1,065
0.159106927;0,0938;0,0968;1,0498;1,053
0.160941822;0,1102;0,0975;1,0335;1,039
0.16408552;0,1246;0,0972;1,0208;1,027
0.165593697;0,1412;0,0960;1,0093;1,018
0.168608906;0,1522;0,0924;1,0012;1,011
0.170990156;0,1612;0,0872;0,9934;1,004
0.172901302;0,1688;0,0835;0,9839;0,996
0.175085624;0,1732;0,0806;0,9744;0,987
0.178391822;0,1744;0,0813;0,9692;0,982
0.180404218;0,1734;0,0821;0,9668;0,980
0.183176041;0,1725;0,0833;0,9658;0,979
0.184946718;0,1730;0,0845;0,9795;0,992
0.187377083;0,1747;0,0880;1,0034;1,016
0.190965208;0,1825;0,0926;1,0213;1,035
0.192220312;0,1881;0,0963;1,0371;1,052
0.195028229;0,1959;0,1024;1,0313;1,049
0.19783276;0,2035;0,1041;1,0142;1,033
0.200428229;0,2069;0,1065;0,9861;1,007
0.202279166;0,2091;0,1063;0,9517;0,974
0.205741614;0,2047;0,1063;0,9157;0,938
0.207008437;0,1908;0,1065;0,8893;0,909
0.209394843;0,1700;0,1068;0,8788;0,895
0.213308906;0,1456;0,1065;0,8742;0,887
0.214532291;0,1190;0,1055;0,8698;0,879
0.218105677;0,0938;0,0999;0,8708;0,876
0.219213541;0,0730;0,0936;0,8766;0,880
0.221694999;0,0613;0,0852;0,8815;0,883
0.225178177;0,0589;0,0813;0,8810;0,882
0.227521979;0,0669;0,0774;0,8718;0,873
0.230904791;0,0779;0,0811;0,8615;0,864
0.232460572;0,0965;0,0899;0,8495;0,854
0.234789999;0,1197;0,1036;0,8361;0,845
0.236567083;0,1419;0,1207;0,8251;0,840
0.23895552;0,1622;0,1383;0,8146;0,836
0.242555104;0,1820;0,1566;0,8078;0,836
0.244854947;0,2020;0,1766;0,8016;0,839
0.24746302;0,2223;0,1959;0,7990;0,845
0.248641093;0,2362;0,2138;0,7914;0,846
0.251278749;0,2511;0,2306;0,7826;0,846
0.254331197;0,2636;0,2416;0,7738;0,845
0.257148749;0,2746;0,2499;0,7635;0,842
0.258499635;0,2792;0,2550;0,7513;0,834
0.262007031;0,2839;0,2595;0,7352;0,822
0.263684999;0,2844;0,2639;0,7183;0,809
0.266673906;0,2885;0,2709;0,7042;0,800
0.269343854;0,2924;0,2814;0,6920;0,794
0.270689791;0,2995;0,2958;0,6880;0,799
0.274306822;0,3088;0,3137;0,6844;0,806
0.275633385;0,3190;0,3325;0,6863;0,819
0.278179895;0,3259;0,3447;0,6883;0,828
0.281051406;0,3283;0,3542;0,6934;0,837
0.28342526;0,3291;0,3584;0,7027;0,847
0.286560312;0,3279;0,3603;0,7117;0,855
0.287912708;0,3269;0,3564;0,7164;0,857
0.29021802;0,3274;0,3498;0,7284;0,864
0.293786093;0,3274;0,3476;0,7516;0,883
0.295588801;0,3313;0,3471;0,7806;0,909
0.298360416;0,3401;0,3454;0,8024;0,930
0.300833801;0,3489;0,3403;0,8146;0,941
0.302870416;0,3410;0,3257;0,8139;0,933
0.306176874;0,3212;0,3110;0,8114;0,919
0.307443281;0,3027;0,3017;0,8099;0,908
0.310045364;0,2746;0,2685;0,8278;0,905
0.313969791;0,2299;0,1854;0,8888;0,930
0.31561177;0,1959;0,0880;0,9514;0,969
0.317344791;0,2138;0,0530;0,9712;0,989
0.321040051;0,2751;0,0718;0,9788;1,012
0.322168176;0,3388;0,0997;1,0164;1,069
0.324610833;0,3855;0,0946;1,0692;1,133
0.327575729;0,3989;0,0418;1,1190;1,181
0.331197187;0,3870;-0,0435;1,1551;1,212
0.334365156;0,3547;-0,1104;1,1625;1,213
0.335017187;0,2956;-0,1263;1,1490;1,186
0.337066145;0,2238;-0,1031;1,1312;1,152
0.340616718;0,1666;-0,0503;1,1116;1,119
0.341750572;0,1297;0,0151;1,0801;1,083
0.344470051;0,1099;0,0689;1,0457;1,048
0.34767677;0,0972;0,1053;1,0171;1,022
0.349277343;0,0965;0,1300;0,9795;0,988
0.352804062;0,1097;0,1424;0,9257;0,938
0.354096614;0,1304;0,1385;0,8632;0,878
0.356377031;0,1500;0,1214;0,7975;0,814
0.359559426;0,1554;0,0972;0,7452;0,761
0.362176458;0,1414;0,0725;0,7020;0,713
0.364733489;0,1134;0,0479;0,6666;0,672
0.366570104;0,0750;0,0283;0,6326;0,632
0.368745937;0,0227;0,0117;0,6037;0,600
0.372078906;-0,0306;-0,0022;0,5793;0,577
0.374656666;-0,0667;-0,0120;0,5591;0,560
0.376059583;-0,0745;-0,0198;0,5393;0,542
0.378695781;-0,0611;-0,0323;0,5087;0,511
0.381536093;-0,0286;-0,0452;0,4530;0,453
0.384849739;0,0085;-0,0564;0,3788;0,379
0.385776614;0,0454;-0,0613;0,3113;0,315
0.389273645;0,0740;-0,0655;0,2652;0,276
0.390628593;0,1009;-0,0652;0,2310;0,253
0.393291874;0,1290;-0,0618;0,2026;0,239
0.395872812;0,1564;-0,0603;0,1845;0,239
0.399448072;0,1827;-0,0606;0,1736;0,249
0.401354322;0,1979;-0,0679;0,1723;0,260
0.404381614;0,2111;-0,0721;0,1802;0,276
0.405400156;0,2074;-0,0779;0,1904;0,282
0.407788906;0,1708;-0,0919;0,1960;0,266
0.411893385;0,0870;-0,1173;0,2036;0,244
0.413963645;-0,0494;-0,1539;0,2256;0,276
0.415789635;-0,2499;-0,2123;0,2718;0,430
0.418011562;-0,4954;-0,2890;0,3433;0,675
