time;gFx;gFy;gFz;TgF
9.15573E-4;0,1231;0,1505;0,8879;0,903
0.001133958;0,1197;0,1503;0,8986;0,913
0.002731979;0,1177;0,1488;0,9104;0,924
0.004976302;0,1148;0,1468;0,9216;0,935
0.007439583;0,1131;0,1429;0,9343;0,946
0.011167812;0,1094;0,1409;0,9443;0,956
0.012854844;0,1019;0,1358;0,9534;0,963
0.015175989;0,0674;0,1219;0,9673;0,972
0.017582396;0,0291;0,1053;0,9888;0,990
0.019749062;0,0212;0,1007;1,0020;1,003
0.02328776;0,0254;0,1016;1,0093;1,010
0.025771458;0,0298;0,1014;1,0154;1,016
0.028741458;0,0315;0,1014;1,0186;1,020
0.032141562;0,0242;0,0928;1,0193;1,019
0.032406771;0,0076;0,0818;1,0179;1,017
0.035191041;-0,0161;0,0699;1,0147;1,013
0.037456093;-0,0393;0,0569;1,0108;1,009
0.040313646;-0,0567;0,0491;1,0049;1,004
0.041808021;-0,0735;0,0454;1,0007;1,001
0.04557526;-0,0753;0,0489;0,9998;1,000
0.047394427;-0,0633;0,0581;1,0007;1,001
0.050048646;-0,0481;0,0696;1,0002;1,000
0.053103958;-0,0347;0,0796;0,9993;0,999
0.054073021;-0,0201;0,0870;0,9993;0,999
0.056520416;-0,0068;0,0946;0,9951;0,995
0.061032708;-0,0120;0,0968;0,9832;0,984
0.061896354;-0,0323;0,0997;0,9822;0,984
0.064565625;-0,0264;0,1051;0,9937;0,996
0.066958125;-0,0151;0,1072;1,0017;1,004
0.069028437;-0,0042;0,1072;1,0039;1,005
0.071224687;0,0068;0,1053;1,0049;1,006
0.073908906;0,0159;0,1026;1,0039;1,005
0.076708802;0,0195;0,0977;1,0017;1,002
0.07910401;0,0222;0,0919;1,0000;1,000
0.081515364;0,0232;0,0863;0,9985;0,998
0.083483541;0,0212;0,0806;0,9998;0,999
0.086182187;0,0195;0,0769;1,0015;1,000
0.088330208;0,0168;0,0733;1,0027;1,001
0.091979843;0,0149;0,0677;1,0029;1,001
0.096081198;0,0134;0,0647;1,0007;0,999
0.096395937;0,0139;0,0645;0,9983;0,996
0.098875625;0,0149;0,0640;0,9973;0,995
0.101249427;0,0149;0,0633;0,9961;0,994
0.103492604;0,0146;0,0635;0,9954;0,993
0.106099062;0,0166;0,0630;0,9951;0,993
0.108040468;0,0178;0,0628;0,9924;0,990
0.110895052;0,0198;0,0640;0,9893;0,987
0.112948906;0,0227;0,0655;0,9880;0,986
0.115470521;0,0251;0,0682;0,9873;0,985
0.118384375;0,0269;0,0682;0,9858;0,984
0.12046651;0,0283;0,0706;0,9836;0,982
0.123800937;0,0293;0,0740;0,9814;0,980
0.126161666;0,0303;0,0757;0,9812;0,980
0.127764375;0,0305;0,0765;0,9795;0,978
0.130087916;0,0330;0,0772;0,9785;0,978
0.133230468;0,0308;0,0743;0,9749;0,974
0.135215468;0,0295;0,0713;0,9717;0,970
0.138026614;0,0264;0,0672;0,9687;0,967
0.14099401;0,0247;0,0628;0,9651;0,963
0.143793489;0,0225;0,0572;0,9624;0,960
0.145713125;0,0198;0,0513;0,9587;0,956
0.147188489;0,0154;0,0447;0,9553;0,952
0.150199427;0,0120;0,0406;0,9521;0,949
0.153094271;0,0081;0,0374;0,9507;0,947
0.154730885;0,0027;0,0323;0,9472;0,944
0.158222031;-0,0012;0,0273;0,9416;0,938
0.16065526;-0,0032;0,0269;0,9348;0,931
0.162921198;-0,0042;0,0254;0,9296;0,926
0.164396823;-0,0056;0,0239;0,9233;0,919
0.166911823;-0,0059;0,0225;0,9177;0,914
0.170427083;-0,0044;0,0212;0,9108;0,907
0.171808802;-0,0020;0,0215;0,9052;0,901
0.175268281;0,0002;0,0210;0,9040;0,900
0.177225833;0,0063;0,0222;0,9025;0,899
0.1797675;0,0112;0,0227;0,9023;0,898
0.182153489;0,0176;0,0227;0,9030;0,899
0.184029791;0,0244;0,0225;0,9023;0,898
0.187164427;0,0298;0,0234;0,9033;0,900
0.189009271;0,0381;0,0232;0,9040;0,900
0.192249323;0,0442;0,0234;0,9072;0,904
0.196242552;0,0462;0,0244;0,9106;0,907
0.196530989;0,0525;0,0220;0,9150;0,912
0.199554896;0,0542;0,0193;0,9174;0,914
0.201738646;0,0547;0,0171;0,9177;0,915
0.203706979;0,0513;0,0146;0,9201;0,917
0.206138073;0,0476;0,0107;0,9221;0,919
0.209484166;0,0445;0,0076;0,9238;0,920
0.210928385;0,0428;0,0061;0,9248;0,921
0.213768437;0,0396;0,0063;0,9243;0,920
0.216440104;0,0381;0,0073;0,9250;0,921
0.218333177;0,0406;0,0090;0,9248;0,921
0.220623854;0,0435;0,0115;0,9248;0,921
0.224262396;0,0479;0,0144;0,9248;0,921
0.225761146;0,0530;0,0173;0,9226;0,919
0.229283489;0,0577;0,0188;0,9231;0,920
0.230552708;0,0603;0,0195;0,9228;0,920
0.233306302;0,0599;0,0198;0,9216;0,919
0.236575833;0,0586;0,0183;0,9201;0,917
0.237886093;0,0564;0,0159;0,9179;0,915
0.241444583;0,0567;0,0125;0,9157;0,913
0.243320573;0,0577;0,0090;0,9152;0,912
0.246514427;0,0572;0,0049;0,9143;0,911
0.247797343;0,0557;0,0027;0,9155;0,912
0.25125375;0,0537;0,0007;0,9170;0,914
0.253744895;0,0537;-0,0015;0,9167;0,913
0.256234427;0,0537;-0,0054;0,9172;0,914
0.257848593;0,0484;-0,0100;0,9167;0,913
0.260776666;0,0418;-0,0139;0,9177;0,914
0.263538645;0,0356;-0,0183;0,9192;0,915
0.26541776;0,0303;-0,0225;0,9206;0,917
0.267431354;0,0251;-0,0247;0,9233;0,919
0.269722448;0,0217;-0,0242;0,9260;0,922
0.272045416;0,0190;-0,0239;0,9270;0,923
0.275782604;0,0190;-0,0237;0,9289;0,925
0.278156875;0,0217;-0,0220;0,9309;0,927
0.280538177;0,0217;-0,0195;0,9328;0,929
0.282001666;0,0215;-0,0168;0,9348;0,931
0.284431406;0,0222;-0,0173;0,9358;0,932
0.288078385;0,0232;-0,0183;0,9355;0,932
0.28924651;0,0237;-0,0198;0,9365;0,933
0.292930468;0,0227;-0,0220;0,9392;0,935
0.301505625;0,0193;-0,0222;0,9433;0,939
0.301945416;0,0171;-0,0230;0,9487;0,945
0.302100468;0,0127;-0,0249;0,9568;0,953
0.302247395;0,0103;-0,0251;0,9641;0,960
0.305310937;0,0117;-0,0256;0,9695;0,966
0.306529062;0,0117;-0,0273;0,9717;0,968
0.31008026;0,0103;-0,0310;0,9744;0,971
0.311715729;0,0112;-0,0347;0,9749;0,971
0.315141718;0,0122;-0,0371;0,9749;0,971
0.31798526;0,0144;-0,0408;0,9773;0,974
0.319039323;0,0164;-0,0428;0,9770;0,974
0.321831302;0,0203;-0,0437;0,9766;0,973
0.323613125;0,0278;-0,0442;0,9749;0,972
0.326792812;0,0335;-0,0442;0,9729;0,970
0.329503437;0,0393;-0,0425;0,9712;0,968
0.33095;0,0454;-0,0418;0,9697;0,967
0.33404526;0,0506;-0,0403;0,9697;0,967
0.336648073;0,0537;-0,0393;0,9653;0,963
0.338270833;0,0550;-0,0391;0,9617;0,959
0.340630156;0,0542;-0,0425;0,9587;0,956
0.343476666;0,0511;-0,0445;0,9561;0,954
0.34685901;0,0469;-0,0491;0,9512;0,949
0.348640885;0,0425;-0,0552;0,9472;0,945
0.350515052;0,0354;-0,0608;0,9431;0,941
0.353090989;0,0266;-0,0696;0,9380;0,936
0.356698802;0,0195;-0,0765;0,9362;0,935
0.357946041;0,0098;-0,0848;0,9375;0,937
0.361846041;-0,0010;-0,0919;0,9397;0,940
0.362873489;-0,0117;-0,1007;0,9423;0,944
0.365342916;-0,0196;-0,1072;0,9460;0,948
0.368963437;-0,0252;-0,1126;0,9487;0,952
0.37012052;-0,0308;-0,1158;0,9526;0,956
0.373548177;-0,0323;-0,1177;0,9573;0,961
0.376016302;-0,0345;-0,1204;0,9614;0,966
0.377822656;-0,0389;-0,1239;0,9644;0,969
0.380039218;-0,0440;-0,1263;0,9695;0,975
0.383291718;-0,0476;-0,1253;0,9729;0,978
0.384857916;-0,0498;-0,1236;0,9707;0,976
0.38825901;-0,0506;-0,1251;0,9702;0,976
0.390574687;-0,0472;-0,1221;0,9697;0,975
0.39208875;-0,0425;-0,1209;0,9690;0,974
0.396416145;-0,0352;-0,1207;0,9673;0,972
0.397603281;-0,0286;-0,1185;0,9675;0,971
0.399849323;-0,0183;-0,1180;0,9697;0,973
0.40270151;-0,0127;-0,1168;0,9685;0,972
0.404652343;-0,0093;-0,1160;0,9675;0,970
0.406758698;-0,0056;-0,1153;0,9658;0,969
0.410484218;-0,0024;-0,1148;0,9658;0,969
0.412812604;-0,0012;-0,1153;0,9646;0,967
0.414698645;-0,0051;-0,1160;0,9639;0,967
0.416809062;-0,0103;-0,1192;0,9619;0,965
0.419178802;-0,0154;-0,1231;0,9619;0,966
0.42156927;-0,0242;-0,1280;0,9614;0,966
0.424848073;-0,0313;-0,1339;0,9597;0,966
0.427448854;-0,0401;-0,1407;0,9563;0,964
0.430106093;-0,0437;-0,1473;0,9524;0,961
0.43139802;-0,0496;-0,1556;0,9467;0,957
0.433874739;-0,0520;-0,1610;0,9382;0,950
0.436777916;-0,0530;-0,1651;0,9323;0,945
0.438638281;-0,0572;-0,1693;0,9267;0,940
0.441067448;-0,0591;-0,1752;0,9231;0,938
0.445365156;-0,0655;-0,1761;0,9238;0,939
0.44687901;-0,0711;-0,1793;0,9238;0,940
0.448757395;-0,0745;-0,1798;0,9257;0,943
0.451059583;-0,0784;-0,1849;0,9265;0,945
0.453492656;-0,0814;-0,1871;0,9257;0,945
0.456915364;-0,0828;-0,1908;0,9228;0,943
0.459305208;-0,0848;-0,1913;0,9213;0,942
0.461270572;-0,0853;-0,1944;0,9226;0,944
0.464251562;-0,0867;-0,1969;0,9260;0,948
0.46580177;-0,0880;-0,1993;0,9287;0,951
0.468120364;-0,0850;-0,2016;0,9289;0,951
0.471599791;-0,0797;-0,2016;0,9296;0,951
0.47425651;-0,0755;-0,2023;0,9296;0,951
0.475482812;-0,0669;-0,2013;0,9301;0,951
0.478103645;-0,0594;-0,2003;0,9323;0,952
0.480551927;-0,0486;-0,1964;0,9318;0,950
0.483015729;-0,0369;-0,1937;0,9321;0,949
0.486299947;-0,0284;-0,1901;0,9340;0,950
0.488818489;-0,0213;-0,1874;0,9365;0,951
0.490197708;-0,0181;-0,1861;0,9384;0,953
0.493481927;-0,0198;-0,1869;0,9375;0,952
