time;gFx;gFy;gFz;TgF
0.001348073;-0,6962;0,2458;0,7535;1,059
0.001714583;-0,6413;0,2428;0,8356;1,084
0.001883021;-0,5851;0,2433;0,9250;1,123
0.003214219;-0,5326;0,2443;1,0125;1,171
0.004957239;-0,4818;0,2453;1,0924;1,219
0.007606458;-0,4307;0,2472;1,1625;1,264
0.010228281;-0,3814;0,2504;1,2211;1,303
0.013399896;-0,3332;0,2514;1,2687;1,334
0.015102552;-0,2890;0,2545;1,3064;1,360
0.017462187;-0,2492;0,2565;1,3340;1,379
0.019669948;-0,1974;0,2558;1,3572;1,393
0.022152969;-0,1182;0,2470;1,3787;1,402
0.024600469;-0,0327;0,2333;1,3684;1,385
0.028812604;0,0459;0,2277;1,3247;1,340
0.029816562;0,0909;0,2250;1,2729;1,291
0.03241375;0,1024;0,2184;1,2147;1,233
0.034529219;0,1019;0,2108;1,1505;1,169
0.036859583;0,1038;0,2025;1,0919;1,110
0.039275417;0,1131;0,1957;1,0396;1,059
0.041684896;0,1256;0,1930;0,9963;1,017
0.044578594;0,1431;0,1954;0,9683;0,992
0.046817396;0,1544;0,2040;0,9499;0,978
0.049150781;0,1661;0,2130;0,9392;0,971
0.051656302;0,1896;0,2201;0,9338;0,972
0.054055208;0,2125;0,2260;0,9323;0,976
0.056516354;0,2311;0,2296;0,9323;0,981
0.0590225;0,2465;0,2353;0,9372;0,991
0.062128541;0,2536;0,2389;0,9441;1,000
0.064034271;0,2565;0,2431;0,9573;1,014
0.066705625;0,2526;0,2399;0,9592;1,014
0.069002344;0,2563;0,2482;0,9345;0,993
0.071300104;0,2668;0,2487;0,8913;0,956
0.073745989;0,2707;0,2443;0,8544;0,922
0.076270937;0,2744;0,2396;0,8117;0,882
0.078638229;0,2724;0,2353;0,7809;0,852
0.081005;0,2646;0,2296;0,7513;0,822
0.083425312;0,2584;0,2216;0,7195;0,789
0.085761771;0,2487;0,2099;0,6793;0,746
0.088287969;0,2382;0,1991;0,6490;0,712
0.09065875;0,2272;0,1893;0,6338;0,692
0.093536979;0,2196;0,1793;0,6153;0,670
0.096109427;0,2111;0,1734;0,6167;0,667
0.098297031;0,2037;0,1654;0,6128;0,659
0.100678854;0,1976;0,1583;0,6182;0,661
0.103412604;0,1927;0,1529;0,6319;0,671
0.105546979;0,1930;0,1434;0,6485;0,685
0.107919687;0,1954;0,1385;0,6741;0,708
0.110515208;0,2062;0,1326;0,7012;0,736
0.113556771;0,2287;0,1287;0,7215;0,761
0.115392916;0,2599;0,1256;0,7306;0,778
0.117763541;0,3007;0,1234;0,7225;0,784
0.120158281;0,3501;0,1309;0,7125;0,796
0.122634948;0,4041;0,1498;0,7245;0,834
0.125001979;0,4578;0,1803;0,7457;0,884
0.127688333;0,5089;0,2208;0,7716;0,941
0.130384062;0,5599;0,2538;0,7518;0,961
0.133385104;0,6097;0,2888;0,7203;0,977
0.134959479;0,6591;0,3200;0,6778;0,988
0.137306875;0,7033;0,3506;0,6323;0,998
0.139909896;0,7392;0,3723;0,5906;1,006
0.142590781;0,7627;0,3958;0,5596;1,015
0.146345469;0,7790;0,4143;0,5339;1,021
0.147827969;0,7829;0,4268;0,5146;1,019
0.149757135;0,7746;0,4292;0,5056;1,009
0.152401927;0,7641;0,4270;0,4951;0,995
0.154651354;0,7471;0,4214;0,4779;0,971
0.156833698;0,7246;0,4138;0,4579;0,941
0.159623125;0,6977;0,4072;0,4430;0,911
0.161835781;0,6659;0,4019;0,4374;0,882
0.164481614;0,6388;0,4002;0,4406;0,863
0.166670416;0,6144;0,4016;0,4399;0,846
0.16909026;0,5936;0,4053;0,4381;0,832
0.171473854;0,5817;0,4155;0,4384;0,829
0.174243281;0,5760;0,4273;0,4399;0,831
0.176995625;0,5729;0,4327;0,4433;0,834
0.179180989;0,5743;0,4410;0,4445;0,840
0.181867031;0,5822;0,4590;0,4450;0,855
0.183868906;0,5927;0,4781;0,4518;0,876
0.186392604;0,5887;0,4815;0,4572;0,878
0.188794323;0,5724;0,4639;0,4401;0,849
0.191085989;0,5599;0,4463;0,4130;0,817
0.194068437;0,5509;0,4305;0,3927;0,792
0.196173281;0,5501;0,4185;0,3883;0,783
0.198798021;0,5540;0,4109;0,4025;0,789
0.200870416;0,5619;0,4048;0,4325;0,807
0.203642239;0,5690;0,4031;0,4792;0,836
0.206593802;0,5804;0,4067;0,5410;0,882
0.208471198;0,5978;0,4143;0,6062;0,937
0.210976458;0,6225;0,4260;0,6673;0,997
0.213438541;0,6532;0,4429;0,7198;1,058
0.215973177;0,6896;0,4610;0,7625;1,117
0.218161458;0,7236;0,4781;0,7953;1,167
