time,gFx,gFy,gFz,gFTotal
0.001461029052734375,0.027,-0.253,-1.027,1.058
0.011854171752929688,0.001,-0.259,-1.02,1.052
0.020043134689331055,-0.017,-0.214,-1.057,1.079
0.030549049377441406,-0.044,-0.24,-1.055,1.083
0.04660606384277344,-0.052,-0.284,-1.08,1.118
0.050176143646240234,-0.065,-0.295,-1.185,1.223
0.06167316436767578,-0.079,-0.315,-1.295,1.335
0.0698390007019043,-0.111,-0.332,-1.304,1.35
0.07996225357055664,-0.166,-0.29,-1.207,1.252
0.0896461009979248,-0.143,-0.2,-1.169,1.195
0.10113906860351562,-0.029,-0.156,-1.183,1.194
0.11195611953735352,0.085,-0.177,-1.17,1.186
0.11969900131225586,0.16,-0.216,-1.15,1.181
0.13255929946899414,0.173,-0.248,-1.131,1.171
0.14023113250732422,0.137,-0.256,-1.115,1.152
0.1504051685333252,0.103,-0.234,-1.137,1.165
0.16039705276489258,0.073,-0.203,-1.21,1.229
0.17000627517700195,0.045,-0.155,-1.273,1.283
0.17970705032348633,0.025,-0.102,-1.288,1.292
0.18997907638549805,0.021,-0.069,-1.254,1.256
0.2003021240234375,0.039,-0.062,-1.175,1.177
0.21061420440673828,0.063,-0.067,-1.101,1.105
0.22063517570495605,0.087,-0.074,-1.048,1.054
0.23050928115844727,0.122,-0.092,-1.001,1.013
0.24657821655273438,0.152,-0.119,-0.959,0.978
0.2500901222229004,0.168,-0.129,-0.923,0.947
0.26158714294433594,0.173,-0.127,-0.911,0.936
0.2697131633758545,0.166,-0.129,-0.903,0.927
0.27991819381713867,0.151,-0.13,-0.892,0.914
0.28984618186950684,0.134,-0.129,-0.881,0.9
0.30045413970947266,0.119,-0.13,-0.869,0.887
0.31036901473999023,0.102,-0.133,-0.861,0.877
0.31966710090637207,0.086,-0.136,-0.832,0.847
0.33047914505004883,0.067,-0.132,-0.792,0.806
0.34014320373535156,0.053,-0.126,-0.773,0.785
0.3497772216796875,0.046,-0.123,-0.746,0.757
0.3603651523590088,0.047,-0.125,-0.725,0.737
0.36975622177124023,0.042,-0.126,-0.713,0.725
0.3797621726989746,0.037,-0.128,-0.694,0.707
0.3897411823272705,0.036,-0.125,-0.68,0.692
0.40030813217163086,0.041,-0.129,-0.719,0.732
0.41050004959106445,0.056,-0.146,-0.757,0.773
0.41973304748535156,0.069,-0.156,-0.748,0.767
0.43035316467285156,0.069,-0.16,-0.754,0.774
0.44014620780944824,0.056,-0.152,-0.78,0.797
0.44980525970458984,0.045,-0.142,-0.786,0.8
0.46016931533813477,0.036,-0.145,-0.765,0.779
