time,gFx,gFy,gFz,gFTotal
0.004291057586669922,-0.036,-0.016,-0.998,0.999
0.02415013313293457,-0.033,-0.003,-0.97,0.971
0.025933265686035156,-0.033,-0.003,-0.97,0.971
0.033521175384521484,-0.027,-0.02,-1.013,1.014
0.04347515106201172,-0.037,-0.019,-1.039,1.04
0.05356121063232422,-0.054,-0.027,-1.016,1.018
0.06436491012573242,-0.055,-0.037,-1.01,1.012
0.0740962028503418,-0.048,-0.041,-1.03,1.032
0.08378410339355469,-0.034,-0.039,-1.051,1.052
0.09379005432128906,-0.024,-0.033,-1.044,1.045
0.10336709022521973,-0.01,-0.019,-1.056,1.056
0.12570714950561523,-0.012,-0.012,-0.997,0.997
0.12839913368225098,-0.012,-0.012,-0.997,0.997
0.13272619247436523,-0.022,-0.011,-0.983,0.983
0.14330816268920898,-0.021,-0.012,-0.998,0.998
0.15274810791015625,-0.039,-0.042,-1.0,1.002
0.1632380485534668,-0.038,-0.077,-0.984,0.988
0.1733260154724121,0.044,-0.054,-0.988,0.99
0.18285417556762695,0.053,-0.009,-1.014,1.015
0.19350409507751465,0.022,0.002,-1.03,1.03
0.20279812812805176,-0.0,-0.033,-1.016,1.017
0.22791004180908203,0.005,-0.097,-1.011,1.016
0.2307891845703125,0.005,-0.097,-1.011,1.016
0.2325282096862793,0.032,-0.085,-1.013,1.017
0.24244403839111328,0.046,-0.063,-1.03,1.033
0.2525339126586914,0.053,-0.063,-1.02,1.023
0.26305723190307617,0.061,-0.07,-0.997,1.001
0.27217721939086914,0.055,-0.085,-0.984,0.989
0.2825889587402344,0.007,-0.081,-0.98,0.983
0.2923130989074707,-0.053,-0.089,-0.987,0.992
0.3022432327270508,-0.072,-0.102,-0.991,0.999
0.3256831169128418,-0.054,-0.11,-1.067,1.074
0.3284029960632324,-0.054,-0.11,-1.067,1.074
0.3315861225128174,0.001,-0.149,-1.061,1.071
0.3422360420227051,0.0,-0.189,-1.035,1.052
0.3513212203979492,-0.037,-0.202,-1.005,1.026
0.36199212074279785,-0.027,-0.193,-0.997,1.016
0.3713531494140625,0.012,-0.189,-1.007,1.025
0.38161802291870117,0.043,-0.186,-1.011,1.029
0.39203500747680664,0.05,-0.195,-1.015,1.035
0.4014880657196045,0.034,-0.213,-1.004,1.027
0.4271259307861328,-0.027,-0.242,-0.989,1.019
0.4296700954437256,-0.027,-0.242,-0.989,1.019
0.43178510665893555,-0.119,-0.249,-1.012,1.049
0.4410109519958496,-0.194,-0.229,-1.016,1.059
0.45065903663635254,-0.385,-0.184,-0.981,1.07
0.4615612030029297,-0.488,-0.177,-0.926,1.062
0.47057509422302246,-0.47,-0.147,-0.842,0.975
0.48092007637023926,-0.217,-0.042,-0.698,0.732
0.49117207527160645,0.414,0.19,-0.496,0.673
0.5004339218139648,0.587,0.118,-0.681,0.907
0.524712085723877,-0.473,0.035,-0.942,1.055
0.5273232460021973,-0.473,0.035,-0.942,1.055
0.5299720764160156,-0.391,0.111,-0.803,0.9
0.5403211116790771,-0.334,0.025,-0.8,0.867
0.5501930713653564,-0.263,0.021,-0.861,0.901
0.5604681968688965,-0.256,0.03,-0.863,0.901
0.5701930522918701,-0.283,0.0,-0.841,0.887
0.5808861255645752,-0.298,-0.033,-0.828,0.881
0.5903880596160889,-0.284,-0.047,-0.775,0.827
0.5997130870819092,-0.302,-0.056,-0.777,0.836
0.6226451396942139,-0.339,-0.083,-0.784,0.858
0.625352144241333,-0.339,-0.083,-0.784,0.858
0.6296501159667969,-0.326,-0.111,-0.802,0.873
0.6402721405029297,-0.346,-0.139,-0.818,0.899
0.6494050025939941,-0.38,-0.124,-0.822,0.914
0.659541130065918,-0.404,-0.074,-0.83,0.926
0.6694090366363525,-0.428,-0.01,-0.833,0.937
0.6797099113464355,-0.47,0.039,-0.818,0.944
0.6893949508666992,-0.497,0.06,-0.772,0.92
0.6989250183105469,-0.54,0.027,-0.732,0.91
0.7253479957580566,-0.594,0.052,-0.848,1.037
0.7279081344604492,-0.594,0.052,-0.848,1.037
0.7299010753631592,-0.629,0.069,-0.857,1.065
0.738616943359375,-0.66,0.034,-0.786,1.027
0.7487249374389648,-0.719,0.003,-0.753,1.041
0.7590360641479492,-0.725,-0.002,-0.771,1.058
0.7682962417602539,-0.677,0.007,-0.761,1.019
0.7791252136230469,-0.651,0.011,-0.747,0.991
0.7883200645446777,-0.654,0.019,-0.762,1.004
0.7986612319946289,-0.649,0.021,-0.745,0.988
0.825538158416748,-0.688,-0.035,-0.718,0.995
0.8284780979156494,-0.705,-0.045,-0.664,0.97
0.8303642272949219,-0.705,-0.045,-0.664,0.97
0.8378572463989258,-0.749,-0.075,-0.608,0.968
0.848121166229248,-0.727,-0.079,-0.589,0.939
0.8590171337127686,-0.663,-0.036,-0.639,0.922
0.8675811290740967,-0.658,0.0,-0.63,0.911
0.8781790733337402,-0.704,0.006,-0.577,0.91
0.8878679275512695,-0.748,0.017,-0.596,0.957
0.8982181549072266,-0.812,0.046,-0.617,1.021
0.9226491451263428,-0.932,0.082,-0.519,1.07
0.924921989440918,-0.932,0.082,-0.519,1.07
0.9273052215576172,-0.96,0.092,-0.505,1.089
0.9371681213378906,-0.955,0.123,-0.511,1.09
0.947638988494873,-0.947,0.156,-0.509,1.086
0.9574489593505859,-0.942,0.198,-0.476,1.074
0.9670391082763672,-0.965,0.254,-0.434,1.088
0.9774091243743896,-1.024,0.252,-0.366,1.116
0.9871339797973633,-1.092,0.268,-0.278,1.158
0.9974970817565918,-1.155,0.291,-0.223,1.212
1.0202579498291016,-1.273,0.332,-0.159,1.325
1.0227079391479492,-1.273,0.332,-0.159,1.325
1.026224136352539,-1.285,0.333,-0.118,1.333
1.036201000213623,-1.171,0.359,-0.1,1.229
1.0469231605529785,-1.016,0.389,-0.123,1.095
1.0563740730285645,-0.836,0.483,-0.202,0.986
1.0662522315979004,-0.624,0.543,-0.27,0.87
1.0765020847320557,-0.471,0.652,-0.23,0.837
1.0860319137573242,-0.379,0.757,-0.198,0.869
1.0967321395874023,-0.319,0.845,-0.191,0.923
1.118807077407837,-0.41,0.982,-0.071,1.067
1.1206822395324707,-0.41,0.982,-0.071,1.067
1.1256499290466309,-0.438,0.995,0.023,1.087
1.1360912322998047,-0.471,0.961,0.09,1.074
1.1460111141204834,-0.513,0.897,0.096,1.038
1.1558480262756348,-0.56,0.891,-0.009,1.052
1.1657850742340088,-0.619,0.899,-0.222,1.114
1.1759190559387207,-0.799,0.913,-0.321,1.255
1.1861910820007324,-0.947,0.941,-0.428,1.402
1.1961431503295898,-1.06,1.034,-0.551,1.58
1.2090492248535156,-1.126,0.925,-0.507,1.543
1.2241051197052002,-0.981,0.756,-0.33,1.282
1.2257020473480225,-0.833,0.841,-0.2,1.2
1.234619140625,-0.751,0.78,-0.165,1.095
1.24540114402771,-0.638,0.651,-0.152,0.924
1.2554891109466553,-0.539,0.551,-0.068,0.774
1.2658100128173828,-0.46,0.473,0.012,0.66
1.2750191688537598,-0.362,0.541,0.079,0.656
1.2848100662231445,-0.29,0.752,0.098,0.812
1.2951302528381348,-0.228,0.909,0.005,0.937
1.3075261116027832,-0.193,0.993,0.008,1.012
1.3216419219970703,-0.127,0.98,0.007,0.988
1.324110984802246,-0.083,0.938,0.018,0.942
1.3346929550170898,-0.14,0.903,0.043,0.915
1.3443889617919922,-0.234,0.904,0.038,0.935
1.3541851043701172,-0.315,0.896,0.004,0.95
1.3642611503601074,-0.342,0.874,-0.037,0.939
1.374917984008789,-0.373,0.89,-0.037,0.966
1.385038137435913,-0.385,0.955,0.031,1.03
1.3947341442108154,-0.343,0.997,0.056,1.056
1.4075400829315186,-0.286,0.98,-0.013,1.021
1.4237520694732666,-0.245,0.917,-0.036,0.95
1.424325942993164,-0.245,0.917,-0.036,0.95
1.4334430694580078,-0.256,0.864,-0.061,0.903
1.4445171356201172,-0.375,0.53,-0.113,0.659
1.4532721042633057,-0.297,0.434,-0.127,0.541
1.4641032218933105,-0.265,0.474,-0.172,0.57
1.4738202095031738,-0.244,0.479,-0.225,0.583
1.4835960865020752,-0.175,0.354,-0.15,0.422
1.493657112121582,-0.127,0.226,-0.063,0.267
1.5066990852355957,-0.113,0.173,0.049,0.212
1.5221960544586182,-0.115,0.224,0.454,0.519
1.523705005645752,-0.115,0.224,0.454,0.519
1.5330252647399902,-0.154,0.371,1.216,1.281
1.5435431003570557,-0.126,0.534,1.3,1.411
1.552666187286377,-0.057,0.741,0.65,0.987
1.5628061294555664,-0.044,2.147,0.523,2.21
1.5728111267089844,-0.016,4.088,0.809,4.167
1.585003137588501,-0.065,4.09,0.753,4.159
1.5935139656066895,-0.3,3.009,0.332,3.042
1.6045331954956055,-0.36,1.978,0.05,2.011
1.6190390586853027,-0.275,1.262,-0.092,1.295
1.6219351291656494,-0.181,0.89,-0.139,0.919
1.6318941116333008,-0.12,0.699,-0.143,0.723
1.6420259475708008,-0.063,0.6,-0.147,0.621
1.6525630950927734,-0.011,0.577,-0.107,0.587
1.6624879837036133,0.009,0.635,-0.024,0.636
1.672612190246582,-0.005,0.764,0.025,0.764
1.6818251609802246,-0.083,0.9,0.048,0.905
1.6925780773162842,-0.16,0.978,0.124,0.999
1.7154250144958496,-0.279,1.05,0.323,1.133
1.717298984527588,-0.279,1.05,0.323,1.133
1.7212319374084473,-0.31,1.013,0.435,1.145
1.7319459915161133,-0.314,0.959,0.505,1.128
1.7421531677246094,-0.303,0.916,0.499,1.086
1.7513370513916016,-0.277,0.908,0.45,1.051
1.7618379592895508,-0.245,0.926,0.377,1.029
1.7712502479553223,-0.214,0.948,0.297,1.016
1.781477928161621,-0.195,0.97,0.226,1.015
1.7921452522277832,-0.18,0.983,0.171,1.014
1.814089059829712,-0.166,0.983,0.091,1.001
1.8158340454101562,-0.166,0.983,0.091,1.001
1.8205530643463135,-0.169,0.975,0.059,0.991
1.83109712600708,-0.176,0.964,0.047,0.981
1.8412179946899414,-0.183,0.953,0.046,0.972
1.850621223449707,-0.188,0.948,0.054,0.968
1.8609931468963623,-0.194,0.945,0.065,0.967
1.8711061477661133,-0.2,0.943,0.08,0.967
1.8811900615692139,-0.209,0.945,0.097,0.973
1.8915610313415527,-0.221,0.951,0.119,0.984
1.9031219482421875,-0.234,0.958,0.145,0.997
1.9207439422607422,-0.265,0.965,0.211,1.023
1.9221200942993164,-0.265,0.965,0.211,1.023
1.9305391311645508,-0.28,0.965,0.243,1.034
1.9403209686279297,-0.295,0.962,0.269,1.042
1.950742244720459,-0.304,0.957,0.281,1.043
1.960954189300537,-0.306,0.954,0.273,1.038
1.9695141315460205,-0.301,0.956,0.248,1.032
1.9803290367126465,-0.292,0.958,0.213,1.024
1.9909381866455078,-0.281,0.957,0.182,1.014
2.0147030353546143,-0.269,0.954,0.143,1.001
2.0166592597961426,-0.269,0.954,0.143,1.001
2.018933057785034,-0.269,0.956,0.135,1.002
2.029017925262451,-0.27,0.96,0.135,1.006
2.039306163787842,-0.275,0.961,0.143,1.01
2.0496790409088135,-0.277,0.959,0.153,1.01
2.059382915496826,-0.279,0.956,0.162,1.009
2.0696840286254883,-0.283,0.95,0.171,1.006
2.0795540809631348,-0.285,0.945,0.177,1.003
2.0897040367126465,-0.287,0.941,0.181,1.0
2.112740993499756,-0.292,0.941,0.178,1.001
2.1145172119140625,-0.292,0.941,0.178,1.001
2.1185660362243652,-0.291,0.942,0.175,1.001
2.1290171146392822,-0.29,0.943,0.172,1.001
2.1386332511901855,-0.29,0.942,0.168,1.0
2.1493630409240723,-0.288,0.942,0.165,0.999
2.1588711738586426,-0.285,0.941,0.164,0.997
2.168804168701172,-0.281,0.938,0.165,0.993
2.1783900260925293,-0.27,0.936,0.167,0.988
2.188765048980713,-0.257,0.938,0.169,0.987
2.2133700847625732,-0.242,0.952,0.173,0.997
2.215574264526367,-0.242,0.952,0.173,0.997
2.2177481651306152,-0.241,0.96,0.177,1.005
2.2277932167053223,-0.243,0.966,0.182,1.013
2.2383952140808105,-0.244,0.966,0.186,1.014
2.247615098953247,-0.246,0.964,0.185,1.012
2.258352041244507,-0.249,0.959,0.185,1.008
2.2682220935821533,-0.252,0.955,0.185,1.005
2.278682231903076,-0.254,0.953,0.183,1.003
2.2895569801330566,-0.257,0.957,0.18,1.007
2.311913013458252,-0.262,0.961,0.168,1.01
2.314404010772705,-0.262,0.961,0.168,1.01
2.316986083984375,-0.261,0.965,0.162,1.013
2.3278732299804688,-0.258,0.966,0.158,1.012
2.3370442390441895,-0.259,0.967,0.157,1.013
2.3474812507629395,-0.264,0.972,0.16,1.02
2.3576560020446777,-0.264,0.977,0.163,1.025
2.36690616607666,-0.259,0.977,0.167,1.024
2.3775792121887207,-0.25,0.974,0.174,1.021
2.3869380950927734,-0.24,0.965,0.179,1.01
2.4106481075286865,-0.227,0.955,0.264,1.016
2.412443161010742,-0.227,0.955,0.264,1.016
2.416253089904785,-0.223,0.949,0.263,1.01
2.427135944366455,-0.215,0.935,0.179,0.976
2.436131000518799,-0.205,0.941,0.148,0.974
2.4467720985412598,-0.206,0.966,0.132,0.997
2.4565200805664062,-0.215,0.982,0.123,1.013
2.4663500785827637,-0.23,0.991,0.121,1.025
2.477220058441162,-0.244,0.993,0.113,1.029
2.486246109008789,-0.259,0.988,0.109,1.027
2.5135080814361572,-0.282,0.963,0.115,1.01
2.5161030292510986,-0.299,0.959,0.112,1.011
2.5178050994873047,-0.299,0.959,0.112,1.011
2.5265800952911377,-0.319,0.954,0.105,1.011
2.5355560779571533,-0.332,0.944,0.103,1.006
2.5462300777435303,-0.336,0.927,0.113,0.992
2.555814266204834,-0.334,0.921,0.133,0.989
2.5655291080474854,-0.324,0.925,0.148,0.991
2.576503038406372,-0.307,0.933,0.16,0.995
